Region,SARIMA,TES,LR,LightGBM,Prophet
Afghanistan,18.484,16.952,13.31,29.894,22.731
Albania,8.188,2.727,1.726,14.902,2.988
Algeria,7.614,4.261,11.684,19.975,7.583
Andorra,6.502,7.797,9.559,2.313,17.711
Angola,9.578,4.997,213.468,13.273,10.102
Antigua and Barbuda,3.369,12.116,3.369,3.369,30.457
Argentina,5.819,5.826,1.87,20.448,7.673
Armenia,12.411,10.329,1.137,22.449,14.162
"Australian Capital Territory, Australia",1.633,1.633,1.633,1.633,7.817
"New South Wales, Australia",0.775,0.487,0.251,1.833,10.516
"Northern Territory, Australia",1.073,1.073,1.073,1.073,14.236
"Queensland, Australia",0.346,0.582,0.807,1.199,8.636
"South Australia, Australia",0.136,0.217,0.196,0.407,7.383
"Tasmania, Australia",6.009,8.566,7.034,10.19,17.467
"Victoria, Australia",1.15,0.927,1.375,3.439,7.932
"Western Australia, Australia",1.78,2.362,1.883,0.973,13.643
Austria,0.253,1.119,1.046,2.628,10.085
Azerbaijan,7.594,4.294,2.991,14.879,10.921
Bahamas,11.248,6.819,9.421,18.328,5.056
Bahrain,16.321,8.42,4.966,22.785,13.313
Bangladesh,16.832,14.529,31.043,37.111,73.619
Barbados,2.205,3.946,2.35,3.881,19.354
Belarus,36.106,34.576,20.201,35.954,33.48
Belgium,2.613,6.833,16.588,11.369,8.529
Belize,0.0,2.116,0.0,0.0,54.327
Benin,33.726,28.98,33.726,33.726,25.729
Bhutan,16.983,11.206,16.983,16.983,16.038
Bolivia,23.084,19.677,14.654,32.154,26.217
Bosnia and Herzegovina,2.357,1.107,4.054,14.567,3.945
Botswana,2.266,18.408,300.0,6.526,20.098
Brazil,17.871,15.041,9.561,30.128,23.426
Brunei,2.872,2.751,5.74,0.372,0.691
Bulgaria,17.437,9.666,4.176,22.215,13.7
Burkina Faso,1.32,1.182,1.43,7.974,13.806
Burma,13.003,26.737,73.001,15.673,18.649
Burundi,32.035,26.017,32.035,32.035,26.926
Cabo Verde,29.857,19.468,300.0,29.857,65.397
Cambodia,0.0,0.0,0.0,0.0,5.771
Cameroon,24.379,15.596,12.275,24.985,13.958
"Alberta, Canada",2.333,7.257,87.698,24.437,19.824
"British Columbia, Canada",3.13,2.175,2.249,11.95,2.083
"Manitoba, Canada",1.812,0.677,1.544,4.531,15.93
"New Brunswick, Canada",0.504,3.66,0.545,0.337,15.911
"Newfoundland and Labrador, Canada",4.451,3.963,4.608,0.44,15.316
"Northwest Territories, Canada",0.0,0.0,0.0,0.0,37.738
"Nova Scotia, Canada",9.665,8.168,12.969,15.216,7.258
"Ontario, Canada",0.553,4.734,28.814,18.9,4.738
"Prince Edward Island, Canada",1.411,2.839,1.411,1.411,8.151
"Quebec, Canada",5.52,4.115,2.699,20.727,4.598
"Saskatchewan, Canada",10.41,9.776,7.042,14.058,6.395
"Yukon, Canada",4.329,7.359,54.545,10.39,6.872
Central African Republic,36.932,33.765,34.796,36.932,36.643
Chad,26.166,22.243,20.527,30.641,33.357
Chile,11.714,9.372,3.227,23.23,10.869
"Anhui, China",0.0,0.0,0.0,0.0,0.127
"Beijing, China",0.06,0.217,0.337,0.0,0.811
"Chongqing, China",0.0,0.0,0.0,0.0,0.136
"Fujian, China",0.609,0.629,1.465,0.094,0.878
"Gansu, China",0.0,0.0,0.0,0.0,0.617
"Guangdong, China",0.415,0.183,0.832,0.256,1.921
"Guangxi, China",0.0,0.0,0.0,0.0,0.084
"Guizhou, China",4.13,2.154,3.499,0.0,0.357
"Hainan, China",0.0,0.0,0.0,0.0,0.283
"Hebei, China",0.0,0.073,0.0,0.0,0.487
"Heilongjiang, China",0.836,5.53,13.508,2.413,20.86
"Henan, China",0.0,0.0,0.0,0.0,0.097
"Hong Kong, China",0.53,0.578,0.505,0.775,12.428
"Hubei, China",0.001,0.473,1.111,0.001,0.281
"Hunan, China",0.0,0.0,0.0,0.0,0.077
"Inner Mongolia, China",2.111,11.565,1.626,2.111,25.06
"Jiangsu, China",0.0,0.0,0.0,0.0,0.434
"Jiangxi, China",0.0,0.0,0.0,0.0,0.173
"Jilin, China",1.722,2.741,1.847,4.785,4.216
"Liaoning, China",0.113,0.798,0.504,0.097,1.873
"Macau, China",0.0,0.0,0.0,0.0,4.456
"Ningxia, China",0.0,0.0,0.0,0.0,0.0
"Qinghai, China",0.0,0.0,0.0,0.0,0.0
"Shaanxi, China",7.913,7.913,7.913,7.913,7.851
"Shandong, China",0.033,0.728,0.861,0.033,0.784
"Shanghai, China",0.945,3.412,1.358,1.339,8.577
"Shanxi, China",0.132,10.707,10.468,0.132,16.39
"Sichuan, China",0.0,0.166,0.666,0.0,0.654
"Tianjin, China",0.351,2.126,1.226,0.325,2.248
"Tibet, China",0.0,0.0,0.0,0.0,0.0
"Xinjiang, China",0.0,0.0,0.0,0.0,0.031
"Yunnan, China",0.257,0.257,0.257,0.257,0.168
"Zhejiang, China",0.0,0.0,0.0,0.0,0.423
Colombia,12.207,9.936,17.992,24.753,13.282
Congo (Brazzaville),19.739,3.714,86.792,20.923,13.06
Congo (Kinshasa),11.249,9.515,53.252,24.13,16.885
Costa Rica,1.971,0.386,0.563,5.501,13.881
Cote d'Ivoire,4.874,2.227,82.958,19.49,5.741
Croatia,3.034,4.039,3.726,5.588,14.851
Cuba,3.389,6.217,17.569,17.504,4.961
Cyprus,3.091,3.21,5.139,5.532,19.326
Czechia,0.282,3.788,9.922,6.849,11.921
"Faroe Islands, Denmark",0.624,1.006,2.254,0.535,1.611
"Greenland, Denmark",0.0,0.0,0.0,0.0,4.567
Denmark,2.966,0.83,3.015,11.152,9.409
Diamond Princess,0.0,0.0,0.0,0.0,0.197
Djibouti,16.815,39.945,191.654,12.391,32.965
Dominica,0.0,3.571,0.0,0.0,15.456
Dominican Republic,2.93,5.037,39.818,20.145,8.875
Ecuador,31.32,22.459,21.29,32.092,25.198
Egypt,12.068,10.117,3.812,25.305,13.758
El Salvador,15.883,14.693,10.832,28.903,18.684
Equatorial Guinea,33.877,24.445,35.044,36.815,51.086
Eritrea,11.6,27.106,62.759,0.0,21.061
Estonia,1.432,7.998,10.254,4.883,12.852
Eswatini,33.658,32.991,78.613,39.044,40.701
Ethiopia,10.153,11.307,18.326,14.753,8.218
Fiji,3.175,2.646,3.175,3.175,32.268
Finland,0.678,4.682,17.415,13.895,4.903
"French Guiana, France",6.204,1.96,13.67,12.625,4.887
"French Polynesia, France",3.234,2.297,3.234,3.234,17.011
"Guadeloupe, France",0.706,2.832,4.265,1.183,5.798
"Martinique, France",2.571,0.692,6.416,4.587,1.199
