,State,Country,Region,sarimaI_CC,sarimaI_F,HWI_CC,HWI_F,LRI_CC,LRI_F,LGBMI_CC,LGBMI_F,PROPHET_CC,PROPHET_F
0,,Afghanistan,Afghanistan,18.484222063480207,21.54057489244928,16.951656650418748,13.743067354466792,13.310472336254115,9.66343812010461,29.894188477549342,28.31732275506551,22.730734208517895,17.973271202328416
113,,Albania,Albania,8.188136567567113,3.3440803947716384,2.727465422091117,1.4399061710889662,1.726107095839045,11.08272111344308,14.901999942259646,6.704134461430927,2.988010145227929,10.432912628045237
226,,Algeria,Algeria,7.614499749911004,2.931139234552794,4.261177122283467,0.7668617768047034,11.684161560713628,36.685914864933544,19.975243003380672,9.627370833752687,7.582709215193899,23.69457621203145
339,,Andorra,Andorra,6.501676597532612,4.788837945684551,7.796928553769056,6.2535949413231835,9.558835266606042,0.9494534773943485,2.313421346048091,9.115610310368572,17.710526998679054,13.780723756953558
452,,Angola,Angola,9.577660567970646,0.0,4.997094544436735,2.380952380952381,213.46777902176575,389.2857142857143,13.272886336009263,0.0,10.101880903424775,0.0
565,,Antigua and Barbuda,Antigua and Barbuda,3.3690476190476195,0.0,12.11576949620428,30.630630630630634,3.3690476190476195,0.0,3.3690476190476195,0.0,30.457415536771542,inf
678,,Argentina,Argentina,5.8188647552769295,12.385448534743126,5.8259730996185315,7.536403906268449,1.8696567675003246,5.482764021786123,20.447623942892708,22.818479086647063,7.672568798522991,7.414894340001579
791,,Armenia,Armenia,12.410647800509079,19.40214864384974,10.329428013929569,6.354344044152331,1.1367452685766268,4.052819249726909,22.449049265114265,22.285619702317668,14.16222767104621,7.649422676805183
904,Australian Capital Territory,Australia,"Australian Capital Territory, Australia",1.6334712246242082,0.0,1.6334712246242082,19.841269841269842,1.6334712246242082,0.0,1.6334712246242082,0.0,7.8174879245768905,24.206349206349202
1017,New South Wales,Australia,"New South Wales, Australia",0.7746441658707919,17.46784771361563,0.4870924501132713,11.816031899146036,0.2509591576623529,16.43771614703097,1.833333925041108,17.46784771361563,10.516270966949483,8.49458237191379
1130,Northern Territory,Australia,"Northern Territory, Australia",1.0734050963936024,,1.0734050963936024,,1.0734050963936024,,1.0734050963936024,,14.236010295123597,
1243,Queensland,Australia,"Queensland, Australia",0.3455764334340149,0.0,0.5824595954295549,21.428571428571427,0.8071965683688617,0.0,1.1989812369242898,0.0,8.636264653814719,15.47619047619048
1356,South Australia,Australia,"South Australia, Australia",0.1358252111217841,0.0,0.2172284675492238,0.0,0.19554623830423265,0.0,0.4073754910733549,0.0,7.383317934292489,inf
1469,Tasmania,Australia,"Tasmania, Australia",6.009190891016329,16.865125615125624,8.566337835873792,5.111396539967967,7.0338892625583656,10.367423581709295,10.1902531118779,20.51508676508677,17.466739149806088,9.674888603460035
1582,Victoria,Australia,"Victoria, Australia",1.15041039409844,10.198801742919393,0.9265094577387558,4.313530967942734,1.3747422660770696,8.346949891067537,3.4390609888545405,10.198801742919393,7.932087344647155,24.30265521126865
1695,Western Australia,Australia,"Western Australia, Australia",1.7797406509993896,8.498677248677252,2.3624324767237646,6.136621315192746,1.8830175052456648,6.911375661375663,0.973207667934657,8.498677248677252,13.643010547113668,29.166666666666657
1808,,Austria,Austria,0.2534317419891703,3.5086686682909964,1.119336351028506,3.378874420558643,1.04552162790915,8.967564094237234,2.6280006351915195,11.94433920901888,10.085273347918237,12.7258545307974
1921,,Azerbaijan,Azerbaijan,7.593650493041872,17.242037960554317,4.294353138545843,20.697133728563326,2.9907827935662055,2.386359277386152,14.87889885206862,12.84385057995056,10.920585349173335,5.667614063082485
2034,,Bahamas,Bahamas,11.248488085196309,4.545454545454544,6.818779213662453,7.8884078884078885,9.420824662253159,4.377104377104378,18.327612728836687,9.090909090909088,5.056191189118745,43.11172954030096
2147,,Bahrain,Bahrain,16.320569764605462,6.898148148148148,8.419869128874383,5.85978835978836,4.965916948504984,25.891912320483744,22.785020751229958,6.898148148148148,13.312577669848388,16.780990173847318
2260,,Bangladesh,Bangladesh,16.831800922028673,10.682407660901706,14.528564145477171,7.076527508193384,31.042510608426305,115.04411724295731,37.1110120213225,25.4203066936049,73.61937405229926,26.412809812361953
2373,,Barbados,Barbados,2.204969361361685,13.55311355311355,3.9464740562841363,4.395604395604394,2.3501079894699783,13.55311355311355,3.8810892029878294,13.55311355311355,19.354298749016177,inf
2486,,Belarus,Belarus,36.10611184819699,12.967535709463943,34.57645411238454,7.724392350632152,20.20092360013141,1.3474343704682816,35.95399393911141,25.986605504926146,33.47968471157457,14.698265795157429
2599,,Belgium,Belgium,2.612612323483692,5.193853720447431,6.833349175149815,10.30832952372772,16.588201438156208,11.891551264571158,11.36926306648373,13.914296225289933,8.52910591501177,13.044667038760133
2712,,Belize,Belize,0.0,0.0,2.116402116402117,19.736842105263158,0.0,0.0,0.0,0.0,54.327141112855394,inf
2825,,Benin,Benin,33.72606879449189,17.105263157894736,28.980461160494315,17.105263157894736,33.72606879449189,17.105263157894736,33.72606879449189,17.105263157894736,25.728576200074066,31.57894736842105
2938,,Bhutan,Bhutan,16.982752697038407,,11.205936920222632,,16.982752697038407,,16.982752697038407,,16.03793032364461,
3051,,Bolivia,Bolivia,23.083969432093536,24.205267115817822,19.6774054499836,18.634115444902594,14.654343676826889,7.05233895803266,32.15435344441484,28.08885422699012,26.216820003843022,16.468066044394547
3164,,Bosnia and Herzegovina,Bosnia and Herzegovina,2.3567259012731308,14.920681037126421,1.1071421108821784,6.414015048552349,4.053782296157479,3.5249643647357596,14.567094248958087,18.633439624624362,3.945469684847246,7.798951991233836
3277,,Botswana,Botswana,2.2656691134952,0.0,18.407914549218894,0.0,3427.773542882238,4059.5238095238096,6.526444569922829,0.0,20.098174772087816,0.0
3390,,Brazil,Brazil,17.871330011540785,23.456224214507067,15.040824497295654,19.81242509950989,9.56076059272155,5.378370107543354,30.12821210264344,31.554505317016527,23.42566650271888,26.733802518306526
3503,,Brunei,Brunei,2.872347291982721,0.0,2.7509642873780793,0.0,5.739555309630979,0.0,0.3717390828978155,0.0,0.6905027221397673,0.0
3616,,Bulgaria,Bulgaria,17.437360054299944,18.594829030348187,9.66572788865834,6.60479096463774,4.176455252819766,3.9520580840884403,22.215221884231376,20.964771171319846,13.700392107577247,5.828293139615115
3729,,Burkina Faso,Burkina Faso,1.320269010166879,7.942185165925862,1.1820710959917782,8.192177487824733,1.4303845209727797,1.7527050914124167,7.973747919878946,10.635147147203524,13.805518850448301,10.954516728247949
3842,,Burma,Burma,13.002756959283012,5.952380952380952,26.736877189883906,19.761904761904763,73.0008303364777,107.77777777777777,15.673358164283588,5.952380952380952,18.64931123769876,35.67460317460318
3955,,Burundi,Burundi,32.03463203463202,0.0,26.017316017316016,0.0,32.03463203463202,0.0,32.03463203463202,0.0,26.926406926406933,67.74193548387096
4068,,Cabo Verde,Cabo Verde,29.8572886002334,14.285714285714285,19.46774822878525,14.285714285714285,3795.2319750344627,7696.428571428571,29.8572886002334,14.285714285714285,65.39670755900309,14.285714285714285
4181,,Cambodia,Cambodia,0.0,,0.0,,0.0,,0.0,,5.770838141676298,
4294,,Cameroon,Cameroon,24.37856775837679,16.36670698942822,15.595965336415759,30.841724471716926,12.275368078393187,8.880748014842117,24.985467252818324,20.254572989203826,13.958323558592149,33.75498082487635
4407,Alberta,Canada,"Alberta, Canada",2.3333441396987125,21.881034591137897,7.257352354577897,18.751906547264007,87.69790861314478,88.54522241487834,24.437019113084034,24.001705073339494,19.824343790100983,4.9790420059180285
4520,British Columbia,Canada,"British Columbia, Canada",3.129845333068996,7.930772461247683,2.1750523035386418,1.7551063245651404,2.249134386110995,3.630225981925573,11.949541365511196,15.026294953141454,2.082714754078298,7.514505657387292
4633,Manitoba,Canada,"Manitoba, Canada",1.812264001471739,12.074829931972786,0.6765100307967772,9.126984126984123,1.5437652250673741,11.394557823129253,4.531259117862332,12.074829931972786,15.929955264485962,18.197278911564627
4746,New Brunswick,Canada,"New Brunswick, Canada",0.5042695044119343,,3.659523131286413,,0.5446246295128222,,0.337468320661598,,15.91125421375713,
4859,Newfoundland and Labrador,Canada,"Newfoundland and Labrador, Canada",4.450800273158504,0.0,3.9631331948621797,18.253968253968257,4.608039454792841,0.0,0.4397865113806587,0.0,15.31568051454123,53.96825396825394
4972,Northwest Territories,Canada,"Northwest Territories, Canada",0.0,,0.0,,0.0,,0.0,,37.73809523809525,
5085,Nova Scotia,Canada,"Nova Scotia, Canada",9.6649043341094,33.9167927232422,8.167657368391174,5.7709693883139535,12.969405490734262,29.598633410334102,15.215613666048517,41.17647169632134,7.2577765562409455,inf
5198,Ontario,Canada,"Ontario, Canada",0.5534266220384655,22.212813274373882,4.734426169484964,7.324653058359219,28.814470441241646,5.3351678589481155,18.899955746547445,27.850547825279826,4.737915635205395,22.11339282153408
5311,Prince Edward Island,Canada,"Prince Edward Island, Canada",1.4109347442680775,0.0,2.838827838827839,0.0,1.4109347442680775,0.0,1.4109347442680775,0.0,8.15092315092315,100.0
5424,Quebec,Canada,"Quebec, Canada",5.520355695248469,12.18678781299087,4.115222015490046,8.566292562656493,2.6985162196338113,19.675598772518676,20.726738934779203,31.35324395402015,4.597547306758573,33.930003048198415
5537,Saskatchewan,Canada,"Saskatchewan, Canada",10.410273568401216,16.03174603174603,9.77610328183445,8.81519274376417,7.041700700689872,9.852607709750563,14.057973142205254,16.03174603174603,6.39451856811942,9.070294784580495
5650,Yukon,Canada,"Yukon, Canada",4.329004329004327,,7.359307359307358,,54.545454545454554,,10.389610389610386,,6.872294372294369,
5763,,Central African Republic,Central African Republic,36.93187570801977,,33.76545448609682,,34.79637199949243,,36.93187570801977,,36.6430938135536,
5876,,Chad,Chad,26.165889941998184,100.0,22.24338646095855,100.0,20.52731676275288,100.0,30.640806334578702,100.0,33.35682226681392,100.0
5989,,Chile,Chile,11.714303801488466,3.3551217003224236,9.372146832713401,0.9497150731520567,3.22688358928334,2.4095101283640483,23.229919122103368,23.220996844760602,10.86863217936356,9.754598119344731
6102,Anhui,China,"Anhui, China",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12735349264108084,0.0
6215,Beijing,China,"Beijing, China",0.06022645145748011,4.761904761904763,0.21681522524692842,3.4391534391534404,0.33726812816188856,4.761904761904763,0.0,4.761904761904763,0.8113917876427792,4.761904761904763
6328,Chongqing,China,"Chongqing, China",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13570194917345166,0.0
6441,Fujian,China,"Fujian, China",0.6090287040595632,0.0,0.6290552302579522,0.0,1.465252187280989,0.0,0.09363295880149813,0.0,0.878003022203643,0.0
6554,Gansu,China,"Gansu, China",0.0,0.0,0.0,2.380952380952381,0.0,0.0,0.0,0.0,0.6167736618158888,0.0
6667,Guangdong,China,"Guangdong, China",0.4152278413674906,0.0,0.1828497242647061,0.0,0.8320183509612382,0.0,0.25640158638605665,0.0,1.921472235687023,0.0
