,ForecastId,Province_State,Country_Region,Date,geo,ConfirmedCases,Fatalities,Country_Province
0,1,,Afghanistan,2020-04-02,Afghanistan,273.0,6.0,Afghanistan
1,2,,Afghanistan,2020-04-03,Afghanistan,281.0,6.0,Afghanistan
2,3,,Afghanistan,2020-04-04,Afghanistan,299.0,7.0,Afghanistan
3,4,,Afghanistan,2020-04-05,Afghanistan,349.0,7.0,Afghanistan
4,5,,Afghanistan,2020-04-06,Afghanistan,367.0,11.0,Afghanistan
5,6,,Afghanistan,2020-04-07,Afghanistan,423.0,14.0,Afghanistan
6,7,,Afghanistan,2020-04-08,Afghanistan,444.0,14.0,Afghanistan
7,8,,Afghanistan,2020-04-09,Afghanistan,484.0,15.0,Afghanistan
8,9,,Afghanistan,2020-04-10,Afghanistan,521.0,15.0,Afghanistan
9,10,,Afghanistan,2020-04-11,Afghanistan,555.0,18.0,Afghanistan
10,11,,Afghanistan,2020-04-12,Afghanistan,607.0,18.0,Afghanistan
11,12,,Afghanistan,2020-04-13,Afghanistan,665.0,21.0,Afghanistan
12,13,,Afghanistan,2020-04-14,Afghanistan,714.0,23.0,Afghanistan
13,14,,Afghanistan,2020-04-15,Afghanistan,784.0,25.0,Afghanistan
14,15,,Afghanistan,2020-04-16,Afghanistan,840.0,30.0,Afghanistan
15,16,,Afghanistan,2020-04-17,Afghanistan,906.0,30.0,Afghanistan
16,17,,Afghanistan,2020-04-18,Afghanistan,933.0,30.0,Afghanistan
17,18,,Afghanistan,2020-04-19,Afghanistan,996.0,33.0,Afghanistan
18,19,,Afghanistan,2020-04-20,Afghanistan,996.0,33.0,Afghanistan
19,20,,Afghanistan,2020-04-21,Afghanistan,996.0,33.0,Afghanistan
20,21,,Afghanistan,2020-04-22,Afghanistan,996.0,33.0,Afghanistan
21,22,,Afghanistan,2020-04-23,Afghanistan,996.0,33.0,Afghanistan
22,23,,Afghanistan,2020-04-24,Afghanistan,996.0,33.0,Afghanistan
23,24,,Afghanistan,2020-04-25,Afghanistan,996.0,33.0,Afghanistan
24,25,,Afghanistan,2020-04-26,Afghanistan,996.0,33.0,Afghanistan
25,26,,Afghanistan,2020-04-27,Afghanistan,996.0,33.0,Afghanistan
26,27,,Afghanistan,2020-04-28,Afghanistan,996.0,33.0,Afghanistan
27,28,,Afghanistan,2020-04-29,Afghanistan,996.0,33.0,Afghanistan
28,29,,Afghanistan,2020-04-30,Afghanistan,996.0,33.0,Afghanistan
29,30,,Afghanistan,2020-05-01,Afghanistan,996.0,33.0,Afghanistan
30,31,,Afghanistan,2020-05-02,Afghanistan,996.0,33.0,Afghanistan
31,32,,Afghanistan,2020-05-03,Afghanistan,996.0,33.0,Afghanistan
32,33,,Afghanistan,2020-05-04,Afghanistan,996.0,33.0,Afghanistan
33,34,,Afghanistan,2020-05-05,Afghanistan,996.0,33.0,Afghanistan
34,35,,Afghanistan,2020-05-06,Afghanistan,996.0,33.0,Afghanistan
35,36,,Afghanistan,2020-05-07,Afghanistan,996.0,33.0,Afghanistan
36,37,,Afghanistan,2020-05-08,Afghanistan,996.0,33.0,Afghanistan
37,38,,Afghanistan,2020-05-09,Afghanistan,996.0,33.0,Afghanistan
38,39,,Afghanistan,2020-05-10,Afghanistan,996.0,33.0,Afghanistan
39,40,,Afghanistan,2020-05-11,Afghanistan,996.0,33.0,Afghanistan
40,41,,Afghanistan,2020-05-12,Afghanistan,996.0,33.0,Afghanistan
41,42,,Afghanistan,2020-05-13,Afghanistan,996.0,33.0,Afghanistan
42,43,,Afghanistan,2020-05-14,Afghanistan,996.0,33.0,Afghanistan
43,44,,Albania,2020-04-02,Albania,277.0,16.0,Albania
44,45,,Albania,2020-04-03,Albania,304.0,17.0,Albania
45,46,,Albania,2020-04-04,Albania,333.0,20.0,Albania
46,47,,Albania,2020-04-05,Albania,361.0,20.0,Albania
47,48,,Albania,2020-04-06,Albania,377.0,21.0,Albania
48,49,,Albania,2020-04-07,Albania,383.0,22.0,Albania
49,50,,Albania,2020-04-08,Albania,400.0,22.0,Albania
50,51,,Albania,2020-04-09,Albania,409.0,23.0,Albania
51,52,,Albania,2020-04-10,Albania,416.0,23.0,Albania
52,53,,Albania,2020-04-11,Albania,433.0,23.0,Albania
53,54,,Albania,2020-04-12,Albania,446.0,23.0,Albania
54,55,,Albania,2020-04-13,Albania,467.0,23.0,Albania
55,56,,Albania,2020-04-14,Albania,475.0,24.0,Albania
56,57,,Albania,2020-04-15,Albania,494.0,25.0,Albania
57,58,,Albania,2020-04-16,Albania,518.0,26.0,Albania
58,59,,Albania,2020-04-17,Albania,539.0,26.0,Albania
59,60,,Albania,2020-04-18,Albania,548.0,26.0,Albania
60,61,,Albania,2020-04-19,Albania,562.0,26.0,Albania
61,62,,Albania,2020-04-20,Albania,562.0,26.0,Albania
62,63,,Albania,2020-04-21,Albania,562.0,26.0,Albania
63,64,,Albania,2020-04-22,Albania,562.0,26.0,Albania
64,65,,Albania,2020-04-23,Albania,562.0,26.0,Albania
65,66,,Albania,2020-04-24,Albania,562.0,26.0,Albania
66,67,,Albania,2020-04-25,Albania,562.0,26.0,Albania
67,68,,Albania,2020-04-26,Albania,562.0,26.0,Albania
68,69,,Albania,2020-04-27,Albania,562.0,26.0,Albania
69,70,,Albania,2020-04-28,Albania,562.0,26.0,Albania
70,71,,Albania,2020-04-29,Albania,562.0,26.0,Albania
71,72,,Albania,2020-04-30,Albania,562.0,26.0,Albania
72,73,,Albania,2020-05-01,Albania,562.0,26.0,Albania
73,74,,Albania,2020-05-02,Albania,562.0,26.0,Albania
74,75,,Albania,2020-05-03,Albania,562.0,26.0,Albania
75,76,,Albania,2020-05-04,Albania,562.0,26.0,Albania
76,77,,Albania,2020-05-05,Albania,562.0,26.0,Albania
77,78,,Albania,2020-05-06,Albania,562.0,26.0,Albania
78,79,,Albania,2020-05-07,Albania,562.0,26.0,Albania
79,80,,Albania,2020-05-08,Albania,562.0,26.0,Albania
80,81,,Albania,2020-05-09,Albania,562.0,26.0,Albania
81,82,,Albania,2020-05-10,Albania,562.0,26.0,Albania
82,83,,Albania,2020-05-11,Albania,562.0,26.0,Albania
83,84,,Albania,2020-05-12,Albania,562.0,26.0,Albania
84,85,,Albania,2020-05-13,Albania,562.0,26.0,Albania
85,86,,Albania,2020-05-14,Albania,562.0,26.0,Albania
86,87,,Algeria,2020-04-02,Algeria,986.0,86.0,Algeria
87,88,,Algeria,2020-04-03,Algeria,1171.0,105.0,Algeria
88,89,,Algeria,2020-04-04,Algeria,1251.0,130.0,Algeria
89,90,,Algeria,2020-04-05,Algeria,1320.0,152.0,Algeria
90,91,,Algeria,2020-04-06,Algeria,1423.0,173.0,Algeria
91,92,,Algeria,2020-04-07,Algeria,1468.0,193.0,Algeria
92,93,,Algeria,2020-04-08,Algeria,1572.0,205.0,Algeria
93,94,,Algeria,2020-04-09,Algeria,1666.0,235.0,Algeria
94,95,,Algeria,2020-04-10,Algeria,1761.0,256.0,Algeria
95,96,,Algeria,2020-04-11,Algeria,1825.0,275.0,Algeria
96,97,,Algeria,2020-04-12,Algeria,1914.0,293.0,Algeria
97,98,,Algeria,2020-04-13,Algeria,1983.0,313.0,Algeria
98,99,,Algeria,2020-04-14,Algeria,2070.0,326.0,Algeria
99,100,,Algeria,2020-04-15,Algeria,2160.0,336.0,Algeria
100,101,,Algeria,2020-04-16,Algeria,2268.0,348.0,Algeria
101,102,,Algeria,2020-04-17,Algeria,2418.0,364.0,Algeria
102,103,,Algeria,2020-04-18,Algeria,2534.0,367.0,Algeria
103,104,,Algeria,2020-04-19,Algeria,2629.0,375.0,Algeria
104,105,,Algeria,2020-04-20,Algeria,2629.0,375.0,Algeria
105,106,,Algeria,2020-04-21,Algeria,2629.0,375.0,Algeria
106,107,,Algeria,2020-04-22,Algeria,2629.0,375.0,Algeria
107,108,,Algeria,2020-04-23,Algeria,2629.0,375.0,Algeria
108,109,,Algeria,2020-04-24,Algeria,2629.0,375.0,Algeria
109,110,,Algeria,2020-04-25,Algeria,2629.0,375.0,Algeria
110,111,,Algeria,2020-04-26,Algeria,2629.0,375.0,Algeria
111,112,,Algeria,2020-04-27,Algeria,2629.0,375.0,Algeria
112,113,,Algeria,2020-04-28,Algeria,2629.0,375.0,Algeria
113,114,,Algeria,2020-04-29,Algeria,2629.0,375.0,Algeria
114,115,,Algeria,2020-04-30,Algeria,2629.0,375.0,Algeria
115,116,,Algeria,2020-05-01,Algeria,2629.0,375.0,Algeria
116,117,,Algeria,2020-05-02,Algeria,2629.0,375.0,Algeria
117,118,,Algeria,2020-05-03,Algeria,2629.0,375.0,Algeria
118,119,,Algeria,2020-05-04,Algeria,2629.0,375.0,Algeria
119,120,,Algeria,2020-05-05,Algeria,2629.0,375.0,Algeria
120,121,,Algeria,2020-05-06,Algeria,2629.0,375.0,Algeria
121,122,,Algeria,2020-05-07,Algeria,2629.0,375.0,Algeria
122,123,,Algeria,2020-05-08,Algeria,2629.0,375.0,Algeria
123,124,,Algeria,2020-05-09,Algeria,2629.0,375.0,Algeria
124,125,,Algeria,2020-05-10,Algeria,2629.0,375.0,Algeria
125,126,,Algeria,2020-05-11,Algeria,2629.0,375.0,Algeria
126,127,,Algeria,2020-05-12,Algeria,2629.0,375.0,Algeria
127,128,,Algeria,2020-05-13,Algeria,2629.0,375.0,Algeria
128,129,,Algeria,2020-05-14,Algeria,2629.0,375.0,Algeria
129,130,,Andorra,2020-04-02,Andorra,428.0,15.0,Andorra
130,131,,Andorra,2020-04-03,Andorra,439.0,16.0,Andorra
131,132,,Andorra,2020-04-04,Andorra,466.0,17.0,Andorra
132,133,,Andorra,2020-04-05,Andorra,501.0,18.0,Andorra
133,134,,Andorra,2020-04-06,Andorra,525.0,21.0,Andorra
134,135,,Andorra,2020-04-07,Andorra,545.0,22.0,Andorra
135,136,,Andorra,2020-04-08,Andorra,564.0,23.0,Andorra
136,137,,Andorra,2020-04-09,Andorra,583.0,25.0,Andorra
137,138,,Andorra,2020-04-10,Andorra,601.0,26.0,Andorra
138,139,,Andorra,2020-04-11,Andorra,601.0,26.0,Andorra
139,140,,Andorra,2020-04-12,Andorra,638.0,29.0,Andorra
140,141,,Andorra,2020-04-13,Andorra,646.0,29.0,Andorra
141,142,,Andorra,2020-04-14,Andorra,659.0,31.0,Andorra
142,143,,Andorra,2020-04-15,Andorra,673.0,33.0,Andorra
143,144,,Andorra,2020-04-16,Andorra,673.0,33.0,Andorra
144,145,,Andorra,2020-04-17,Andorra,696.0,35.0,Andorra
145,146,,Andorra,2020-04-18,Andorra,704.0,35.0,Andorra
146,147,,Andorra,2020-04-19,Andorra,713.0,36.0,Andorra
147,148,,Andorra,2020-04-20,Andorra,713.0,36.0,Andorra
148,149,,Andorra,2020-04-21,Andorra,713.0,36.0,Andorra
149,150,,Andorra,2020-04-22,Andorra,713.0,36.0,Andorra
150,151,,Andorra,2020-04-23,Andorra,713.0,36.0,Andorra
151,152,,Andorra,2020-04-24,Andorra,713.0,36.0,Andorra
152,153,,Andorra,2020-04-25,Andorra,713.0,36.0,Andorra
153,154,,Andorra,2020-04-26,Andorra,713.0,36.0,Andorra
154,155,,Andorra,2020-04-27,Andorra,713.0,36.0,Andorra
155,156,,Andorra,2020-04-28,Andorra,713.0,36.0,Andorra
