,Date,Country_Province,ConfirmedCases,Fatalities
0,2020-04-02,Afghanistan,227.0,5.0
1,2020-04-03,Afghanistan,265.0,6.0
2,2020-04-04,Afghanistan,300.0,7.0
3,2020-04-05,Afghanistan,344.0,8.0
4,2020-04-06,Afghanistan,386.0,10.0
5,2020-04-07,Afghanistan,433.0,13.0
6,2020-04-08,Afghanistan,484.0,14.0
7,2020-04-09,Afghanistan,527.0,16.0
8,2020-04-10,Afghanistan,565.0,17.0
9,2020-04-11,Afghanistan,600.0,18.0
10,2020-04-12,Afghanistan,644.0,20.0
11,2020-04-13,Afghanistan,685.0,22.0
12,2020-04-14,Afghanistan,732.0,24.0
13,2020-04-15,Afghanistan,783.0,26.0
14,2020-04-16,Afghanistan,826.0,28.0
15,2020-04-17,Afghanistan,864.0,29.0
16,2020-04-18,Afghanistan,899.0,30.0
17,2020-04-19,Afghanistan,943.0,31.0
18,2020-04-20,Afghanistan,985.0,33.0
19,2020-04-21,Afghanistan,1032.0,36.0
20,2020-04-22,Afghanistan,1083.0,37.0
21,2020-04-23,Afghanistan,1126.0,39.0
22,2020-04-24,Afghanistan,1164.0,40.0
23,2020-04-25,Afghanistan,1198.0,41.0
24,2020-04-26,Afghanistan,1243.0,43.0
25,2020-04-27,Afghanistan,1284.0,45.0
26,2020-04-28,Afghanistan,1331.0,47.0
27,2020-04-29,Afghanistan,1382.0,49.0
28,2020-04-30,Afghanistan,1425.0,51.0
29,2020-05-01,Afghanistan,1463.0,52.0
30,2020-05-02,Afghanistan,1498.0,53.0
31,2020-05-03,Afghanistan,1542.0,54.0
32,2020-05-04,Afghanistan,1584.0,56.0
33,2020-05-05,Afghanistan,1631.0,59.0
34,2020-05-06,Afghanistan,1681.0,60.0
35,2020-05-07,Afghanistan,1724.0,62.0
36,2020-05-08,Afghanistan,1763.0,63.0
37,2020-05-09,Afghanistan,1797.0,64.0
38,2020-05-10,Afghanistan,1841.0,66.0
39,2020-05-11,Afghanistan,1883.0,68.0
40,2020-05-12,Afghanistan,1930.0,70.0
41,2020-05-13,Afghanistan,1981.0,72.0
42,2020-05-14,Afghanistan,2024.0,74.0
43,2020-04-02,Albania,291.0,18.0
44,2020-04-03,Albania,309.0,18.0
45,2020-04-04,Albania,328.0,19.0
46,2020-04-05,Albania,344.0,19.0
47,2020-04-06,Albania,359.0,20.0
48,2020-04-07,Albania,372.0,21.0
49,2020-04-08,Albania,385.0,21.0
50,2020-04-09,Albania,402.0,22.0
51,2020-04-10,Albania,421.0,22.0
52,2020-04-11,Albania,439.0,23.0
53,2020-04-12,Albania,456.0,23.0
54,2020-04-13,Albania,470.0,24.0
55,2020-04-14,Albania,484.0,24.0
56,2020-04-15,Albania,497.0,25.0
57,2020-04-16,Albania,514.0,26.0
58,2020-04-17,Albania,533.0,26.0
59,2020-04-18,Albania,551.0,27.0
60,2020-04-19,Albania,567.0,27.0
61,2020-04-20,Albania,582.0,28.0
62,2020-04-21,Albania,595.0,28.0
63,2020-04-22,Albania,608.0,29.0
64,2020-04-23,Albania,625.0,29.0
65,2020-04-24,Albania,644.0,30.0
66,2020-04-25,Albania,662.0,31.0
67,2020-04-26,Albania,679.0,31.0
68,2020-04-27,Albania,693.0,32.0
69,2020-04-28,Albania,707.0,32.0
