,forecastid,date,state,Deaths,Confirmed
0,0,2020-05-13,Kerala,0.0,5.0
1,1,2020-05-14,Kerala,0.0,10.0
2,2,2020-05-15,Kerala,0.0,26.0
3,3,2020-05-16,Kerala,0.0,16.0
4,4,2020-05-17,Kerala,0.0,11.0
5,5,2020-05-18,Kerala,0.0,14.0
6,6,2020-05-19,Kerala,0.0,29.0
7,7,2020-05-20,Kerala,18.0,54.0
8,8,2020-05-21,Kerala,22.0,65.0
9,9,2020-05-22,Kerala,27.0,80.0
10,10,2020-05-23,Kerala,38.0,115.0
11,11,2020-05-24,Kerala,65.0,196.0
12,12,2020-05-25,Kerala,107.0,322.0
13,13,2020-05-26,Kerala,154.0,461.0
14,14,2020-05-27,Kerala,223.0,669.0
15,15,2020-05-28,Kerala,340.0,1021.0
16,16,2020-05-29,Kerala,554.0,1661.0
17,17,2020-05-30,Kerala,893.0,2679.0
18,18,2020-05-31,Kerala,1386.0,4157.0
19,0,2020-05-13,Telengana,2.0,51.0
20,1,2020-05-14,Telengana,2.0,41.0
21,2,2020-05-15,Telengana,0.0,47.0
22,3,2020-05-16,Telengana,0.0,40.0
23,4,2020-05-17,Telengana,0.0,55.0
24,5,2020-05-18,Telengana,0.0,42.0
25,6,2020-05-19,Telengana,1.0,46.0
26,7,2020-05-20,Telengana,1.0,50.0
27,8,2020-05-21,Telengana,1.0,50.0
28,9,2020-05-22,Telengana,1.0,60.0
29,10,2020-05-23,Telengana,1.0,61.0
30,11,2020-05-24,Telengana,2.0,70.0
31,12,2020-05-25,Telengana,2.0,81.0
32,13,2020-05-26,Telengana,2.0,93.0
33,14,2020-05-27,Telengana,2.0,115.0
34,15,2020-05-28,Telengana,3.0,137.0
35,16,2020-05-29,Telengana,4.0,171.0
36,17,2020-05-30,Telengana,5.0,218.0
37,18,2020-05-31,Telengana,6.0,281.0
38,0,2020-05-13,Delhi,13.0,406.0
39,1,2020-05-14,Delhi,20.0,359.0
40,2,2020-05-15,Delhi,9.0,472.0
41,3,2020-05-16,Delhi,8.0,425.0
42,4,2020-05-17,Delhi,6.0,438.0
43,5,2020-05-18,Delhi,31.0,721.0
44,6,2020-05-19,Delhi,8.0,0.0
45,7,2020-05-20,Delhi,,0.0
46,8,2020-05-21,Delhi,,0.0
47,9,2020-05-22,Delhi,,0.0
48,10,2020-05-23,Delhi,,0.0
49,11,2020-05-24,Delhi,,0.0
50,12,2020-05-25,Delhi,,0.0
51,13,2020-05-26,Delhi,,0.0
52,14,2020-05-27,Delhi,,0.0
