,Date,State,LRII_Confirmed,Ridge_Confirmed,Lasso_Confirmed,Poly_Confirmed,LRII_Deaths,Ridge_Deaths,Lasso_Deaths,Poly_Deaths
0,2020-05-13,Kerala,19.0,-1.0,-2.0,-5494709.0,0.0,0.0,0.0,-2.0
1,2020-05-14,Kerala,20.0,-0.0,-1.0,-7735583.0,0.0,0.0,0.0,-2.0
2,2020-05-15,Kerala,20.0,-0.0,-1.0,-8413630.0,-0.0,0.0,0.0,-2.0
3,2020-05-16,Kerala,19.0,-2.0,-2.0,-4836319.0,0.0,0.0,0.0,-1.0
4,2020-05-17,Kerala,19.0,-2.0,-2.0,-883704.0,0.0,0.0,0.0,-1.0
5,2020-05-18,Kerala,19.0,2.0,-2.0,3348140.0,9924191.0,0.0,0.0,4.0
6,2020-05-19,Kerala,19.0,2.0,-2.0,-1007542.0,9924191.0,0.0,0.0,3.0
7,2020-05-20,Kerala,19.0,2.0,-2.0,557418.0,9924191.0,0.0,0.0,3.0
8,2020-05-21,Kerala,19.0,2.0,-2.0,43103.0,9924191.0,0.0,0.0,2.0
9,2020-05-22,Kerala,19.0,2.0,-2.0,-338526.0,9924191.0,0.0,0.0,2.0
10,2020-05-23,Kerala,19.0,1.0,-2.0,-1109251.0,9924191.0,0.0,0.0,2.0
11,2020-05-24,Kerala,19.0,1.0,-2.0,-1026923.0,9924191.0,0.0,0.0,1.0
12,2020-05-25,Kerala,20.0,2.0,-2.0,-3603865.0,9924191.0,0.0,0.0,4.0
13,2020-05-26,Kerala,20.0,2.0,-2.0,-3521539.0,9924191.0,0.0,0.0,4.0
14,2020-05-27,Kerala,20.0,2.0,-2.0,-3439213.0,9924191.0,0.0,0.0,3.0
15,2020-05-28,Kerala,20.0,2.0,-2.0,-3356887.0,9924191.0,0.0,0.0,3.0
16,2020-05-29,Kerala,21.0,2.0,-2.0,-3274560.0,9924191.0,0.0,0.0,3.0
17,2020-05-30,Kerala,20.0,1.0,-2.0,-4045285.0,9924191.0,0.0,0.0,2.0
18,2020-05-31,Kerala,20.0,1.0,-2.0,-3962957.0,9924191.0,0.0,0.0,2.0
0,2020-05-13,Telengana,-1082072037.0,4.0,-0.0,120.0,0.0,0.0,0.0,2264352389.0
1,2020-05-14,Telengana,-1082072039.0,2.0,-1.0,117.0,0.0,0.0,0.0,-99066874951.0
2,2020-05-15,Telengana,-1082072038.0,3.0,-1.0,55.0,1.0,1.0,0.0,-26268666163.0
3,2020-05-16,Telengana,-1082072042.0,-1.0,-4.0,-10.0,1.0,1.0,0.0,-8123553769.0
4,2020-05-17,Telengana,-1082072041.0,1.0,-3.0,-39.0,0.0,0.0,0.0,-86813191926.0
5,2020-05-18,Telengana,-1082072054.0,-5.0,-4.0,41.0,1.0,1.0,0.0,-201491294919.0
6,2020-05-19,Telengana,-1082072052.0,-3.0,-3.0,56.0,0.0,1.0,0.0,-113938301936.0
7,2020-05-20,Telengana,-1082072052.0,-4.0,-2.0,45.0,1.0,1.0,0.0,-150958777176.0
8,2020-05-21,Telengana,-1082072052.0,-3.0,-2.0,57.0,1.0,1.0,0.0,-149631100899.0
9,2020-05-22,Telengana,-1082072053.0,-4.0,-3.0,32.0,1.0,1.0,0.0,-148303424621.0
10,2020-05-23,Telengana,-1082072054.0,-4.0,-3.0,9.0,1.0,1.0,0.0,-153667673870.0
11,2020-05-24,Telengana,-1082072054.0,-4.0,-3.0,11.0,1.0,1.0,0.0,-152339997592.0
12,2020-05-25,Telengana,-1082072052.0,-3.0,-3.0,43.0,1.0,2.0,0.0,-180321669902.0
13,2020-05-26,Telengana,-1082072053.0,-3.0,-3.0,44.0,1.0,1.0,0.0,-178993993625.0
14,2020-05-27,Telengana,-1082072053.0,-4.0,-3.0,45.0,1.0,1.0,0.0,-177666317348.0
15,2020-05-28,Telengana,-1082072053.0,-4.0,-3.0,47.0,1.0,1.0,0.0,-176338641070.0
16,2020-05-29,Telengana,-1082072053.0,-4.0,-3.0,48.0,1.0,1.0,0.0,-175010964793.0
17,2020-05-30,Telengana,-1082072054.0,-4.0,-3.0,26.0,1.0,2.0,0.0,-180375214041.0
18,2020-05-31,Telengana,-1082072054.0,-4.0,-3.0,28.0,1.0,1.0,0.0,-179047537764.0
0,2020-05-13,Delhi,-47.0,-154.0,17.0,298.0,-0.0,0.0,1.0,6.0
1,2020-05-14,Delhi,-52.0,-156.0,16.0,269.0,0.0,0.0,1.0,19.0
2,2020-05-15,Delhi,-58.0,-158.0,15.0,319.0,0.0,0.0,1.0,7.0
3,2020-05-16,Delhi,28.0,-137.0,16.0,242.0,0.0,0.0,1.0,-17.0
4,2020-05-17,Delhi,23.0,-138.0,15.0,511.0,0.0,0.0,1.0,-12.0
5,2020-05-18,Delhi,-389.0,-207.0,14.0,282.0,1.0,1.0,1.0,4.0
6,2020-05-19,Delhi,-395.0,-209.0,14.0,248.0,2.0,1.0,1.0,9.0
7,2020-05-20,Delhi,-400.0,-210.0,14.0,213.0,1.0,1.0,1.0,5.0
8,2020-05-21,Delhi,-406.0,-212.0,14.0,253.0,1.0,1.0,2.0,4.0
9,2020-05-22,Delhi,-412.0,-215.0,14.0,240.0,1.0,1.0,2.0,4.0
10,2020-05-23,Delhi,-326.0,-194.0,14.0,392.0,2.0,1.0,2.0,-12.0
11,2020-05-24,Delhi,-332.0,-195.0,14.0,394.0,2.0,1.0,2.0,-12.0
12,2020-05-25,Delhi,-388.0,-208.0,14.0,251.0,1.0,1.0,1.0,6.0
13,2020-05-26,Delhi,-394.0,-210.0,14.0,254.0,1.0,1.0,2.0,5.0
14,2020-05-27,Delhi,-399.0,-211.0,14.0,256.0,1.0,1.0,2.0,5.0
15,2020-05-28,Delhi,-405.0,-213.0,14.0,258.0,1.0,1.0,2.0,5.0
16,2020-05-29,Delhi,-411.0,-215.0,14.0,260.0,1.0,1.0,2.0,4.0
17,2020-05-30,Delhi,-325.0,-194.0,14.0,412.0,2.0,1.0,2.0,-10.0
18,2020-05-31,Delhi,-331.0,-196.0,14.0,414.0,2.0,1.0,2.0,-11.0
0,2020-05-13,Rajasthan,46.0,-25.0,12.0,79.0,-3.0,-1.0,3.0,-3108139674.0
1,2020-05-14,Rajasthan,45.0,-25.0,12.0,291.0,-2.0,-1.0,3.0,890037200.0
2,2020-05-15,Rajasthan,41.0,-28.0,11.0,70.0,-2.0,-1.0,3.0,3073368741.0
3,2020-05-16,Rajasthan,82.0,-18.0,11.0,290.0,0.0,1.0,3.0,-6621263708.0
4,2020-05-17,Rajasthan,79.0,-20.0,11.0,337.0,0.0,0.0,3.0,12638878370.0
5,2020-05-18,Rajasthan,-5.0,-31.0,11.0,182.0,-42003441.0,2.0,3.0,480617775.0
6,2020-05-19,Rajasthan,-7.0,-32.0,11.0,197.0,-42003438.0,3.0,3.0,476695715.0
7,2020-05-20,Rajasthan,-10.0,-33.0,10.0,258.0,-42003439.0,3.0,3.0,361291552.0
8,2020-05-21,Rajasthan,-12.0,-34.0,10.0,450.0,-42003438.0,4.0,3.0,-2726836390.0
9,2020-05-22,Rajasthan,-16.0,-36.0,10.0,343.0,-42003437.0,4.0,3.0,2687545883.0
10,2020-05-23,Rajasthan,24.0,-27.0,10.0,256.0,-42003438.0,3.0,3.0,3435367206.0
11,2020-05-24,Rajasthan,22.0,-28.0,10.0,293.0,-42003438.0,3.0,4.0,3334009230.0
12,2020-05-25,Rajasthan,-7.0,-32.0,10.0,234.0,-42003437.0,4.0,4.0,2114617581.0
13,2020-05-26,Rajasthan,-9.0,-34.0,10.0,269.0,-42003437.0,4.0,4.0,2013259605.0
14,2020-05-27,Rajasthan,-11.0,-35.0,10.0,306.0,-42003437.0,4.0,4.0,1911901629.0
15,2020-05-28,Rajasthan,-14.0,-36.0,10.0,346.0,-42003437.0,4.0,4.0,1810543652.0
16,2020-05-29,Rajasthan,-16.0,-37.0,10.0,388.0,-42003437.0,4.0,4.0,1709185676.0
17,2020-05-30,Rajasthan,24.0,-28.0,10.0,296.0,-42003438.0,4.0,4.0,2457007000.0
18,2020-05-31,Rajasthan,22.0,-29.0,10.0,336.0,-42003438.0,4.0,4.0,2355649023.0
0,2020-05-13,Uttar Pradesh,91.0,-120.0,16.0,193.0,1.0,1.0,0.0,0.0
1,2020-05-14,Uttar Pradesh,90.0,-120.0,16.0,257.0,1.0,1.0,1.0,2.0
2,2020-05-15,Uttar Pradesh,89.0,-119.0,16.0,315.0,1.0,1.0,0.0,1.0
3,2020-05-16,Uttar Pradesh,139.0,-107.0,16.0,366.0,1.0,1.0,1.0,2.0
4,2020-05-17,Uttar Pradesh,138.0,-107.0,16.0,415.0,0.0,1.0,1.0,1.0
5,2020-05-18,Uttar Pradesh,-71.0,-116.0,16.0,450.0,6916271.0,2.0,1.0,1.0
6,2020-05-19,Uttar Pradesh,-72.0,-116.0,15.0,390.0,6916271.0,2.0,1.0,2.0
7,2020-05-20,Uttar Pradesh,-74.0,-115.0,15.0,529.0,6916271.0,2.0,2.0,3.0
8,2020-05-21,Uttar Pradesh,-76.0,-116.0,14.0,497.0,6916271.0,2.0,1.0,3.0
