date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,17,0.0,13.0,6,1,97,06:06 PM,04:51 AM,05:45 AM,06:40 PM,14,19,19,19,4,21,73,0.0,1012,18,10,357,2
2018-01-01 06:00:00,29,17,0.0,13.0,6,1,97,06:06 PM,04:51 AM,05:45 AM,06:40 PM,17,25,25,23,8,6,69,0.0,1012,23,10,312,7
2018-01-01 12:00:00,29,17,0.0,13.0,6,6,97,06:06 PM,04:51 AM,05:45 AM,06:40 PM,16,29,29,28,7,71,46,0.0,1007,28,10,339,6
2018-01-01 18:00:00,29,17,0.0,13.0,6,1,97,06:06 PM,04:51 AM,05:45 AM,06:40 PM,16,22,25,22,17,52,67,0.0,1009,22,10,336,8
2018-01-02 00:00:00,30,17,0.0,13.0,6,1,100,07:10 PM,05:54 AM,05:45 AM,06:40 PM,16,18,18,18,16,15,89,0.0,1012,18,10,323,8
2018-01-02 06:00:00,30,17,0.0,13.0,6,1,100,07:10 PM,05:54 AM,05:45 AM,06:40 PM,18,25,25,22,12,23,76,0.0,1012,22,10,309,10
2018-01-02 12:00:00,30,17,0.0,13.0,6,6,100,07:10 PM,05:54 AM,05:45 AM,06:40 PM,18,31,31,30,5,46,48,0.0,1008,30,9,283,5
2018-01-02 18:00:00,30,17,0.0,13.0,6,1,100,07:10 PM,05:54 AM,05:45 AM,06:40 PM,17,22,25,22,11,15,75,0.0,1010,22,10,259,5
2018-01-03 00:00:00,26,18,0.0,13.0,6,1,89,08:10 PM,06:58 AM,05:46 AM,06:41 PM,18,19,19,19,7,36,92,0.0,1012,19,10,259,3
2018-01-03 06:00:00,26,18,0.0,13.0,6,1,89,08:10 PM,06:58 AM,05:46 AM,06:41 PM,18,21,24,21,17,45,83,0.0,1014,21,10,125,12
2018-01-03 12:00:00,26,18,0.0,13.0,6,7,89,08:10 PM,06:58 AM,05:46 AM,06:41 PM,18,27,27,26,14,24,63,0.0,1011,26,10,104,12
2018-01-03 18:00:00,26,18,0.0,13.0,6,1,89,08:10 PM,06:58 AM,05:46 AM,06:41 PM,17,20,20,20,20,17,83,0.0,1012,20,10,123,10
2018-01-04 00:00:00,25,17,0.0,13.0,6,1,81,09:06 PM,08:02 AM,05:46 AM,06:41 PM,16,18,18,18,17,37,92,0.0,1015,18,10,102,9
2018-01-04 06:00:00,25,17,0.0,13.0,6,1,81,09:06 PM,08:02 AM,05:46 AM,06:41 PM,16,20,20,20,26,100,77,0.0,1016,20,10,103,22
2018-01-04 12:00:00,25,17,0.0,13.0,6,6,81,09:06 PM,08:02 AM,05:46 AM,06:41 PM,16,26,26,25,16,27,58,0.0,1014,25,10,97,14
2018-01-04 18:00:00,25,17,0.0,13.0,6,1,81,09:06 PM,08:02 AM,05:46 AM,06:41 PM,16,19,19,19,16,17,82,0.0,1014,19,10,130,8
2018-01-05 00:00:00,26,16,0.0,12.9,6,1,74,09:56 PM,09:03 AM,05:47 AM,06:41 PM,15,17,17,17,13,42,90,0.0,1014,17,10,130,6
2018-01-05 06:00:00,26,16,0.0,12.9,6,1,74,09:56 PM,09:03 AM,05:47 AM,06:41 PM,15,21,21,21,12,29,72,0.0,1015,20,10,109,10
2018-01-05 12:00:00,26,16,0.0,12.9,6,7,74,09:56 PM,09:03 AM,05:47 AM,06:41 PM,16,27,27,26,5,18,54,0.0,1010,26,10,141,4
2018-01-05 18:00:00,26,16,0.0,12.9,6,1,74,09:56 PM,09:03 AM,05:47 AM,06:41 PM,16,20,20,20,8,31,76,0.0,1010,20,10,123,4
2018-01-06 00:00:00,29,16,0.0,13.0,6,1,67,10:43 PM,10:01 AM,05:47 AM,06:42 PM,14,18,18,18,9,12,82,0.0,1012,17,10,6,4
2018-01-06 06:00:00,29,16,0.0,13.0,6,1,67,10:43 PM,10:01 AM,05:47 AM,06:42 PM,16,22,24,22,7,6,71,0.0,1011,22,10,297,6
2018-01-06 12:00:00,29,16,0.0,13.0,6,7,67,10:43 PM,10:01 AM,05:47 AM,06:42 PM,14,29,29,29,6,27,39,0.0,1007,29,10,242,5
2018-01-06 18:00:00,29,16,0.0,13.0,6,1,67,10:43 PM,10:01 AM,05:47 AM,06:42 PM,14,21,21,21,5,23,66,0.0,1009,21,10,258,2
2018-01-07 00:00:00,33,16,0.0,12.9,6,1,59,11:27 PM,10:56 AM,05:48 AM,06:42 PM,15,17,17,17,17,0,85,0.0,1010,17,10,325,8
2018-01-07 06:00:00,33,16,0.0,12.9,6,1,59,11:27 PM,10:56 AM,05:48 AM,06:42 PM,17,21,21,21,12,14,79,0.0,1012,21,10,315,11
2018-01-07 12:00:00,33,16,0.0,12.9,6,8,59,11:27 PM,10:56 AM,05:48 AM,06:42 PM,14,33,33,33,4,12,31,0.0,1006,33,10,249,3
2018-01-07 18:00:00,33,16,0.0,12.9,6,1,59,11:27 PM,10:56 AM,05:48 AM,06:42 PM,13,22,24,22,9,7,56,0.0,1008,22,10,333,4
2018-01-08 00:00:00,30,18,0.0,12.9,6,1,52,No moonrise,11:48 AM,05:49 AM,06:42 PM,16,18,18,18,18,8,88,0.0,1011,18,10,341,9
2018-01-08 06:00:00,30,18,0.0,12.9,6,1,52,No moonrise,11:48 AM,05:49 AM,06:42 PM,16,21,24,21,17,4,71,0.0,1012,21,10,315,14
2018-01-08 12:00:00,30,18,0.0,12.9,6,7,52,No moonrise,11:48 AM,05:49 AM,06:42 PM,14,30,30,30,9,26,38,0.0,1008,30,10,270,8
2018-01-08 18:00:00,30,18,0.0,12.9,6,1,52,No moonrise,11:48 AM,05:49 AM,06:42 PM,15,26,26,24,10,20,57,0.0,1009,24,10,315,5
2018-01-09 00:00:00,28,17,0.0,12.9,6,1,45,12:08 AM,12:37 PM,05:49 AM,06:43 PM,16,19,19,19,18,12,85,0.0,1011,18,10,321,9
2018-01-09 06:00:00,28,17,0.0,12.9,6,1,45,12:08 AM,12:37 PM,05:49 AM,06:43 PM,18,21,21,21,17,47,81,0.0,1012,21,10,310,15
2018-01-09 12:00:00,28,17,0.0,12.9,6,6,45,12:08 AM,12:37 PM,05:49 AM,06:43 PM,17,29,29,28,11,48,51,0.0,1008,28,9,240,7
2018-01-09 18:00:00,28,17,0.0,12.9,6,1,45,12:08 AM,12:37 PM,05:49 AM,06:43 PM,19,21,24,21,10,44,88,0.0,1009,21,10,139,5
2018-01-10 00:00:00,25,18,0.0,12.9,6,1,38,12:49 AM,01:27 PM,05:50 AM,06:43 PM,18,20,20,20,11,24,90,0.0,1012,20,10,15,5
2018-01-10 06:00:00,25,18,0.0,12.9,6,1,38,12:49 AM,01:27 PM,05:50 AM,06:43 PM,18,21,24,21,12,72,84,0.0,1015,21,10,83,10
2018-01-10 12:00:00,25,18,0.0,12.9,6,6,38,12:49 AM,01:27 PM,05:50 AM,06:43 PM,17,26,26,25,17,32,64,0.0,1012,25,10,111,15
2018-01-10 18:00:00,25,18,0.0,12.9,6,1,38,12:49 AM,01:27 PM,05:50 AM,06:43 PM,17,19,19,19,17,31,91,0.0,1014,19,10,114,8
2018-01-11 00:00:00,25,17,0.0,12.9,5,1,30,01:30 AM,02:15 PM,05:50 AM,06:43 PM,16,17,17,17,17,38,96,0.0,1015,17,2,101,8
