date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,16,0.0,11.0,6,1,97,05:29 PM,05:55 AM,07:04 AM,06:05 PM,7,22,24,22,7,1,38,0.0,1011,18,10,71,5
2018-01-01 06:00:00,27,16,0.0,11.0,6,1,97,05:29 PM,05:55 AM,07:04 AM,06:05 PM,7,22,24,22,3,3,36,0.0,1012,20,10,77,3
2018-01-01 12:00:00,27,16,0.0,11.0,6,7,97,05:29 PM,05:55 AM,07:04 AM,06:05 PM,6,27,27,29,7,1,23,0.0,1009,27,10,249,6
2018-01-01 18:00:00,27,16,0.0,11.0,6,6,97,05:29 PM,05:55 AM,07:04 AM,06:05 PM,6,23,24,23,8,2,34,0.0,1010,22,10,15,5
2018-01-02 00:00:00,27,17,0.0,11.0,6,1,100,06:32 PM,07:00 AM,07:05 AM,06:05 PM,6,19,19,19,20,3,44,0.0,1010,18,10,344,10
2018-01-02 06:00:00,27,17,0.0,11.0,6,1,100,06:32 PM,07:00 AM,07:05 AM,06:05 PM,6,20,20,20,14,3,40,0.0,1012,19,10,36,10
2018-01-02 12:00:00,27,17,0.0,11.0,6,7,100,06:32 PM,07:00 AM,07:05 AM,06:05 PM,6,28,28,30,5,0,22,0.0,1010,27,10,144,4
2018-01-02 18:00:00,27,17,0.0,11.0,6,6,100,06:32 PM,07:00 AM,07:05 AM,06:05 PM,6,23,24,23,13,1,33,0.0,1011,22,10,50,8
2018-01-03 00:00:00,27,17,0.0,11.0,6,1,89,07:38 PM,08:02 AM,07:05 AM,06:06 PM,4,19,19,19,24,3,39,0.0,1012,18,10,46,12
2018-01-03 06:00:00,27,17,0.0,11.0,6,1,89,07:38 PM,08:02 AM,07:05 AM,06:06 PM,6,19,19,19,16,2,41,0.0,1014,18,10,72,11
