date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,23,15,0.0,7.1,5,1,97,04:05 PM,04:48 AM,06:01 AM,04:44 PM,13,15,15,15,6,7,88,0.0,1013,15,10,124,3
2018-01-01 06:00:00,23,15,0.0,7.1,5,5,97,04:05 PM,04:48 AM,06:01 AM,04:44 PM,14,20,20,20,2,17,66,0.0,1015,20,10,99,2
2018-01-01 12:00:00,23,15,0.0,7.1,5,6,97,04:05 PM,04:48 AM,06:01 AM,04:44 PM,16,21,21,21,2,47,73,0.0,1011,21,10,232,1
2018-01-01 18:00:00,23,15,0.0,7.1,5,1,97,04:05 PM,04:48 AM,06:01 AM,04:44 PM,15,16,16,16,5,72,91,0.0,1013,16,10,114,3
2018-01-02 00:00:00,21,14,0.0,7.1,4,1,100,05:09 PM,05:53 AM,06:02 AM,04:44 PM,15,15,15,15,4,47,94,0.0,1012,15,2,127,2
2018-01-02 06:00:00,21,14,0.0,7.1,4,5,100,05:09 PM,05:53 AM,06:02 AM,04:44 PM,16,19,19,19,0,39,86,0.1,1013,19,10,303,0
2018-01-02 12:00:00,21,14,0.0,7.1,4,4,100,05:09 PM,05:53 AM,06:02 AM,04:44 PM,19,20,20,20,5,49,93,2.9,1010,20,7,230,3
2018-01-02 18:00:00,21,14,0.0,7.1,4,1,100,05:09 PM,05:53 AM,06:02 AM,04:44 PM,15,16,15,16,7,71,99,0.8,1013,15,10,167,3
2018-01-03 00:00:00,23,11,0.0,8.7,4,1,89,06:15 PM,06:55 AM,06:02 AM,04:45 PM,14,14,14,14,4,42,99,0.7,1012,14,9,134,2
2018-01-03 06:00:00,23,11,0.0,8.7,4,4,89,06:15 PM,06:55 AM,06:02 AM,04:45 PM,16,17,17,17,4,48,94,0.3,1013,17,9,239,3
2018-01-03 12:00:00,23,11,0.0,8.7,4,6,89,06:15 PM,06:55 AM,06:02 AM,04:45 PM,10,24,24,23,9,21,45,0.0,1009,23,10,266,8
2018-01-03 18:00:00,23,11,0.0,8.7,4,1,89,06:15 PM,06:55 AM,06:02 AM,04:45 PM,10,13,13,13,5,23,85,0.0,1014,13,10,118,2
2018-01-04 00:00:00,23,9,0.0,8.7,3,1,81,07:21 PM,07:52 AM,06:02 AM,04:46 PM,10,11,11,11,7,3,96,0.0,1015,10,2,87,3
2018-01-04 06:00:00,23,9,0.0,8.7,3,5,81,07:21 PM,07:52 AM,06:02 AM,04:46 PM,11,18,18,18,3,0,67,0.0,1016,17,10,73,3
2018-01-04 12:00:00,23,9,0.0,8.7,3,6,81,07:21 PM,07:52 AM,06:02 AM,04:46 PM,9,24,24,22,7,6,43,0.0,1011,22,10,316,6
2018-01-04 18:00:00,23,9,0.0,8.7,3,1,81,07:21 PM,07:52 AM,06:02 AM,04:46 PM,11,12,12,12,6,3,96,0.0,1014,12,2,89,3
2018-01-05 00:00:00,25,9,0.0,8.7,3,1,74,08:24 PM,08:42 AM,06:03 AM,04:46 PM,10,10,10,10,7,100,98,0.0,1014,10,0,102,3
2018-01-05 06:00:00,25,9,0.0,8.7,3,5,74,08:24 PM,08:42 AM,06:03 AM,04:46 PM,11,18,18,18,2,0,65,0.0,1014,17,10,104,2
2018-01-05 12:00:00,25,9,0.0,8.7,3,6,74,08:24 PM,08:42 AM,06:03 AM,04:46 PM,8,24,24,23,7,6,38,0.0,1010,23,10,272,6
2018-01-05 18:00:00,25,9,0.0,8.7,3,1,74,08:24 PM,08:42 AM,06:03 AM,04:46 PM,10,12,12,12,6,0,90,0.0,1012,12,10,129,3
2018-01-06 00:00:00,23,9,0.0,8.7,4,1,67,09:25 PM,09:29 AM,06:03 AM,04:47 PM,8,10,10,10,7,0,90,0.0,1012,9,10,108,3
2018-01-06 06:00:00,23,9,0.0,8.7,4,5,67,09:25 PM,09:29 AM,06:03 AM,04:47 PM,11,18,18,18,2,0,66,0.0,1013,17,10,96,1
2018-01-06 12:00:00,23,9,0.0,8.7,4,6,67,09:25 PM,09:29 AM,06:03 AM,04:47 PM,8,24,24,22,6,2,39,0.0,1009,22,10,295,5
2018-01-06 18:00:00,23,9,0.0,8.7,4,1,67,09:25 PM,09:29 AM,06:03 AM,04:47 PM,9,11,11,11,5,0,92,0.0,1012,10,10,82,2
2018-01-07 00:00:00,23,8,0.0,8.7,3,1,59,10:22 PM,10:10 AM,06:03 AM,04:48 PM,8,9,9,9,7,100,99,0.0,1013,8,0,107,3
2018-01-07 06:00:00,23,8,0.0,8.7,3,5,59,10:22 PM,10:10 AM,06:03 AM,04:48 PM,10,16,16,16,1,0,69,0.0,1014,15,10,121,1
2018-01-07 12:00:00,23,8,0.0,8.7,3,6,59,10:22 PM,10:10 AM,06:03 AM,04:48 PM,5,22,24,22,6,0,35,0.0,1011,22,10,293,5
2018-01-07 18:00:00,23,8,0.0,8.7,3,1,59,10:22 PM,10:10 AM,06:03 AM,04:48 PM,8,10,10,10,6,0,89,0.0,1015,10,10,93,3
2018-01-08 00:00:00,22,7,0.0,8.7,3,1,52,11:17 PM,10:49 AM,06:03 AM,04:48 PM,7,7,7,7,8,100,98,0.0,1016,7,0,83,4
2018-01-08 06:00:00,22,7,0.0,8.7,3,5,52,11:17 PM,10:49 AM,06:03 AM,04:48 PM,8,16,16,16,2,0,59,0.0,1017,15,10,72,2
2018-01-08 12:00:00,22,7,0.0,8.7,3,6,52,11:17 PM,10:49 AM,06:03 AM,04:48 PM,4,23,23,22,6,0,30,0.0,1013,22,10,274,5
2018-01-08 18:00:00,22,7,0.0,8.7,3,1,52,11:17 PM,10:49 AM,06:03 AM,04:48 PM,7,10,10,10,6,0,83,0.0,1017,9,10,110,3
2018-01-09 00:00:00,23,7,0.0,8.7,4,1,45,No moonrise,11:27 AM,06:03 AM,04:49 PM,6,8,7,8,7,0,92,0.0,1018,7,10,100,3
2018-01-09 06:00:00,23,7,0.0,8.7,4,5,45,No moonrise,11:27 AM,06:03 AM,04:49 PM,6,16,16,16,3,0,49,0.0,1018,16,10,127,3
2018-01-09 12:00:00,23,7,0.0,8.7,4,6,45,No moonrise,11:27 AM,06:03 AM,04:49 PM,5,22,24,22,6,0,33,0.0,1014,22,10,280,5
