date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,11,0.0,8.7,5,1,97,05:16 PM,06:08 AM,07:20 AM,05:51 PM,-2,14,14,14,20,3,33,0.0,1015,13,10,56,10
2018-01-01 06:00:00,22,11,0.0,8.7,5,1,97,05:16 PM,06:08 AM,07:20 AM,05:51 PM,7,18,18,18,4,0,48,0.0,1015,14,10,96,3
2018-01-01 12:00:00,22,11,0.0,8.7,5,6,97,05:16 PM,06:08 AM,07:20 AM,05:51 PM,-2,23,23,24,10,0,17,0.0,1013,22,10,322,9
2018-01-01 18:00:00,22,11,0.0,8.7,5,4,97,05:16 PM,06:08 AM,07:20 AM,05:51 PM,-7,16,16,16,21,0,19,0.0,1014,15,10,3,10
2018-01-02 00:00:00,21,10,0.0,8.7,4,1,100,06:20 PM,07:14 AM,07:20 AM,05:51 PM,-6,14,14,14,17,0,23,0.0,1015,12,10,50,9
2018-01-02 06:00:00,21,10,0.0,8.7,4,1,100,06:20 PM,07:14 AM,07:20 AM,05:51 PM,-1,15,15,15,8,0,32,0.0,1016,12,10,93,6
2018-01-02 12:00:00,21,10,0.0,8.7,4,6,100,06:20 PM,07:14 AM,07:20 AM,05:51 PM,-5,24,23,24,7,0,14,0.0,1014,21,10,28,6
2018-01-02 18:00:00,21,10,0.0,8.7,4,4,100,06:20 PM,07:14 AM,07:20 AM,05:51 PM,-5,17,17,17,8,0,23,0.0,1015,13,10,86,4
2018-01-03 00:00:00,22,9,0.0,8.7,4,1,89,07:27 PM,08:15 AM,07:20 AM,05:52 PM,-2,15,15,15,11,0,31,0.0,1015,11,10,92,6
2018-01-03 06:00:00,22,9,0.0,8.7,4,1,89,07:27 PM,08:15 AM,07:20 AM,05:52 PM,-0,15,15,15,8,0,36,0.0,1017,12,10,130,6
2018-01-03 12:00:00,22,9,0.0,8.7,4,6,89,07:27 PM,08:15 AM,07:20 AM,05:52 PM,-4,24,24,26,4,0,14,0.0,1014,22,10,81,4
2018-01-03 18:00:00,22,9,0.0,8.7,4,4,89,07:27 PM,08:15 AM,07:20 AM,05:52 PM,-4,17,17,17,17,0,24,0.0,1015,15,10,118,8
