date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,10,0.0,8.7,4,1,97,04:59 PM,06:07 AM,07:20 AM,05:33 PM,4,16,16,16,3,0,44,0.0,1016,11,10,26,3
2018-01-01 06:00:00,20,10,0.0,8.7,4,4,97,04:59 PM,06:07 AM,07:20 AM,05:33 PM,5,16,16,16,2,0,46,0.0,1016,11,10,102,2
2018-01-01 12:00:00,20,10,0.0,8.7,4,5,97,04:59 PM,06:07 AM,07:20 AM,05:33 PM,5,24,24,24,3,0,29,0.0,1014,20,10,230,3
2018-01-01 18:00:00,20,10,0.0,8.7,4,4,97,04:59 PM,06:07 AM,07:20 AM,05:33 PM,5,16,16,16,7,0,47,0.0,1016,13,10,20,4
2018-01-02 00:00:00,20,9,0.0,8.7,4,1,100,06:03 PM,07:13 AM,07:20 AM,05:34 PM,5,15,15,15,4,0,50,0.0,1017,10,10,40,3
2018-01-02 06:00:00,20,9,0.0,8.7,4,4,100,06:03 PM,07:13 AM,07:20 AM,05:34 PM,5,15,15,15,5,0,51,0.0,1017,11,10,317,4
2018-01-02 12:00:00,20,9,0.0,8.7,4,5,100,06:03 PM,07:13 AM,07:20 AM,05:34 PM,4,23,24,23,10,0,30,0.0,1015,20,10,286,8
2018-01-02 18:00:00,20,9,0.0,8.7,4,4,100,06:03 PM,07:13 AM,07:20 AM,05:34 PM,3,14,14,14,11,4,46,0.0,1017,12,10,354,5
2018-01-03 00:00:00,20,9,0.0,8.7,4,1,89,07:10 PM,08:13 AM,07:20 AM,05:35 PM,4,15,15,15,5,0,48,0.0,1017,10,10,350,4
2018-01-03 06:00:00,20,9,0.0,8.7,4,4,89,07:10 PM,08:13 AM,07:20 AM,05:35 PM,4,14,14,14,8,0,52,0.0,1017,10,10,308,6
2018-01-03 12:00:00,20,9,0.0,8.7,4,6,89,07:10 PM,08:13 AM,07:20 AM,05:35 PM,3,21,23,21,16,0,31,0.0,1015,20,10,302,14
2018-01-03 18:00:00,20,9,0.0,8.7,4,4,89,07:10 PM,08:13 AM,07:20 AM,05:35 PM,4,14,14,14,17,0,50,0.0,1017,12,10,321,9
2018-01-04 00:00:00,20,8,0.0,8.7,4,1,81,08:18 PM,09:08 AM,07:20 AM,05:36 PM,3,13,14,13,10,0,49,0.0,1017,9,10,328,7
2018-01-04 06:00:00,20,8,0.0,8.7,4,3,81,08:18 PM,09:08 AM,07:20 AM,05:36 PM,4,15,15,15,5,0,48,0.0,1017,10,10,320,4
2018-01-04 12:00:00,20,8,0.0,8.7,4,5,81,08:18 PM,09:08 AM,07:20 AM,05:36 PM,3,23,23,23,8,0,27,0.0,1015,20,10,276,7
2018-01-04 18:00:00,20,8,0.0,8.7,4,4,81,08:18 PM,09:08 AM,07:20 AM,05:36 PM,0,13,13,13,11,15,43,0.0,1017,12,10,344,5
2018-01-05 00:00:00,19,8,0.0,8.7,4,1,74,09:24 PM,09:57 AM,07:21 AM,05:36 PM,2,16,16,16,5,0,39,0.0,1018,11,10,106,5
2018-01-05 06:00:00,19,8,0.0,8.7,4,3,74,09:24 PM,09:57 AM,07:21 AM,05:36 PM,2,13,13,13,2,3,50,0.0,1018,10,10,67,1
2018-01-05 12:00:00,19,8,0.0,8.7,4,5,74,09:24 PM,09:57 AM,07:21 AM,05:36 PM,2,21,23,21,8,2,27,0.0,1015,19,10,283,7
2018-01-05 18:00:00,19,8,0.0,8.7,4,4,74,09:24 PM,09:57 AM,07:21 AM,05:36 PM,2,14,15,14,14,0,43,0.0,1017,12,10,344,8
2018-01-06 00:00:00,19,8,0.0,8.7,4,1,67,10:27 PM,10:39 AM,07:21 AM,05:37 PM,3,13,13,13,10,0,49,0.0,1016,9,10,329,7
2018-01-06 06:00:00,19,8,0.0,8.7,4,3,67,10:27 PM,10:39 AM,07:21 AM,05:37 PM,4,14,14,14,5,0,49,0.0,1016,9,10,322,4
2018-01-06 12:00:00,19,8,0.0,8.7,4,5,67,10:27 PM,10:39 AM,07:21 AM,05:37 PM,2,20,20,20,18,0,29,0.0,1013,19,10,298,15
2018-01-06 18:00:00,19,8,0.0,8.7,4,4,67,10:27 PM,10:39 AM,07:21 AM,05:37 PM,4,14,14,14,15,0,51,0.0,1017,11,10,329,8
