date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,17,0.0,8.7,6,1,97,05:13 PM,05:46 AM,06:56 AM,05:49 PM,6,20,20,20,13,0,40,0.0,1013,18,10,44,7
2018-01-01 06:00:00,28,17,0.0,8.7,6,5,97,05:13 PM,05:46 AM,06:56 AM,05:49 PM,6,19,19,19,14,3,42,0.0,1014,19,10,85,9
2018-01-01 12:00:00,28,17,0.0,8.7,6,7,97,05:13 PM,05:46 AM,06:56 AM,05:49 PM,7,28,28,29,1,4,24,0.0,1010,28,10,289,1
2018-01-01 18:00:00,28,17,0.0,8.7,6,6,97,05:13 PM,05:46 AM,06:56 AM,05:49 PM,6,24,24,23,11,3,33,0.0,1012,22,10,349,6
2018-01-02 00:00:00,28,16,0.0,8.7,6,1,100,06:17 PM,06:50 AM,06:56 AM,05:50 PM,6,18,18,18,18,4,45,0.0,1012,18,10,62,9
2018-01-02 06:00:00,28,16,0.0,8.7,6,5,100,06:17 PM,06:50 AM,06:56 AM,05:50 PM,6,19,19,19,15,5,44,0.0,1014,19,10,68,10
2018-01-02 12:00:00,28,16,0.0,8.7,6,7,100,06:17 PM,06:50 AM,06:56 AM,05:50 PM,7,27,27,29,3,5,25,0.0,1011,28,10,262,3
2018-01-02 18:00:00,28,16,0.0,8.7,6,6,100,06:17 PM,06:50 AM,06:56 AM,05:50 PM,5,22,24,22,17,4,34,0.0,1013,22,10,348,9
2018-01-03 00:00:00,27,16,0.0,8.7,6,1,89,07:23 PM,07:52 AM,06:56 AM,05:51 PM,4,17,17,17,26,0,40,0.0,1014,17,10,42,12
2018-01-03 06:00:00,27,16,0.0,8.7,6,5,89,07:23 PM,07:52 AM,06:56 AM,05:51 PM,5,19,19,19,11,2,39,0.0,1016,18,10,59,8
2018-01-03 12:00:00,27,16,0.0,8.7,6,7,89,07:23 PM,07:52 AM,06:56 AM,05:51 PM,5,26,26,28,7,2,22,0.0,1013,27,10,300,6
2018-01-03 18:00:00,27,16,0.0,8.7,6,6,89,07:23 PM,07:52 AM,06:56 AM,05:51 PM,5,22,23,22,14,1,32,0.0,1014,21,10,334,8
2018-01-04 00:00:00,27,15,0.0,8.7,6,1,81,08:27 PM,08:49 AM,06:57 AM,05:51 PM,2,18,18,18,18,0,36,0.0,1015,17,10,46,9
2018-01-04 06:00:00,27,15,0.0,8.7,6,5,81,08:27 PM,08:49 AM,06:57 AM,05:51 PM,1,18,18,18,13,2,31,0.0,1017,18,10,80,9
2018-01-04 12:00:00,27,15,0.0,8.7,6,7,81,08:27 PM,08:49 AM,06:57 AM,05:51 PM,5,27,27,29,2,2,21,0.0,1013,27,10,233,2
2018-01-04 18:00:00,27,15,0.0,8.7,6,6,81,08:27 PM,08:49 AM,06:57 AM,05:51 PM,6,23,24,23,4,3,33,0.0,1014,21,10,241,2
2018-01-05 00:00:00,28,16,0.0,8.7,6,1,74,09:30 PM,09:41 AM,06:57 AM,05:52 PM,3,18,18,18,22,2,38,0.0,1014,18,10,73,10
2018-01-05 06:00:00,28,16,0.0,8.7,6,5,74,09:30 PM,09:41 AM,06:57 AM,05:52 PM,2,19,19,19,10,3,33,0.0,1015,18,10,88,8
2018-01-05 12:00:00,28,16,0.0,8.7,6,7,74,09:30 PM,09:41 AM,06:57 AM,05:52 PM,6,27,27,29,6,3,24,0.0,1012,28,10,247,5
2018-01-05 18:00:00,28,16,0.0,8.7,6,6,74,09:30 PM,09:41 AM,06:57 AM,05:52 PM,6,24,24,23,10,2,33,0.0,1013,22,10,319,5
2018-01-06 00:00:00,27,16,0.0,8.7,6,1,67,10:28 PM,10:28 AM,06:57 AM,05:53 PM,7,18,18,18,15,3,46,0.0,1012,18,10,65,8
