date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,8,0.0,8.7,4,1,97,05:05 PM,06:17 AM,07:30 AM,05:38 PM,6,15,15,15,0,0,52,0.0,1014,10,10,241,0
2018-01-01 06:00:00,21,8,0.0,8.7,4,3,97,05:05 PM,06:17 AM,07:30 AM,05:38 PM,7,15,15,15,4,0,57,0.0,1015,10,10,143,3
2018-01-01 12:00:00,21,8,0.0,8.7,4,6,97,05:05 PM,06:17 AM,07:30 AM,05:38 PM,5,25,24,25,7,0,27,0.0,1013,21,10,240,6
2018-01-01 18:00:00,21,8,0.0,8.7,4,4,97,05:05 PM,06:17 AM,07:30 AM,05:38 PM,4,16,16,16,7,0,45,0.0,1014,12,10,91,4
2018-01-02 00:00:00,21,8,0.0,8.7,4,1,100,06:08 PM,07:23 AM,07:31 AM,05:39 PM,7,16,15,16,4,0,58,0.0,1014,9,10,124,3
2018-01-02 06:00:00,21,8,0.0,8.7,4,3,100,06:08 PM,07:23 AM,07:31 AM,05:39 PM,8,14,14,14,5,0,66,0.0,1015,9,10,117,5
2018-01-02 12:00:00,21,8,0.0,8.7,4,6,100,06:08 PM,07:23 AM,07:31 AM,05:39 PM,3,22,23,22,6,10,29,0.0,1014,21,10,258,5
2018-01-02 18:00:00,21,8,0.0,8.7,4,4,100,06:08 PM,07:23 AM,07:31 AM,05:39 PM,3,13,13,13,5,9,49,0.0,1015,12,10,23,2
2018-01-03 00:00:00,21,8,0.0,8.7,4,1,89,07:16 PM,08:24 AM,07:31 AM,05:40 PM,8,15,15,15,4,0,63,0.0,1014,9,10,123,3
2018-01-03 06:00:00,21,8,0.0,8.7,4,3,89,07:16 PM,08:24 AM,07:31 AM,05:40 PM,8,15,15,15,2,0,62,0.0,1015,10,10,210,2
2018-01-03 12:00:00,21,8,0.0,8.7,4,6,89,07:16 PM,08:24 AM,07:31 AM,05:40 PM,5,25,24,25,6,0,28,0.0,1014,21,10,287,5
2018-01-03 18:00:00,21,8,0.0,8.7,4,4,89,07:16 PM,08:24 AM,07:31 AM,05:40 PM,5,16,16,16,6,0,47,0.0,1015,12,10,42,3
2018-01-04 00:00:00,20,8,0.0,7.1,4,1,81,08:24 PM,09:18 AM,07:31 AM,05:40 PM,5,15,15,15,1,0,53,0.0,1015,9,10,352,1
2018-01-04 06:00:00,20,8,0.0,7.1,4,3,81,08:24 PM,09:18 AM,07:31 AM,05:40 PM,5,14,14,14,2,0,55,0.0,1015,9,10,84,1
2018-01-04 12:00:00,20,8,0.0,7.1,4,6,81,08:24 PM,09:18 AM,07:31 AM,05:40 PM,2,22,23,22,3,7,26,0.0,1014,20,10,232,3
2018-01-04 18:00:00,20,8,0.0,7.1,4,4,81,08:24 PM,09:18 AM,07:31 AM,05:40 PM,-1,15,15,15,16,45,33,0.0,1015,15,10,348,8
2018-01-05 00:00:00,20,8,0.0,8.7,4,1,74,09:31 PM,10:06 AM,07:31 AM,05:41 PM,-2,11,11,11,11,8,40,0.0,1016,9,10,65,5
2018-01-05 06:00:00,20,8,0.0,8.7,4,3,74,09:31 PM,10:06 AM,07:31 AM,05:41 PM,-0,11,11,11,3,7,45,0.0,1017,9,10,28,2
2018-01-05 12:00:00,20,8,0.0,8.7,4,5,74,09:31 PM,10:06 AM,07:31 AM,05:41 PM,0,22,23,22,8,3,24,0.0,1014,20,10,1,7
2018-01-05 18:00:00,20,8,0.0,8.7,4,4,74,09:31 PM,10:06 AM,07:31 AM,05:41 PM,2,15,15,15,12,0,40,0.0,1016,12,10,336,6
2018-01-06 00:00:00,20,7,0.0,8.7,4,1,67,10:34 PM,10:48 AM,07:31 AM,05:42 PM,2,14,14,14,9,0,46,0.0,1015,9,10,325,6
2018-01-06 06:00:00,20,7,0.0,8.7,4,3,67,10:34 PM,10:48 AM,07:31 AM,05:42 PM,4,14,14,14,5,0,52,0.0,1015,9,10,338,4
2018-01-06 12:00:00,20,7,0.0,8.7,4,5,67,10:34 PM,10:48 AM,07:31 AM,05:42 PM,3,22,23,22,12,0,27,0.0,1013,20,10,299,11
2018-01-06 18:00:00,20,7,0.0,8.7,4,4,67,10:34 PM,10:48 AM,07:31 AM,05:42 PM,1,15,15,15,8,0,40,0.0,1015,11,10,321,4
2018-01-07 00:00:00,20,7,0.0,8.7,4,1,59,11:35 PM,11:27 AM,07:31 AM,05:43 PM,1,13,13,13,8,0,44,0.0,1015,8,10,327,5
2018-01-07 06:00:00,20,7,0.0,8.7,4,3,59,11:35 PM,11:27 AM,07:31 AM,05:43 PM,2,12,13,12,7,0,49,0.0,1015,8,10,331,6
2018-01-07 12:00:00,20,7,0.0,8.7,4,6,59,11:35 PM,11:27 AM,07:31 AM,05:43 PM,1,22,23,22,15,0,25,0.0,1014,20,10,290,13
2018-01-07 18:00:00,20,7,0.0,8.7,4,4,59,11:35 PM,11:27 AM,07:31 AM,05:43 PM,1,16,15,16,8,0,37,0.0,1015,11,10,10,4
