date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,16,0.0,10.9,6,1,97,05:30 PM,06:08 AM,07:19 AM,06:05 PM,5,19,19,19,22,0,40,0.0,1012,17,10,28,11
2018-01-01 06:00:00,28,16,0.0,10.9,6,1,97,05:30 PM,06:08 AM,07:19 AM,06:05 PM,7,19,19,19,19,0,48,0.0,1013,17,10,36,12
2018-01-01 12:00:00,28,16,0.0,10.9,6,7,97,05:30 PM,06:08 AM,07:19 AM,06:05 PM,8,29,29,30,8,0,25,0.0,1010,28,10,14,7
2018-01-01 18:00:00,28,16,0.0,10.9,6,6,97,05:30 PM,06:08 AM,07:19 AM,06:05 PM,5,22,24,22,17,0,33,0.0,1011,20,10,346,8
2018-01-02 00:00:00,28,16,0.0,10.9,6,1,100,06:34 PM,07:14 AM,07:19 AM,06:06 PM,3,18,18,18,26,0,38,0.0,1012,17,10,34,13
2018-01-02 06:00:00,28,16,0.0,10.9,6,1,100,06:34 PM,07:14 AM,07:19 AM,06:06 PM,5,18,18,18,38,0,44,0.0,1013,18,10,64,19
2018-01-02 12:00:00,28,16,0.0,10.9,6,7,100,06:34 PM,07:14 AM,07:19 AM,06:06 PM,7,27,27,29,15,0,25,0.0,1011,28,10,72,13
2018-01-02 18:00:00,28,16,0.0,10.9,6,6,100,06:34 PM,07:14 AM,07:19 AM,06:06 PM,3,21,23,21,27,0,30,0.0,1013,21,10,39,13
2018-01-03 00:00:00,28,16,0.0,10.9,6,1,89,07:40 PM,08:15 AM,07:19 AM,06:06 PM,-3,17,17,17,35,0,25,0.0,1013,17,10,60,17
2018-01-03 06:00:00,28,16,0.0,10.9,6,1,89,07:40 PM,08:15 AM,07:19 AM,06:06 PM,1,17,17,17,29,0,34,0.0,1014,17,10,64,14
2018-01-03 12:00:00,28,16,0.0,10.9,6,7,89,07:40 PM,08:15 AM,07:19 AM,06:06 PM,11,31,31,32,3,0,27,0.0,1012,28,10,91,3
2018-01-03 18:00:00,28,16,0.0,10.9,6,6,89,07:40 PM,08:15 AM,07:19 AM,06:06 PM,8,23,24,23,17,0,38,0.0,1013,21,10,17,8
2018-01-04 00:00:00,29,17,0.0,10.9,6,1,81,08:45 PM,09:12 AM,07:19 AM,06:07 PM,3,20,20,20,20,0,32,0.0,1013,18,10,53,10
2018-01-04 06:00:00,29,17,0.0,10.9,6,1,81,08:45 PM,09:12 AM,07:19 AM,06:07 PM,6,20,20,20,13,0,39,0.0,1015,18,10,56,9
2018-01-04 12:00:00,29,17,0.0,10.9,6,7,81,08:45 PM,09:12 AM,07:19 AM,06:07 PM,8,29,29,31,9,0,24,0.0,1012,29,10,267,8
2018-01-04 18:00:00,29,17,0.0,10.9,6,6,81,08:45 PM,09:12 AM,07:19 AM,06:07 PM,7,23,24,23,10,0,36,0.0,1013,20,10,339,5
2018-01-05 00:00:00,27,15,0.0,10.9,5,1,74,09:48 PM,10:03 AM,07:20 AM,06:08 PM,4,19,19,19,14,0,36,0.0,1013,16,10,26,8
2018-01-05 06:00:00,27,15,0.0,10.9,5,1,74,09:48 PM,10:03 AM,07:20 AM,06:08 PM,3,18,18,18,15,0,36,0.0,1015,16,10,28,9
2018-01-05 12:00:00,27,15,0.0,10.9,5,7,74,09:48 PM,10:03 AM,07:20 AM,06:08 PM,3,28,28,30,8,0,17,0.0,1012,27,10,2,7
2018-01-05 18:00:00,27,15,0.0,10.9,5,5,74,09:48 PM,10:03 AM,07:20 AM,06:08 PM,3,22,23,22,12,0,30,0.0,1013,19,10,350,6
2018-01-06 00:00:00,27,15,0.0,10.9,5,1,67,10:48 PM,10:49 AM,07:20 AM,06:08 PM,6,19,19,19,17,0,44,0.0,1013,16,10,32,9
2018-01-06 06:00:00,27,15,0.0,10.9,5,1,67,10:48 PM,10:49 AM,07:20 AM,06:08 PM,7,20,20,20,9,0,44,0.0,1014,17,10,40,7
2018-01-06 12:00:00,27,15,0.0,10.9,5,7,67,10:48 PM,10:49 AM,07:20 AM,06:08 PM,5,27,27,29,10,0,23,0.0,1012,27,10,303,8
2018-01-06 18:00:00,27,15,0.0,10.9,5,5,67,10:48 PM,10:49 AM,07:20 AM,06:08 PM,4,21,23,21,12,0,32,0.0,1013,19,10,352,6
2018-01-07 00:00:00,27,14,0.0,10.9,5,1,59,11:45 PM,11:31 AM,07:20 AM,06:09 PM,3,17,17,17,17,0,37,0.0,1014,15,10,5,9
2018-01-07 06:00:00,27,14,0.0,10.9,5,1,59,11:45 PM,11:31 AM,07:20 AM,06:09 PM,3,16,16,16,22,0,40,0.0,1015,15,10,47,12
2018-01-07 12:00:00,27,14,0.0,10.9,5,7,59,11:45 PM,11:31 AM,07:20 AM,06:09 PM,4,26,26,27,15,0,22,0.0,1013,27,10,39,13
2018-01-07 18:00:00,27,14,0.0,10.9,5,5,59,11:45 PM,11:31 AM,07:20 AM,06:09 PM,3,20,20,20,21,0,31,0.0,1014,19,10,0,10
2018-01-08 00:00:00,28,14,0.0,10.9,6,1,52,No moonrise,12:10 PM,07:20 AM,06:10 PM,2,16,16,16,23,0,37,0.0,1014,15,10,32,11
2018-01-08 06:00:00,28,14,0.0,10.9,6,1,52,No moonrise,12:10 PM,07:20 AM,06:10 PM,3,16,16,16,28,0,41,0.0,1016,16,10,51,14
2018-01-08 12:00:00,28,14,0.0,10.9,6,7,52,No moonrise,12:10 PM,07:20 AM,06:10 PM,7,27,27,29,9,3,24,0.0,1014,28,10,106,8
2018-01-08 18:00:00,28,14,0.0,10.9,6,6,52,No moonrise,12:10 PM,07:20 AM,06:10 PM,5,22,24,22,26,2,34,0.0,1015,21,10,60,13
2018-01-09 00:00:00,30,17,0.0,10.9,6,1,45,12:39 AM,12:48 PM,07:20 AM,06:10 PM,5,19,19,19,32,4,41,0.0,1015,19,10,67,15
2018-01-09 06:00:00,30,17,0.0,10.9,6,1,45,12:39 AM,12:48 PM,07:20 AM,06:10 PM,5,18,18,18,33,2,42,0.0,1017,18,10,71,16
2018-01-09 12:00:00,30,17,0.0,10.9,6,7,45,12:39 AM,12:48 PM,07:20 AM,06:10 PM,8,29,29,31,12,4,24,0.0,1015,30,10,81,10
2018-01-09 18:00:00,30,17,0.0,10.9,6,6,45,12:39 AM,12:48 PM,07:20 AM,06:10 PM,6,24,24,23,24,4,34,0.0,1016,22,10,71,12
2018-01-10 00:00:00,30,18,0.0,10.9,6,1,38,01:32 AM,01:26 PM,07:21 AM,06:11 PM,4,19,19,19,32,3,39,0.0,1017,19,10,71,15
2018-01-10 06:00:00,30,18,0.0,10.9,6,1,38,01:32 AM,01:26 PM,07:21 AM,06:11 PM,7,19,19,19,35,5,44,0.0,1018,19,10,71,18
2018-01-10 12:00:00,30,18,0.0,10.9,6,7,38,01:32 AM,01:26 PM,07:21 AM,06:11 PM,9,29,29,30,14,4,27,0.0,1016,30,10,71,12
2018-01-10 18:00:00,30,18,0.0,10.9,6,6,38,01:32 AM,01:26 PM,07:21 AM,06:11 PM,8,24,24,23,28,3,37,0.0,1017,23,10,54,13
2018-01-11 00:00:00,30,19,0.0,10.9,6,1,30,02:23 AM,02:04 PM,07:21 AM,06:12 PM,6,20,20,20,29,0,40,0.0,1016,20,10,67,14
2018-01-11 06:00:00,30,19,0.0,10.9,6,1,30,02:23 AM,02:04 PM,07:21 AM,06:12 PM,5,19,19,19,27,3,38,0.0,1018,19,10,63,14
2018-01-11 12:00:00,30,19,0.0,10.9,6,8,30,02:23 AM,02:04 PM,07:21 AM,06:12 PM,8,29,29,30,15,8,25,0.0,1015,30,10,62,13
2018-01-11 18:00:00,30,19,0.0,10.9,6,6,30,02:23 AM,02:04 PM,07:21 AM,06:12 PM,6,24,24,24,20,21,32,0.0,1015,24,10,57,10
2018-01-12 00:00:00,32,20,0.0,10.9,7,1,23,03:15 AM,02:44 PM,07:21 AM,06:12 PM,2,21,21,21,23,13,29,0.0,1015,21,10,42,11
2018-01-12 06:00:00,32,20,0.0,10.9,7,1,23,03:15 AM,02:44 PM,07:21 AM,06:12 PM,5,22,24,22,21,11,34,0.0,1016,21,10,61,11
2018-01-12 12:00:00,32,20,0.0,10.9,7,8,23,03:15 AM,02:44 PM,07:21 AM,06:12 PM,9,30,30,32,10,22,24,0.0,1013,32,10,48,9
2018-01-12 18:00:00,32,20,0.0,10.9,7,7,23,03:15 AM,02:44 PM,07:21 AM,06:12 PM,2,25,25,27,28,30,21,0.0,1014,27,10,40,15
2018-01-13 00:00:00,28,24,0.0,10.9,7,1,16,04:05 AM,03:26 PM,07:21 AM,06:13 PM,3,24,24,25,25,32,24,0.0,1014,24,10,66,13
2018-01-13 06:00:00,28,24,0.0,10.9,7,1,16,04:05 AM,03:26 PM,07:21 AM,06:13 PM,4,24,24,24,23,41,27,0.0,1015,24,10,66,13
2018-01-13 12:00:00,28,24,0.0,10.9,7,7,16,04:05 AM,03:26 PM,07:21 AM,06:13 PM,6,27,27,28,19,43,25,0.0,1013,28,10,54,14
2018-01-13 18:00:00,28,24,0.0,10.9,7,7,16,04:05 AM,03:26 PM,07:21 AM,06:13 PM,6,25,25,26,20,28,26,0.0,1014,26,10,55,10
2018-01-14 00:00:00,33,23,0.0,10.9,7,1,9,04:56 AM,04:10 PM,07:21 AM,06:14 PM,8,24,24,24,21,13,38,0.0,1013,23,10,77,10
2018-01-14 06:00:00,33,23,0.0,10.9,7,1,9,04:56 AM,04:10 PM,07:21 AM,06:14 PM,10,25,25,24,16,17,40,0.0,1015,23,10,66,8
2018-01-14 12:00:00,33,23,0.0,10.9,7,8,9,04:56 AM,04:10 PM,07:21 AM,06:14 PM,13,33,33,34,4,16,29,0.0,1013,33,10,286,3
2018-01-14 18:00:00,33,23,0.0,10.9,7,7,9,04:56 AM,04:10 PM,07:21 AM,06:14 PM,13,26,26,26,11,11,43,0.0,1014,25,10,356,5
2018-01-15 00:00:00,32,22,0.0,10.9,7,1,1,05:46 AM,04:56 PM,07:21 AM,06:15 PM,11,25,25,23,22,22,46,0.0,1015,23,10,34,10
2018-01-15 06:00:00,32,22,0.0,10.9,7,1,1,05:46 AM,04:56 PM,07:21 AM,06:15 PM,11,25,25,23,26,10,48,0.0,1016,23,10,53,13
2018-01-15 12:00:00,32,22,0.0,10.9,7,8,1,05:46 AM,04:56 PM,07:21 AM,06:15 PM,13,33,33,33,11,8,30,0.0,1013,32,10,346,9
2018-01-15 18:00:00,32,22,0.0,10.9,7,6,1,05:46 AM,04:56 PM,07:21 AM,06:15 PM,11,26,26,26,23,0,38,0.0,1014,25,10,357,11
2018-01-16 00:00:00,32,20,0.0,10.9,7,1,0,06:33 AM,05:45 PM,07:21 AM,06:15 PM,7,23,24,23,23,4,36,0.0,1013,22,10,57,11
2018-01-16 06:00:00,32,20,0.0,10.9,7,1,0,06:33 AM,05:45 PM,07:21 AM,06:15 PM,9,23,24,23,13,5,42,0.0,1015,22,10,56,8
2018-01-16 12:00:00,32,20,0.0,10.9,7,8,0,06:33 AM,05:45 PM,07:21 AM,06:15 PM,10,31,31,33,9,7,25,0.0,1012,32,10,320,8
2018-01-16 18:00:00,32,20,0.0,10.9,7,6,0,06:33 AM,05:45 PM,07:21 AM,06:15 PM,10,25,25,25,17,6,38,0.0,1012,25,10,67,8
2018-01-17 00:00:00,31,21,0.0,11.0,6,1,0,07:20 AM,06:35 PM,07:21 AM,06:16 PM,11,23,25,23,8,11,47,0.0,1012,22,10,107,4
2018-01-17 06:00:00,31,21,0.0,11.0,6,1,0,07:20 AM,06:35 PM,07:21 AM,06:16 PM,12,23,25,23,12,10,51,0.0,1014,22,10,325,7
2018-01-17 12:00:00,31,21,0.0,11.0,6,8,0,07:20 AM,06:35 PM,07:21 AM,06:16 PM,13,31,31,31,10,11,32,0.0,1011,31,10,269,9
2018-01-17 18:00:00,31,21,0.0,11.0,6,6,0,07:20 AM,06:35 PM,07:21 AM,06:16 PM,13,26,26,26,15,2,46,0.0,1013,24,10,18,8
2018-01-18 00:00:00,30,19,0.0,11.0,6,1,6,08:04 AM,07:26 PM,07:21 AM,06:17 PM,10,22,24,22,16,2,46,0.0,1013,20,10,28,8
2018-01-18 06:00:00,30,19,0.0,11.0,6,1,6,08:04 AM,07:26 PM,07:21 AM,06:17 PM,10,23,24,23,12,0,46,0.0,1016,20,10,32,9
2018-01-18 12:00:00,30,19,0.0,11.0,6,8,6,08:04 AM,07:26 PM,07:21 AM,06:17 PM,9,30,30,32,11,0,24,0.0,1013,30,10,295,10
2018-01-18 18:00:00,30,19,0.0,11.0,6,6,6,08:04 AM,07:26 PM,07:21 AM,06:17 PM,9,25,25,25,19,0,36,0.0,1014,23,10,5,9
2018-01-19 00:00:00,30,18,0.0,11.0,6,1,13,08:46 AM,08:18 PM,07:21 AM,06:17 PM,6,22,24,22,18,0,34,0.0,1014,20,10,51,9
2018-01-19 06:00:00,30,18,0.0,11.0,6,1,13,08:46 AM,08:18 PM,07:21 AM,06:17 PM,6,23,24,23,9,0,34,0.0,1016,20,10,46,7
2018-01-19 12:00:00,30,18,0.0,11.0,6,7,13,08:46 AM,08:18 PM,07:21 AM,06:17 PM,6,30,30,32,7,0,19,0.0,1014,30,10,329,6
2018-01-19 18:00:00,30,18,0.0,11.0,6,6,13,08:46 AM,08:18 PM,07:21 AM,06:17 PM,3,23,23,23,23,0,27,0.0,1015,22,10,342,11
2018-01-20 00:00:00,30,17,0.0,11.0,6,1,20,09:26 AM,09:10 PM,07:21 AM,06:18 PM,2,20,20,20,19,0,29,0.0,1015,18,10,22,10
2018-01-20 06:00:00,30,17,0.0,11.0,6,1,20,09:26 AM,09:10 PM,07:21 AM,06:18 PM,5,20,20,20,17,0,36,0.0,1015,18,10,50,10
2018-01-20 12:00:00,30,17,0.0,11.0,6,8,20,09:26 AM,09:10 PM,07:21 AM,06:18 PM,8,31,31,33,7,0,21,0.0,1013,30,10,237,6
2018-01-20 18:00:00,30,17,0.0,11.0,6,6,20,09:26 AM,09:10 PM,07:21 AM,06:18 PM,8,25,25,25,17,0,35,0.0,1013,23,10,348,8
2018-01-21 00:00:00,31,18,0.0,11.0,6,1,28,10:04 AM,10:02 PM,07:20 AM,06:19 PM,3,20,20,20,20,4,32,0.0,1013,19,10,39,10
2018-01-21 06:00:00,31,18,0.0,11.0,6,1,28,10:04 AM,10:02 PM,07:20 AM,06:19 PM,8,22,24,22,13,2,39,0.0,1014,20,10,45,9
2018-01-21 12:00:00,31,18,0.0,11.0,6,8,28,10:04 AM,10:02 PM,07:20 AM,06:19 PM,10,33,33,34,6,2,23,0.0,1011,31,10,262,5
2018-01-21 18:00:00,31,18,0.0,11.0,6,6,28,10:04 AM,10:02 PM,07:20 AM,06:19 PM,8,25,25,24,18,3,36,0.0,1012,23,10,327,9
2018-01-22 00:00:00,31,19,0.0,11.0,6,1,35,10:42 AM,10:55 PM,07:20 AM,06:19 PM,7,21,21,21,24,5,40,0.0,1011,20,10,42,12
2018-01-22 06:00:00,31,19,0.0,11.0,6,1,35,10:42 AM,10:55 PM,07:20 AM,06:19 PM,10,22,24,22,6,6,46,0.0,1012,21,10,15,4
2018-01-22 12:00:00,31,19,0.0,11.0,6,8,35,10:42 AM,10:55 PM,07:20 AM,06:19 PM,10,30,30,32,13,5,26,0.0,1009,31,10,217,11
2018-01-22 18:00:00,31,19,0.0,11.0,6,6,35,10:42 AM,10:55 PM,07:20 AM,06:19 PM,9,24,24,23,20,2,39,0.0,1010,22,10,306,10
2018-01-23 00:00:00,28,16,0.0,11.0,6,1,42,11:20 AM,11:49 PM,07:20 AM,06:20 PM,8,19,19,19,11,7,47,0.0,1011,18,10,315,6
2018-01-23 06:00:00,28,16,0.0,11.0,6,1,42,11:20 AM,11:49 PM,07:20 AM,06:20 PM,12,21,21,21,3,3,57,0.0,1013,18,10,266,3
2018-01-23 12:00:00,28,16,0.0,11.0,6,7,42,11:20 AM,11:49 PM,07:20 AM,06:20 PM,6,26,26,28,22,0,25,0.0,1010,28,10,260,19
2018-01-23 18:00:00,28,16,0.0,11.0,6,5,42,11:20 AM,11:49 PM,07:20 AM,06:20 PM,5,22,23,22,17,0,33,0.0,1012,20,10,338,8
2018-01-24 00:00:00,28,14,0.0,11.0,6,1,49,11:59 AM,No moonset,07:20 AM,06:21 PM,8,19,19,19,15,0,47,0.0,1013,16,10,27,8
2018-01-24 06:00:00,28,14,0.0,11.0,6,1,49,11:59 AM,No moonset,07:20 AM,06:21 PM,7,18,18,18,13,0,47,0.0,1015,16,10,50,9
2018-01-24 12:00:00,28,14,0.0,11.0,6,7,49,11:59 AM,No moonset,07:20 AM,06:21 PM,2,28,28,30,12,0,16,0.0,1012,28,10,40,10
2018-01-24 18:00:00,28,14,0.0,11.0,6,5,49,11:59 AM,No moonset,07:20 AM,06:21 PM,-3,22,22,22,14,0,19,0.0,1013,20,10,34,7
2018-01-25 00:00:00,28,14,0.0,11.0,5,1,57,12:41 PM,12:45 AM,07:20 AM,06:21 PM,-5,18,18,18,18,0,20,0.0,1013,16,10,53,9
2018-01-25 06:00:00,28,14,0.0,11.0,5,1,57,12:41 PM,12:45 AM,07:20 AM,06:21 PM,-2,17,17,17,19,0,27,0.0,1014,16,10,58,11
2018-01-25 12:00:00,28,14,0.0,11.0,5,7,57,12:41 PM,12:45 AM,07:20 AM,06:21 PM,0,29,29,31,5,0,13,0.0,1012,28,10,41,5
2018-01-25 18:00:00,28,14,0.0,11.0,5,5,57,12:41 PM,12:45 AM,07:20 AM,06:21 PM,-1,22,22,22,12,0,22,0.0,1012,19,10,11,6
2018-01-26 00:00:00,29,14,0.0,11.0,6,1,64,01:26 PM,01:43 AM,07:20 AM,06:22 PM,-3,19,19,19,17,0,22,0.0,1012,16,10,48,8
2018-01-26 06:00:00,29,14,0.0,11.0,6,1,64,01:26 PM,01:43 AM,07:20 AM,06:22 PM,-3,18,18,18,19,0,25,0.0,1014,16,10,48,11
2018-01-26 12:00:00,29,14,0.0,11.0,6,7,64,01:26 PM,01:43 AM,07:20 AM,06:22 PM,-1,30,30,32,7,0,12,0.0,1012,29,10,77,6
2018-01-26 18:00:00,29,14,0.0,11.0,6,6,64,01:26 PM,01:43 AM,07:20 AM,06:22 PM,-3,22,22,22,17,0,19,0.0,1013,20,10,8,8
2018-01-27 00:00:00,30,15,0.0,11.0,6,1,71,02:15 PM,02:44 AM,07:19 AM,06:23 PM,-2,20,20,20,13,0,23,0.0,1012,17,10,48,7
2018-01-27 06:00:00,30,15,0.0,11.0,6,1,71,02:15 PM,02:44 AM,07:19 AM,06:23 PM,1,19,19,19,16,0,30,0.0,1014,17,10,52,10
2018-01-27 12:00:00,30,15,0.0,11.0,6,7,71,02:15 PM,02:44 AM,07:19 AM,06:23 PM,4,31,31,33,7,0,16,0.0,1011,30,10,190,6
2018-01-27 18:00:00,30,15,0.0,11.0,6,6,71,02:15 PM,02:44 AM,07:19 AM,06:23 PM,4,23,24,23,12,0,28,0.0,1012,21,10,258,6
2018-01-28 00:00:00,30,15,0.0,11.1,6,1,78,03:11 PM,03:47 AM,07:19 AM,06:24 PM,5,22,23,22,4,0,33,0.0,1012,17,10,74,2
2018-01-28 06:00:00,30,15,0.0,11.1,6,1,78,03:11 PM,03:47 AM,07:19 AM,06:24 PM,3,20,20,20,10,0,31,0.0,1014,18,10,44,7
2018-01-28 12:00:00,30,15,0.0,11.1,6,8,78,03:11 PM,03:47 AM,07:19 AM,06:24 PM,2,31,31,33,7,0,13,0.0,1012,30,10,258,6
2018-01-28 18:00:00,30,15,0.0,11.1,6,6,78,03:11 PM,03:47 AM,07:19 AM,06:24 PM,3,24,24,24,11,0,25,0.0,1013,21,10,336,5
2018-01-29 00:00:00,31,16,0.0,11.1,6,1,86,04:11 PM,04:51 AM,07:19 AM,06:24 PM,3,21,23,21,14,0,29,0.0,1014,18,10,48,7
2018-01-29 06:00:00,31,16,0.0,11.1,6,1,86,04:11 PM,04:51 AM,07:19 AM,06:24 PM,3,22,23,22,11,0,30,0.0,1016,19,10,48,8
2018-01-29 12:00:00,31,16,0.0,11.1,6,8,86,04:11 PM,04:51 AM,07:19 AM,06:24 PM,7,33,33,35,3,0,18,0.0,1014,31,10,305,3
2018-01-29 18:00:00,31,16,0.0,11.1,6,6,86,04:11 PM,04:51 AM,07:19 AM,06:24 PM,5,24,24,25,19,0,28,0.0,1015,23,10,352,9
2018-01-30 00:00:00,32,18,0.0,11.1,6,1,93,05:16 PM,05:54 AM,07:18 AM,06:25 PM,3,22,23,22,19,0,28,0.0,1016,20,10,50,9
2018-01-30 06:00:00,32,18,0.0,11.1,6,1,93,05:16 PM,05:54 AM,07:18 AM,06:25 PM,5,21,24,21,21,0,35,0.0,1017,20,10,48,12
2018-01-30 12:00:00,32,18,0.0,11.1,6,8,93,05:16 PM,05:54 AM,07:18 AM,06:25 PM,7,33,33,35,8,0,17,0.0,1014,32,10,39,7
2018-01-30 18:00:00,32,18,0.0,11.1,6,6,93,05:16 PM,05:54 AM,07:18 AM,06:25 PM,4,25,25,26,16,0,23,0.0,1015,24,10,10,8
2018-01-31 00:00:00,34,19,0.0,11.1,7,1,97,06:21 PM,06:53 AM,07:18 AM,06:26 PM,3,24,24,24,12,0,26,0.0,1015,21,10,51,6
2018-01-31 06:00:00,34,19,0.0,11.1,7,1,97,06:21 PM,06:53 AM,07:18 AM,06:26 PM,6,23,24,23,16,0,32,0.0,1016,21,10,53,9
2018-01-31 12:00:00,34,19,0.0,11.1,7,8,97,06:21 PM,06:53 AM,07:18 AM,06:26 PM,5,36,36,37,6,0,14,0.0,1013,34,10,331,5
2018-01-31 18:00:00,34,19,0.0,11.1,7,6,97,06:21 PM,06:53 AM,07:18 AM,06:26 PM,5,26,26,28,8,0,24,0.0,1014,24,10,306,4
2018-02-01 00:00:00,34,20,0.0,11.1,7,1,88,07:27 PM,07:48 AM,07:18 AM,06:26 PM,4,25,24,25,12,0,26,0.0,1014,21,10,50,6
2018-02-01 06:00:00,34,20,0.0,11.1,7,1,88,07:27 PM,07:48 AM,07:18 AM,06:26 PM,5,25,24,25,11,0,27,0.0,1016,22,10,55,8
2018-02-01 12:00:00,34,20,0.0,11.1,7,8,88,07:27 PM,07:48 AM,07:18 AM,06:26 PM,6,36,36,37,2,0,14,0.0,1013,34,10,302,2
2018-02-01 18:00:00,34,20,0.0,11.1,7,6,88,07:27 PM,07:48 AM,07:18 AM,06:26 PM,5,26,26,27,14,0,24,0.0,1014,25,10,339,7
2018-02-02 00:00:00,32,18,0.0,11.1,6,1,81,08:29 PM,08:37 AM,07:17 AM,06:27 PM,5,23,24,23,15,0,30,0.0,1013,21,10,22,8
2018-02-02 06:00:00,32,18,0.0,11.1,6,1,81,08:29 PM,08:37 AM,07:17 AM,06:27 PM,8,24,25,24,7,0,37,0.0,1015,21,10,13,6
2018-02-02 12:00:00,32,18,0.0,11.1,6,8,81,08:29 PM,08:37 AM,07:17 AM,06:27 PM,8,32,32,34,12,0,21,0.0,1012,32,10,296,10
2018-02-02 18:00:00,32,18,0.0,11.1,6,6,81,08:29 PM,08:37 AM,07:17 AM,06:27 PM,9,26,26,26,16,0,35,0.0,1013,24,10,340,8
2018-02-03 00:00:00,32,19,0.0,11.1,6,1,73,09:30 PM,09:23 AM,07:17 AM,06:27 PM,10,24,25,24,8,0,41,0.0,1013,20,10,18,5
2018-02-03 06:00:00,32,19,0.0,11.1,6,1,73,09:30 PM,09:23 AM,07:17 AM,06:27 PM,9,23,24,23,12,0,40,0.0,1014,21,10,24,9
2018-02-03 12:00:00,32,19,0.0,11.1,6,8,73,09:30 PM,09:23 AM,07:17 AM,06:27 PM,7,32,32,34,10,0,18,0.0,1012,32,10,341,8
2018-02-03 18:00:00,32,19,0.0,11.1,6,6,73,09:30 PM,09:23 AM,07:17 AM,06:27 PM,6,25,25,26,14,0,27,0.0,1013,24,10,351,7
2018-02-04 00:00:00,32,19,0.0,11.1,6,1,66,10:27 PM,10:05 AM,07:16 AM,06:28 PM,4,23,23,23,17,0,28,0.0,1013,20,10,37,9
2018-02-04 06:00:00,32,19,0.0,11.1,6,1,66,10:27 PM,10:05 AM,07:16 AM,06:28 PM,4,22,23,22,24,0,33,0.0,1014,21,10,60,13
2018-02-04 12:00:00,32,19,0.0,11.1,6,8,66,10:27 PM,10:05 AM,07:16 AM,06:28 PM,7,34,34,35,7,0,17,0.0,1012,32,10,258,6
2018-02-04 18:00:00,32,19,0.0,11.1,6,6,66,10:27 PM,10:05 AM,07:16 AM,06:28 PM,6,25,25,26,14,3,27,0.0,1013,24,10,7,6
2018-02-05 00:00:00,33,20,0.0,8.6,7,1,58,11:22 PM,10:44 AM,07:16 AM,06:29 PM,4,22,23,22,22,7,30,0.0,1013,21,10,65,10
2018-02-05 06:00:00,33,20,0.0,8.6,7,1,58,11:22 PM,10:44 AM,07:16 AM,06:29 PM,8,24,24,23,13,25,39,0.0,1015,22,10,62,7
2018-02-05 12:00:00,33,20,0.0,8.6,7,7,58,11:22 PM,10:44 AM,07:16 AM,06:29 PM,6,31,31,33,8,63,19,0.0,1013,33,10,348,7
