date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,30,20,0.0,11.6,6,1,97,05:24 PM,05:36 AM,06:45 AM,06:01 PM,14,22,25,22,11,15,59,0.0,1011,21,10,86,6
2018-01-01 06:00:00,30,20,0.0,11.6,6,1,97,05:24 PM,05:36 AM,06:45 AM,06:01 PM,16,25,25,24,3,8,64,0.0,1013,22,10,96,3
2018-01-01 12:00:00,30,20,0.0,11.6,6,7,97,05:24 PM,05:36 AM,06:45 AM,06:01 PM,11,30,30,31,3,7,30,0.0,1008,30,10,32,3
2018-01-01 18:00:00,30,20,0.0,11.6,6,7,97,05:24 PM,05:36 AM,06:45 AM,06:01 PM,10,26,26,27,17,5,35,0.0,1009,26,10,62,10
2018-01-02 00:00:00,30,20,0.0,11.6,7,1,100,06:28 PM,06:40 AM,06:45 AM,06:02 PM,11,25,25,23,14,6,47,0.0,1010,22,10,100,8
2018-01-02 06:00:00,30,20,0.0,11.6,7,1,100,06:28 PM,06:40 AM,06:45 AM,06:02 PM,15,25,25,24,6,8,57,0.0,1012,23,10,126,5
2018-01-02 12:00:00,30,20,0.0,11.6,7,8,100,06:28 PM,06:40 AM,06:45 AM,06:02 PM,10,30,30,31,9,7,28,0.0,1009,30,10,59,8
2018-01-02 18:00:00,30,20,0.0,11.6,7,7,100,06:28 PM,06:40 AM,06:45 AM,06:02 PM,10,26,26,27,17,5,36,0.0,1010,26,10,65,10
2018-01-03 00:00:00,30,21,0.0,11.6,7,1,89,07:33 PM,07:43 AM,06:45 AM,06:03 PM,15,23,25,23,15,6,62,0.0,1011,22,10,104,9
2018-01-03 06:00:00,30,21,0.0,11.6,7,1,89,07:33 PM,07:43 AM,06:45 AM,06:03 PM,17,25,25,23,14,5,67,0.0,1013,23,10,118,12
2018-01-03 12:00:00,30,21,0.0,11.6,7,7,89,07:33 PM,07:43 AM,06:45 AM,06:03 PM,11,29,29,30,12,9,30,0.0,1010,30,10,63,10
2018-01-03 18:00:00,30,21,0.0,11.6,7,7,89,07:33 PM,07:43 AM,06:45 AM,06:03 PM,10,26,26,27,17,6,35,0.0,1012,26,10,42,10
2018-01-04 00:00:00,29,20,0.0,11.6,6,1,81,08:36 PM,08:41 AM,06:46 AM,06:03 PM,14,22,25,22,22,11,62,0.0,1012,22,10,99,13
2018-01-04 06:00:00,29,20,0.0,11.6,6,1,81,08:36 PM,08:41 AM,06:46 AM,06:03 PM,15,25,25,23,16,11,62,0.0,1015,23,10,128,13
2018-01-04 12:00:00,29,20,0.0,11.6,6,7,81,08:36 PM,08:41 AM,06:46 AM,06:03 PM,12,29,29,30,13,14,33,0.0,1011,29,10,60,12
2018-01-04 18:00:00,29,20,0.0,11.6,6,7,81,08:36 PM,08:41 AM,06:46 AM,06:03 PM,11,26,26,26,13,8,39,0.0,1013,25,10,57,8
2018-01-05 00:00:00,29,19,0.0,11.6,6,1,74,09:36 PM,09:35 AM,06:46 AM,06:04 PM,14,21,24,21,17,6,62,0.0,1012,21,10,90,11
