date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,20,0.0,11.6,6,1,97,05:24 PM,05:24 AM,06:32 AM,06:02 PM,21,22,25,22,14,13,91,0.0,1010,21,10,339,8
2018-01-01 06:00:00,31,20,0.0,11.6,6,6,97,05:24 PM,05:24 AM,06:32 AM,06:02 PM,21,28,28,26,10,3,75,0.0,1011,24,10,335,8
2018-01-01 12:00:00,31,20,0.0,11.6,6,8,97,05:24 PM,05:24 AM,06:32 AM,06:02 PM,19,34,34,32,10,4,45,0.0,1008,31,10,32,9
2018-01-01 18:00:00,31,20,0.0,11.6,6,6,97,05:24 PM,05:24 AM,06:32 AM,06:02 PM,20,25,25,23,24,22,84,0.0,1009,23,10,83,13
2018-01-02 00:00:00,31,21,0.0,11.6,7,1,100,06:27 PM,06:28 AM,06:33 AM,06:02 PM,22,23,25,23,10,17,93,0.0,1009,22,10,355,6
2018-01-02 06:00:00,31,21,0.0,11.6,7,6,100,06:27 PM,06:28 AM,06:33 AM,06:02 PM,21,27,27,25,9,22,77,0.0,1011,24,10,332,8
2018-01-02 12:00:00,31,21,0.0,11.6,7,8,100,06:27 PM,06:28 AM,06:33 AM,06:02 PM,19,33,33,31,12,17,47,0.0,1008,31,10,27,10
2018-01-02 18:00:00,31,21,0.0,11.6,7,6,100,06:27 PM,06:28 AM,06:33 AM,06:02 PM,21,26,26,24,24,26,84,0.0,1010,24,10,72,13
2018-01-03 00:00:00,30,22,0.0,11.6,5,1,89,07:32 PM,07:31 AM,06:33 AM,06:03 PM,22,25,25,23,15,31,95,0.0,1010,22,2,354,9
2018-01-03 06:00:00,30,22,0.0,11.6,5,6,89,07:32 PM,07:31 AM,06:33 AM,06:03 PM,22,27,27,25,15,38,83,0.0,1012,25,10,3,12
2018-01-03 12:00:00,30,22,0.0,11.6,5,8,89,07:32 PM,07:31 AM,06:33 AM,06:03 PM,19,32,32,30,21,13,52,0.0,1010,30,10,49,18
2018-01-03 18:00:00,30,22,0.0,11.6,5,6,89,07:32 PM,07:31 AM,06:33 AM,06:03 PM,20,25,25,23,25,12,85,0.0,1011,23,10,75,14
2018-01-04 00:00:00,29,21,0.0,11.6,6,1,81,08:34 PM,08:30 AM,06:33 AM,06:03 PM,21,22,25,22,17,15,92,0.0,1012,21,10,19,9
2018-01-04 06:00:00,29,21,0.0,11.6,6,6,81,08:34 PM,08:30 AM,06:33 AM,06:03 PM,20,26,26,24,21,17,76,0.0,1014,24,10,12,16
2018-01-04 12:00:00,29,21,0.0,11.6,6,7,81,08:34 PM,08:30 AM,06:33 AM,06:03 PM,17,30,30,29,24,3,49,0.0,1011,29,10,40,21
2018-01-04 18:00:00,29,21,0.0,11.6,6,6,81,08:34 PM,08:30 AM,06:33 AM,06:03 PM,18,23,25,23,22,0,70,0.0,1012,22,10,62,12
2018-01-05 00:00:00,28,20,0.0,11.6,6,1,74,09:33 PM,09:25 AM,06:34 AM,06:04 PM,20,23,25,23,12,0,82,0.0,1012,20,10,29,9
2018-01-05 06:00:00,28,20,0.0,11.6,6,6,74,09:33 PM,09:25 AM,06:34 AM,06:04 PM,19,27,27,25,15,0,71,0.0,1014,24,10,24,13
