date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,11,0.0,8.7,5,1,97,04:56 PM,05:48 AM,07:00 AM,05:31 PM,8,16,16,16,6,2,60,0.0,1013,13,10,309,4
2018-01-01 06:00:00,22,11,0.0,8.7,5,4,97,04:56 PM,05:48 AM,07:00 AM,05:31 PM,11,17,17,17,5,0,68,0.0,1015,14,10,347,4
2018-01-01 12:00:00,22,11,0.0,8.7,5,6,97,04:56 PM,05:48 AM,07:00 AM,05:31 PM,7,23,24,23,9,0,35,0.0,1013,22,10,11,8
2018-01-01 18:00:00,22,11,0.0,8.7,5,5,97,04:56 PM,05:48 AM,07:00 AM,05:31 PM,7,16,16,16,13,0,53,0.0,1013,15,10,106,6
2018-01-02 00:00:00,21,11,0.0,8.7,5,1,100,05:59 PM,06:53 AM,07:00 AM,05:32 PM,7,14,14,14,9,4,63,0.0,1013,12,10,131,4
2018-01-02 06:00:00,21,11,0.0,8.7,5,4,100,05:59 PM,06:53 AM,07:00 AM,05:32 PM,8,14,14,14,3,12,65,0.0,1015,13,10,228,2
2018-01-02 12:00:00,21,11,0.0,8.7,5,6,100,05:59 PM,06:53 AM,07:00 AM,05:32 PM,6,21,24,21,5,19,37,0.0,1013,21,10,248,5
2018-01-02 18:00:00,21,11,0.0,8.7,5,5,100,05:59 PM,06:53 AM,07:00 AM,05:32 PM,5,15,15,15,20,0,50,0.0,1015,15,10,16,9
2018-01-03 00:00:00,20,10,0.0,8.7,4,1,89,07:06 PM,07:55 AM,07:01 AM,05:33 PM,6,15,14,15,8,0,58,0.0,1015,12,10,324,5
2018-01-03 06:00:00,20,10,0.0,8.7,4,4,89,07:06 PM,07:55 AM,07:01 AM,05:33 PM,5,13,13,13,9,0,56,0.0,1016,12,10,266,7
2018-01-03 12:00:00,20,10,0.0,8.7,4,6,89,07:06 PM,07:55 AM,07:01 AM,05:33 PM,4,21,23,21,9,0,32,0.0,1014,20,10,303,8
2018-01-03 18:00:00,20,10,0.0,8.7,4,4,89,07:06 PM,07:55 AM,07:01 AM,05:33 PM,3,14,15,14,16,0,46,0.0,1015,14,10,280,8
