date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,10,0.0,8.7,4,1,97,04:41 PM,05:32 AM,06:44 AM,05:17 PM,9,16,16,16,8,2,61,0.0,1013,13,10,278,5
2018-01-01 06:00:00,21,10,0.0,8.7,4,4,97,04:41 PM,05:32 AM,06:44 AM,05:17 PM,10,17,17,17,5,0,62,0.0,1016,13,10,273,4
2018-01-01 12:00:00,21,10,0.0,8.7,4,6,97,04:41 PM,05:32 AM,06:44 AM,05:17 PM,8,25,25,25,5,0,34,0.0,1013,21,10,296,4
2018-01-01 18:00:00,21,10,0.0,8.7,4,4,97,04:41 PM,05:32 AM,06:44 AM,05:17 PM,6,17,17,17,12,0,50,0.0,1014,14,10,293,8
2018-01-02 00:00:00,21,9,0.0,8.7,4,1,100,05:45 PM,06:37 AM,06:45 AM,05:18 PM,7,15,15,15,10,0,57,0.0,1013,11,10,301,8
2018-01-02 06:00:00,21,9,0.0,8.7,4,4,100,05:45 PM,06:37 AM,06:45 AM,05:18 PM,8,17,17,17,5,0,56,0.0,1016,12,10,288,4
2018-01-02 12:00:00,21,9,0.0,8.7,4,6,100,05:45 PM,06:37 AM,06:45 AM,05:18 PM,5,22,24,22,13,0,33,0.0,1013,21,10,276,12
2018-01-02 18:00:00,21,9,0.0,8.7,4,4,100,05:45 PM,06:37 AM,06:45 AM,05:18 PM,5,16,16,16,15,0,49,0.0,1014,13,10,303,8
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,06:51 PM,07:39 AM,06:45 AM,05:19 PM,5,15,15,15,10,0,52,0.0,1014,11,10,299,7
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,06:51 PM,07:39 AM,06:45 AM,05:19 PM,5,13,14,13,13,0,54,0.0,1016,12,10,265,11
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,06:51 PM,07:39 AM,06:45 AM,05:19 PM,4,22,23,22,15,0,30,0.0,1014,21,10,288,13
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,06:51 PM,07:39 AM,06:45 AM,05:19 PM,4,16,16,16,19,0,46,0.0,1014,14,10,266,10
2018-01-04 00:00:00,21,9,0.0,8.7,4,1,81,07:58 PM,08:34 AM,06:45 AM,05:19 PM,5,14,14,14,14,0,52,0.0,1015,11,10,274,9
2018-01-04 06:00:00,21,9,0.0,8.7,4,4,81,07:58 PM,08:34 AM,06:45 AM,05:19 PM,7,16,16,16,7,0,56,0.0,1017,12,10,228,6
2018-01-04 12:00:00,21,9,0.0,8.7,4,6,81,07:58 PM,08:34 AM,06:45 AM,05:19 PM,7,25,25,25,5,0,32,0.0,1015,21,10,250,4
2018-01-04 18:00:00,21,9,0.0,8.7,4,4,81,07:58 PM,08:34 AM,06:45 AM,05:19 PM,6,17,17,17,7,0,49,0.0,1015,14,10,5,4
2018-01-05 00:00:00,20,9,0.0,8.7,4,1,74,09:02 PM,09:25 AM,06:45 AM,05:20 PM,8,16,16,16,2,0,59,0.0,1015,11,10,331,2
2018-01-05 06:00:00,20,9,0.0,8.7,4,4,74,09:02 PM,09:25 AM,06:45 AM,05:20 PM,8,15,15,15,8,0,63,0.0,1017,11,10,243,7
2018-01-05 12:00:00,20,9,0.0,8.7,4,5,74,09:02 PM,09:25 AM,06:45 AM,05:20 PM,5,22,24,22,10,0,33,0.0,1014,20,10,270,9
2018-01-05 18:00:00,20,9,0.0,8.7,4,4,74,09:02 PM,09:25 AM,06:45 AM,05:20 PM,4,14,15,14,12,0,49,0.0,1014,12,10,308,7
2018-01-06 00:00:00,20,7,0.0,8.7,4,1,67,10:03 PM,10:09 AM,06:45 AM,05:21 PM,5,13,13,13,10,0,55,0.0,1013,9,10,293,7
2018-01-06 06:00:00,20,7,0.0,8.7,4,3,67,10:03 PM,10:09 AM,06:45 AM,05:21 PM,5,12,13,12,11,0,59,0.0,1015,10,10,273,9
2018-01-06 12:00:00,20,7,0.0,8.7,4,5,67,10:03 PM,10:09 AM,06:45 AM,05:21 PM,5,22,23,22,12,0,33,0.0,1013,20,10,278,10
2018-01-06 18:00:00,20,7,0.0,8.7,4,4,67,10:03 PM,10:09 AM,06:45 AM,05:21 PM,5,14,15,14,15,0,51,0.0,1014,12,10,279,8
2018-01-07 00:00:00,20,7,0.0,8.7,4,1,59,11:01 PM,10:50 AM,06:46 AM,05:21 PM,5,13,13,13,14,0,58,0.0,1013,10,10,272,9
2018-01-07 06:00:00,20,7,0.0,8.7,4,4,59,11:01 PM,10:50 AM,06:46 AM,05:21 PM,6,13,13,13,10,0,63,0.0,1016,10,10,248,9
2018-01-07 12:00:00,20,7,0.0,8.7,4,5,59,11:01 PM,10:50 AM,06:46 AM,05:21 PM,6,21,21,21,15,0,38,0.0,1014,20,10,274,13
2018-01-07 18:00:00,20,7,0.0,8.7,4,4,59,11:01 PM,10:50 AM,06:46 AM,05:21 PM,7,15,15,15,17,0,59,0.0,1015,13,10,243,9
2018-01-08 00:00:00,20,8,0.0,8.7,4,1,52,11:57 PM,11:29 AM,06:46 AM,05:22 PM,7,14,14,14,10,0,63,0.0,1015,10,10,280,7
2018-01-08 06:00:00,20,8,0.0,8.7,4,4,52,11:57 PM,11:29 AM,06:46 AM,05:22 PM,8,16,16,16,2,0,59,0.0,1018,11,10,204,2
