date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,17,0.0,11.5,6,1,97,05:30 PM,05:46 AM,06:55 AM,06:06 PM,7,21,21,21,13,0,39,0.0,1012,19,10,125,7
2018-01-01 06:00:00,28,17,0.0,11.5,6,1,97,05:30 PM,05:46 AM,06:55 AM,06:06 PM,9,25,25,25,5,0,36,0.0,1013,22,10,153,5
2018-01-01 12:00:00,28,17,0.0,11.5,6,7,97,05:30 PM,05:46 AM,06:55 AM,06:06 PM,7,29,29,31,5,1,22,0.0,1009,28,10,254,5
2018-01-01 18:00:00,28,17,0.0,11.5,6,6,97,05:30 PM,05:46 AM,06:55 AM,06:06 PM,5,24,24,24,18,0,29,0.0,1010,23,10,345,9
2018-01-02 00:00:00,29,18,0.0,11.5,6,1,100,06:33 PM,06:51 AM,06:55 AM,06:07 PM,8,23,24,23,9,1,40,0.0,1010,20,10,35,6
2018-01-02 06:00:00,29,18,0.0,11.5,6,1,100,06:33 PM,06:51 AM,06:55 AM,06:07 PM,9,24,24,23,8,4,39,0.0,1012,22,10,35,7
2018-01-02 12:00:00,29,18,0.0,11.5,6,7,100,06:33 PM,06:51 AM,06:55 AM,06:07 PM,7,29,29,30,7,2,23,0.0,1009,29,10,110,6
2018-01-02 18:00:00,29,18,0.0,11.5,6,6,100,06:33 PM,06:51 AM,06:55 AM,06:07 PM,6,24,24,25,20,2,29,0.0,1011,24,10,65,10
2018-01-03 00:00:00,29,19,0.0,11.5,6,1,89,07:39 PM,07:53 AM,06:56 AM,06:07 PM,6,22,24,22,17,2,35,0.0,1011,21,10,73,9
2018-01-03 06:00:00,29,19,0.0,11.5,6,1,89,07:39 PM,07:53 AM,06:56 AM,06:07 PM,8,22,24,22,16,4,40,0.0,1014,22,10,94,12
2018-01-03 12:00:00,29,19,0.0,11.5,6,7,89,07:39 PM,07:53 AM,06:56 AM,06:07 PM,11,28,28,29,11,9,33,0.0,1011,29,10,140,9
2018-01-03 18:00:00,29,19,0.0,11.5,6,6,89,07:39 PM,07:53 AM,06:56 AM,06:07 PM,10,25,25,25,20,6,37,0.0,1012,25,10,68,10
