date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,10,0.0,8.7,4,1,97,05:00 PM,06:02 AM,07:15 AM,05:35 PM,5,17,17,17,4,0,46,0.0,1014,11,10,266,4
2018-01-01 06:00:00,20,10,0.0,8.7,4,4,97,05:00 PM,06:02 AM,07:15 AM,05:35 PM,6,16,16,16,4,0,50,0.0,1015,11,10,331,4
2018-01-01 12:00:00,20,10,0.0,8.7,4,6,97,05:00 PM,06:02 AM,07:15 AM,05:35 PM,1,25,24,25,5,0,22,0.0,1013,20,10,276,4
2018-01-01 18:00:00,20,10,0.0,8.7,4,4,97,05:00 PM,06:02 AM,07:15 AM,05:35 PM,2,17,17,17,8,0,37,0.0,1014,13,10,335,5
2018-01-02 00:00:00,20,8,0.0,8.7,4,1,100,06:04 PM,07:08 AM,07:15 AM,05:36 PM,6,16,15,16,5,0,53,0.0,1015,10,10,356,5
2018-01-02 06:00:00,20,8,0.0,8.7,4,4,100,06:04 PM,07:08 AM,07:15 AM,05:36 PM,6,15,15,15,6,0,57,0.0,1015,10,10,311,5
2018-01-02 12:00:00,20,8,0.0,8.7,4,5,100,06:04 PM,07:08 AM,07:15 AM,05:36 PM,3,24,24,24,7,0,26,0.0,1014,20,10,331,6
2018-01-02 18:00:00,20,8,0.0,8.7,4,4,100,06:04 PM,07:08 AM,07:15 AM,05:36 PM,5,17,17,17,6,0,46,0.0,1015,13,10,302,4
2018-01-03 00:00:00,21,8,0.0,8.7,4,1,89,07:11 PM,08:09 AM,07:15 AM,05:36 PM,6,15,15,15,8,0,55,0.0,1015,10,10,305,6
2018-01-03 06:00:00,21,8,0.0,8.7,4,4,89,07:11 PM,08:09 AM,07:15 AM,05:36 PM,7,14,14,14,8,0,61,0.0,1016,10,10,290,7
2018-01-03 12:00:00,21,8,0.0,8.7,4,6,89,07:11 PM,08:09 AM,07:15 AM,05:36 PM,4,23,24,23,12,0,29,0.0,1015,21,10,314,10
2018-01-03 18:00:00,21,8,0.0,8.7,4,4,89,07:11 PM,08:09 AM,07:15 AM,05:36 PM,5,15,15,15,15,0,50,0.0,1015,12,10,294,8
2018-01-04 00:00:00,21,8,0.0,8.7,4,1,81,08:18 PM,09:04 AM,07:15 AM,05:37 PM,4,13,13,13,12,0,55,0.0,1015,9,10,316,8
