date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,19,0.0,8.7,6,1,97,04:33 PM,05:08 AM,06:20 AM,05:11 PM,7,20,20,20,13,44,42,0.0,1012,20,10,333,7
2018-01-01 06:00:00,27,19,0.0,8.7,6,5,97,04:33 PM,05:08 AM,06:20 AM,05:11 PM,7,20,20,20,25,5,44,0.0,1014,20,10,11,18
2018-01-01 12:00:00,27,19,0.0,8.7,6,7,97,04:33 PM,05:08 AM,06:20 AM,05:11 PM,8,26,26,27,12,3,30,0.0,1011,27,10,39,11
2018-01-01 18:00:00,27,19,0.0,8.7,6,6,97,04:33 PM,05:08 AM,06:20 AM,05:11 PM,10,21,24,21,10,7,49,0.0,1012,20,10,1,5
2018-01-02 00:00:00,26,16,0.0,8.7,6,1,100,05:38 PM,06:13 AM,06:20 AM,05:12 PM,8,19,19,19,19,1,48,0.0,1011,18,10,354,10
2018-01-02 06:00:00,26,16,0.0,8.7,6,5,100,05:38 PM,06:13 AM,06:20 AM,05:12 PM,7,19,19,19,25,0,45,0.0,1013,19,10,7,18
2018-01-02 12:00:00,26,16,0.0,8.7,6,7,100,05:38 PM,06:13 AM,06:20 AM,05:12 PM,8,26,26,26,18,0,31,0.0,1010,26,10,9,15
2018-01-02 18:00:00,26,16,0.0,8.7,6,5,100,05:38 PM,06:13 AM,06:20 AM,05:12 PM,8,21,21,21,19,3,44,0.0,1012,20,10,12,9
2018-01-03 00:00:00,26,15,0.0,8.7,5,1,89,06:43 PM,07:15 AM,06:21 AM,05:13 PM,7,18,18,18,23,2,49,0.0,1013,17,10,345,12
2018-01-03 06:00:00,26,15,0.0,8.7,5,5,89,06:43 PM,07:15 AM,06:21 AM,05:13 PM,6,19,19,19,19,0,42,0.0,1014,19,10,4,13
2018-01-03 12:00:00,26,15,0.0,8.7,5,7,89,06:43 PM,07:15 AM,06:21 AM,05:13 PM,9,26,26,27,5,5,31,0.0,1011,26,10,109,4
2018-01-03 18:00:00,26,15,0.0,8.7,5,5,89,06:43 PM,07:15 AM,06:21 AM,05:13 PM,10,22,24,22,4,0,47,0.0,1014,19,10,273,3
2018-01-04 00:00:00,24,15,0.0,8.7,5,1,81,07:48 PM,08:12 AM,06:21 AM,05:13 PM,4,16,16,16,28,0,45,0.0,1014,16,10,1,14
2018-01-04 06:00:00,24,15,0.0,8.7,5,5,81,07:48 PM,08:12 AM,06:21 AM,05:13 PM,6,18,18,18,20,0,45,0.0,1017,18,10,20,14
2018-01-04 12:00:00,24,15,0.0,8.7,5,6,81,07:48 PM,08:12 AM,06:21 AM,05:13 PM,4,24,24,24,14,0,27,0.0,1014,24,10,9,12
2018-01-04 18:00:00,24,15,0.0,8.7,5,5,81,07:48 PM,08:12 AM,06:21 AM,05:13 PM,5,19,19,19,16,0,38,0.0,1014,18,10,14,9
2018-01-05 00:00:00,25,13,0.0,8.7,5,1,74,08:51 PM,09:04 AM,06:21 AM,05:14 PM,5,16,16,16,20,0,47,0.0,1014,15,10,359,10
2018-01-05 06:00:00,25,13,0.0,8.7,5,5,74,08:51 PM,09:04 AM,06:21 AM,05:14 PM,4,17,17,17,14,0,42,0.0,1016,17,10,9,11
2018-01-05 12:00:00,25,13,0.0,8.7,5,6,74,08:51 PM,09:04 AM,06:21 AM,05:14 PM,2,24,24,25,13,0,22,0.0,1012,25,10,18,11
