date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,30,18,0.0,11.6,6,1,97,05:26 PM,05:40 AM,06:48 AM,06:03 PM,11,21,21,21,10,11,53,0.0,1011,19,10,346,5
2018-01-01 06:00:00,30,18,0.0,11.6,6,1,97,05:26 PM,05:40 AM,06:48 AM,06:03 PM,13,25,25,24,4,8,52,0.0,1013,22,10,102,4
2018-01-01 12:00:00,30,18,0.0,11.6,6,7,97,05:26 PM,05:40 AM,06:48 AM,06:03 PM,12,30,30,31,2,8,31,0.0,1008,30,10,238,2
2018-01-01 18:00:00,30,18,0.0,11.6,6,6,97,05:26 PM,05:40 AM,06:48 AM,06:03 PM,9,25,25,25,16,5,37,0.0,1010,24,10,7,8
2018-01-02 00:00:00,30,20,0.0,11.6,6,1,100,06:30 PM,06:44 AM,06:49 AM,06:04 PM,11,23,25,23,10,5,46,0.0,1010,21,10,76,5
2018-01-02 06:00:00,30,20,0.0,11.6,6,1,100,06:30 PM,06:44 AM,06:49 AM,06:04 PM,13,25,25,24,7,7,48,0.0,1012,23,10,139,6
2018-01-02 12:00:00,30,20,0.0,11.6,6,7,100,06:30 PM,06:44 AM,06:49 AM,06:04 PM,10,30,30,31,6,5,28,0.0,1009,30,10,91,5
2018-01-02 18:00:00,30,20,0.0,11.6,6,6,100,06:30 PM,06:44 AM,06:49 AM,06:04 PM,9,25,25,25,16,5,36,0.0,1010,24,10,53,9
2018-01-03 00:00:00,29,20,0.0,11.6,6,1,89,07:35 PM,07:47 AM,06:49 AM,06:04 PM,10,22,24,22,15,6,45,0.0,1011,21,10,82,8
2018-01-03 06:00:00,29,20,0.0,11.6,6,1,89,07:35 PM,07:47 AM,06:49 AM,06:04 PM,16,25,25,23,16,5,66,0.0,1013,23,10,128,13
2018-01-03 12:00:00,29,20,0.0,11.6,6,7,89,07:35 PM,07:47 AM,06:49 AM,06:04 PM,12,29,29,30,9,10,32,0.0,1010,29,10,93,8
2018-01-03 18:00:00,29,20,0.0,11.6,6,6,89,07:35 PM,07:47 AM,06:49 AM,06:04 PM,10,25,25,25,20,8,38,0.0,1012,25,10,64,11
2018-01-04 00:00:00,29,20,0.0,11.6,6,1,81,08:38 PM,08:45 AM,06:49 AM,06:05 PM,11,25,25,23,20,14,47,0.0,1012,22,10,101,12
2018-01-04 06:00:00,29,20,0.0,11.6,6,1,81,08:38 PM,08:45 AM,06:49 AM,06:05 PM,15,25,25,22,17,12,62,0.0,1015,22,10,131,14
2018-01-04 12:00:00,29,20,0.0,11.6,6,7,81,08:38 PM,08:45 AM,06:49 AM,06:05 PM,12,29,29,29,10,12,33,0.0,1011,29,10,84,8
2018-01-04 18:00:00,29,20,0.0,11.6,6,6,81,08:38 PM,08:45 AM,06:49 AM,06:05 PM,11,25,25,25,17,9,41,0.0,1012,24,10,57,9
2018-01-05 00:00:00,29,19,0.0,11.6,6,1,74,09:39 PM,09:38 AM,06:50 AM,06:05 PM,12,21,24,21,18,8,57,0.0,1012,20,10,103,10
2018-01-05 06:00:00,29,19,0.0,11.6,6,1,74,09:39 PM,09:38 AM,06:50 AM,06:05 PM,14,22,25,22,14,5,61,0.0,1014,22,10,131,12
2018-01-05 12:00:00,29,19,0.0,11.6,6,7,74,09:39 PM,09:38 AM,06:50 AM,06:05 PM,8,28,28,29,13,4,27,0.0,1010,29,10,95,11
2018-01-05 18:00:00,29,19,0.0,11.6,6,6,74,09:39 PM,09:38 AM,06:50 AM,06:05 PM,8,25,25,24,13,4,36,0.0,1012,23,10,88,7
2018-01-06 00:00:00,28,18,0.0,11.6,6,1,67,10:35 PM,10:27 AM,06:50 AM,06:06 PM,11,23,25,23,6,0,45,0.0,1011,19,10,40,5
2018-01-06 06:00:00,28,18,0.0,11.6,6,1,67,10:35 PM,10:27 AM,06:50 AM,06:06 PM,12,23,25,23,11,0,49,0.0,1014,21,10,116,10
2018-01-06 12:00:00,28,18,0.0,11.6,6,7,67,10:35 PM,10:27 AM,06:50 AM,06:06 PM,8,27,27,29,12,5,27,0.0,1010,28,10,92,10
2018-01-06 18:00:00,28,18,0.0,11.6,6,6,67,10:35 PM,10:27 AM,06:50 AM,06:06 PM,9,25,25,24,17,7,39,0.0,1012,23,10,81,9
2018-01-07 00:00:00,29,18,0.0,11.6,6,1,59,11:30 PM,11:12 AM,06:50 AM,06:07 PM,10,21,24,21,11,5,49,0.0,1012,19,10,89,6
2018-01-07 06:00:00,29,18,0.0,11.6,6,1,59,11:30 PM,11:12 AM,06:50 AM,06:07 PM,11,22,25,22,11,3,50,0.0,1014,21,10,136,9
2018-01-07 12:00:00,29,18,0.0,11.6,6,7,59,11:30 PM,11:12 AM,06:50 AM,06:07 PM,8,28,28,29,14,5,27,0.0,1011,29,10,85,12
2018-01-07 18:00:00,29,18,0.0,11.6,6,6,59,11:30 PM,11:12 AM,06:50 AM,06:07 PM,8,24,24,24,15,4,35,0.0,1012,23,10,76,8
2018-01-08 00:00:00,29,18,0.0,11.6,6,1,52,No moonrise,11:54 AM,06:50 AM,06:07 PM,10,20,20,20,16,4,52,0.0,1012,19,10,109,10
2018-01-08 06:00:00,29,18,0.0,11.6,6,1,52,No moonrise,11:54 AM,06:50 AM,06:07 PM,12,23,25,23,13,2,51,0.0,1014,21,10,138,11
2018-01-08 12:00:00,29,18,0.0,11.6,6,7,52,No moonrise,11:54 AM,06:50 AM,06:07 PM,8,27,27,29,19,6,28,0.0,1012,29,10,92,17
2018-01-08 18:00:00,29,18,0.0,11.6,6,6,52,No moonrise,11:54 AM,06:50 AM,06:07 PM,9,25,25,24,15,6,40,0.0,1014,23,10,96,8
2018-01-09 00:00:00,28,17,0.0,11.6,6,1,45,12:21 AM,12:35 PM,06:51 AM,06:08 PM,13,20,20,20,15,4,63,0.0,1015,19,10,95,10
2018-01-09 06:00:00,28,17,0.0,11.6,6,1,45,12:21 AM,12:35 PM,06:51 AM,06:08 PM,15,20,20,20,19,3,72,0.0,1017,20,10,102,15
2018-01-09 12:00:00,28,17,0.0,11.6,6,7,45,12:21 AM,12:35 PM,06:51 AM,06:08 PM,12,28,28,28,24,21,37,0.0,1014,28,10,94,21
2018-01-09 18:00:00,28,17,0.0,11.6,6,6,45,12:21 AM,12:35 PM,06:51 AM,06:08 PM,14,25,25,24,19,17,56,0.0,1015,23,10,122,12
2018-01-10 00:00:00,30,19,0.0,11.6,6,1,38,01:11 AM,01:15 PM,06:51 AM,06:08 PM,15,21,21,21,15,16,70,0.0,1016,20,10,100,10
2018-01-10 06:00:00,30,19,0.0,11.6,6,1,38,01:11 AM,01:15 PM,06:51 AM,06:08 PM,15,22,25,22,13,17,66,0.0,1018,21,10,109,11
2018-01-10 12:00:00,30,19,0.0,11.6,6,7,38,01:11 AM,01:15 PM,06:51 AM,06:08 PM,14,29,29,30,20,20,37,0.0,1014,30,10,94,17
2018-01-10 18:00:00,30,19,0.0,11.6,6,7,38,01:11 AM,01:15 PM,06:51 AM,06:08 PM,13,26,26,25,21,12,47,0.0,1015,25,10,110,13
2018-01-11 00:00:00,31,20,0.0,11.6,7,1,30,02:00 AM,01:56 PM,06:51 AM,06:09 PM,16,22,25,22,15,14,66,0.0,1015,22,10,125,10
2018-01-11 06:00:00,31,20,0.0,11.6,7,1,30,02:00 AM,01:56 PM,06:51 AM,06:09 PM,15,25,25,23,10,18,61,0.0,1017,23,10,113,9
2018-01-11 12:00:00,31,20,0.0,11.6,7,8,30,02:00 AM,01:56 PM,06:51 AM,06:09 PM,15,31,31,31,14,17,37,0.0,1013,31,10,103,12
2018-01-11 18:00:00,31,20,0.0,11.6,7,7,30,02:00 AM,01:56 PM,06:51 AM,06:09 PM,14,27,27,27,18,14,45,0.0,1013,27,10,87,10
2018-01-12 00:00:00,31,22,0.0,11.6,7,1,23,02:49 AM,02:37 PM,06:51 AM,06:10 PM,15,25,25,24,12,15,59,0.0,1014,23,10,99,8
2018-01-12 06:00:00,31,22,0.0,11.6,7,1,23,02:49 AM,02:37 PM,06:51 AM,06:10 PM,17,26,26,25,15,15,62,0.0,1016,24,10,121,13
2018-01-12 12:00:00,31,22,0.0,11.6,7,8,23,02:49 AM,02:37 PM,06:51 AM,06:10 PM,14,31,31,32,16,16,35,0.0,1012,31,10,80,14
2018-01-12 18:00:00,31,22,0.0,11.6,7,7,23,02:49 AM,02:37 PM,06:51 AM,06:10 PM,14,27,27,27,12,10,44,0.0,1013,27,10,96,6
2018-01-13 00:00:00,32,22,0.0,11.6,7,1,16,03:39 AM,03:21 PM,06:51 AM,06:10 PM,15,26,26,25,10,6,54,0.0,1013,23,10,96,6
2018-01-13 06:00:00,32,22,0.0,11.6,7,1,16,03:39 AM,03:21 PM,06:51 AM,06:10 PM,16,27,27,26,11,4,55,0.0,1015,25,10,95,9
2018-01-13 12:00:00,32,22,0.0,11.6,7,8,16,03:39 AM,03:21 PM,06:51 AM,06:10 PM,10,31,31,33,16,3,25,0.0,1011,32,10,94,14
2018-01-13 18:00:00,32,22,0.0,11.6,7,7,16,03:39 AM,03:21 PM,06:51 AM,06:10 PM,10,27,27,28,17,4,33,0.0,1013,27,10,83,9
2018-01-14 00:00:00,32,21,0.0,11.6,7,1,9,04:27 AM,04:05 PM,06:52 AM,06:11 PM,14,25,25,24,15,7,54,0.0,1014,23,10,102,9
2018-01-14 06:00:00,32,21,0.0,11.6,7,1,9,04:27 AM,04:05 PM,06:52 AM,06:11 PM,15,26,26,26,10,4,53,0.0,1016,24,10,127,8
2018-01-14 12:00:00,32,21,0.0,11.6,7,8,9,04:27 AM,04:05 PM,06:52 AM,06:11 PM,11,31,31,32,18,6,28,0.0,1012,32,10,88,15
2018-01-14 18:00:00,32,21,0.0,11.6,7,7,9,04:27 AM,04:05 PM,06:52 AM,06:11 PM,12,27,27,27,14,8,40,0.0,1014,26,10,71,8
2018-01-15 00:00:00,32,21,0.0,11.6,7,1,1,05:16 AM,04:52 PM,06:52 AM,06:11 PM,16,25,25,24,13,5,63,0.0,1015,23,10,127,9
2018-01-15 06:00:00,32,21,0.0,11.6,7,1,1,05:16 AM,04:52 PM,06:52 AM,06:11 PM,15,26,26,24,15,6,57,0.0,1016,24,10,134,12
2018-01-15 12:00:00,32,21,0.0,11.6,7,8,1,05:16 AM,04:52 PM,06:52 AM,06:11 PM,12,31,31,32,18,7,29,0.0,1012,32,10,62,16
2018-01-15 18:00:00,32,21,0.0,11.6,7,7,1,05:16 AM,04:52 PM,06:52 AM,06:11 PM,13,27,27,27,16,9,40,0.0,1013,27,10,39,9
2018-01-16 00:00:00,32,22,0.0,11.6,7,1,0,06:04 AM,05:41 PM,06:52 AM,06:12 PM,13,25,25,24,16,7,48,0.0,1012,23,10,128,9
2018-01-16 06:00:00,32,22,0.0,11.6,7,1,0,06:04 AM,05:41 PM,06:52 AM,06:12 PM,13,26,26,26,8,7,47,0.0,1015,25,10,128,7
2018-01-16 12:00:00,32,22,0.0,11.6,7,8,0,06:04 AM,05:41 PM,06:52 AM,06:12 PM,11,31,31,32,13,5,27,0.0,1011,32,10,33,11
2018-01-16 18:00:00,32,22,0.0,11.6,7,7,0,06:04 AM,05:41 PM,06:52 AM,06:12 PM,10,27,27,27,22,10,33,0.0,1012,27,10,57,13
2018-01-17 00:00:00,31,21,0.0,11.6,7,1,0,06:51 AM,06:30 PM,06:52 AM,06:12 PM,10,25,25,24,19,5,43,0.0,1012,23,10,112,11
2018-01-17 06:00:00,31,21,0.0,11.6,7,1,0,06:51 AM,06:30 PM,06:52 AM,06:12 PM,14,25,25,24,14,6,54,0.0,1014,24,10,126,12
2018-01-17 12:00:00,31,21,0.0,11.6,7,8,0,06:51 AM,06:30 PM,06:52 AM,06:12 PM,10,30,30,32,14,5,26,0.0,1011,31,10,38,12
2018-01-17 18:00:00,31,21,0.0,11.6,7,7,0,06:51 AM,06:30 PM,06:52 AM,06:12 PM,10,26,26,26,18,5,35,0.0,1012,26,10,45,10
2018-01-18 00:00:00,30,20,0.0,11.6,6,1,6,07:37 AM,07:20 PM,06:52 AM,06:13 PM,11,23,24,23,16,5,47,0.0,1013,21,10,107,9
2018-01-18 06:00:00,30,20,0.0,11.6,6,1,6,07:37 AM,07:20 PM,06:52 AM,06:13 PM,13,25,25,23,14,4,53,0.0,1015,22,10,132,12
2018-01-18 12:00:00,30,20,0.0,11.6,6,8,6,07:37 AM,07:20 PM,06:52 AM,06:13 PM,8,29,29,30,22,5,26,0.0,1012,30,10,65,19
2018-01-18 18:00:00,30,20,0.0,11.6,6,6,6,07:37 AM,07:20 PM,06:52 AM,06:13 PM,9,25,25,25,13,4,36,0.0,1013,24,10,57,7
2018-01-19 00:00:00,30,18,0.0,11.6,6,1,13,08:20 AM,08:09 PM,06:52 AM,06:14 PM,12,24,25,24,7,2,49,0.0,1014,20,10,129,6
2018-01-19 06:00:00,30,18,0.0,11.6,6,1,13,08:20 AM,08:09 PM,06:52 AM,06:14 PM,12,24,25,24,8,0,47,0.0,1016,21,10,110,7
2018-01-19 12:00:00,30,18,0.0,11.6,6,7,13,08:20 AM,08:09 PM,06:52 AM,06:14 PM,6,28,28,30,18,3,23,0.0,1013,30,10,63,15
