date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,23,0.0,12.7,7,1,97,05:30 PM,04:40 AM,05:50 AM,06:15 PM,23,27,27,25,8,20,92,0.0,1008,24,10,246,5
2018-01-01 06:00:00,31,23,0.0,12.7,7,7,97,05:30 PM,04:40 AM,05:50 AM,06:15 PM,23,28,28,26,8,30,87,0.0,1008,25,10,252,6
2018-01-01 12:00:00,31,23,0.0,12.7,7,8,97,05:30 PM,04:40 AM,05:50 AM,06:15 PM,22,35,35,31,15,10,60,0.0,1007,31,10,216,13
2018-01-01 18:00:00,31,23,0.0,12.7,7,1,97,05:30 PM,04:40 AM,05:50 AM,06:15 PM,22,28,28,26,13,15,81,0.0,1007,25,10,221,8
2018-01-02 00:00:00,32,23,0.0,12.7,7,1,100,06:33 PM,05:44 AM,05:50 AM,06:16 PM,22,27,27,24,10,17,84,0.0,1008,24,10,244,6
2018-01-02 06:00:00,32,23,0.0,12.7,7,6,100,06:33 PM,05:44 AM,05:50 AM,06:16 PM,22,28,28,26,5,16,80,0.0,1008,25,10,308,4
2018-01-02 12:00:00,32,23,0.0,12.7,7,8,100,06:33 PM,05:44 AM,05:50 AM,06:16 PM,21,36,36,32,9,30,52,0.0,1007,32,10,202,8
2018-01-02 18:00:00,32,23,0.0,12.7,7,1,100,06:33 PM,05:44 AM,05:50 AM,06:16 PM,23,28,28,26,9,27,83,0.0,1007,25,10,190,5
2018-01-03 00:00:00,32,24,0.0,12.7,7,1,89,07:36 PM,06:47 AM,05:51 AM,06:16 PM,23,27,27,25,8,30,89,0.0,1008,24,10,220,5
2018-01-03 06:00:00,32,24,0.0,12.7,7,7,89,07:36 PM,06:47 AM,05:51 AM,06:16 PM,23,29,29,26,5,39,85,0.0,1008,26,10,239,4
2018-01-03 12:00:00,32,24,0.0,12.7,7,8,89,07:36 PM,06:47 AM,05:51 AM,06:16 PM,22,37,37,32,5,40,57,0.0,1007,32,10,206,5
2018-01-03 18:00:00,32,24,0.0,12.7,7,1,89,07:36 PM,06:47 AM,05:51 AM,06:16 PM,24,29,29,26,10,23,87,0.0,1007,25,10,211,6
2018-01-04 00:00:00,31,24,0.0,12.7,7,1,81,08:34 PM,07:50 AM,05:51 AM,06:16 PM,23,28,28,25,8,37,87,0.0,1008,25,10,219,5
2018-01-04 06:00:00,31,24,0.0,12.7,7,7,81,08:34 PM,07:50 AM,05:51 AM,06:16 PM,23,29,29,26,7,53,82,0.0,1009,26,10,298,5
2018-01-04 12:00:00,31,24,0.0,12.7,7,8,81,08:34 PM,07:50 AM,05:51 AM,06:16 PM,24,37,37,32,4,47,62,0.0,1008,31,10,208,3
2018-01-04 18:00:00,31,24,0.0,12.7,7,1,81,08:34 PM,07:50 AM,05:51 AM,06:16 PM,23,30,30,27,8,34,84,0.0,1007,26,10,183,5
2018-01-05 00:00:00,30,24,0.0,12.7,7,1,74,09:29 PM,08:49 AM,05:52 AM,06:17 PM,22,27,27,25,6,25,84,0.0,1009,24,10,270,4
2018-01-05 06:00:00,30,24,0.0,12.7,7,7,74,09:29 PM,08:49 AM,05:52 AM,06:17 PM,22,29,29,26,3,24,77,0.0,1009,25,10,292,2
2018-01-05 12:00:00,30,24,0.0,12.7,7,8,74,09:29 PM,08:49 AM,05:52 AM,06:17 PM,22,34,34,31,6,49,60,0.0,1009,30,10,215,5
2018-01-05 18:00:00,30,24,0.0,12.7,7,1,74,09:29 PM,08:49 AM,05:52 AM,06:17 PM,22,28,28,26,9,55,83,0.0,1009,25,10,225,5
2018-01-06 00:00:00,27,24,0.0,10.5,7,1,67,10:19 PM,09:46 AM,05:52 AM,06:17 PM,22,27,27,25,7,52,86,0.0,1010,24,10,347,5
2018-01-06 06:00:00,27,24,0.0,10.5,7,6,67,10:19 PM,09:46 AM,05:52 AM,06:17 PM,23,27,27,25,6,43,90,0.0,1010,24,10,308,4
2018-01-06 12:00:00,27,24,0.0,10.5,7,6,67,10:19 PM,09:46 AM,05:52 AM,06:17 PM,22,30,30,27,5,94,75,0.0,1009,27,10,243,4
2018-01-06 18:00:00,27,24,0.0,10.5,7,1,67,10:19 PM,09:46 AM,05:52 AM,06:17 PM,22,27,27,25,11,53,86,0.0,1009,25,10,232,6
2018-01-07 00:00:00,29,23,0.0,12.7,6,1,59,11:06 PM,10:37 AM,05:53 AM,06:18 PM,21,26,26,24,12,67,81,0.0,1010,24,10,238,7
2018-01-07 06:00:00,29,23,0.0,12.7,6,6,59,11:06 PM,10:37 AM,05:53 AM,06:18 PM,22,26,26,24,3,57,86,0.0,1011,24,10,264,2
2018-01-07 12:00:00,29,23,0.0,12.7,6,6,59,11:06 PM,10:37 AM,05:53 AM,06:18 PM,22,32,32,29,4,100,66,0.0,1010,29,10,239,3
2018-01-07 18:00:00,29,23,0.0,12.7,6,1,59,11:06 PM,10:37 AM,05:53 AM,06:18 PM,22,28,28,26,7,54,83,0.0,1009,25,10,169,4
2018-01-08 00:00:00,30,23,0.0,12.7,6,1,52,11:51 PM,11:27 AM,05:53 AM,06:18 PM,22,26,26,24,5,75,89,0.0,1010,24,10,325,3
2018-01-08 06:00:00,30,23,0.0,12.7,6,5,52,11:51 PM,11:27 AM,05:53 AM,06:18 PM,23,27,27,25,8,86,88,0.0,1010,24,10,342,6
2018-01-08 12:00:00,30,23,0.0,12.7,6,8,52,11:51 PM,11:27 AM,05:53 AM,06:18 PM,24,36,36,31,7,56,65,0.0,1009,30,10,310,6
2018-01-08 18:00:00,30,23,0.0,12.7,6,1,52,11:51 PM,11:27 AM,05:53 AM,06:18 PM,23,29,29,26,9,42,85,0.0,1009,26,10,196,5
2018-01-09 00:00:00,29,24,0.0,12.6,6,1,45,No moonrise,12:14 PM,05:54 AM,06:18 PM,23,27,27,25,5,82,90,0.0,1010,24,10,345,3
2018-01-09 06:00:00,29,24,0.0,12.6,6,6,45,No moonrise,12:14 PM,05:54 AM,06:18 PM,23,28,28,25,9,34,87,0.0,1011,25,10,335,6
2018-01-09 12:00:00,29,24,0.0,12.6,6,7,45,No moonrise,12:14 PM,05:54 AM,06:18 PM,24,34,34,30,11,51,72,0.0,1010,29,10,349,10
2018-01-09 18:00:00,29,24,0.0,12.6,6,1,45,No moonrise,12:14 PM,05:54 AM,06:18 PM,23,28,28,25,6,35,91,0.0,1010,25,10,203,3
2018-01-10 00:00:00,32,23,0.0,12.7,6,1,38,12:34 AM,01:01 PM,05:54 AM,06:19 PM,22,26,26,24,5,63,91,0.0,1011,23,10,297,3
2018-01-10 06:00:00,32,23,0.0,12.7,6,6,38,12:34 AM,01:01 PM,05:54 AM,06:19 PM,22,27,27,25,3,48,86,0.0,1011,24,10,292,2
2018-01-10 12:00:00,32,23,0.0,12.7,6,8,38,12:34 AM,01:01 PM,05:54 AM,06:19 PM,22,37,37,32,4,33,56,0.0,1010,32,10,291,3
2018-01-10 18:00:00,32,23,0.0,12.7,6,1,38,12:34 AM,01:01 PM,05:54 AM,06:19 PM,23,28,28,26,5,43,83,0.0,1010,25,10,327,3
2018-01-11 00:00:00,31,23,0.0,12.7,7,1,30,01:17 AM,01:48 PM,05:54 AM,06:19 PM,22,26,26,23,13,62,91,0.0,1011,23,10,330,8
2018-01-11 06:00:00,31,23,0.0,12.7,7,6,30,01:17 AM,01:48 PM,05:54 AM,06:19 PM,22,26,26,24,6,39,89,0.0,1011,23,10,325,4
2018-01-11 12:00:00,31,23,0.0,12.7,7,8,30,01:17 AM,01:48 PM,05:54 AM,06:19 PM,18,34,34,32,5,24,44,0.0,1010,31,10,193,5
2018-01-11 18:00:00,31,23,0.0,12.7,7,1,30,01:17 AM,01:48 PM,05:54 AM,06:19 PM,20,28,28,26,11,47,67,0.0,1010,26,10,278,6
2018-01-12 00:00:00,32,23,0.0,12.6,7,1,23,02:01 AM,02:34 PM,05:55 AM,06:19 PM,20,26,26,24,6,48,80,0.0,1010,23,10,53,4
2018-01-12 06:00:00,32,23,0.0,12.6,7,6,23,02:01 AM,02:34 PM,05:55 AM,06:19 PM,20,25,25,23,13,44,81,0.0,1010,23,10,343,9
2018-01-12 12:00:00,32,23,0.0,12.6,7,8,23,02:01 AM,02:34 PM,05:55 AM,06:19 PM,19,34,34,32,9,45,45,0.0,1009,32,10,272,8
2018-01-12 18:00:00,32,23,0.0,12.6,7,1,23,02:01 AM,02:34 PM,05:55 AM,06:19 PM,20,29,29,27,12,71,68,0.0,1009,26,10,8,6
2018-01-13 00:00:00,32,23,0.0,12.7,7,1,16,02:45 AM,03:21 PM,05:55 AM,06:20 PM,19,26,26,24,12,34,74,0.0,1010,24,10,314,7
2018-01-13 06:00:00,32,23,0.0,12.7,7,6,16,02:45 AM,03:21 PM,05:55 AM,06:20 PM,18,25,25,23,17,49,76,0.0,1010,23,10,336,11
2018-01-13 12:00:00,32,23,0.0,12.7,7,8,16,02:45 AM,03:21 PM,05:55 AM,06:20 PM,18,33,33,32,9,35,43,0.0,1008,32,10,329,8
2018-01-13 18:00:00,32,23,0.0,12.7,7,1,16,02:45 AM,03:21 PM,05:55 AM,06:20 PM,21,29,29,27,6,100,68,0.0,1009,27,10,346,3
2018-01-14 00:00:00,30,23,0.0,12.6,6,1,9,03:31 AM,04:09 PM,05:56 AM,06:20 PM,22,26,26,24,5,74,89,0.0,1011,23,10,317,3
2018-01-14 06:00:00,30,23,0.0,12.6,6,6,9,03:31 AM,04:09 PM,05:56 AM,06:20 PM,21,26,26,23,13,49,87,0.0,1011,23,10,359,9
2018-01-14 12:00:00,30,23,0.0,12.6,6,7,9,03:31 AM,04:09 PM,05:56 AM,06:20 PM,21,32,32,30,8,46,57,0.0,1009,30,10,324,7
2018-01-14 18:00:00,30,23,0.0,12.6,6,1,9,03:31 AM,04:09 PM,05:56 AM,06:20 PM,22,27,27,24,5,54,84,0.0,1010,24,10,72,3
