date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,16,0.0,8.7,6,1,97,05:22 PM,06:04 AM,07:14 AM,05:57 PM,5,17,17,17,27,1,45,0.0,1013,17,10,66,13
2018-01-01 06:00:00,26,16,0.0,8.7,6,1,97,05:22 PM,06:04 AM,07:14 AM,05:57 PM,5,17,17,17,18,0,45,0.0,1014,17,10,70,10
2018-01-01 12:00:00,26,16,0.0,8.7,6,7,97,05:22 PM,06:04 AM,07:14 AM,05:57 PM,5,26,26,28,6,0,23,0.0,1011,26,10,311,5
2018-01-01 18:00:00,26,16,0.0,8.7,6,6,97,05:22 PM,06:04 AM,07:14 AM,05:57 PM,2,20,20,20,20,0,30,0.0,1012,20,10,17,10
2018-01-02 00:00:00,26,15,0.0,8.7,5,1,100,06:26 PM,07:09 AM,07:15 AM,05:58 PM,4,17,17,17,28,0,44,0.0,1013,17,10,63,14
2018-01-02 06:00:00,26,15,0.0,8.7,5,1,100,06:26 PM,07:09 AM,07:15 AM,05:58 PM,5,17,17,17,32,0,44,0.0,1014,17,10,71,19
2018-01-02 12:00:00,26,15,0.0,8.7,5,7,100,06:26 PM,07:09 AM,07:15 AM,05:58 PM,-2,24,24,26,12,0,16,0.0,1012,26,10,59,11
2018-01-02 18:00:00,26,15,0.0,8.7,5,5,100,06:26 PM,07:09 AM,07:15 AM,05:58 PM,-3,19,19,19,31,0,22,0.0,1014,19,10,60,15
2018-01-03 00:00:00,26,14,0.0,8.7,5,1,89,07:32 PM,08:10 AM,07:15 AM,05:59 PM,-2,15,15,15,32,0,31,0.0,1014,15,10,79,15
2018-01-03 06:00:00,26,14,0.0,8.7,5,1,89,07:32 PM,08:10 AM,07:15 AM,05:59 PM,-2,15,15,15,33,0,32,0.0,1016,15,10,88,19
2018-01-03 12:00:00,26,14,0.0,8.7,5,7,89,07:32 PM,08:10 AM,07:15 AM,05:59 PM,2,26,26,28,5,0,19,0.0,1013,26,10,157,4
2018-01-03 18:00:00,26,14,0.0,8.7,5,5,89,07:32 PM,08:10 AM,07:15 AM,05:59 PM,-0,20,20,20,17,0,25,0.0,1014,20,10,22,8
2018-01-04 00:00:00,26,15,0.0,8.7,5,1,81,08:37 PM,09:07 AM,07:15 AM,05:59 PM,-5,16,16,16,24,0,23,0.0,1014,16,10,89,12
2018-01-04 06:00:00,26,15,0.0,8.7,5,1,81,08:37 PM,09:07 AM,07:15 AM,05:59 PM,-1,18,18,18,12,0,29,0.0,1016,16,10,95,8
2018-01-04 12:00:00,26,15,0.0,8.7,5,7,81,08:37 PM,09:07 AM,07:15 AM,05:59 PM,2,25,25,27,11,0,20,0.0,1013,26,10,267,10
2018-01-04 18:00:00,26,15,0.0,8.7,5,6,81,08:37 PM,09:07 AM,07:15 AM,05:59 PM,2,21,23,21,15,0,29,0.0,1013,20,10,49,8
2018-01-05 00:00:00,26,15,0.0,10.9,5,1,74,09:41 PM,09:58 AM,07:15 AM,06:00 PM,2,20,20,20,7,0,32,0.0,1013,17,10,359,4
2018-01-05 06:00:00,26,15,0.0,10.9,5,1,74,09:41 PM,09:58 AM,07:15 AM,06:00 PM,1,18,18,18,10,0,33,0.0,1015,16,10,50,7
2018-01-05 12:00:00,26,15,0.0,10.9,5,7,74,09:41 PM,09:58 AM,07:15 AM,06:00 PM,-2,26,26,28,6,0,15,0.0,1012,26,10,319,5
2018-01-05 18:00:00,26,15,0.0,10.9,5,5,74,09:41 PM,09:58 AM,07:15 AM,06:00 PM,-1,21,22,21,9,0,22,0.0,1013,19,10,338,5
2018-01-06 00:00:00,25,15,0.0,10.9,5,1,67,10:41 PM,10:43 AM,07:16 AM,06:01 PM,1,18,18,18,11,0,31,0.0,1013,16,10,62,6
2018-01-06 06:00:00,25,15,0.0,10.9,5,1,67,10:41 PM,10:43 AM,07:16 AM,06:01 PM,2,16,16,16,17,0,39,0.0,1014,16,10,80,10
2018-01-06 12:00:00,25,15,0.0,10.9,5,7,67,10:41 PM,10:43 AM,07:16 AM,06:01 PM,1,26,26,28,5,0,17,0.0,1012,25,10,287,4
2018-01-06 18:00:00,25,15,0.0,10.9,5,5,67,10:41 PM,10:43 AM,07:16 AM,06:01 PM,0,20,20,20,14,0,26,0.0,1013,19,10,337,7
2018-01-07 00:00:00,25,14,0.0,10.9,5,1,59,11:38 PM,11:25 AM,07:16 AM,06:01 PM,2,16,16,16,19,0,38,0.0,1014,16,10,58,9
2018-01-07 06:00:00,25,14,0.0,10.9,5,1,59,11:38 PM,11:25 AM,07:16 AM,06:01 PM,3,15,15,15,19,0,42,0.0,1016,15,10,54,11
2018-01-07 12:00:00,25,14,0.0,10.9,5,6,59,11:38 PM,11:25 AM,07:16 AM,06:01 PM,1,24,24,26,10,0,20,0.0,1014,25,10,18,9
2018-01-07 18:00:00,25,14,0.0,10.9,5,5,59,11:38 PM,11:25 AM,07:16 AM,06:01 PM,1,19,19,19,16,0,30,0.0,1014,19,10,23,8
2018-01-08 00:00:00,26,14,0.0,10.9,5,1,52,No moonrise,12:04 PM,07:16 AM,06:02 PM,0,16,16,16,29,0,35,0.0,1015,16,10,71,14
2018-01-08 06:00:00,26,14,0.0,10.9,5,1,52,No moonrise,12:04 PM,07:16 AM,06:02 PM,3,16,16,16,31,0,41,0.0,1017,16,10,77,17
2018-01-08 12:00:00,26,14,0.0,10.9,5,7,52,No moonrise,12:04 PM,07:16 AM,06:02 PM,4,25,25,27,6,3,23,0.0,1015,26,10,119,5
2018-01-08 18:00:00,26,14,0.0,10.9,5,5,52,No moonrise,12:04 PM,07:16 AM,06:02 PM,2,20,20,20,24,3,31,0.0,1016,20,10,45,12
2018-01-09 00:00:00,27,15,0.0,10.9,6,1,45,12:33 AM,12:42 PM,07:16 AM,06:03 PM,1,17,17,17,33,0,34,0.0,1017,16,10,84,16
2018-01-09 06:00:00,27,15,0.0,10.9,6,1,45,12:33 AM,12:42 PM,07:16 AM,06:03 PM,1,16,16,16,30,0,37,0.0,1019,16,10,80,17
2018-01-09 12:00:00,27,15,0.0,10.9,6,7,45,12:33 AM,12:42 PM,07:16 AM,06:03 PM,4,26,26,27,12,4,23,0.0,1017,27,10,76,10
2018-01-09 18:00:00,27,15,0.0,10.9,6,6,45,12:33 AM,12:42 PM,07:16 AM,06:03 PM,3,20,20,20,31,2,32,0.0,1018,20,10,72,15
2018-01-10 00:00:00,27,15,0.0,10.9,6,1,38,01:26 AM,01:19 PM,07:16 AM,06:03 PM,-1,17,17,17,24,0,29,0.0,1018,17,10,82,12
2018-01-10 06:00:00,27,15,0.0,10.9,6,1,38,01:26 AM,01:19 PM,07:16 AM,06:03 PM,1,17,17,17,29,0,35,0.0,1020,17,10,78,15
2018-01-10 12:00:00,27,15,0.0,10.9,6,7,38,01:26 AM,01:19 PM,07:16 AM,06:03 PM,2,25,25,27,12,0,19,0.0,1017,27,10,56,10
