date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,10,0.0,8.7,4,1,97,04:48 PM,05:42 AM,06:54 AM,05:23 PM,7,17,17,17,8,0,54,0.0,1012,12,10,291,6
2018-01-01 06:00:00,20,10,0.0,8.7,4,4,97,04:48 PM,05:42 AM,06:54 AM,05:23 PM,9,17,17,17,5,0,60,0.0,1015,13,10,322,5
2018-01-01 12:00:00,20,10,0.0,8.7,4,6,97,04:48 PM,05:42 AM,06:54 AM,05:23 PM,6,24,24,24,8,0,33,0.0,1013,20,10,326,7
2018-01-01 18:00:00,20,10,0.0,8.7,4,4,97,04:48 PM,05:42 AM,06:54 AM,05:23 PM,6,18,18,18,6,0,48,0.0,1013,14,10,280,4
2018-01-02 00:00:00,20,10,0.0,8.7,4,1,100,05:52 PM,06:47 AM,06:54 AM,05:24 PM,6,16,16,16,7,0,53,0.0,1012,12,10,301,6
2018-01-02 06:00:00,20,10,0.0,8.7,4,4,100,05:52 PM,06:47 AM,06:54 AM,05:24 PM,7,16,16,16,7,0,56,0.0,1014,12,10,302,6
2018-01-02 12:00:00,20,10,0.0,8.7,4,6,100,05:52 PM,06:47 AM,06:54 AM,05:24 PM,3,22,23,22,13,0,28,0.0,1013,20,10,316,11
2018-01-02 18:00:00,20,10,0.0,8.7,4,4,100,05:52 PM,06:47 AM,06:54 AM,05:24 PM,4,16,16,16,18,0,46,0.0,1014,14,10,313,10
2018-01-03 00:00:00,21,10,0.0,8.7,4,1,89,06:58 PM,07:49 AM,06:55 AM,05:25 PM,5,14,15,14,15,0,51,0.0,1013,12,10,318,9
2018-01-03 06:00:00,21,10,0.0,8.7,4,4,89,06:58 PM,07:49 AM,06:55 AM,05:25 PM,4,13,14,13,12,0,53,0.0,1015,12,10,278,10
2018-01-03 12:00:00,21,10,0.0,8.7,4,6,89,06:58 PM,07:49 AM,06:55 AM,05:25 PM,3,22,23,22,15,0,28,0.0,1013,21,10,284,13
2018-01-03 18:00:00,21,10,0.0,8.7,4,4,89,06:58 PM,07:49 AM,06:55 AM,05:25 PM,4,15,15,15,19,0,46,0.0,1014,14,10,271,10
2018-01-04 00:00:00,21,9,0.0,8.7,4,1,81,08:04 PM,08:44 AM,06:55 AM,05:26 PM,5,13,14,13,16,0,55,0.0,1013,11,10,286,10
2018-01-04 06:00:00,21,9,0.0,8.7,4,4,81,08:04 PM,08:44 AM,06:55 AM,05:26 PM,7,15,15,15,7,0,59,0.0,1015,12,10,252,6
