date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,11,0.0,8.7,4,1,97,04:52 PM,05:52 AM,07:05 AM,05:27 PM,4,18,18,18,5,0,40,0.0,1014,12,10,305,5
2018-01-01 06:00:00,21,11,0.0,8.7,4,4,97,04:52 PM,05:52 AM,07:05 AM,05:27 PM,5,17,17,17,6,0,45,0.0,1015,12,10,300,5
2018-01-01 12:00:00,21,11,0.0,8.7,4,6,97,04:52 PM,05:52 AM,07:05 AM,05:27 PM,2,24,24,24,12,0,24,0.0,1013,21,10,294,10
2018-01-01 18:00:00,21,11,0.0,8.7,4,4,97,04:52 PM,05:52 AM,07:05 AM,05:27 PM,2,17,17,17,9,2,35,0.0,1014,14,10,339,6
2018-01-02 00:00:00,20,10,0.0,8.7,4,1,100,05:56 PM,06:57 AM,07:05 AM,05:28 PM,-2,16,16,16,7,1,30,0.0,1014,11,10,5,6
2018-01-02 06:00:00,20,10,0.0,8.7,4,4,100,05:56 PM,06:57 AM,07:05 AM,05:28 PM,2,16,16,16,7,0,39,0.0,1015,11,10,301,6
2018-01-02 12:00:00,20,10,0.0,8.7,4,5,100,05:56 PM,06:57 AM,07:05 AM,05:28 PM,2,23,23,23,9,0,25,0.0,1013,20,10,285,8
2018-01-02 18:00:00,20,10,0.0,8.7,4,4,100,05:56 PM,06:57 AM,07:05 AM,05:28 PM,3,16,16,16,16,0,41,0.0,1015,14,10,284,10
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,07:03 PM,07:59 AM,07:05 AM,05:29 PM,4,13,14,13,14,0,50,0.0,1015,10,10,295,10
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,07:03 PM,07:59 AM,07:05 AM,05:29 PM,5,14,14,14,10,0,53,0.0,1016,11,10,289,8
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,07:03 PM,07:59 AM,07:05 AM,05:29 PM,3,23,23,23,17,0,27,0.0,1014,21,10,292,14
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,07:03 PM,07:59 AM,07:05 AM,05:29 PM,4,15,15,15,22,0,48,0.0,1014,13,10,273,12
2018-01-04 00:00:00,21,8,0.0,8.7,4,1,81,08:10 PM,08:54 AM,07:05 AM,05:30 PM,4,12,13,12,15,0,56,0.0,1015,10,10,302,11
2018-01-04 06:00:00,21,8,0.0,8.7,4,4,81,08:10 PM,08:54 AM,07:05 AM,05:30 PM,6,14,14,14,9,0,59,0.0,1016,10,10,284,8
2018-01-04 12:00:00,21,8,0.0,8.7,4,6,81,08:10 PM,08:54 AM,07:05 AM,05:30 PM,3,24,24,24,11,0,26,0.0,1014,21,10,286,10
2018-01-04 18:00:00,21,8,0.0,8.7,4,4,81,08:10 PM,08:54 AM,07:05 AM,05:30 PM,4,17,17,17,1,0,43,0.0,1015,13,10,27,0
2018-01-05 00:00:00,20,8,0.0,8.7,4,1,74,09:15 PM,09:43 AM,07:05 AM,05:30 PM,5,15,15,15,6,0,51,0.0,1016,10,10,13,5
2018-01-05 06:00:00,20,8,0.0,8.7,4,4,74,09:15 PM,09:43 AM,07:05 AM,05:30 PM,4,16,16,16,3,0,47,0.0,1016,10,10,306,3
2018-01-05 12:00:00,20,8,0.0,8.7,4,5,74,09:15 PM,09:43 AM,07:05 AM,05:30 PM,3,23,23,23,12,0,27,0.0,1013,20,10,284,10
