date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,24,13,0.0,10.7,5,1,97,05:31 PM,06:20 AM,07:31 AM,06:05 PM,-14,15,15,15,27,0,12,0.0,1014,15,10,19,13
2018-01-01 06:00:00,24,13,0.0,10.7,5,1,97,05:31 PM,06:20 AM,07:31 AM,06:05 PM,-15,14,14,14,25,0,12,0.0,1015,14,10,35,12
2018-01-01 12:00:00,24,13,0.0,10.7,5,6,97,05:31 PM,06:20 AM,07:31 AM,06:05 PM,-12,23,23,24,19,0,8,0.0,1013,24,10,45,16
2018-01-01 18:00:00,24,13,0.0,10.7,5,5,97,05:31 PM,06:20 AM,07:31 AM,06:05 PM,-12,19,19,19,23,0,12,0.0,1014,19,10,40,11
2018-01-02 00:00:00,25,14,0.0,10.7,5,1,100,06:35 PM,07:26 AM,07:32 AM,06:06 PM,-11,15,15,15,26,0,15,0.0,1014,15,10,47,13
2018-01-02 06:00:00,25,14,0.0,10.7,5,1,100,06:35 PM,07:26 AM,07:32 AM,06:06 PM,-10,13,14,13,28,0,18,0.0,1015,14,10,66,13
2018-01-02 12:00:00,25,14,0.0,10.7,5,6,100,06:35 PM,07:26 AM,07:32 AM,06:06 PM,-11,24,24,25,16,0,9,0.0,1014,25,10,79,14
2018-01-02 18:00:00,25,14,0.0,10.7,5,5,100,06:35 PM,07:26 AM,07:32 AM,06:06 PM,-11,19,19,19,20,0,13,0.0,1014,18,10,69,9
2018-01-03 00:00:00,24,13,0.0,10.7,5,1,89,07:41 PM,08:27 AM,07:32 AM,06:06 PM,-10,15,15,15,23,0,16,0.0,1014,15,10,67,11
2018-01-03 06:00:00,24,13,0.0,10.7,5,1,89,07:41 PM,08:27 AM,07:32 AM,06:06 PM,-9,14,14,14,21,0,20,0.0,1016,14,10,72,10
2018-01-03 12:00:00,24,13,0.0,10.7,5,6,89,07:41 PM,08:27 AM,07:32 AM,06:06 PM,-8,24,24,25,9,0,10,0.0,1014,24,10,100,8
2018-01-03 18:00:00,24,13,0.0,10.7,5,5,89,07:41 PM,08:27 AM,07:32 AM,06:06 PM,-8,19,19,19,11,0,16,0.0,1014,17,10,104,5
2018-01-04 00:00:00,25,13,0.0,10.8,5,1,81,08:47 PM,09:23 AM,07:32 AM,06:07 PM,-7,17,17,17,2,0,20,0.0,1014,13,10,153,1
2018-01-04 06:00:00,25,13,0.0,10.8,5,1,81,08:47 PM,09:23 AM,07:32 AM,06:07 PM,-3,16,16,16,19,0,27,0.0,1015,15,10,280,9
2018-01-04 12:00:00,25,13,0.0,10.8,5,6,81,08:47 PM,09:23 AM,07:32 AM,06:07 PM,-5,24,24,25,17,0,13,0.0,1013,25,10,221,14
2018-01-04 18:00:00,25,13,0.0,10.8,5,5,81,08:47 PM,09:23 AM,07:32 AM,06:07 PM,2,20,20,20,11,7,31,0.0,1014,19,10,261,5
2018-01-05 00:00:00,25,15,0.0,10.8,5,1,74,09:51 PM,10:13 AM,07:32 AM,06:08 PM,7,19,19,19,6,0,46,0.0,1014,16,10,317,3
2018-01-05 06:00:00,25,15,0.0,10.8,5,1,74,09:51 PM,10:13 AM,07:32 AM,06:08 PM,-0,16,16,16,20,0,33,0.0,1015,16,10,26,10
2018-01-05 12:00:00,25,15,0.0,10.8,5,6,74,09:51 PM,10:13 AM,07:32 AM,06:08 PM,-2,24,24,26,9,0,16,0.0,1013,25,10,18,8
2018-01-05 18:00:00,25,15,0.0,10.8,5,5,74,09:51 PM,10:13 AM,07:32 AM,06:08 PM,-5,20,20,20,23,0,18,0.0,1013,20,10,13,11
2018-01-06 00:00:00,24,14,0.0,10.8,5,1,67,10:52 PM,10:58 AM,07:32 AM,06:08 PM,-9,16,16,16,33,0,18,0.0,1013,16,10,26,16
2018-01-06 06:00:00,24,14,0.0,10.8,5,1,67,10:52 PM,10:58 AM,07:32 AM,06:08 PM,-6,14,15,14,24,3,23,0.0,1015,15,10,40,12
2018-01-06 12:00:00,24,14,0.0,10.8,5,6,67,10:52 PM,10:58 AM,07:32 AM,06:08 PM,-3,23,23,24,10,0,16,0.0,1013,24,10,6,9
2018-01-06 18:00:00,24,14,0.0,10.8,5,5,67,10:52 PM,10:58 AM,07:32 AM,06:08 PM,-2,19,19,19,21,0,23,0.0,1014,19,10,20,10
2018-01-07 00:00:00,23,14,0.0,10.8,5,1,59,11:51 PM,11:39 AM,07:33 AM,06:09 PM,-4,16,16,16,27,0,25,0.0,1015,15,10,21,13
2018-01-07 06:00:00,23,14,0.0,10.8,5,1,59,11:51 PM,11:39 AM,07:33 AM,06:09 PM,-5,14,14,14,24,0,25,0.0,1017,14,10,47,12
2018-01-07 12:00:00,23,14,0.0,10.8,5,6,59,11:51 PM,11:39 AM,07:33 AM,06:09 PM,-4,23,23,24,7,0,15,0.0,1015,23,10,16,6
2018-01-07 18:00:00,23,14,0.0,10.8,5,5,59,11:51 PM,11:39 AM,07:33 AM,06:09 PM,-6,18,18,18,16,0,19,0.0,1016,17,10,26,8
2018-01-08 00:00:00,23,13,0.0,10.8,5,1,52,No moonrise,12:17 PM,07:33 AM,06:10 PM,-6,14,15,14,20,0,24,0.0,1016,14,10,46,10
2018-01-08 06:00:00,23,13,0.0,10.8,5,1,52,No moonrise,12:17 PM,07:33 AM,06:10 PM,-5,13,14,13,26,0,28,0.0,1017,14,10,62,12
2018-01-08 12:00:00,23,13,0.0,10.8,5,6,52,No moonrise,12:17 PM,07:33 AM,06:10 PM,-6,23,23,23,12,0,14,0.0,1016,23,10,77,10
2018-01-08 18:00:00,23,13,0.0,10.8,5,5,52,No moonrise,12:17 PM,07:33 AM,06:10 PM,-6,18,18,18,23,0,18,0.0,1017,18,10,58,11
2018-01-09 00:00:00,26,14,0.0,10.8,5,1,45,12:46 AM,12:54 PM,07:33 AM,06:10 PM,-6,16,16,16,30,0,22,0.0,1018,16,10,44,14
2018-01-09 06:00:00,26,14,0.0,10.8,5,1,45,12:46 AM,12:54 PM,07:33 AM,06:10 PM,-5,14,15,14,32,0,25,0.0,1019,15,10,42,15
2018-01-09 12:00:00,26,14,0.0,10.8,5,7,45,12:46 AM,12:54 PM,07:33 AM,06:10 PM,2,25,25,26,15,8,22,0.0,1017,26,10,84,13
2018-01-09 18:00:00,26,14,0.0,10.8,5,6,45,12:46 AM,12:54 PM,07:33 AM,06:10 PM,4,21,23,21,24,7,32,0.0,1018,21,10,56,12
2018-01-10 00:00:00,27,16,0.0,10.8,6,1,38,01:40 AM,01:30 PM,07:33 AM,06:11 PM,-1,18,18,18,29,9,28,0.0,1019,18,10,44,14
2018-01-10 06:00:00,27,16,0.0,10.8,6,1,38,01:40 AM,01:30 PM,07:33 AM,06:11 PM,-3,17,17,17,31,13,25,0.0,1020,17,10,51,15
2018-01-10 12:00:00,27,16,0.0,10.8,6,7,38,01:40 AM,01:30 PM,07:33 AM,06:11 PM,2,25,25,27,10,8,20,0.0,1018,27,10,78,9
2018-01-10 18:00:00,27,16,0.0,10.8,6,6,38,01:40 AM,01:30 PM,07:33 AM,06:11 PM,2,23,23,22,28,4,27,0.0,1019,22,10,62,13
2018-01-11 00:00:00,27,17,0.0,10.8,6,1,30,02:32 AM,02:07 PM,07:33 AM,06:12 PM,-1,18,18,18,25,2,27,0.0,1018,18,10,49,12
2018-01-11 06:00:00,27,17,0.0,10.8,6,1,30,02:32 AM,02:07 PM,07:33 AM,06:12 PM,-3,17,17,17,22,0,24,0.0,1020,17,10,40,11
2018-01-11 12:00:00,27,17,0.0,10.8,6,7,30,02:32 AM,02:07 PM,07:33 AM,06:12 PM,-0,26,26,27,7,3,16,0.0,1017,27,10,37,6
2018-01-11 18:00:00,27,17,0.0,10.8,6,6,30,02:32 AM,02:07 PM,07:33 AM,06:12 PM,1,23,23,23,16,6,23,0.0,1017,22,10,32,8
2018-01-12 00:00:00,28,17,0.0,10.8,6,1,23,03:25 AM,02:46 PM,07:33 AM,06:13 PM,-5,19,19,19,14,10,19,0.0,1016,18,10,17,7
2018-01-12 06:00:00,28,17,0.0,10.8,6,1,23,03:25 AM,02:46 PM,07:33 AM,06:13 PM,-3,20,20,20,10,7,21,0.0,1017,19,10,56,5
2018-01-12 12:00:00,28,17,0.0,10.8,6,7,23,03:25 AM,02:46 PM,07:33 AM,06:13 PM,2,26,26,28,7,6,19,0.0,1015,28,10,334,6
