date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,18,0.0,8.7,6,1,97,05:23 PM,05:59 AM,07:10 AM,05:58 PM,7,21,21,21,11,3,40,0.0,1012,19,10,47,6
2018-01-01 06:00:00,28,18,0.0,8.7,6,1,97,05:23 PM,05:59 AM,07:10 AM,05:58 PM,7,22,24,22,8,3,40,0.0,1013,20,10,68,6
2018-01-01 12:00:00,28,18,0.0,8.7,6,7,97,05:23 PM,05:59 AM,07:10 AM,05:58 PM,6,28,28,30,3,3,23,0.0,1010,28,10,214,3
2018-01-01 18:00:00,28,18,0.0,8.7,6,6,97,05:23 PM,05:59 AM,07:10 AM,05:58 PM,6,24,24,23,15,3,32,0.0,1012,22,10,26,8
2018-01-02 00:00:00,27,17,0.0,8.7,6,1,100,06:27 PM,07:04 AM,07:10 AM,05:59 PM,7,20,20,20,13,3,41,0.0,1012,19,10,15,8
2018-01-02 06:00:00,27,17,0.0,8.7,6,1,100,06:27 PM,07:04 AM,07:10 AM,05:59 PM,7,20,20,20,14,2,44,0.0,1014,19,10,65,10
2018-01-02 12:00:00,27,17,0.0,8.7,6,7,100,06:27 PM,07:04 AM,07:10 AM,05:59 PM,7,27,27,29,7,3,25,0.0,1011,27,10,66,6
2018-01-02 18:00:00,27,17,0.0,8.7,6,6,100,06:27 PM,07:04 AM,07:10 AM,05:59 PM,5,22,24,22,20,2,32,0.0,1013,22,10,42,10
2018-01-03 00:00:00,27,16,0.0,10.9,6,1,89,07:33 PM,08:06 AM,07:10 AM,06:00 PM,2,18,18,18,21,0,35,0.0,1014,18,10,58,12
2018-01-03 06:00:00,27,16,0.0,10.9,6,1,89,07:33 PM,08:06 AM,07:10 AM,06:00 PM,2,19,19,19,12,0,32,0.0,1016,18,10,75,10
2018-01-03 12:00:00,27,16,0.0,10.9,6,7,89,07:33 PM,08:06 AM,07:10 AM,06:00 PM,7,27,27,29,3,2,24,0.0,1013,27,10,178,3
2018-01-03 18:00:00,27,16,0.0,10.9,6,6,89,07:33 PM,08:06 AM,07:10 AM,06:00 PM,5,23,24,23,15,2,32,0.0,1014,22,10,58,8
2018-01-04 00:00:00,28,17,0.0,10.9,6,1,81,08:37 PM,09:03 AM,07:10 AM,06:00 PM,4,20,20,20,13,0,35,0.0,1014,18,10,76,8
2018-01-04 06:00:00,28,17,0.0,10.9,6,1,81,08:37 PM,09:03 AM,07:10 AM,06:00 PM,5,21,21,21,8,0,34,0.0,1016,19,10,92,7
2018-01-04 12:00:00,28,17,0.0,10.9,6,7,81,08:37 PM,09:03 AM,07:10 AM,06:00 PM,5,27,27,29,9,2,22,0.0,1013,28,10,251,8
2018-01-04 18:00:00,28,17,0.0,10.9,6,6,81,08:37 PM,09:03 AM,07:10 AM,06:00 PM,6,24,24,24,3,3,32,0.0,1014,22,10,27,1
2018-01-05 00:00:00,28,17,0.0,10.9,6,1,74,09:41 PM,09:54 AM,07:11 AM,06:01 PM,6,21,24,21,13,0,37,0.0,1013,19,10,12,8
2018-01-05 06:00:00,28,17,0.0,10.9,6,1,74,09:41 PM,09:54 AM,07:11 AM,06:01 PM,7,23,24,23,6,0,36,0.0,1015,20,10,45,5
2018-01-05 12:00:00,28,17,0.0,10.9,6,7,74,09:41 PM,09:54 AM,07:11 AM,06:01 PM,4,27,27,29,11,0,20,0.0,1012,28,10,271,10
2018-01-05 18:00:00,28,17,0.0,10.9,6,6,74,09:41 PM,09:54 AM,07:11 AM,06:01 PM,3,24,24,24,10,0,26,0.0,1013,22,10,355,6
2018-01-06 00:00:00,27,17,0.0,10.9,6,1,67,10:40 PM,10:40 AM,07:11 AM,06:02 PM,3,21,21,21,13,2,30,0.0,1013,18,10,11,8
2018-01-06 06:00:00,27,17,0.0,10.9,6,1,67,10:40 PM,10:40 AM,07:11 AM,06:02 PM,2,21,21,21,6,4,28,0.0,1014,19,10,44,5
2018-01-06 12:00:00,27,17,0.0,10.9,6,7,67,10:40 PM,10:40 AM,07:11 AM,06:02 PM,4,26,26,27,13,3,22,0.0,1011,27,10,253,11
2018-01-06 18:00:00,27,17,0.0,10.9,6,6,67,10:40 PM,10:40 AM,07:11 AM,06:02 PM,3,23,23,23,14,3,27,0.0,1013,22,10,329,8
2018-01-07 00:00:00,26,16,0.0,10.9,6,1,59,11:37 PM,11:23 AM,07:11 AM,06:02 PM,1,19,19,19,17,4,30,0.0,1014,18,10,6,9
2018-01-07 06:00:00,26,16,0.0,10.9,6,1,59,11:37 PM,11:23 AM,07:11 AM,06:02 PM,2,21,21,21,8,0,29,0.0,1015,18,10,30,7
2018-01-07 12:00:00,26,16,0.0,10.9,6,7,59,11:37 PM,11:23 AM,07:11 AM,06:02 PM,3,27,27,29,7,0,19,0.0,1013,26,10,276,6
2018-01-07 18:00:00,26,16,0.0,10.9,6,6,59,11:37 PM,11:23 AM,07:11 AM,06:02 PM,0,22,23,22,14,0,24,0.0,1014,21,10,21,8
2018-01-08 00:00:00,27,16,0.0,10.9,6,1,52,No moonrise,12:02 PM,07:11 AM,06:03 PM,1,19,19,19,16,0,31,0.0,1014,17,10,34,9
2018-01-08 06:00:00,27,16,0.0,10.9,6,1,52,No moonrise,12:02 PM,07:11 AM,06:03 PM,3,19,19,19,15,2,36,0.0,1016,18,10,67,10
2018-01-08 12:00:00,27,16,0.0,10.9,6,7,52,No moonrise,12:02 PM,07:11 AM,06:03 PM,6,26,26,28,11,4,26,0.0,1014,27,10,121,9
2018-01-08 18:00:00,27,16,0.0,10.9,6,6,52,No moonrise,12:02 PM,07:11 AM,06:03 PM,5,21,23,21,25,3,34,0.0,1015,21,10,48,12
