date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,10,0.0,8.7,5,1,97,04:30 PM,05:18 AM,06:31 AM,05:07 PM,9,18,18,18,9,1,55,0.0,1013,13,10,260,8
2018-01-01 06:00:00,22,10,0.0,8.7,5,4,97,04:30 PM,05:18 AM,06:31 AM,05:07 PM,7,15,15,15,10,12,59,0.0,1015,14,10,269,9
2018-01-01 12:00:00,22,10,0.0,8.7,5,6,97,04:30 PM,05:18 AM,06:31 AM,05:07 PM,9,25,25,25,10,2,36,0.0,1012,22,10,301,9
2018-01-01 18:00:00,22,10,0.0,8.7,5,5,97,04:30 PM,05:18 AM,06:31 AM,05:07 PM,9,18,18,18,12,0,54,0.0,1013,15,10,277,8
2018-01-02 00:00:00,23,10,0.0,8.7,5,1,100,05:34 PM,06:23 AM,06:31 AM,05:07 PM,10,17,17,17,11,0,64,0.0,1012,12,10,283,9
2018-01-02 06:00:00,23,10,0.0,8.7,5,4,100,05:34 PM,06:23 AM,06:31 AM,05:07 PM,9,17,17,17,12,0,60,0.0,1015,14,10,283,11
2018-01-02 12:00:00,23,10,0.0,8.7,5,6,100,05:34 PM,06:23 AM,06:31 AM,05:07 PM,7,24,24,24,17,0,33,0.0,1012,23,10,286,15
2018-01-02 18:00:00,23,10,0.0,8.7,5,4,100,05:34 PM,06:23 AM,06:31 AM,05:07 PM,5,17,17,17,22,0,45,0.0,1013,14,10,302,12
2018-01-03 00:00:00,20,9,0.0,8.7,4,1,89,06:40 PM,07:25 AM,06:32 AM,05:08 PM,7,16,16,16,10,0,54,0.0,1013,12,10,267,8
2018-01-03 06:00:00,20,9,0.0,8.7,4,4,89,06:40 PM,07:25 AM,06:32 AM,05:08 PM,6,13,14,13,19,0,57,0.0,1015,13,10,270,17
2018-01-03 12:00:00,20,9,0.0,8.7,4,6,89,06:40 PM,07:25 AM,06:32 AM,05:08 PM,5,21,23,21,19,0,34,0.0,1013,20,10,285,17
2018-01-03 18:00:00,20,9,0.0,8.7,4,4,89,06:40 PM,07:25 AM,06:32 AM,05:08 PM,6,16,16,16,18,0,51,0.0,1014,14,10,263,10
2018-01-04 00:00:00,21,9,0.0,8.7,4,1,81,07:46 PM,08:21 AM,06:32 AM,05:09 PM,7,15,15,15,13,0,58,0.0,1015,11,10,250,10
2018-01-04 06:00:00,21,9,0.0,8.7,4,4,81,07:46 PM,08:21 AM,06:32 AM,05:09 PM,9,18,18,18,7,0,57,0.0,1018,13,10,269,6
2018-01-04 12:00:00,21,9,0.0,8.7,4,6,81,07:46 PM,08:21 AM,06:32 AM,05:09 PM,7,25,25,25,10,0,32,0.0,1015,21,10,299,8
2018-01-04 18:00:00,21,9,0.0,8.7,4,4,81,07:46 PM,08:21 AM,06:32 AM,05:09 PM,6,17,17,17,10,0,47,0.0,1015,14,10,312,6
2018-01-05 00:00:00,21,9,0.0,8.7,4,1,74,08:50 PM,09:12 AM,06:32 AM,05:09 PM,8,17,17,17,4,0,53,0.0,1014,11,10,284,4
2018-01-05 06:00:00,21,9,0.0,8.7,4,4,74,08:50 PM,09:12 AM,06:32 AM,05:09 PM,7,18,18,18,7,0,50,0.0,1017,13,10,257,6
2018-01-05 12:00:00,21,9,0.0,8.7,4,6,74,08:50 PM,09:12 AM,06:32 AM,05:09 PM,6,24,24,24,11,0,31,0.0,1013,21,10,288,9
