date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,16,0.0,11.5,6,1,97,05:35 PM,05:51 AM,06:59 AM,06:12 PM,7,19,19,19,11,3,47,0.0,1011,17,10,103,6
2018-01-01 06:00:00,29,16,0.0,11.5,6,1,97,05:35 PM,05:51 AM,06:59 AM,06:12 PM,11,23,25,23,7,0,47,0.0,1012,20,10,128,6
2018-01-01 12:00:00,29,16,0.0,11.5,6,7,97,05:35 PM,05:51 AM,06:59 AM,06:12 PM,9,31,31,32,5,2,24,0.0,1009,29,10,12,4
2018-01-01 18:00:00,29,16,0.0,11.5,6,5,97,05:35 PM,05:51 AM,06:59 AM,06:12 PM,12,21,21,21,13,3,56,0.0,1010,20,10,287,7
2018-01-02 00:00:00,28,16,0.0,11.1,6,1,100,06:39 PM,06:55 AM,07:00 AM,06:12 PM,13,20,20,20,8,2,64,0.0,1010,17,10,349,5
2018-01-02 06:00:00,28,16,0.0,11.1,6,1,100,06:39 PM,06:55 AM,07:00 AM,06:12 PM,12,23,25,23,7,2,51,0.0,1011,20,10,24,6
2018-01-02 12:00:00,28,16,0.0,11.1,6,7,100,06:39 PM,06:55 AM,07:00 AM,06:12 PM,8,28,28,30,10,3,26,0.0,1009,28,10,109,8
2018-01-02 18:00:00,28,16,0.0,11.1,6,5,100,06:39 PM,06:55 AM,07:00 AM,06:12 PM,11,22,24,22,6,2,52,0.0,1010,20,10,276,3
2018-01-03 00:00:00,29,16,0.0,11.1,6,1,89,07:44 PM,07:58 AM,07:00 AM,06:13 PM,12,20,20,20,10,2,63,0.0,1011,17,10,8,5
2018-01-03 06:00:00,29,16,0.0,11.1,6,1,89,07:44 PM,07:58 AM,07:00 AM,06:13 PM,10,21,24,21,10,5,48,0.0,1013,20,10,69,8
2018-01-03 12:00:00,29,16,0.0,11.1,6,7,89,07:44 PM,07:58 AM,07:00 AM,06:13 PM,11,28,28,29,12,6,32,0.0,1010,29,10,135,10
2018-01-03 18:00:00,29,16,0.0,11.1,6,6,89,07:44 PM,07:58 AM,07:00 AM,06:13 PM,14,21,21,21,17,5,66,0.0,1012,20,10,266,9
2018-01-04 00:00:00,28,17,0.0,11.1,6,1,81,08:47 PM,08:56 AM,07:00 AM,06:13 PM,14,20,20,20,10,6,68,0.0,1012,18,10,319,5
2018-01-04 06:00:00,28,17,0.0,11.1,6,1,81,08:47 PM,08:56 AM,07:00 AM,06:13 PM,13,21,24,21,10,8,58,0.0,1014,20,10,24,8
2018-01-04 12:00:00,28,17,0.0,11.1,6,7,81,08:47 PM,08:56 AM,07:00 AM,06:13 PM,11,28,28,29,9,7,34,0.0,1011,28,10,128,8
2018-01-04 18:00:00,28,17,0.0,11.1,6,6,81,08:47 PM,08:56 AM,07:00 AM,06:13 PM,15,21,24,21,11,6,65,0.0,1012,20,10,287,6
2018-01-05 00:00:00,28,17,0.0,11.1,6,1,74,09:48 PM,09:49 AM,07:01 AM,06:14 PM,12,20,20,20,9,9,62,0.0,1012,19,10,28,5
2018-01-05 06:00:00,28,17,0.0,11.1,6,1,74,09:48 PM,09:49 AM,07:01 AM,06:14 PM,12,21,24,21,11,7,56,0.0,1013,20,10,105,9
2018-01-05 12:00:00,28,17,0.0,11.1,6,7,74,09:48 PM,09:49 AM,07:01 AM,06:14 PM,10,27,27,28,11,5,31,0.0,1010,28,10,95,10
2018-01-05 18:00:00,28,17,0.0,11.1,6,6,74,09:48 PM,09:49 AM,07:01 AM,06:14 PM,11,22,24,22,2,6,51,0.0,1011,20,10,132,1
2018-01-06 00:00:00,27,16,0.0,11.1,6,1,67,10:45 PM,10:37 AM,07:01 AM,06:14 PM,10,19,19,19,7,6,53,0.0,1011,18,10,75,4
2018-01-06 06:00:00,27,16,0.0,11.1,6,1,67,10:45 PM,10:37 AM,07:01 AM,06:14 PM,10,21,24,21,8,2,47,0.0,1013,19,10,87,7
2018-01-06 12:00:00,27,16,0.0,11.1,6,7,67,10:45 PM,10:37 AM,07:01 AM,06:14 PM,7,27,27,28,10,3,26,0.0,1010,27,10,89,9
2018-01-06 18:00:00,27,16,0.0,11.1,6,5,67,10:45 PM,10:37 AM,07:01 AM,06:14 PM,11,21,24,21,9,4,52,0.0,1011,20,10,285,5
2018-01-07 00:00:00,28,16,0.0,11.1,6,1,59,11:39 PM,11:22 AM,07:01 AM,06:15 PM,12,19,19,19,7,4,63,0.0,1012,17,10,1,4
2018-01-07 06:00:00,28,16,0.0,11.1,6,1,59,11:39 PM,11:22 AM,07:01 AM,06:15 PM,12,21,21,21,5,5,56,0.0,1013,19,10,61,5
2018-01-07 12:00:00,28,16,0.0,11.1,6,7,59,11:39 PM,11:22 AM,07:01 AM,06:15 PM,9,28,28,29,7,4,29,0.0,1011,28,10,104,6
2018-01-07 18:00:00,28,16,0.0,11.1,6,5,59,11:39 PM,11:22 AM,07:01 AM,06:15 PM,11,21,21,21,15,4,55,0.0,1012,20,10,267,8
2018-01-08 00:00:00,27,16,0.0,11.1,6,1,52,No moonrise,12:04 PM,07:02 AM,06:16 PM,12,19,19,19,9,4,63,0.0,1012,17,10,18,5
2018-01-08 06:00:00,27,16,0.0,11.1,6,1,52,No moonrise,12:04 PM,07:02 AM,06:16 PM,11,21,24,21,6,4,51,0.0,1014,20,10,92,5
2018-01-08 12:00:00,27,16,0.0,11.1,6,7,52,No moonrise,12:04 PM,07:02 AM,06:16 PM,7,27,27,28,13,3,27,0.0,1011,27,10,109,12
2018-01-08 18:00:00,27,16,0.0,11.1,6,5,52,No moonrise,12:04 PM,07:02 AM,06:16 PM,10,22,24,22,3,3,47,0.0,1013,20,10,158,1
2018-01-09 00:00:00,27,16,0.0,11.1,6,1,45,12:31 AM,12:44 PM,07:02 AM,06:16 PM,7,18,18,18,31,3,50,0.0,1013,18,10,93,15
2018-01-09 06:00:00,27,16,0.0,11.1,6,1,45,12:31 AM,12:44 PM,07:02 AM,06:16 PM,9,19,19,19,30,2,55,0.0,1015,18,10,94,21
2018-01-09 12:00:00,27,16,0.0,11.1,6,7,45,12:31 AM,12:44 PM,07:02 AM,06:16 PM,10,27,27,27,22,7,33,0.0,1013,27,10,103,19
2018-01-09 18:00:00,27,16,0.0,11.1,6,6,45,12:31 AM,12:44 PM,07:02 AM,06:16 PM,11,22,24,22,14,8,50,0.0,1014,21,10,90,7
2018-01-10 00:00:00,29,17,0.0,11.2,6,1,38,01:22 AM,01:25 PM,07:02 AM,06:17 PM,12,19,19,19,19,6,64,0.0,1015,18,10,82,11
2018-01-10 06:00:00,29,17,0.0,11.2,6,1,38,01:22 AM,01:25 PM,07:02 AM,06:17 PM,13,19,19,19,28,4,66,0.0,1016,19,10,102,20
2018-01-10 12:00:00,29,17,0.0,11.2,6,7,38,01:22 AM,01:25 PM,07:02 AM,06:17 PM,13,28,28,29,19,11,37,0.0,1013,29,10,109,16
2018-01-10 18:00:00,29,17,0.0,11.2,6,6,38,01:22 AM,01:25 PM,07:02 AM,06:17 PM,13,25,25,24,14,12,52,0.0,1014,23,10,94,7
2018-01-11 00:00:00,30,19,0.0,11.2,6,1,30,02:11 AM,02:05 PM,07:02 AM,06:17 PM,13,21,21,21,18,12,61,0.0,1014,20,10,90,10
2018-01-11 06:00:00,30,19,0.0,11.2,6,1,30,02:11 AM,02:05 PM,07:02 AM,06:17 PM,13,22,24,22,20,12,59,0.0,1016,21,10,118,14
2018-01-11 12:00:00,30,19,0.0,11.2,6,7,30,02:11 AM,02:05 PM,07:02 AM,06:17 PM,14,30,30,30,14,13,38,0.0,1012,30,10,110,12
2018-01-11 18:00:00,30,19,0.0,11.2,6,6,30,02:11 AM,02:05 PM,07:02 AM,06:17 PM,15,26,26,26,2,10,54,0.0,1013,24,10,25,1
2018-01-12 00:00:00,30,20,0.0,11.2,6,1,23,03:00 AM,02:46 PM,07:02 AM,06:18 PM,13,22,25,22,13,15,57,0.0,1013,21,10,67,7
2018-01-12 06:00:00,30,20,0.0,11.2,6,1,23,03:00 AM,02:46 PM,07:02 AM,06:18 PM,15,25,25,24,16,22,58,0.0,1014,23,10,101,12
2018-01-12 12:00:00,30,20,0.0,11.2,6,8,23,03:00 AM,02:46 PM,07:02 AM,06:18 PM,14,30,30,30,16,15,38,0.0,1012,30,10,105,14
2018-01-12 18:00:00,30,20,0.0,11.2,6,7,23,03:00 AM,02:46 PM,07:02 AM,06:18 PM,16,27,27,26,7,30,56,0.0,1013,25,10,248,4
2018-01-13 00:00:00,31,20,0.0,11.2,7,1,16,03:50 AM,03:30 PM,07:03 AM,06:19 PM,18,23,25,23,7,17,76,0.0,1013,22,10,16,4
2018-01-13 06:00:00,31,20,0.0,11.2,7,1,16,03:50 AM,03:30 PM,07:03 AM,06:19 PM,16,26,26,24,11,7,60,0.0,1014,23,10,76,9
2018-01-13 12:00:00,31,20,0.0,11.2,7,8,16,03:50 AM,03:30 PM,07:03 AM,06:19 PM,12,30,30,31,16,5,31,0.0,1011,31,10,110,14
2018-01-13 18:00:00,31,20,0.0,11.2,7,6,16,03:50 AM,03:30 PM,07:03 AM,06:19 PM,13,26,26,25,1,8,48,0.0,1012,24,10,173,1
2018-01-14 00:00:00,31,20,0.0,11.2,6,1,9,04:38 AM,04:14 PM,07:03 AM,06:19 PM,11,23,25,23,12,5,48,0.0,1013,21,10,70,6
2018-01-14 06:00:00,31,20,0.0,11.2,6,1,9,04:38 AM,04:14 PM,07:03 AM,06:19 PM,10,25,25,23,17,3,44,0.0,1014,22,10,102,12
2018-01-14 12:00:00,31,20,0.0,11.2,6,8,9,04:38 AM,04:14 PM,07:03 AM,06:19 PM,9,29,29,31,17,3,26,0.0,1012,31,10,93,15
2018-01-14 18:00:00,31,20,0.0,11.2,6,6,9,04:38 AM,04:14 PM,07:03 AM,06:19 PM,10,25,25,25,18,3,38,0.0,1013,24,10,69,9
2018-01-15 00:00:00,31,20,0.0,11.2,6,1,1,05:28 AM,05:01 PM,07:03 AM,06:20 PM,10,23,25,23,14,4,45,0.0,1013,21,10,101,7
2018-01-15 06:00:00,31,20,0.0,11.2,6,1,1,05:28 AM,05:01 PM,07:03 AM,06:20 PM,13,25,25,24,12,4,53,0.0,1015,22,10,121,9
2018-01-15 12:00:00,31,20,0.0,11.2,6,8,1,05:28 AM,05:01 PM,07:03 AM,06:20 PM,11,30,30,31,16,17,30,0.0,1012,31,10,84,14
2018-01-15 18:00:00,31,20,0.0,11.2,6,6,1,05:28 AM,05:01 PM,07:03 AM,06:20 PM,12,25,25,25,11,16,44,0.0,1013,24,10,63,5
2018-01-16 00:00:00,30,20,0.0,11.2,6,1,0,06:15 AM,05:50 PM,07:03 AM,06:20 PM,12,22,25,22,6,15,52,0.0,1012,21,10,40,3
2018-01-16 06:00:00,30,20,0.0,11.2,6,1,0,06:15 AM,05:50 PM,07:03 AM,06:20 PM,14,26,26,25,7,8,50,0.0,1014,23,10,46,5
2018-01-16 12:00:00,30,20,0.0,11.2,6,7,0,06:15 AM,05:50 PM,07:03 AM,06:20 PM,10,29,29,30,11,27,28,0.0,1010,30,10,24,10
2018-01-16 18:00:00,30,20,0.0,11.2,6,6,0,06:15 AM,05:50 PM,07:03 AM,06:20 PM,11,25,25,25,10,30,43,0.0,1011,24,10,327,5
2018-01-17 00:00:00,30,20,0.0,11.2,6,1,0,07:03 AM,06:39 PM,07:03 AM,06:21 PM,9,24,24,23,12,45,42,0.0,1011,22,10,49,6
2018-01-17 06:00:00,30,20,0.0,11.2,6,1,0,07:03 AM,06:39 PM,07:03 AM,06:21 PM,12,25,25,24,8,9,47,0.0,1013,23,10,97,6
2018-01-17 12:00:00,30,20,0.0,11.2,6,7,0,07:03 AM,06:39 PM,07:03 AM,06:21 PM,9,29,29,30,10,29,27,0.0,1010,30,10,41,8
2018-01-17 18:00:00,30,20,0.0,11.2,6,6,0,07:03 AM,06:39 PM,07:03 AM,06:21 PM,11,25,25,23,7,21,44,0.0,1012,23,10,46,3
2018-01-18 00:00:00,29,19,0.0,11.2,6,1,6,07:48 AM,07:29 PM,07:03 AM,06:22 PM,8,21,24,21,15,4,42,0.0,1012,20,10,77,8
2018-01-18 06:00:00,29,19,0.0,11.2,6,1,6,07:48 AM,07:29 PM,07:03 AM,06:22 PM,10,22,24,22,19,3,46,0.0,1014,22,10,101,13
2018-01-18 12:00:00,29,19,0.0,11.2,6,7,6,07:48 AM,07:29 PM,07:03 AM,06:22 PM,9,28,28,29,19,4,28,0.0,1011,29,10,67,16
2018-01-18 18:00:00,29,19,0.0,11.2,6,6,6,07:48 AM,07:29 PM,07:03 AM,06:22 PM,8,24,24,23,17,4,39,0.0,1012,22,10,71,9
2018-01-19 00:00:00,28,18,0.0,11.2,6,1,13,08:31 AM,08:19 PM,07:03 AM,06:22 PM,10,22,24,22,11,0,48,0.0,1013,19,10,78,8
2018-01-19 06:00:00,28,18,0.0,11.2,6,1,13,08:31 AM,08:19 PM,07:03 AM,06:22 PM,10,23,24,23,11,0,45,0.0,1015,21,10,116,9
2018-01-19 12:00:00,28,18,0.0,11.2,6,7,13,08:31 AM,08:19 PM,07:03 AM,06:22 PM,5,27,27,29,15,0,22,0.0,1012,28,10,78,13
2018-01-19 18:00:00,28,18,0.0,11.2,6,6,13,08:31 AM,08:19 PM,07:03 AM,06:22 PM,6,23,24,23,16,2,34,0.0,1013,21,10,73,9
2018-01-20 00:00:00,28,17,0.0,11.2,6,1,20,09:13 AM,09:09 PM,07:03 AM,06:23 PM,8,21,24,21,11,0,44,0.0,1013,18,10,82,7
2018-01-20 06:00:00,28,17,0.0,11.2,6,1,20,09:13 AM,09:09 PM,07:03 AM,06:23 PM,6,20,20,20,15,0,40,0.0,1014,19,10,80,12
2018-01-20 12:00:00,28,17,0.0,11.2,6,7,20,09:13 AM,09:09 PM,07:03 AM,06:23 PM,6,27,27,29,14,1,23,0.0,1012,28,10,89,12
2018-01-20 18:00:00,28,17,0.0,11.2,6,6,20,09:13 AM,09:09 PM,07:03 AM,06:23 PM,7,23,24,23,12,3,37,0.0,1013,21,10,78,6
2018-01-21 00:00:00,29,17,0.0,11.2,6,1,28,09:54 AM,09:59 PM,07:03 AM,06:23 PM,9,22,24,22,7,0,43,0.0,1012,18,10,84,5
2018-01-21 06:00:00,29,17,0.0,11.2,6,1,28,09:54 AM,09:59 PM,07:03 AM,06:23 PM,7,22,24,22,10,0,38,0.0,1013,20,10,90,9
2018-01-21 12:00:00,29,17,0.0,11.2,6,7,28,09:54 AM,09:59 PM,07:03 AM,06:23 PM,3,27,27,30,15,0,18,0.0,1010,29,10,89,13
2018-01-21 18:00:00,29,17,0.0,11.2,6,6,28,09:54 AM,09:59 PM,07:03 AM,06:23 PM,5,24,24,24,11,0,31,0.0,1011,21,10,92,6
2018-01-22 00:00:00,29,16,0.0,11.2,6,1,35,10:34 AM,10:49 PM,07:03 AM,06:24 PM,8,20,20,20,14,0,44,0.0,1011,18,10,107,8
2018-01-22 06:00:00,29,16,0.0,11.2,6,1,35,10:34 AM,10:49 PM,07:03 AM,06:24 PM,6,21,24,21,10,0,38,0.0,1012,19,10,115,9
2018-01-22 12:00:00,29,16,0.0,11.2,6,7,35,10:34 AM,10:49 PM,07:03 AM,06:24 PM,7,29,29,31,10,0,23,0.0,1009,29,10,120,8
2018-01-22 18:00:00,29,16,0.0,11.2,6,6,35,10:34 AM,10:49 PM,07:03 AM,06:24 PM,10,23,25,23,8,2,44,0.0,1011,20,10,245,5
2018-01-23 00:00:00,30,16,0.0,11.2,6,1,42,11:14 AM,11:41 PM,07:03 AM,06:24 PM,13,20,20,20,5,3,65,0.0,1011,17,10,295,3
2018-01-23 06:00:00,30,16,0.0,11.2,6,1,42,11:14 AM,11:41 PM,07:03 AM,06:24 PM,12,22,24,22,4,4,55,0.0,1013,20,10,31,3
2018-01-23 12:00:00,30,16,0.0,11.2,6,8,42,11:14 AM,11:41 PM,07:03 AM,06:24 PM,11,31,31,32,5,5,28,0.0,1009,30,10,215,4
2018-01-23 18:00:00,30,16,0.0,11.2,6,6,42,11:14 AM,11:41 PM,07:03 AM,06:24 PM,15,20,20,20,22,6,70,0.0,1011,20,10,272,13
2018-01-24 00:00:00,29,16,0.0,11.2,6,1,49,11:56 AM,No moonset,07:03 AM,06:25 PM,13,19,19,19,7,9,71,0.0,1011,17,10,328,4
2018-01-24 06:00:00,29,16,0.0,11.2,6,1,49,11:56 AM,No moonset,07:03 AM,06:25 PM,12,20,20,20,10,6,61,0.0,1013,19,10,24,8
2018-01-24 12:00:00,29,16,0.0,11.2,6,7,49,11:56 AM,No moonset,07:03 AM,06:25 PM,9,29,29,30,10,4,27,0.0,1010,29,10,39,8
2018-01-24 18:00:00,29,16,0.0,11.2,6,6,49,11:56 AM,No moonset,07:03 AM,06:25 PM,12,23,25,23,6,3,50,0.0,1011,21,10,291,3
2018-01-25 00:00:00,31,17,0.0,11.2,6,1,57,12:40 PM,12:34 AM,07:03 AM,06:25 PM,13,20,20,20,7,4,63,0.0,1011,17,10,347,4
2018-01-25 06:00:00,31,17,0.0,11.2,6,1,57,12:40 PM,12:34 AM,07:03 AM,06:25 PM,13,23,25,23,8,0,53,0.0,1012,20,10,25,7
2018-01-25 12:00:00,31,17,0.0,11.2,6,8,57,12:40 PM,12:34 AM,07:03 AM,06:25 PM,8,31,31,33,7,0,21,0.0,1009,31,10,73,6
2018-01-25 18:00:00,31,17,0.0,11.2,6,6,57,12:40 PM,12:34 AM,07:03 AM,06:25 PM,11,25,25,25,3,0,41,0.0,1010,21,10,325,2
2018-01-26 00:00:00,29,17,0.0,11.2,6,1,64,01:27 PM,01:30 AM,07:03 AM,06:26 PM,6,21,24,21,13,0,38,0.0,1010,18,10,66,8
2018-01-26 06:00:00,29,17,0.0,11.2,6,1,64,01:27 PM,01:30 AM,07:03 AM,06:26 PM,8,22,24,22,10,0,41,0.0,1013,20,10,92,9
2018-01-26 12:00:00,29,17,0.0,11.2,6,7,64,01:27 PM,01:30 AM,07:03 AM,06:26 PM,6,28,28,30,15,0,23,0.0,1010,29,10,89,13
2018-01-26 18:00:00,29,17,0.0,11.2,6,6,64,01:27 PM,01:30 AM,07:03 AM,06:26 PM,9,24,25,24,3,3,41,0.0,1010,22,10,302,1
2018-01-27 00:00:00,30,17,0.0,11.2,6,1,71,02:19 PM,02:29 AM,07:03 AM,06:26 PM,9,21,21,21,7,5,47,0.0,1011,19,10,65,4
2018-01-27 06:00:00,30,17,0.0,11.2,6,1,71,02:19 PM,02:29 AM,07:03 AM,06:26 PM,11,23,24,23,7,3,47,0.0,1012,21,10,126,6
2018-01-27 12:00:00,30,17,0.0,11.2,6,8,71,02:19 PM,02:29 AM,07:03 AM,06:26 PM,10,31,31,32,5,4,26,0.0,1010,30,10,105,5
2018-01-27 18:00:00,30,17,0.0,11.2,6,6,71,02:19 PM,02:29 AM,07:03 AM,06:26 PM,11,23,25,23,15,4,49,0.0,1010,22,10,275,9
2018-01-28 00:00:00,31,18,0.0,11.2,6,1,78,03:15 PM,03:30 AM,07:03 AM,06:27 PM,11,21,24,21,10,5,52,0.0,1011,19,10,359,5
2018-01-28 06:00:00,31,18,0.0,11.2,6,1,78,03:15 PM,03:30 AM,07:03 AM,06:27 PM,9,23,24,23,7,7,43,0.0,1013,21,10,61,6
2018-01-28 12:00:00,31,18,0.0,11.2,6,8,78,03:15 PM,03:30 AM,07:03 AM,06:27 PM,11,32,32,33,5,3,25,0.0,1011,31,10,91,4
2018-01-28 18:00:00,31,18,0.0,11.2,6,6,78,03:15 PM,03:30 AM,07:03 AM,06:27 PM,12,25,25,24,3,5,47,0.0,1012,23,10,315,2
2018-01-29 00:00:00,30,18,0.0,11.3,6,1,86,04:16 PM,04:33 AM,07:03 AM,06:28 PM,10,21,24,21,14,5,47,0.0,1012,20,10,78,8
2018-01-29 06:00:00,30,18,0.0,11.3,6,1,86,04:16 PM,04:33 AM,07:03 AM,06:28 PM,10,23,24,23,14,0,43,0.0,1014,22,10,93,12
2018-01-29 12:00:00,30,18,0.0,11.3,6,8,86,04:16 PM,04:33 AM,07:03 AM,06:28 PM,7,28,28,30,16,2,24,0.0,1012,30,10,83,14
2018-01-29 18:00:00,30,18,0.0,11.3,6,6,86,04:16 PM,04:33 AM,07:03 AM,06:28 PM,9,25,25,25,16,2,36,0.0,1013,23,10,68,9
2018-01-30 00:00:00,29,18,0.0,11.3,6,1,93,05:20 PM,05:36 AM,07:02 AM,06:28 PM,10,22,24,22,15,0,48,0.0,1014,20,10,85,9
2018-01-30 06:00:00,29,18,0.0,11.3,6,1,93,05:20 PM,05:36 AM,07:02 AM,06:28 PM,9,21,21,21,27,0,46,0.0,1015,20,10,85,19
2018-01-30 12:00:00,29,18,0.0,11.3,6,7,93,05:20 PM,05:36 AM,07:02 AM,06:28 PM,6,28,28,29,22,0,23,0.0,1012,29,10,74,19
2018-01-30 18:00:00,29,18,0.0,11.3,6,6,93,05:20 PM,05:36 AM,07:02 AM,06:28 PM,4,23,24,23,17,0,28,0.0,1014,22,10,71,9
2018-01-31 00:00:00,30,17,0.0,11.3,6,1,97,06:24 PM,06:36 AM,07:02 AM,06:29 PM,3,21,21,21,11,0,30,0.0,1014,18,10,83,7
2018-01-31 06:00:00,30,17,0.0,11.3,6,1,97,06:24 PM,06:36 AM,07:02 AM,06:29 PM,2,21,21,21,17,0,29,0.0,1016,20,10,77,12
2018-01-31 12:00:00,30,17,0.0,11.3,6,7,97,06:24 PM,06:36 AM,07:02 AM,06:29 PM,-1,28,28,30,22,0,14,0.0,1012,30,10,79,19
2018-01-31 18:00:00,30,17,0.0,11.3,6,6,97,06:24 PM,06:36 AM,07:02 AM,06:29 PM,-1,23,23,23,18,0,20,0.0,1014,22,10,69,9
2018-02-01 00:00:00,31,17,0.0,11.3,6,1,88,07:28 PM,07:33 AM,07:02 AM,06:29 PM,-2,20,20,20,20,0,23,0.0,1014,18,10,107,10
