date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,17,0.0,11.6,6,1,97,05:27 PM,05:34 AM,06:42 AM,06:04 PM,14,19,19,19,14,19,76,0.0,1012,18,10,98,9
2018-01-01 06:00:00,28,17,0.0,11.6,6,1,97,05:27 PM,05:34 AM,06:42 AM,06:04 PM,16,21,21,21,7,10,75,0.0,1013,20,10,99,6
2018-01-01 12:00:00,28,17,0.0,11.6,6,7,97,05:27 PM,05:34 AM,06:42 AM,06:04 PM,12,29,29,30,2,6,34,0.0,1008,28,10,281,1
2018-01-01 18:00:00,28,17,0.0,11.6,6,6,97,05:27 PM,05:34 AM,06:42 AM,06:04 PM,10,25,25,24,7,4,41,0.0,1010,23,10,218,5
2018-01-02 00:00:00,28,17,0.0,11.6,6,1,100,06:31 PM,06:38 AM,06:42 AM,06:05 PM,14,20,20,20,15,8,70,0.0,1011,19,10,110,10
2018-01-02 06:00:00,28,17,0.0,11.6,6,1,100,06:31 PM,06:38 AM,06:42 AM,06:05 PM,15,21,24,21,7,8,69,0.0,1012,20,10,150,6
2018-01-02 12:00:00,28,17,0.0,11.6,6,7,100,06:31 PM,06:38 AM,06:42 AM,06:05 PM,11,28,28,29,6,5,31,0.0,1009,28,10,284,5
2018-01-02 18:00:00,28,17,0.0,11.6,6,6,100,06:31 PM,06:38 AM,06:42 AM,06:05 PM,10,25,25,24,10,17,42,0.0,1011,23,10,47,6
2018-01-03 00:00:00,27,19,0.0,11.6,6,1,89,07:35 PM,07:41 AM,06:42 AM,06:06 PM,16,19,19,19,21,16,80,0.0,1012,19,10,103,13
2018-01-03 06:00:00,27,19,0.0,11.6,6,1,89,07:35 PM,07:41 AM,06:42 AM,06:06 PM,16,21,24,21,16,20,70,0.2,1014,21,9,116,13
2018-01-03 12:00:00,27,19,0.0,11.6,6,7,89,07:35 PM,07:41 AM,06:42 AM,06:06 PM,13,28,28,28,5,13,41,0.0,1010,27,10,115,4
2018-01-03 18:00:00,27,19,0.0,11.6,6,6,89,07:35 PM,07:41 AM,06:42 AM,06:06 PM,12,25,25,24,4,22,45,0.0,1012,24,10,20,2
2018-01-04 00:00:00,27,17,0.0,11.6,6,1,81,08:38 PM,08:39 AM,06:43 AM,06:06 PM,14,19,19,19,23,14,76,0.0,1014,19,10,101,15
2018-01-04 06:00:00,27,17,0.0,11.6,6,1,81,08:38 PM,08:39 AM,06:43 AM,06:06 PM,14,19,19,19,17,13,72,0.0,1016,19,10,109,14
2018-01-04 12:00:00,27,17,0.0,11.6,6,7,81,08:38 PM,08:39 AM,06:43 AM,06:06 PM,11,27,27,28,11,7,35,0.0,1011,27,10,47,10
2018-01-04 18:00:00,27,17,0.0,11.6,6,6,81,08:38 PM,08:39 AM,06:43 AM,06:06 PM,11,25,25,23,19,7,47,0.0,1013,23,10,56,12
