date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,15,0.0,8.7,5,1,97,05:11 PM,05:46 AM,06:57 AM,05:47 PM,6,17,17,17,10,4,49,0.0,1013,15,10,112,5
2018-01-01 06:00:00,26,15,0.0,8.7,5,5,97,05:11 PM,05:46 AM,06:57 AM,05:47 PM,7,19,19,19,9,3,45,0.0,1014,18,10,121,6
2018-01-01 12:00:00,26,15,0.0,8.7,5,7,97,05:11 PM,05:46 AM,06:57 AM,05:47 PM,7,26,26,27,5,4,27,0.0,1010,26,10,275,5
2018-01-01 18:00:00,26,15,0.0,8.7,5,5,97,05:11 PM,05:46 AM,06:57 AM,05:47 PM,7,18,18,18,16,4,50,0.0,1012,17,10,27,8
2018-01-02 00:00:00,25,14,0.0,8.7,5,1,100,06:14 PM,06:51 AM,06:57 AM,05:47 PM,7,16,16,16,11,5,55,0.0,1012,15,10,79,6
2018-01-02 06:00:00,25,14,0.0,8.7,5,5,100,06:14 PM,06:51 AM,06:57 AM,05:47 PM,8,18,18,18,7,4,50,0.0,1014,17,10,63,5
2018-01-02 12:00:00,25,14,0.0,8.7,5,6,100,06:14 PM,06:51 AM,06:57 AM,05:47 PM,6,25,25,26,10,4,28,0.0,1011,25,10,312,9
2018-01-02 18:00:00,25,14,0.0,8.7,5,5,100,06:14 PM,06:51 AM,06:57 AM,05:47 PM,5,18,18,18,17,2,45,0.0,1013,16,10,16,9
2018-01-03 00:00:00,24,12,0.0,8.7,5,1,89,07:20 PM,07:53 AM,06:58 AM,05:48 PM,6,16,16,16,10,0,51,0.0,1014,13,10,53,6
2018-01-03 06:00:00,24,12,0.0,8.7,5,4,89,07:20 PM,07:53 AM,06:58 AM,05:48 PM,7,18,18,18,5,0,47,0.0,1016,15,10,51,5
2018-01-03 12:00:00,24,12,0.0,8.7,5,6,89,07:20 PM,07:53 AM,06:58 AM,05:48 PM,2,24,24,25,13,0,23,0.0,1013,24,10,325,11
2018-01-03 18:00:00,24,12,0.0,8.7,5,5,89,07:20 PM,07:53 AM,06:58 AM,05:48 PM,3,17,17,17,11,0,39,0.0,1014,15,10,13,6
2018-01-04 00:00:00,25,12,0.0,8.7,5,1,81,08:25 PM,08:50 AM,06:58 AM,05:49 PM,2,16,16,16,8,0,39,0.0,1015,12,10,32,4
2018-01-04 06:00:00,25,12,0.0,8.7,5,5,81,08:25 PM,08:50 AM,06:58 AM,05:49 PM,1,19,19,19,5,0,31,0.0,1017,15,10,72,4
2018-01-04 12:00:00,25,12,0.0,8.7,5,6,81,08:25 PM,08:50 AM,06:58 AM,05:49 PM,3,24,24,25,12,1,24,0.0,1013,25,10,319,11
2018-01-04 18:00:00,25,12,0.0,8.7,5,5,81,08:25 PM,08:50 AM,06:58 AM,05:49 PM,6,18,18,18,10,0,44,0.0,1014,16,10,68,5
