date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,19,0.0,8.7,6,1,97,05:07 PM,05:28 AM,06:38 AM,05:44 PM,10,21,21,21,5,29,52,0.0,1011,20,10,343,3
2018-01-01 06:00:00,31,19,0.0,8.7,6,6,97,05:07 PM,05:28 AM,06:38 AM,05:44 PM,12,23,25,23,7,17,53,0.0,1012,22,10,10,6
2018-01-01 12:00:00,31,19,0.0,8.7,6,8,97,05:07 PM,05:28 AM,06:38 AM,05:44 PM,12,30,30,31,8,10,31,0.0,1008,31,10,349,7
2018-01-01 18:00:00,31,19,0.0,8.7,6,6,97,05:07 PM,05:28 AM,06:38 AM,05:44 PM,12,25,25,23,5,12,49,0.0,1010,22,10,19,3
2018-01-02 00:00:00,30,17,0.0,8.7,6,1,100,06:10 PM,06:32 AM,06:38 AM,05:45 PM,14,19,19,19,4,10,73,0.0,1011,18,10,301,2
2018-01-02 06:00:00,30,17,0.0,8.7,6,6,100,06:10 PM,06:32 AM,06:38 AM,05:45 PM,15,23,25,23,4,6,63,0.0,1012,22,10,338,4
2018-01-02 12:00:00,30,17,0.0,8.7,6,8,100,06:10 PM,06:32 AM,06:38 AM,05:45 PM,13,30,30,31,5,15,33,0.0,1009,30,10,324,4
2018-01-02 18:00:00,30,17,0.0,8.7,6,6,100,06:10 PM,06:32 AM,06:38 AM,05:45 PM,11,25,25,24,11,14,46,0.0,1011,23,10,26,5
2018-01-03 00:00:00,29,17,0.0,8.7,6,1,89,07:16 PM,07:35 AM,06:38 AM,05:45 PM,13,19,19,19,6,10,66,0.0,1012,18,10,68,3
2018-01-03 06:00:00,29,17,0.0,8.7,6,6,89,07:16 PM,07:35 AM,06:38 AM,05:45 PM,15,23,25,23,5,5,60,0.0,1014,21,10,41,4
2018-01-03 12:00:00,29,17,0.0,8.7,6,7,89,07:16 PM,07:35 AM,06:38 AM,05:45 PM,10,29,29,30,9,7,28,0.0,1011,29,10,345,8
2018-01-03 18:00:00,29,17,0.0,8.7,6,6,89,07:16 PM,07:35 AM,06:38 AM,05:45 PM,9,23,24,23,14,0,43,0.0,1013,21,10,356,7
2018-01-04 00:00:00,29,15,0.0,8.7,6,1,81,08:19 PM,08:32 AM,06:39 AM,05:46 PM,9,19,19,19,14,0,52,0.0,1014,17,10,23,7
2018-01-04 06:00:00,29,15,0.0,8.7,6,5,81,08:19 PM,08:32 AM,06:39 AM,05:46 PM,11,23,25,23,4,2,46,0.0,1016,20,10,70,4
2018-01-04 12:00:00,29,15,0.0,8.7,6,7,81,08:19 PM,08:32 AM,06:39 AM,05:46 PM,6,28,28,30,10,2,22,0.0,1012,29,10,354,9
2018-01-04 18:00:00,29,15,0.0,8.7,6,6,81,08:19 PM,08:32 AM,06:39 AM,05:46 PM,6,22,24,22,11,0,36,0.0,1013,20,10,343,5
2018-01-05 00:00:00,29,15,0.0,8.7,6,1,74,09:21 PM,09:26 AM,06:39 AM,05:47 PM,13,20,20,20,5,0,64,0.0,1013,16,10,126,3
2018-01-05 06:00:00,29,15,0.0,8.7,6,5,74,09:21 PM,09:26 AM,06:39 AM,05:47 PM,14,23,25,23,5,0,59,0.0,1014,20,10,61,4
2018-01-05 12:00:00,29,15,0.0,8.7,6,7,74,09:21 PM,09:26 AM,06:39 AM,05:47 PM,6,28,28,30,12,0,23,0.0,1010,29,10,354,10
2018-01-05 18:00:00,29,15,0.0,8.7,6,5,74,09:21 PM,09:26 AM,06:39 AM,05:47 PM,7,22,24,22,8,0,38,0.0,1012,20,10,334,4
2018-01-06 00:00:00,29,14,0.0,8.7,6,1,67,10:18 PM,10:13 AM,06:39 AM,05:47 PM,13,19,19,19,4,0,66,0.0,1012,16,10,110,3
2018-01-06 06:00:00,29,14,0.0,8.7,6,5,67,10:18 PM,10:13 AM,06:39 AM,05:47 PM,15,22,25,22,5,0,63,0.0,1014,19,10,74,4
2018-01-06 12:00:00,29,14,0.0,8.7,6,7,67,10:18 PM,10:13 AM,06:39 AM,05:47 PM,7,28,28,30,9,0,23,0.0,1010,29,10,25,8
2018-01-06 18:00:00,29,14,0.0,8.7,6,5,67,10:18 PM,10:13 AM,06:39 AM,05:47 PM,7,22,24,22,11,0,39,0.0,1012,20,10,344,5
2018-01-07 00:00:00,29,14,0.0,8.7,6,1,59,11:14 PM,10:57 AM,06:40 AM,05:48 PM,8,19,19,19,8,0,50,0.0,1013,15,10,80,5
2018-01-07 06:00:00,29,14,0.0,8.7,6,5,59,11:14 PM,10:57 AM,06:40 AM,05:48 PM,13,22,25,22,5,1,54,0.0,1014,19,10,58,4
2018-01-07 12:00:00,29,14,0.0,8.7,6,7,59,11:14 PM,10:57 AM,06:40 AM,05:48 PM,9,29,29,31,5,6,27,0.0,1011,29,10,25,4
2018-01-07 18:00:00,29,14,0.0,8.7,6,6,59,11:14 PM,10:57 AM,06:40 AM,05:48 PM,10,23,24,23,9,0,45,0.0,1013,20,10,350,4
2018-01-08 00:00:00,29,15,0.0,8.7,6,1,52,No moonrise,11:39 AM,06:40 AM,05:49 PM,14,20,20,20,6,2,68,0.0,1013,16,10,118,4
2018-01-08 06:00:00,29,15,0.0,8.7,6,5,52,No moonrise,11:39 AM,06:40 AM,05:49 PM,14,22,24,22,5,3,64,0.0,1016,20,10,54,5
2018-01-08 12:00:00,29,15,0.0,8.7,6,7,52,No moonrise,11:39 AM,06:40 AM,05:49 PM,12,30,30,30,7,4,31,0.0,1013,29,10,54,6
2018-01-08 18:00:00,29,15,0.0,8.7,6,6,52,No moonrise,11:39 AM,06:40 AM,05:49 PM,10,22,24,22,5,9,49,0.0,1015,21,10,101,2
2018-01-09 00:00:00,29,15,0.0,8.7,6,1,45,12:06 AM,12:19 PM,06:40 AM,05:49 PM,16,20,20,20,3,2,76,0.0,1016,16,10,30,2
2018-01-09 06:00:00,29,15,0.0,8.7,6,5,45,12:06 AM,12:19 PM,06:40 AM,05:49 PM,15,23,25,23,5,0,61,0.0,1018,20,10,36,4
2018-01-09 12:00:00,29,15,0.0,8.7,6,7,45,12:06 AM,12:19 PM,06:40 AM,05:49 PM,11,29,29,30,8,4,31,0.0,1015,29,10,33,7
2018-01-09 18:00:00,29,15,0.0,8.7,6,6,45,12:06 AM,12:19 PM,06:40 AM,05:49 PM,11,23,25,23,4,10,47,0.0,1016,22,10,17,2
2018-01-10 00:00:00,31,17,0.0,8.7,6,1,38,12:57 AM,12:58 PM,06:40 AM,05:50 PM,15,20,20,20,1,6,76,0.0,1017,18,10,252,1
2018-01-10 06:00:00,31,17,0.0,8.7,6,6,38,12:57 AM,12:58 PM,06:40 AM,05:50 PM,15,23,25,23,3,6,59,0.0,1018,21,10,344,3
2018-01-10 12:00:00,31,17,0.0,8.7,6,8,38,12:57 AM,12:58 PM,06:40 AM,05:50 PM,11,31,31,32,6,5,28,0.0,1015,31,10,356,5
