date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,19,0.0,8.7,6,1,97,04:36 PM,05:09 AM,06:21 AM,05:14 PM,7,20,20,20,10,55,43,0.0,1012,20,10,329,6
2018-01-01 06:00:00,26,19,0.0,8.7,6,6,97,04:36 PM,05:09 AM,06:21 AM,05:14 PM,7,22,24,22,20,7,39,0.0,1013,22,10,38,14
2018-01-01 12:00:00,26,19,0.0,8.7,6,7,97,04:36 PM,05:09 AM,06:21 AM,05:14 PM,9,26,26,26,18,3,33,0.0,1010,26,10,62,16
2018-01-01 18:00:00,26,19,0.0,8.7,6,6,97,04:36 PM,05:09 AM,06:21 AM,05:14 PM,12,21,21,21,10,26,56,0.0,1012,20,10,66,5
2018-01-02 00:00:00,27,16,0.0,8.7,6,1,100,05:40 PM,06:14 AM,06:21 AM,05:15 PM,7,18,18,18,17,3,48,0.0,1011,18,10,353,9
2018-01-02 06:00:00,27,16,0.0,8.7,6,5,100,05:40 PM,06:14 AM,06:21 AM,05:15 PM,8,20,20,20,15,0,46,0.0,1013,20,10,14,11
2018-01-02 12:00:00,27,16,0.0,8.7,6,7,100,05:40 PM,06:14 AM,06:21 AM,05:15 PM,7,26,26,27,14,0,29,0.0,1010,27,10,40,12
2018-01-02 18:00:00,27,16,0.0,8.7,6,6,100,05:40 PM,06:14 AM,06:21 AM,05:15 PM,11,22,24,22,10,2,51,0.0,1012,20,10,59,6
2018-01-03 00:00:00,26,16,0.0,8.7,6,1,89,06:45 PM,07:16 AM,06:21 AM,05:15 PM,9,19,19,19,13,2,51,0.0,1012,17,10,345,7
2018-01-03 06:00:00,26,16,0.0,8.7,6,5,89,06:45 PM,07:16 AM,06:21 AM,05:15 PM,7,21,21,21,12,1,42,0.0,1014,20,10,14,10
2018-01-03 12:00:00,26,16,0.0,8.7,6,7,89,06:45 PM,07:16 AM,06:21 AM,05:15 PM,8,27,27,28,2,4,29,0.0,1011,26,10,306,2
2018-01-03 18:00:00,26,16,0.0,8.7,6,5,89,06:45 PM,07:16 AM,06:21 AM,05:15 PM,10,22,24,22,5,0,46,0.0,1013,20,10,96,4
2018-01-04 00:00:00,24,16,0.0,8.7,5,1,81,07:51 PM,08:13 AM,06:22 AM,05:16 PM,9,18,18,18,17,0,55,0.0,1014,17,10,14,9
2018-01-04 06:00:00,24,16,0.0,8.7,5,5,81,07:51 PM,08:13 AM,06:22 AM,05:16 PM,8,19,19,19,16,0,47,0.0,1017,19,10,31,12
2018-01-04 12:00:00,24,16,0.0,8.7,5,6,81,07:51 PM,08:13 AM,06:22 AM,05:16 PM,6,25,25,25,11,0,29,0.0,1013,24,10,50,9
2018-01-04 18:00:00,24,16,0.0,8.7,5,5,81,07:51 PM,08:13 AM,06:22 AM,05:16 PM,8,21,21,21,5,0,44,0.0,1014,18,10,79,4
2018-01-05 00:00:00,24,14,0.0,8.7,5,1,74,08:53 PM,09:05 AM,06:22 AM,05:17 PM,8,18,18,18,12,0,51,0.0,1014,16,10,8,7
