date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,11,0.0,8.7,5,1,97,05:03 PM,05:58 AM,07:10 AM,05:38 PM,3,14,14,14,1,4,50,0.0,1014,12,10,307,1
2018-01-01 06:00:00,22,11,0.0,8.7,5,4,97,05:03 PM,05:58 AM,07:10 AM,05:38 PM,7,15,15,15,5,4,59,0.0,1015,13,10,352,3
2018-01-01 12:00:00,22,11,0.0,8.7,5,6,97,05:03 PM,05:58 AM,07:10 AM,05:38 PM,7,23,24,23,2,8,36,0.0,1013,22,10,140,2
2018-01-01 18:00:00,22,11,0.0,8.7,5,4,97,05:03 PM,05:58 AM,07:10 AM,05:38 PM,6,15,15,15,15,8,54,0.0,1014,15,10,45,7
2018-01-02 00:00:00,19,9,0.0,8.7,4,1,100,06:06 PM,07:03 AM,07:10 AM,05:38 PM,3,12,12,12,11,4,52,0.0,1015,11,10,17,6
2018-01-02 06:00:00,19,9,0.0,8.7,4,4,100,06:06 PM,07:03 AM,07:10 AM,05:38 PM,2,11,12,11,11,0,52,0.0,1016,10,10,332,8
2018-01-02 12:00:00,19,9,0.0,8.7,4,5,100,06:06 PM,07:03 AM,07:10 AM,05:38 PM,0,20,20,20,10,0,27,0.0,1014,19,10,353,9
2018-01-02 18:00:00,19,9,0.0,8.7,4,4,100,06:06 PM,07:03 AM,07:10 AM,05:38 PM,1,15,14,15,9,0,39,0.0,1016,12,10,41,4
2018-01-03 00:00:00,20,8,0.0,8.7,4,1,89,07:13 PM,08:04 AM,07:10 AM,05:39 PM,1,12,12,12,11,0,47,0.0,1016,10,10,315,6
2018-01-03 06:00:00,20,8,0.0,8.7,4,4,89,07:13 PM,08:04 AM,07:10 AM,05:39 PM,4,13,13,13,7,0,56,0.0,1017,10,10,258,6
2018-01-03 12:00:00,20,8,0.0,8.7,4,6,89,07:13 PM,08:04 AM,07:10 AM,05:39 PM,4,22,23,22,7,0,30,0.0,1015,20,10,343,6
2018-01-03 18:00:00,20,8,0.0,8.7,4,4,89,07:13 PM,08:04 AM,07:10 AM,05:39 PM,5,15,15,15,6,0,50,0.0,1015,13,10,315,3
2018-01-04 00:00:00,21,8,0.0,8.7,4,1,81,08:19 PM,09:00 AM,07:11 AM,05:40 PM,4,12,12,12,9,0,55,0.0,1016,9,10,326,5
2018-01-04 06:00:00,21,8,0.0,8.7,4,4,81,08:19 PM,09:00 AM,07:11 AM,05:40 PM,6,14,14,14,3,0,56,0.0,1017,11,10,246,3
2018-01-04 12:00:00,21,8,0.0,8.7,4,6,81,08:19 PM,09:00 AM,07:11 AM,05:40 PM,3,24,24,24,7,0,26,0.0,1014,21,10,192,6
2018-01-04 18:00:00,21,8,0.0,8.7,4,4,81,08:19 PM,09:00 AM,07:11 AM,05:40 PM,1,15,15,15,15,0,41,0.0,1015,13,10,112,7
2018-01-05 00:00:00,21,8,0.0,8.7,4,1,74,09:24 PM,09:50 AM,07:11 AM,05:40 PM,4,15,14,15,6,0,49,0.0,1016,10,10,110,4
2018-01-05 06:00:00,21,8,0.0,8.7,4,4,74,09:24 PM,09:50 AM,07:11 AM,05:40 PM,4,12,13,12,7,0,57,0.0,1017,10,10,139,6
2018-01-05 12:00:00,21,8,0.0,8.7,4,6,74,09:24 PM,09:50 AM,07:11 AM,05:40 PM,6,23,24,23,2,0,33,0.0,1014,21,10,140,1
2018-01-05 18:00:00,21,8,0.0,8.7,4,4,74,09:24 PM,09:50 AM,07:11 AM,05:40 PM,5,15,15,15,11,0,51,0.0,1015,13,10,88,5
2018-01-06 00:00:00,22,9,0.0,8.7,4,1,67,10:26 PM,10:34 AM,07:11 AM,05:41 PM,5,14,14,14,3,0,57,0.0,1015,10,10,36,2
2018-01-06 06:00:00,22,9,0.0,8.7,4,4,67,10:26 PM,10:34 AM,07:11 AM,05:41 PM,6,16,15,16,4,0,57,0.0,1015,12,10,305,4
2018-01-06 12:00:00,22,9,0.0,8.7,4,6,67,10:26 PM,10:34 AM,07:11 AM,05:41 PM,7,24,24,24,6,0,32,0.0,1013,22,10,294,5
