date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,19,0.0,10.9,6,1,97,05:35 PM,06:10 AM,07:20 AM,06:10 PM,7,20,20,20,30,0,43,0.0,1012,20,10,5,17
2018-01-01 06:00:00,26,19,0.0,10.9,6,1,97,05:35 PM,06:10 AM,07:20 AM,06:10 PM,6,19,19,19,28,0,43,0.0,1013,19,10,359,17
2018-01-01 12:00:00,26,19,0.0,10.9,6,7,97,05:35 PM,06:10 AM,07:20 AM,06:10 PM,8,26,26,26,14,0,31,0.0,1010,26,10,12,12
2018-01-01 18:00:00,26,19,0.0,10.9,6,6,97,05:35 PM,06:10 AM,07:20 AM,06:10 PM,7,24,24,23,20,0,34,0.0,1011,23,10,359,10
2018-01-02 00:00:00,27,19,0.0,10.9,6,1,100,06:39 PM,07:15 AM,07:20 AM,06:10 PM,5,20,20,20,31,0,39,0.0,1011,20,10,4,17
2018-01-02 06:00:00,27,19,0.0,10.9,6,1,100,06:39 PM,07:15 AM,07:20 AM,06:10 PM,7,19,19,19,23,0,45,0.0,1012,19,10,35,14
2018-01-02 12:00:00,27,19,0.0,10.9,6,7,100,06:39 PM,07:15 AM,07:20 AM,06:10 PM,9,26,26,27,14,0,32,0.0,1011,27,10,60,12
2018-01-02 18:00:00,27,19,0.0,10.9,6,6,100,06:39 PM,07:15 AM,07:20 AM,06:10 PM,8,25,25,24,31,0,37,0.0,1012,24,10,16,16
2018-01-03 00:00:00,27,19,0.0,10.9,6,1,89,07:45 PM,08:17 AM,07:21 AM,06:11 PM,7,20,20,20,30,0,42,0.0,1012,20,10,39,17
2018-01-03 06:00:00,27,19,0.0,10.9,6,1,89,07:45 PM,08:17 AM,07:21 AM,06:11 PM,6,19,19,19,23,0,43,0.0,1014,19,10,34,14
2018-01-03 12:00:00,27,19,0.0,10.9,6,7,89,07:45 PM,08:17 AM,07:21 AM,06:11 PM,10,26,26,27,11,0,35,0.0,1011,27,10,50,9
2018-01-03 18:00:00,27,19,0.0,10.9,6,6,89,07:45 PM,08:17 AM,07:21 AM,06:11 PM,13,25,25,25,7,0,47,0.0,1012,23,10,19,4
2018-01-04 00:00:00,27,19,0.0,10.9,6,1,81,08:49 PM,09:14 AM,07:21 AM,06:12 PM,8,21,21,21,23,0,44,0.0,1013,21,10,20,12
2018-01-04 06:00:00,27,19,0.0,10.9,6,1,81,08:49 PM,09:14 AM,07:21 AM,06:12 PM,7,20,20,20,19,0,42,0.0,1014,20,10,12,11
2018-01-04 12:00:00,27,19,0.0,10.9,6,7,81,08:49 PM,09:14 AM,07:21 AM,06:12 PM,10,28,28,29,4,0,31,0.0,1012,27,10,9,4
2018-01-04 18:00:00,27,19,0.0,10.9,6,6,81,08:49 PM,09:14 AM,07:21 AM,06:12 PM,11,25,25,24,9,0,45,0.0,1013,23,10,137,5
2018-01-05 00:00:00,26,19,0.0,10.9,6,1,74,09:52 PM,10:05 AM,07:21 AM,06:12 PM,5,20,20,20,27,0,36,0.0,1013,20,10,6,14
2018-01-05 06:00:00,26,19,0.0,10.9,6,1,74,09:52 PM,10:05 AM,07:21 AM,06:12 PM,4,20,20,20,23,0,35,0.0,1014,20,10,18,14
2018-01-05 12:00:00,26,19,0.0,10.9,6,7,74,09:52 PM,10:05 AM,07:21 AM,06:12 PM,5,25,25,26,14,0,27,0.0,1012,26,10,31,12
