date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,23,12,0.0,8.7,5,1,97,05:18 PM,06:06 AM,07:17 AM,05:53 PM,6,16,16,16,3,3,52,0.0,1014,13,10,11,2
2018-01-01 06:00:00,23,12,0.0,8.7,5,1,97,05:18 PM,06:06 AM,07:17 AM,05:53 PM,8,18,18,18,5,0,52,0.0,1015,14,10,44,4
2018-01-01 12:00:00,23,12,0.0,8.7,5,6,97,05:18 PM,06:06 AM,07:17 AM,05:53 PM,6,25,25,26,5,2,26,0.0,1012,23,10,36,4
2018-01-01 18:00:00,23,12,0.0,8.7,5,5,97,05:18 PM,06:06 AM,07:17 AM,05:53 PM,-1,18,18,18,17,0,28,0.0,1013,16,10,20,9
2018-01-02 00:00:00,22,11,0.0,8.7,5,1,100,06:22 PM,07:12 AM,07:18 AM,05:54 PM,-4,15,15,15,13,0,27,0.0,1014,12,10,22,8
2018-01-02 06:00:00,22,11,0.0,8.7,5,1,100,06:22 PM,07:12 AM,07:18 AM,05:54 PM,-0,15,15,15,10,0,36,0.0,1015,12,10,49,7
2018-01-02 12:00:00,22,11,0.0,8.7,5,6,100,06:22 PM,07:12 AM,07:18 AM,05:54 PM,-4,23,23,23,12,0,16,0.0,1013,22,10,57,11
2018-01-02 18:00:00,22,11,0.0,8.7,5,4,100,06:22 PM,07:12 AM,07:18 AM,05:54 PM,-2,17,17,17,16,0,29,0.0,1015,15,10,78,8
2018-01-03 00:00:00,23,10,0.0,8.7,5,1,89,07:28 PM,08:13 AM,07:18 AM,05:54 PM,1,16,16,16,7,0,38,0.0,1015,12,10,142,4
2018-01-03 06:00:00,23,10,0.0,8.7,5,1,89,07:28 PM,08:13 AM,07:18 AM,05:54 PM,3,16,16,16,5,0,42,0.0,1017,12,10,113,4
2018-01-03 12:00:00,23,10,0.0,8.7,5,6,89,07:28 PM,08:13 AM,07:18 AM,05:54 PM,-3,23,23,24,11,0,17,0.0,1014,23,10,109,9
2018-01-03 18:00:00,23,10,0.0,8.7,5,5,89,07:28 PM,08:13 AM,07:18 AM,05:54 PM,-2,17,17,17,16,0,27,0.0,1015,15,10,103,8
2018-01-04 00:00:00,23,11,0.0,8.7,5,1,81,08:34 PM,09:09 AM,07:18 AM,05:55 PM,-0,16,16,16,8,0,34,0.0,1015,12,10,177,5
2018-01-04 06:00:00,23,11,0.0,8.7,5,1,81,08:34 PM,09:09 AM,07:18 AM,05:55 PM,0,15,15,15,9,0,35,0.0,1016,12,10,190,6
2018-01-04 12:00:00,23,11,0.0,8.7,5,6,81,08:34 PM,09:09 AM,07:18 AM,05:55 PM,-2,24,24,25,12,0,17,0.0,1013,23,10,188,10
2018-01-04 18:00:00,23,11,0.0,8.7,5,5,81,08:34 PM,09:09 AM,07:18 AM,05:55 PM,0,19,19,19,8,0,28,0.0,1014,16,10,291,5
2018-01-05 00:00:00,23,12,0.0,8.7,5,1,74,09:38 PM,09:59 AM,07:18 AM,05:56 PM,1,17,17,17,5,0,34,0.0,1014,13,10,351,4
2018-01-05 06:00:00,23,12,0.0,8.7,5,1,74,09:38 PM,09:59 AM,07:18 AM,05:56 PM,1,17,17,17,4,0,33,0.0,1016,13,10,39,3
2018-01-05 12:00:00,23,12,0.0,8.7,5,6,74,09:38 PM,09:59 AM,07:18 AM,05:56 PM,1,24,24,26,7,0,19,0.0,1013,23,10,34,6
2018-01-05 18:00:00,23,12,0.0,8.7,5,5,74,09:38 PM,09:59 AM,07:18 AM,05:56 PM,-1,18,18,18,13,2,29,0.0,1013,16,10,74,6
2018-01-06 00:00:00,23,12,0.0,8.7,5,1,67,10:39 PM,10:44 AM,07:19 AM,05:56 PM,2,15,15,15,6,3,40,0.0,1013,13,10,109,3
2018-01-06 06:00:00,23,12,0.0,8.7,5,1,67,10:39 PM,10:44 AM,07:19 AM,05:56 PM,5,18,18,18,2,2,43,0.0,1014,14,10,88,2
2018-01-06 12:00:00,23,12,0.0,8.7,5,6,67,10:39 PM,10:44 AM,07:19 AM,05:56 PM,2,24,24,25,5,3,23,0.0,1012,23,10,38,4
2018-01-06 18:00:00,23,12,0.0,8.7,5,5,67,10:39 PM,10:44 AM,07:19 AM,05:56 PM,2,18,18,18,6,3,35,0.0,1014,16,10,24,3
2018-01-07 00:00:00,22,12,0.0,8.7,5,1,59,11:37 PM,11:25 AM,07:19 AM,05:57 PM,1,15,15,15,14,4,40,0.0,1014,13,10,341,7
2018-01-07 06:00:00,22,12,0.0,8.7,5,1,59,11:37 PM,11:25 AM,07:19 AM,05:57 PM,3,16,16,16,8,0,43,0.0,1016,13,10,9,6
2018-01-07 12:00:00,22,12,0.0,8.7,5,6,59,11:37 PM,11:25 AM,07:19 AM,05:57 PM,2,24,24,25,7,0,22,0.0,1014,22,10,320,6
2018-01-07 18:00:00,22,12,0.0,8.7,5,5,59,11:37 PM,11:25 AM,07:19 AM,05:57 PM,0,18,18,18,10,0,30,0.0,1015,15,10,348,6
2018-01-08 00:00:00,22,10,0.0,8.7,5,1,52,No moonrise,12:03 PM,07:19 AM,05:58 PM,1,15,15,15,10,0,38,0.0,1016,12,10,23,6
2018-01-08 06:00:00,22,10,0.0,8.7,5,1,52,No moonrise,12:03 PM,07:19 AM,05:58 PM,0,14,14,14,10,0,38,0.0,1017,12,10,49,8
2018-01-08 12:00:00,22,10,0.0,8.7,5,6,52,No moonrise,12:03 PM,07:19 AM,05:58 PM,3,24,24,24,8,0,25,0.0,1016,22,10,134,7
2018-01-08 18:00:00,22,10,0.0,8.7,5,5,52,No moonrise,12:03 PM,07:19 AM,05:58 PM,2,17,17,17,16,0,35,0.0,1017,15,10,73,8
2018-01-09 00:00:00,23,11,0.0,8.7,5,1,45,12:32 AM,12:40 PM,07:19 AM,05:58 PM,4,16,16,16,8,0,44,0.0,1018,12,10,87,5
2018-01-09 06:00:00,23,11,0.0,8.7,5,1,45,12:32 AM,12:40 PM,07:19 AM,05:58 PM,2,15,15,15,10,0,42,0.0,1020,12,10,57,7
2018-01-09 12:00:00,23,11,0.0,8.7,5,6,45,12:32 AM,12:40 PM,07:19 AM,05:58 PM,1,24,24,25,11,0,22,0.0,1017,23,10,75,9
2018-01-09 18:00:00,23,11,0.0,8.7,5,5,45,12:32 AM,12:40 PM,07:19 AM,05:58 PM,-0,18,18,18,13,0,29,0.0,1018,16,10,77,7
2018-01-10 00:00:00,24,12,0.0,8.7,5,1,38,01:26 AM,01:17 PM,07:19 AM,05:59 PM,1,17,17,17,4,0,34,0.0,1019,12,10,240,3
2018-01-10 06:00:00,24,12,0.0,8.7,5,1,38,01:26 AM,01:17 PM,07:19 AM,05:59 PM,2,17,17,17,5,2,36,0.0,1021,14,10,73,5
2018-01-10 12:00:00,24,12,0.0,8.7,5,6,38,01:26 AM,01:17 PM,07:19 AM,05:59 PM,3,25,25,27,7,2,21,0.0,1017,24,10,21,6
2018-01-10 18:00:00,24,12,0.0,8.7,5,5,38,01:26 AM,01:17 PM,07:19 AM,05:59 PM,0,19,19,19,7,3,29,0.0,1019,17,10,57,3
2018-01-11 00:00:00,25,12,0.0,10.8,5,1,30,02:19 AM,01:54 PM,07:19 AM,06:00 PM,-1,18,18,18,9,0,29,0.0,1018,14,10,347,6
2018-01-11 06:00:00,25,12,0.0,10.8,5,1,30,02:19 AM,01:54 PM,07:19 AM,06:00 PM,-2,18,18,18,5,2,25,0.0,1020,14,10,26,4
2018-01-11 12:00:00,25,12,0.0,10.8,5,7,30,02:19 AM,01:54 PM,07:19 AM,06:00 PM,-0,24,24,26,14,3,18,0.0,1016,25,10,334,12
2018-01-11 18:00:00,25,12,0.0,10.8,5,5,30,02:19 AM,01:54 PM,07:19 AM,06:00 PM,2,20,20,20,19,2,30,0.0,1017,18,10,339,9
2018-01-12 00:00:00,26,14,0.0,10.8,5,1,23,03:11 AM,02:33 PM,07:19 AM,06:01 PM,-3,17,17,17,11,5,26,0.0,1016,15,10,315,5
2018-01-12 06:00:00,26,14,0.0,10.8,5,1,23,03:11 AM,02:33 PM,07:19 AM,06:01 PM,-2,17,17,17,3,8,27,0.0,1017,16,10,346,2
2018-01-12 12:00:00,26,14,0.0,10.8,5,7,23,03:11 AM,02:33 PM,07:19 AM,06:01 PM,-0,25,25,26,10,10,18,0.0,1015,26,10,353,9
2018-01-12 18:00:00,26,14,0.0,10.8,5,5,23,03:11 AM,02:33 PM,07:19 AM,06:01 PM,1,19,19,19,6,11,29,0.0,1016,18,10,67,3
2018-01-13 00:00:00,26,16,0.0,10.8,6,1,16,04:02 AM,03:14 PM,07:19 AM,06:01 PM,1,17,17,17,11,13,33,0.0,1016,16,10,241,5
2018-01-13 06:00:00,26,16,0.0,10.8,6,1,16,04:02 AM,03:14 PM,07:19 AM,06:01 PM,3,19,19,19,7,100,33,0.0,1018,19,10,203,4
2018-01-13 12:00:00,26,16,0.0,10.8,6,7,16,04:02 AM,03:14 PM,07:19 AM,06:01 PM,6,26,26,27,7,8,27,0.0,1015,26,10,203,6
2018-01-13 18:00:00,26,16,0.0,10.8,6,5,16,04:02 AM,03:14 PM,07:19 AM,06:01 PM,6,20,20,20,8,6,39,0.0,1016,19,10,134,4
2018-01-14 00:00:00,27,15,0.0,10.8,6,1,9,04:53 AM,03:58 PM,07:19 AM,06:02 PM,6,18,18,18,5,8,44,0.0,1016,17,10,105,2
2018-01-14 06:00:00,27,15,0.0,10.8,6,1,9,04:53 AM,03:58 PM,07:19 AM,06:02 PM,5,19,19,19,1,7,42,0.0,1017,17,10,89,1
2018-01-14 12:00:00,27,15,0.0,10.8,6,7,9,04:53 AM,03:58 PM,07:19 AM,06:02 PM,7,27,27,28,9,4,25,0.0,1014,27,10,300,8
2018-01-14 18:00:00,27,15,0.0,10.8,6,5,9,04:53 AM,03:58 PM,07:19 AM,06:02 PM,5,21,21,21,16,3,35,0.0,1016,20,10,346,8
2018-01-15 00:00:00,27,15,0.0,10.8,5,1,1,05:44 AM,04:44 PM,07:19 AM,06:03 PM,4,18,18,18,15,3,38,0.0,1017,17,10,14,7
