date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,18,8,0.0,7.1,4,1,97,04:38 PM,05:33 AM,06:46 AM,05:14 PM,-6,8,9,8,15,14,32,0.0,1015,9,10,23,7
2018-01-01 06:00:00,18,8,0.0,7.1,4,3,97,04:38 PM,05:33 AM,06:46 AM,05:14 PM,-4,14,14,14,7,77,29,0.0,1017,14,10,48,5
2018-01-01 12:00:00,18,8,0.0,7.1,4,5,97,04:38 PM,05:33 AM,06:46 AM,05:14 PM,4,19,19,19,12,2,37,0.0,1013,18,10,202,10
2018-01-01 18:00:00,18,8,0.0,7.1,4,3,97,04:38 PM,05:33 AM,06:46 AM,05:14 PM,1,10,11,10,18,0,51,0.0,1016,9,10,22,9
2018-01-02 00:00:00,18,6,0.0,8.7,4,1,100,05:42 PM,06:38 AM,06:47 AM,05:15 PM,-9,8,9,8,20,0,25,0.0,1015,8,10,19,9
2018-01-02 06:00:00,18,6,0.0,8.7,4,4,100,05:42 PM,06:38 AM,06:47 AM,05:15 PM,-5,14,14,14,10,0,27,0.0,1016,12,10,22,8
2018-01-02 12:00:00,18,6,0.0,8.7,4,5,100,05:42 PM,06:38 AM,06:47 AM,05:15 PM,5,18,18,18,14,5,42,0.0,1012,18,10,198,12
2018-01-02 18:00:00,18,6,0.0,8.7,4,3,100,05:42 PM,06:38 AM,06:47 AM,05:15 PM,1,8,9,8,21,9,56,0.0,1016,9,10,15,10
2018-01-03 00:00:00,16,6,0.0,8.7,4,1,89,06:48 PM,07:40 AM,06:47 AM,05:16 PM,-12,6,8,6,22,5,24,0.0,1016,7,10,20,10
2018-01-03 06:00:00,16,6,0.0,8.7,4,4,89,06:48 PM,07:40 AM,06:47 AM,05:16 PM,-7,11,12,11,13,5,25,0.0,1016,11,10,18,9
2018-01-03 12:00:00,16,6,0.0,8.7,4,5,89,06:48 PM,07:40 AM,06:47 AM,05:16 PM,1,17,17,17,11,0,33,0.0,1012,16,10,230,10
2018-01-03 18:00:00,16,6,0.0,8.7,4,3,89,06:48 PM,07:40 AM,06:47 AM,05:16 PM,1,8,9,8,18,2,56,0.0,1014,8,10,17,9
2018-01-04 00:00:00,16,5,0.0,8.7,3,1,81,07:55 PM,08:35 AM,06:47 AM,05:17 PM,-0,9,10,9,12,1,49,0.0,1015,7,10,33,7
2018-01-04 06:00:00,16,5,0.0,8.7,3,4,81,07:55 PM,08:35 AM,06:47 AM,05:17 PM,2,15,15,15,5,0,41,0.0,1017,12,10,75,4
