date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,11,0.0,8.7,5,1,97,05:19 PM,06:17 AM,07:29 AM,05:53 PM,-9,15,15,15,11,0,18,0.0,1015,13,10,17,5
2018-01-01 06:00:00,22,11,0.0,8.7,5,1,97,05:19 PM,06:17 AM,07:29 AM,05:53 PM,-8,15,15,15,1,0,19,0.0,1015,12,10,114,1
2018-01-01 12:00:00,22,11,0.0,8.7,5,6,97,05:19 PM,06:17 AM,07:29 AM,05:53 PM,-9,22,22,22,10,0,12,0.0,1014,22,10,350,9
2018-01-01 18:00:00,22,11,0.0,8.7,5,5,97,05:19 PM,06:17 AM,07:29 AM,05:53 PM,-7,17,17,17,14,0,19,0.0,1014,16,10,29,7
2018-01-02 00:00:00,22,12,0.0,8.7,5,1,100,06:22 PM,07:22 AM,07:29 AM,05:53 PM,-7,13,14,13,17,0,23,0.0,1015,13,10,90,8
2018-01-02 06:00:00,22,12,0.0,8.7,5,1,100,06:22 PM,07:22 AM,07:29 AM,05:53 PM,-7,13,13,13,22,0,23,0.0,1016,13,10,143,10
2018-01-02 12:00:00,22,12,0.0,8.7,5,6,100,06:22 PM,07:22 AM,07:29 AM,05:53 PM,-7,23,23,24,4,0,11,0.0,1015,22,10,71,4
2018-01-02 18:00:00,22,12,0.0,8.7,5,5,100,06:22 PM,07:22 AM,07:29 AM,05:53 PM,-9,17,17,17,17,0,16,0.0,1015,17,10,79,8
2018-01-03 00:00:00,23,13,0.0,8.7,5,1,89,07:29 PM,08:23 AM,07:29 AM,05:54 PM,-8,13,14,13,26,0,20,0.0,1015,14,10,115,13
2018-01-03 06:00:00,23,13,0.0,8.7,5,1,89,07:29 PM,08:23 AM,07:29 AM,05:54 PM,-5,12,13,12,28,0,27,0.0,1016,13,10,150,13
2018-01-03 12:00:00,23,13,0.0,8.7,5,6,89,07:29 PM,08:23 AM,07:29 AM,05:54 PM,-9,24,24,25,2,0,9,0.0,1014,23,10,158,2
2018-01-03 18:00:00,23,13,0.0,8.7,5,5,89,07:29 PM,08:23 AM,07:29 AM,05:54 PM,-9,18,18,18,17,0,15,0.0,1015,17,10,91,8
2018-01-04 00:00:00,24,13,0.0,8.7,5,1,81,08:36 PM,09:19 AM,07:29 AM,05:55 PM,-5,13,14,13,27,0,26,0.0,1015,14,10,106,13
2018-01-04 06:00:00,24,13,0.0,8.7,5,1,81,08:36 PM,09:19 AM,07:29 AM,05:55 PM,-5,13,14,13,26,0,26,0.0,1015,14,10,143,13
2018-01-04 12:00:00,24,13,0.0,8.7,5,6,81,08:36 PM,09:19 AM,07:29 AM,05:55 PM,-11,23,23,24,12,0,9,0.0,1013,24,10,226,11
2018-01-04 18:00:00,24,13,0.0,8.7,5,5,81,08:36 PM,09:19 AM,07:29 AM,05:55 PM,-11,18,18,18,12,5,13,0.0,1014,17,10,309,6
2018-01-05 00:00:00,23,12,0.0,8.7,5,1,74,09:41 PM,10:08 AM,07:29 AM,05:55 PM,-10,15,15,15,17,0,17,0.0,1014,14,10,37,8
2018-01-05 06:00:00,23,12,0.0,8.7,5,1,74,09:41 PM,10:08 AM,07:29 AM,05:55 PM,-7,16,16,16,8,0,20,0.0,1016,14,10,60,4
2018-01-05 12:00:00,23,12,0.0,8.7,5,6,74,09:41 PM,10:08 AM,07:29 AM,05:55 PM,-7,23,23,25,7,0,12,0.0,1014,23,10,358,6
2018-01-05 18:00:00,23,12,0.0,8.7,5,5,74,09:41 PM,10:08 AM,07:29 AM,05:55 PM,-5,18,18,18,26,0,21,0.0,1014,18,10,19,13
2018-01-06 00:00:00,22,12,0.0,8.7,5,1,67,10:43 PM,10:52 AM,07:30 AM,05:56 PM,-3,13,14,13,24,0,30,0.0,1015,14,10,45,12
2018-01-06 06:00:00,22,12,0.0,8.7,5,1,67,10:43 PM,10:52 AM,07:30 AM,05:56 PM,-1,13,14,13,15,0,35,0.0,1016,13,10,58,8
2018-01-06 12:00:00,22,12,0.0,8.7,5,6,67,10:43 PM,10:52 AM,07:30 AM,05:56 PM,-2,23,23,23,7,0,19,0.0,1013,22,10,16,6
2018-01-06 18:00:00,22,12,0.0,8.7,5,5,67,10:43 PM,10:52 AM,07:30 AM,05:56 PM,-3,17,17,17,20,0,25,0.0,1015,17,10,12,10
2018-01-07 00:00:00,21,12,0.0,8.7,5,1,59,11:42 PM,11:32 AM,07:30 AM,05:57 PM,-3,13,14,13,17,0,31,0.0,1016,13,10,37,8
2018-01-07 06:00:00,21,12,0.0,8.7,5,1,59,11:42 PM,11:32 AM,07:30 AM,05:57 PM,-3,12,13,12,19,0,33,0.0,1017,13,10,69,9
2018-01-07 12:00:00,21,12,0.0,8.7,5,6,59,11:42 PM,11:32 AM,07:30 AM,05:57 PM,-4,22,22,22,7,0,17,0.0,1015,21,10,8,6
2018-01-07 18:00:00,21,12,0.0,8.7,5,5,59,11:42 PM,11:32 AM,07:30 AM,05:57 PM,-5,17,17,17,16,0,22,0.0,1016,16,10,357,8
2018-01-08 00:00:00,21,10,0.0,8.7,5,1,52,No moonrise,12:09 PM,07:30 AM,05:58 PM,-3,16,15,16,7,0,29,0.0,1016,12,10,76,3
2018-01-08 06:00:00,21,10,0.0,8.7,5,1,52,No moonrise,12:09 PM,07:30 AM,05:58 PM,-4,15,14,15,10,0,27,0.0,1018,12,10,96,5
2018-01-08 12:00:00,21,10,0.0,8.7,5,6,52,No moonrise,12:09 PM,07:30 AM,05:58 PM,-7,23,23,23,4,0,13,0.0,1017,21,10,62,4
2018-01-08 18:00:00,21,10,0.0,8.7,5,5,52,No moonrise,12:09 PM,07:30 AM,05:58 PM,-8,17,17,17,15,0,17,0.0,1018,16,10,66,7
2018-01-09 00:00:00,23,12,0.0,8.7,5,1,45,12:38 AM,12:45 PM,07:30 AM,05:58 PM,-9,13,14,13,20,0,20,0.0,1019,14,10,94,10
2018-01-09 06:00:00,23,12,0.0,8.7,5,1,45,12:38 AM,12:45 PM,07:30 AM,05:58 PM,-9,13,13,13,22,0,20,0.0,1020,13,10,98,10
2018-01-09 12:00:00,23,12,0.0,8.7,5,6,45,12:38 AM,12:45 PM,07:30 AM,05:58 PM,-8,23,23,23,15,0,12,0.0,1019,23,10,42,13
2018-01-09 18:00:00,23,12,0.0,8.7,5,5,45,12:38 AM,12:45 PM,07:30 AM,05:58 PM,-7,17,17,17,14,0,18,0.0,1019,16,10,45,7
2018-01-10 00:00:00,23,12,0.0,8.7,5,1,38,01:34 AM,01:21 PM,07:30 AM,05:59 PM,-7,14,14,14,17,2,22,0.0,1020,14,10,51,8
