date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,17,0.0,10.9,6,1,97,05:36 PM,06:13 AM,07:23 AM,06:11 PM,3,19,19,19,30,0,35,0.0,1012,19,10,1,15
2018-01-01 06:00:00,27,17,0.0,10.9,6,1,97,05:36 PM,06:13 AM,07:23 AM,06:11 PM,2,17,17,17,27,0,36,0.0,1013,17,10,4,15
2018-01-01 12:00:00,27,17,0.0,10.9,6,7,97,05:36 PM,06:13 AM,07:23 AM,06:11 PM,2,25,25,27,14,0,19,0.0,1011,27,10,24,12
2018-01-01 18:00:00,27,17,0.0,10.9,6,6,97,05:36 PM,06:13 AM,07:23 AM,06:11 PM,1,22,23,22,30,0,26,0.0,1011,22,10,345,15
2018-01-02 00:00:00,28,17,0.0,10.9,6,1,100,06:40 PM,07:18 AM,07:23 AM,06:12 PM,1,19,19,19,30,0,31,0.0,1011,18,10,2,14
2018-01-02 06:00:00,28,17,0.0,10.9,6,1,100,06:40 PM,07:18 AM,07:23 AM,06:12 PM,3,17,17,17,24,0,37,0.0,1012,17,10,49,13
2018-01-02 12:00:00,28,17,0.0,10.9,6,7,100,06:40 PM,07:18 AM,07:23 AM,06:12 PM,5,26,26,28,19,0,23,0.0,1011,28,10,78,16
2018-01-02 18:00:00,28,17,0.0,10.9,6,6,100,06:40 PM,07:18 AM,07:23 AM,06:12 PM,4,23,23,23,26,0,29,0.0,1012,23,10,41,12
2018-01-03 00:00:00,27,16,0.0,10.9,6,1,89,07:46 PM,08:19 AM,07:23 AM,06:12 PM,-1,18,18,18,27,0,26,0.0,1012,18,10,44,14
2018-01-03 06:00:00,27,16,0.0,10.9,6,1,89,07:46 PM,08:19 AM,07:23 AM,06:12 PM,-1,17,17,17,25,0,30,0.0,1014,17,10,39,14
2018-01-03 12:00:00,27,16,0.0,10.9,6,7,89,07:46 PM,08:19 AM,07:23 AM,06:12 PM,7,27,27,28,12,0,26,0.0,1012,27,10,73,10
2018-01-03 18:00:00,27,16,0.0,10.9,6,6,89,07:46 PM,08:19 AM,07:23 AM,06:12 PM,9,25,25,24,13,0,37,0.0,1012,23,10,62,8
2018-01-04 00:00:00,28,17,0.0,10.9,6,1,81,08:51 PM,09:17 AM,07:24 AM,06:13 PM,3,20,20,20,20,0,33,0.0,1013,19,10,16,11
2018-01-04 06:00:00,28,17,0.0,10.9,6,1,81,08:51 PM,09:17 AM,07:24 AM,06:13 PM,1,20,20,20,15,0,29,0.0,1015,19,10,24,10
2018-01-04 12:00:00,28,17,0.0,10.9,6,7,81,08:51 PM,09:17 AM,07:24 AM,06:13 PM,5,29,29,31,4,0,19,0.0,1013,28,10,339,4
2018-01-04 18:00:00,28,17,0.0,10.9,6,6,81,08:51 PM,09:17 AM,07:24 AM,06:13 PM,3,24,24,24,16,0,27,0.0,1013,23,10,7,9
2018-01-05 00:00:00,27,18,0.0,10.9,6,1,74,09:54 PM,10:07 AM,07:24 AM,06:13 PM,2,20,20,20,19,0,31,0.0,1013,19,10,356,10
2018-01-05 06:00:00,27,18,0.0,10.9,6,1,74,09:54 PM,10:07 AM,07:24 AM,06:13 PM,3,19,19,19,18,0,34,0.0,1014,19,10,15,11
2018-01-05 12:00:00,27,18,0.0,10.9,6,7,74,09:54 PM,10:07 AM,07:24 AM,06:13 PM,6,27,27,28,9,0,24,0.0,1012,27,10,47,8
2018-01-05 18:00:00,27,18,0.0,10.9,6,6,74,09:54 PM,10:07 AM,07:24 AM,06:13 PM,6,24,24,23,13,3,34,0.0,1012,22,10,52,7
2018-01-06 00:00:00,26,18,0.0,10.9,6,1,67,10:53 PM,10:54 AM,07:24 AM,06:14 PM,11,20,20,20,17,0,55,0.0,1012,19,10,1,10
2018-01-06 06:00:00,26,18,0.0,10.9,6,1,67,10:53 PM,10:54 AM,07:24 AM,06:14 PM,9,19,19,19,22,0,52,0.0,1013,19,10,1,13
2018-01-06 12:00:00,26,18,0.0,10.9,6,7,67,10:53 PM,10:54 AM,07:24 AM,06:14 PM,5,26,26,28,10,2,23,0.0,1012,26,10,360,9
2018-01-06 18:00:00,26,18,0.0,10.9,6,6,67,10:53 PM,10:54 AM,07:24 AM,06:14 PM,2,22,23,22,24,2,27,0.0,1013,22,10,10,13
2018-01-07 00:00:00,26,17,0.0,10.9,6,1,59,11:50 PM,11:36 AM,07:24 AM,06:15 PM,3,18,18,18,27,0,35,0.0,1013,18,10,357,13
2018-01-07 06:00:00,26,17,0.0,10.9,6,1,59,11:50 PM,11:36 AM,07:24 AM,06:15 PM,2,17,17,17,24,0,37,0.0,1015,17,10,17,13
2018-01-07 12:00:00,26,17,0.0,10.9,6,7,59,11:50 PM,11:36 AM,07:24 AM,06:15 PM,1,24,24,26,17,0,20,0.0,1013,26,10,42,14
2018-01-07 18:00:00,26,17,0.0,10.9,6,6,59,11:50 PM,11:36 AM,07:24 AM,06:15 PM,1,21,21,21,27,0,27,0.0,1014,21,10,356,14
2018-01-08 00:00:00,26,15,0.0,10.9,6,1,52,No moonrise,12:16 PM,07:25 AM,06:15 PM,2,17,17,17,31,0,37,0.0,1014,17,10,1,15
2018-01-08 06:00:00,26,15,0.0,10.9,6,1,52,No moonrise,12:16 PM,07:25 AM,06:15 PM,-0,16,16,16,26,0,33,0.0,1015,16,10,10,14
2018-01-08 12:00:00,26,15,0.0,10.9,6,7,52,No moonrise,12:16 PM,07:25 AM,06:15 PM,3,25,25,27,12,0,22,0.0,1014,26,10,58,11
2018-01-08 18:00:00,26,15,0.0,10.9,6,6,52,No moonrise,12:16 PM,07:25 AM,06:15 PM,5,24,24,23,19,3,32,0.0,1014,22,10,16,10
2018-01-09 00:00:00,29,18,0.0,10.9,6,1,45,12:44 AM,12:54 PM,07:25 AM,06:16 PM,6,19,19,19,27,4,43,0.0,1014,19,10,22,14
2018-01-09 06:00:00,29,18,0.0,10.9,6,1,45,12:44 AM,12:54 PM,07:25 AM,06:16 PM,6,18,18,18,21,5,43,0.0,1016,18,10,43,12
2018-01-09 12:00:00,29,18,0.0,10.9,6,7,45,12:44 AM,12:54 PM,07:25 AM,06:16 PM,7,27,27,29,14,6,25,0.0,1014,29,10,95,12
2018-01-09 18:00:00,29,18,0.0,10.9,6,6,45,12:44 AM,12:54 PM,07:25 AM,06:16 PM,8,25,25,25,13,5,34,0.0,1015,24,10,86,6
2018-01-10 00:00:00,29,19,0.0,10.9,6,1,38,01:37 AM,01:32 PM,07:25 AM,06:17 PM,6,20,20,20,28,4,40,0.0,1016,20,10,68,14
2018-01-10 06:00:00,29,19,0.0,10.9,6,1,38,01:37 AM,01:32 PM,07:25 AM,06:17 PM,7,19,19,19,26,5,43,0.0,1017,19,10,62,14
2018-01-10 12:00:00,29,19,0.0,10.9,6,7,38,01:37 AM,01:32 PM,07:25 AM,06:17 PM,9,28,28,29,19,9,27,0.0,1015,29,10,92,17
