date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,11,0.0,8.7,5,1,97,04:54 PM,05:53 AM,07:05 AM,05:29 PM,7,18,18,18,7,0,50,0.0,1013,13,10,291,6
2018-01-01 06:00:00,21,11,0.0,8.7,5,4,97,04:54 PM,05:53 AM,07:05 AM,05:29 PM,9,17,17,17,7,0,57,0.0,1014,13,10,300,6
2018-01-01 12:00:00,21,11,0.0,8.7,5,6,97,04:54 PM,05:53 AM,07:05 AM,05:29 PM,4,24,24,24,10,0,26,0.0,1012,21,10,319,9
2018-01-01 18:00:00,21,11,0.0,8.7,5,5,97,04:54 PM,05:53 AM,07:05 AM,05:29 PM,3,17,17,17,12,5,40,0.0,1013,15,10,309,6
2018-01-02 00:00:00,19,10,0.0,8.7,4,1,100,05:58 PM,06:58 AM,07:05 AM,05:30 PM,0,14,14,14,10,5,39,0.0,1013,12,10,334,6
2018-01-02 06:00:00,19,10,0.0,8.7,4,4,100,05:58 PM,06:58 AM,07:05 AM,05:30 PM,3,13,14,13,10,3,47,0.0,1015,11,10,306,8
2018-01-02 12:00:00,19,10,0.0,8.7,4,5,100,05:58 PM,06:58 AM,07:05 AM,05:30 PM,5,23,24,23,9,0,31,0.0,1013,19,10,303,8
2018-01-02 18:00:00,19,10,0.0,8.7,4,4,100,05:58 PM,06:58 AM,07:05 AM,05:30 PM,3,16,16,16,14,0,41,0.0,1014,14,10,285,9
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,07:05 PM,07:59 AM,07:06 AM,05:31 PM,4,14,14,14,13,0,49,0.0,1014,11,10,297,10
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,07:05 PM,07:59 AM,07:06 AM,05:31 PM,6,14,14,14,10,0,56,0.0,1016,11,10,279,8
