date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,11,0.0,8.7,4,1,97,04:59 PM,05:59 AM,07:11 AM,05:34 PM,5,18,18,18,5,0,44,0.0,1013,12,10,282,5
2018-01-01 06:00:00,21,11,0.0,8.7,4,4,97,04:59 PM,05:59 AM,07:11 AM,05:34 PM,6,18,18,18,3,0,47,0.0,1015,12,10,348,3
2018-01-01 12:00:00,21,11,0.0,8.7,4,6,97,04:59 PM,05:59 AM,07:11 AM,05:34 PM,3,23,23,23,5,3,26,0.0,1013,21,10,312,4
2018-01-01 18:00:00,21,11,0.0,8.7,4,4,97,04:59 PM,05:59 AM,07:11 AM,05:34 PM,3,17,17,17,9,3,39,0.0,1013,14,10,349,5
2018-01-02 00:00:00,20,9,0.0,8.7,4,1,100,06:03 PM,07:04 AM,07:11 AM,05:34 PM,3,16,16,16,6,0,41,0.0,1014,11,10,338,5
2018-01-02 06:00:00,20,9,0.0,8.7,4,4,100,06:03 PM,07:04 AM,07:11 AM,05:34 PM,5,15,15,15,7,0,51,0.0,1015,11,10,299,6
2018-01-02 12:00:00,20,9,0.0,8.7,4,5,100,06:03 PM,07:04 AM,07:11 AM,05:34 PM,4,24,24,24,5,0,27,0.0,1014,20,10,17,5
2018-01-02 18:00:00,20,9,0.0,8.7,4,4,100,06:03 PM,07:04 AM,07:11 AM,05:34 PM,4,17,17,17,5,0,42,0.0,1015,13,10,266,4
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,07:09 PM,08:05 AM,07:11 AM,05:35 PM,5,15,15,15,7,0,51,0.0,1015,11,10,303,6
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,07:09 PM,08:05 AM,07:11 AM,05:35 PM,7,15,15,15,8,0,58,0.0,1016,11,10,281,7
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,07:09 PM,08:05 AM,07:11 AM,05:35 PM,5,24,24,24,11,0,30,0.0,1014,21,10,308,9
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,07:09 PM,08:05 AM,07:11 AM,05:35 PM,4,16,16,16,13,0,46,0.0,1014,13,10,291,8
2018-01-04 00:00:00,21,9,0.0,8.7,4,1,81,08:16 PM,09:00 AM,07:12 AM,05:36 PM,5,14,14,14,10,0,53,0.0,1015,10,10,315,8
2018-01-04 06:00:00,21,9,0.0,8.7,4,4,81,08:16 PM,09:00 AM,07:12 AM,05:36 PM,7,15,15,15,7,0,56,0.0,1016,11,10,273,6
2018-01-04 12:00:00,21,9,0.0,8.7,4,6,81,08:16 PM,09:00 AM,07:12 AM,05:36 PM,3,25,24,25,8,0,25,0.0,1014,21,10,266,7
2018-01-04 18:00:00,21,9,0.0,8.7,4,4,81,08:16 PM,09:00 AM,07:12 AM,05:36 PM,4,17,17,17,3,0,41,0.0,1014,13,10,151,2
2018-01-05 00:00:00,20,8,0.0,8.7,4,1,74,09:22 PM,09:50 AM,07:12 AM,05:36 PM,4,16,16,16,5,0,45,0.0,1016,11,10,39,4
2018-01-05 06:00:00,20,8,0.0,8.7,4,4,74,09:22 PM,09:50 AM,07:12 AM,05:36 PM,5,15,15,15,7,2,51,0.0,1016,10,10,210,6
2018-01-05 12:00:00,20,8,0.0,8.7,4,5,74,09:22 PM,09:50 AM,07:12 AM,05:36 PM,7,24,24,24,5,2,32,0.0,1014,20,10,286,5
2018-01-05 18:00:00,20,8,0.0,8.7,4,4,74,09:22 PM,09:50 AM,07:12 AM,05:36 PM,6,17,17,17,3,0,48,0.0,1014,13,10,335,2
2018-01-06 00:00:00,21,9,0.0,8.7,4,1,67,10:23 PM,10:33 AM,07:12 AM,05:37 PM,6,16,16,16,6,0,52,0.0,1013,10,10,297,5
2018-01-06 06:00:00,21,9,0.0,8.7,4,4,67,10:23 PM,10:33 AM,07:12 AM,05:37 PM,6,15,15,15,7,0,53,0.0,1014,11,10,309,6
2018-01-06 12:00:00,21,9,0.0,8.7,4,6,67,10:23 PM,10:33 AM,07:12 AM,05:37 PM,4,23,24,23,12,0,29,0.0,1012,21,10,300,10
2018-01-06 18:00:00,21,9,0.0,8.7,4,4,67,10:23 PM,10:33 AM,07:12 AM,05:37 PM,5,16,16,16,13,0,47,0.0,1013,13,10,345,8
