date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,18,0.0,8.7,6,1,97,05:20 PM,05:51 AM,07:01 AM,05:56 PM,5,21,24,21,7,1,35,0.0,1012,18,10,117,5
2018-01-01 06:00:00,28,18,0.0,8.7,6,1,97,05:20 PM,05:51 AM,07:01 AM,05:56 PM,5,21,24,21,7,3,35,0.0,1013,20,10,142,5
2018-01-01 12:00:00,28,18,0.0,8.7,6,7,97,05:20 PM,05:51 AM,07:01 AM,05:56 PM,6,28,28,29,2,3,23,0.0,1010,28,10,285,2
2018-01-01 18:00:00,28,18,0.0,8.7,6,6,97,05:20 PM,05:51 AM,07:01 AM,05:56 PM,5,22,24,22,13,3,33,0.0,1011,21,10,29,7
2018-01-02 00:00:00,27,17,0.0,8.7,6,1,100,06:24 PM,06:56 AM,07:02 AM,05:57 PM,6,20,20,20,9,3,39,0.0,1011,18,10,67,5
2018-01-02 06:00:00,27,17,0.0,8.7,6,1,100,06:24 PM,06:56 AM,07:02 AM,05:57 PM,6,20,20,20,10,4,42,0.0,1014,19,10,88,8
2018-01-02 12:00:00,27,17,0.0,8.7,6,7,100,06:24 PM,06:56 AM,07:02 AM,05:57 PM,5,26,26,28,9,3,23,0.0,1010,27,10,29,8
2018-01-02 18:00:00,27,17,0.0,8.7,6,6,100,06:24 PM,06:56 AM,07:02 AM,05:57 PM,5,21,23,21,19,2,34,0.0,1012,21,10,22,10
2018-01-03 00:00:00,27,16,0.0,8.7,6,1,89,07:30 PM,07:58 AM,07:02 AM,05:58 PM,5,18,18,18,14,3,43,0.0,1013,17,10,76,8
2018-01-03 06:00:00,27,16,0.0,8.7,6,1,89,07:30 PM,07:58 AM,07:02 AM,05:58 PM,5,19,19,19,12,3,41,0.0,1016,18,10,106,9
2018-01-03 12:00:00,27,16,0.0,8.7,6,7,89,07:30 PM,07:58 AM,07:02 AM,05:58 PM,6,27,27,28,6,3,24,0.0,1012,27,10,32,5
2018-01-03 18:00:00,27,16,0.0,8.7,6,6,89,07:30 PM,07:58 AM,07:02 AM,05:58 PM,5,21,24,21,13,3,35,0.0,1014,21,10,37,7
2018-01-04 00:00:00,27,16,0.0,8.7,6,1,81,08:34 PM,08:55 AM,07:02 AM,05:58 PM,6,20,20,20,8,0,40,0.0,1014,17,10,71,5
2018-01-04 06:00:00,27,16,0.0,8.7,6,1,81,08:34 PM,08:55 AM,07:02 AM,05:58 PM,6,20,20,20,8,4,40,0.0,1016,19,10,131,6
2018-01-04 12:00:00,27,16,0.0,8.7,6,7,81,08:34 PM,08:55 AM,07:02 AM,05:58 PM,6,27,27,29,4,3,24,0.0,1013,27,10,335,3
2018-01-04 18:00:00,27,16,0.0,8.7,6,6,81,08:34 PM,08:55 AM,07:02 AM,05:58 PM,5,22,24,22,12,3,33,0.0,1013,21,10,55,6
2018-01-05 00:00:00,27,17,0.0,8.7,6,1,74,09:37 PM,09:47 AM,07:03 AM,05:59 PM,6,21,24,21,5,3,37,0.0,1013,19,10,6,3
2018-01-05 06:00:00,27,17,0.0,8.7,6,1,74,09:37 PM,09:47 AM,07:03 AM,05:59 PM,6,21,21,21,6,3,37,0.0,1015,19,10,135,5
2018-01-05 12:00:00,27,17,0.0,8.7,6,7,74,09:37 PM,09:47 AM,07:03 AM,05:59 PM,5,27,27,28,9,3,23,0.0,1011,27,10,334,8
2018-01-05 18:00:00,27,17,0.0,8.7,6,6,74,09:37 PM,09:47 AM,07:03 AM,05:59 PM,5,22,24,22,15,2,33,0.0,1012,21,10,350,8
2018-01-06 00:00:00,27,17,0.0,8.7,6,1,67,10:35 PM,10:34 AM,07:03 AM,05:59 PM,7,20,20,20,6,3,42,0.0,1012,18,10,22,4
2018-01-06 06:00:00,27,17,0.0,8.7,6,1,67,10:35 PM,10:34 AM,07:03 AM,05:59 PM,7,20,20,20,7,4,41,0.0,1014,19,10,94,6
2018-01-06 12:00:00,27,17,0.0,8.7,6,7,67,10:35 PM,10:34 AM,07:03 AM,05:59 PM,6,27,27,29,3,3,24,0.0,1011,27,10,289,3
2018-01-06 18:00:00,27,17,0.0,8.7,6,6,67,10:35 PM,10:34 AM,07:03 AM,05:59 PM,6,22,24,22,14,3,35,0.0,1013,21,10,8,8
2018-01-07 00:00:00,26,17,0.0,11.0,6,1,59,11:32 PM,11:17 AM,07:03 AM,06:00 PM,6,19,19,19,10,4,43,0.0,1013,18,10,327,6
2018-01-07 06:00:00,26,17,0.0,11.0,6,1,59,11:32 PM,11:17 AM,07:03 AM,06:00 PM,6,19,19,19,9,5,41,0.0,1015,18,10,14,7
2018-01-07 12:00:00,26,17,0.0,11.0,6,7,59,11:32 PM,11:17 AM,07:03 AM,06:00 PM,5,25,25,27,9,3,24,0.0,1012,26,10,1,8
2018-01-07 18:00:00,26,17,0.0,11.0,6,6,59,11:32 PM,11:17 AM,07:03 AM,06:00 PM,3,21,23,21,14,3,30,0.0,1013,20,10,355,8
2018-01-08 00:00:00,27,16,0.0,11.0,6,1,52,No moonrise,11:57 AM,07:03 AM,06:01 PM,4,19,19,19,11,3,38,0.0,1013,17,10,56,6
2018-01-08 06:00:00,27,16,0.0,11.0,6,1,52,No moonrise,11:57 AM,07:03 AM,06:01 PM,7,19,19,19,18,4,47,0.0,1015,18,10,99,12
2018-01-08 12:00:00,27,16,0.0,11.0,6,7,52,No moonrise,11:57 AM,07:03 AM,06:01 PM,7,26,26,27,12,5,27,0.0,1013,27,10,122,10
2018-01-08 18:00:00,27,16,0.0,11.0,6,6,52,No moonrise,11:57 AM,07:03 AM,06:01 PM,6,22,24,22,17,5,37,0.0,1015,21,10,78,9
2018-01-09 00:00:00,27,16,0.0,11.0,6,1,45,12:25 AM,12:36 PM,07:03 AM,06:01 PM,6,18,18,18,17,4,44,0.0,1016,18,10,84,9
2018-01-09 06:00:00,27,16,0.0,11.0,6,1,45,12:25 AM,12:36 PM,07:03 AM,06:01 PM,6,18,18,18,18,3,44,0.0,1018,18,10,117,12
2018-01-09 12:00:00,27,16,0.0,11.0,6,7,45,12:25 AM,12:36 PM,07:03 AM,06:01 PM,6,26,26,28,11,4,25,0.0,1015,27,10,82,10
2018-01-09 18:00:00,27,16,0.0,11.0,6,6,45,12:25 AM,12:36 PM,07:03 AM,06:01 PM,5,21,24,21,19,4,35,0.0,1017,21,10,69,10
2018-01-10 00:00:00,27,16,0.0,11.0,6,1,38,01:17 AM,01:14 PM,07:04 AM,06:02 PM,7,21,21,21,8,2,41,0.0,1017,18,10,98,6
2018-01-10 06:00:00,27,16,0.0,11.0,6,1,38,01:17 AM,01:14 PM,07:04 AM,06:02 PM,7,20,20,20,8,2,42,0.0,1019,19,10,88,7
2018-01-10 12:00:00,27,16,0.0,11.0,6,7,38,01:17 AM,01:14 PM,07:04 AM,06:02 PM,7,26,26,27,10,3,27,0.0,1016,27,10,43,9
2018-01-10 18:00:00,27,16,0.0,11.0,6,6,38,01:17 AM,01:14 PM,07:04 AM,06:02 PM,7,22,24,22,18,3,38,0.0,1018,21,10,23,10
2018-01-11 00:00:00,28,17,0.0,11.0,6,1,30,02:08 AM,01:53 PM,07:04 AM,06:03 PM,5,21,23,21,7,2,34,0.0,1017,18,10,68,5
2018-01-11 06:00:00,28,17,0.0,11.0,6,1,30,02:08 AM,01:53 PM,07:04 AM,06:03 PM,5,21,23,21,6,2,35,0.0,1019,19,10,111,5
2018-01-11 12:00:00,28,17,0.0,11.0,6,7,30,02:08 AM,01:53 PM,07:04 AM,06:03 PM,6,27,27,29,10,3,24,0.0,1015,28,10,357,9
2018-01-11 18:00:00,28,17,0.0,11.0,6,6,30,02:08 AM,01:53 PM,07:04 AM,06:03 PM,3,23,23,23,21,5,28,0.0,1015,23,10,19,11
2018-01-12 00:00:00,29,19,0.0,11.0,6,1,23,02:59 AM,02:33 PM,07:04 AM,06:03 PM,1,21,23,21,7,7,27,0.0,1015,20,10,48,4
2018-01-12 06:00:00,29,19,0.0,11.0,6,1,23,02:59 AM,02:33 PM,07:04 AM,06:03 PM,3,23,23,23,6,9,28,0.0,1016,22,10,54,5
