date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,10,0.0,8.7,5,1,97,04:38 PM,05:28 AM,06:40 AM,05:15 PM,7,15,15,15,11,9,62,0.0,1013,13,10,246,5
2018-01-01 06:00:00,22,10,0.0,8.7,5,4,97,04:38 PM,05:28 AM,06:40 AM,05:15 PM,10,17,17,17,7,0,65,0.0,1016,14,10,269,6
2018-01-01 12:00:00,22,10,0.0,8.7,5,6,97,04:38 PM,05:28 AM,06:40 AM,05:15 PM,9,25,25,25,7,0,36,0.0,1013,22,10,318,6
2018-01-01 18:00:00,22,10,0.0,8.7,5,4,97,04:38 PM,05:28 AM,06:40 AM,05:15 PM,7,17,17,17,10,0,53,0.0,1014,15,10,299,6
2018-01-02 00:00:00,21,9,0.0,8.7,4,1,100,05:43 PM,06:33 AM,06:40 AM,05:16 PM,6,15,15,15,10,0,57,0.0,1013,12,10,289,7
2018-01-02 06:00:00,21,9,0.0,8.7,4,4,100,05:43 PM,06:33 AM,06:40 AM,05:16 PM,6,16,16,16,7,2,52,0.0,1016,13,10,292,6
2018-01-02 12:00:00,21,9,0.0,8.7,4,6,100,05:43 PM,06:33 AM,06:40 AM,05:16 PM,4,23,24,23,11,0,30,0.0,1013,21,10,291,10
2018-01-02 18:00:00,21,9,0.0,8.7,4,4,100,05:43 PM,06:33 AM,06:40 AM,05:16 PM,6,16,16,16,16,0,51,0.0,1014,14,10,322,9
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,06:49 PM,07:35 AM,06:41 AM,05:16 PM,5,14,14,14,11,0,55,0.0,1014,11,10,260,7
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,06:49 PM,07:35 AM,06:41 AM,05:16 PM,5,13,14,13,13,0,57,0.0,1016,12,10,260,12
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,06:49 PM,07:35 AM,06:41 AM,05:16 PM,4,22,23,22,16,0,30,0.0,1014,21,10,293,14
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,06:49 PM,07:35 AM,06:41 AM,05:16 PM,4,16,16,16,16,0,47,0.0,1015,14,10,274,8
2018-01-04 00:00:00,22,9,0.0,8.7,4,1,81,07:55 PM,08:30 AM,06:41 AM,05:17 PM,5,13,14,13,14,0,56,0.0,1015,11,10,259,8
2018-01-04 06:00:00,22,9,0.0,8.7,4,4,81,07:55 PM,08:30 AM,06:41 AM,05:17 PM,7,16,16,16,8,0,57,0.0,1018,13,10,234,7
2018-01-04 12:00:00,22,9,0.0,8.7,4,6,81,07:55 PM,08:30 AM,06:41 AM,05:17 PM,7,26,25,26,3,0,31,0.0,1015,22,10,253,3
2018-01-04 18:00:00,22,9,0.0,8.7,4,4,81,07:55 PM,08:30 AM,06:41 AM,05:17 PM,5,16,16,16,12,0,47,0.0,1015,14,10,18,7
2018-01-05 00:00:00,20,9,0.0,8.7,4,1,74,08:59 PM,09:21 AM,06:41 AM,05:18 PM,7,16,16,16,1,0,56,0.0,1015,11,10,116,1
2018-01-05 06:00:00,20,9,0.0,8.7,4,4,74,08:59 PM,09:21 AM,06:41 AM,05:18 PM,7,15,15,15,8,0,59,0.0,1017,12,10,241,7
2018-01-05 12:00:00,20,9,0.0,8.7,4,6,74,08:59 PM,09:21 AM,06:41 AM,05:18 PM,5,22,24,22,10,0,32,0.0,1014,20,10,277,9
2018-01-05 18:00:00,20,9,0.0,8.7,4,4,74,08:59 PM,09:21 AM,06:41 AM,05:18 PM,4,14,14,14,15,0,50,0.0,1014,12,10,319,8
2018-01-06 00:00:00,20,7,0.0,8.7,4,1,67,10:00 PM,10:06 AM,06:41 AM,05:19 PM,5,12,13,12,10,0,58,0.0,1014,9,10,260,7
2018-01-06 06:00:00,20,7,0.0,8.7,4,4,67,10:00 PM,10:06 AM,06:41 AM,05:19 PM,3,9,11,9,16,0,59,0.0,1016,10,10,271,13
2018-01-06 12:00:00,20,7,0.0,8.7,4,5,67,10:00 PM,10:06 AM,06:41 AM,05:19 PM,4,22,23,22,12,0,32,0.0,1013,20,10,279,10
2018-01-06 18:00:00,20,7,0.0,8.7,4,4,67,10:00 PM,10:06 AM,06:41 AM,05:19 PM,4,14,14,14,17,0,50,0.0,1015,12,10,287,9
2018-01-07 00:00:00,20,7,0.0,8.7,4,1,59,10:58 PM,10:47 AM,06:41 AM,05:19 PM,5,12,13,12,15,0,59,0.0,1014,10,10,259,9
2018-01-07 06:00:00,20,7,0.0,8.7,4,4,59,10:58 PM,10:47 AM,06:41 AM,05:19 PM,6,13,13,13,9,0,61,0.0,1017,10,10,235,8
2018-01-07 12:00:00,20,7,0.0,8.7,4,5,59,10:58 PM,10:47 AM,06:41 AM,05:19 PM,5,21,24,21,13,0,36,0.0,1014,20,10,276,11
