date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,20,0.0,10.9,6,1,97,06:35 PM,07:13 AM,07:55 AM,06:43 PM,18,20,20,20,15,32,89,0.0,1019,20,10,51,8
2018-01-01 06:00:00,27,20,0.0,10.9,6,1,97,06:35 PM,07:13 AM,07:55 AM,06:43 PM,17,20,20,20,11,6,86,0.0,1019,20,10,12,5
2018-01-01 12:00:00,27,20,0.0,10.9,6,7,97,06:35 PM,07:13 AM,07:55 AM,06:43 PM,18,28,28,27,12,11,59,0.0,1018,27,10,51,10
2018-01-01 18:00:00,27,20,0.0,10.9,6,6,97,06:35 PM,07:13 AM,07:55 AM,06:43 PM,18,22,24,22,22,7,80,0.0,1018,22,10,20,12
2018-01-02 00:00:00,26,20,0.0,10.1,6,1,100,07:40 PM,08:16 AM,07:56 AM,06:44 PM,18,21,21,21,14,10,85,0.0,1017,20,10,13,7
2018-01-02 06:00:00,26,20,0.0,10.1,6,1,100,07:40 PM,08:16 AM,07:56 AM,06:44 PM,18,20,20,20,18,35,90,0.0,1017,20,10,336,9
2018-01-02 12:00:00,26,20,0.0,10.1,6,7,100,07:40 PM,08:16 AM,07:56 AM,06:44 PM,18,27,27,26,16,50,62,0.0,1017,26,10,358,14
2018-01-02 18:00:00,26,20,0.0,10.1,6,5,100,07:40 PM,08:16 AM,07:56 AM,06:44 PM,19,21,24,21,20,68,86,0.0,1015,21,10,13,11
2018-01-03 00:00:00,26,18,0.0,10.9,6,1,89,08:45 PM,09:17 AM,07:56 AM,06:45 PM,18,20,20,20,10,58,91,0.0,1015,20,10,322,6
2018-01-03 06:00:00,26,18,0.0,10.9,6,1,89,08:45 PM,09:17 AM,07:56 AM,06:45 PM,17,18,18,18,18,46,94,0.0,1014,18,2,290,10
2018-01-03 12:00:00,26,18,0.0,10.9,6,7,89,08:45 PM,09:17 AM,07:56 AM,06:45 PM,18,27,27,25,22,54,65,0.0,1014,25,10,249,17
