date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,21,0.0,8.7,7,1,97,05:17 PM,05:23 AM,06:31 AM,05:56 PM,19,22,25,22,19,11,83,0.0,1010,22,10,330,11
2018-01-01 06:00:00,31,21,0.0,8.7,7,6,97,05:17 PM,05:23 AM,06:31 AM,05:56 PM,18,26,26,25,17,12,68,0.0,1011,24,10,323,13
2018-01-01 12:00:00,31,21,0.0,8.7,7,8,97,05:17 PM,05:23 AM,06:31 AM,05:56 PM,18,32,32,31,19,39,47,0.0,1008,31,10,25,17
2018-01-01 18:00:00,31,21,0.0,8.7,7,6,97,05:17 PM,05:23 AM,06:31 AM,05:56 PM,19,26,26,24,31,5,73,0.0,1009,24,10,45,18
2018-01-02 00:00:00,30,21,0.0,8.7,7,1,100,06:21 PM,06:27 AM,06:32 AM,05:56 PM,20,25,25,23,14,10,83,0.0,1009,22,10,340,8
2018-01-02 06:00:00,30,21,0.0,8.7,7,6,100,06:21 PM,06:27 AM,06:32 AM,05:56 PM,19,26,26,25,14,18,72,0.0,1011,24,10,336,11
2018-01-02 12:00:00,30,21,0.0,8.7,7,8,100,06:21 PM,06:27 AM,06:32 AM,05:56 PM,19,32,32,30,17,40,50,0.1,1009,30,10,42,14
2018-01-02 18:00:00,30,21,0.0,8.7,7,6,100,06:21 PM,06:27 AM,06:32 AM,05:56 PM,21,26,26,24,26,11,80,0.0,1010,24,10,48,15
2018-01-03 00:00:00,30,22,0.0,8.7,7,1,89,07:26 PM,07:30 AM,06:32 AM,05:57 PM,22,25,25,23,15,60,93,0.0,1010,23,10,353,9
2018-01-03 06:00:00,30,22,0.0,8.7,7,6,89,07:26 PM,07:30 AM,06:32 AM,05:57 PM,21,27,27,25,16,17,80,0.0,1012,25,10,6,13
2018-01-03 12:00:00,30,22,0.0,8.7,7,7,89,07:26 PM,07:30 AM,06:32 AM,05:57 PM,17,31,31,30,23,4,44,0.0,1010,30,10,47,20
2018-01-03 18:00:00,30,22,0.0,8.7,7,6,89,07:26 PM,07:30 AM,06:32 AM,05:57 PM,19,26,26,24,29,9,74,0.0,1012,24,10,58,17
2018-01-04 00:00:00,29,22,0.0,8.7,6,1,81,08:28 PM,08:28 AM,06:33 AM,05:57 PM,20,25,25,23,16,9,83,0.0,1013,22,10,47,10
2018-01-04 06:00:00,29,22,0.0,8.7,6,6,81,08:28 PM,08:28 AM,06:33 AM,05:57 PM,19,27,27,25,12,8,66,0.0,1015,25,10,16,10
2018-01-04 12:00:00,29,22,0.0,8.7,6,7,81,08:28 PM,08:28 AM,06:33 AM,05:57 PM,13,29,29,29,25,0,37,0.0,1012,29,10,48,22
2018-01-04 18:00:00,29,22,0.0,8.7,6,6,81,08:28 PM,08:28 AM,06:33 AM,05:57 PM,16,25,25,23,28,0,66,0.0,1013,23,10,46,15
2018-01-05 00:00:00,28,21,0.0,8.7,6,1,74,09:28 PM,09:23 AM,06:33 AM,05:58 PM,19,23,25,23,12,0,78,0.0,1012,21,10,24,9
2018-01-05 06:00:00,28,21,0.0,8.7,6,6,74,09:28 PM,09:23 AM,06:33 AM,05:58 PM,18,27,27,26,11,0,62,0.0,1014,24,10,27,9
2018-01-05 12:00:00,28,21,0.0,8.7,6,7,74,09:28 PM,09:23 AM,06:33 AM,05:58 PM,13,28,28,28,22,0,41,0.0,1011,28,10,58,19
2018-01-05 18:00:00,28,21,0.0,8.7,6,6,74,09:28 PM,09:23 AM,06:33 AM,05:58 PM,14,25,25,22,28,0,60,0.0,1012,22,10,52,14
2018-01-06 00:00:00,28,20,0.0,8.7,6,1,67,10:24 PM,10:12 AM,06:33 AM,05:58 PM,17,24,25,24,9,0,66,0.0,1011,21,10,36,7
2018-01-06 06:00:00,28,20,0.0,8.7,6,6,67,10:24 PM,10:12 AM,06:33 AM,05:58 PM,17,26,26,25,10,0,60,0.0,1013,23,10,316,9
2018-01-06 12:00:00,28,20,0.0,8.7,6,7,67,10:24 PM,10:12 AM,06:33 AM,05:58 PM,13,28,28,29,19,0,39,0.0,1010,28,10,57,17
2018-01-06 18:00:00,28,20,0.0,8.7,6,6,67,10:24 PM,10:12 AM,06:33 AM,05:58 PM,14,25,25,22,27,0,59,0.0,1012,22,10,59,14
2018-01-07 00:00:00,29,19,0.0,8.7,6,1,59,11:17 PM,10:58 AM,06:34 AM,05:59 PM,17,23,25,23,10,0,68,0.0,1012,20,10,354,8
2018-01-07 06:00:00,29,19,0.0,8.7,6,6,59,11:17 PM,10:58 AM,06:34 AM,05:59 PM,16,26,26,24,11,0,61,0.0,1013,22,10,332,9
2018-01-07 12:00:00,29,19,0.0,8.7,6,7,59,11:17 PM,10:58 AM,06:34 AM,05:59 PM,11,28,28,29,22,0,33,0.0,1011,29,10,54,19
2018-01-07 18:00:00,29,19,0.0,8.7,6,6,59,11:17 PM,10:58 AM,06:34 AM,05:59 PM,16,22,25,22,26,0,67,0.0,1012,22,10,47,14
2018-01-08 00:00:00,28,19,0.0,8.7,6,1,52,No moonrise,11:42 AM,06:34 AM,05:59 PM,18,22,25,22,15,0,77,0.0,1012,20,10,354,10
2018-01-08 06:00:00,28,19,0.0,8.7,6,6,52,No moonrise,11:42 AM,06:34 AM,05:59 PM,17,25,25,23,16,4,66,0.0,1014,23,10,352,12
2018-01-08 12:00:00,28,19,0.0,8.7,6,7,52,No moonrise,11:42 AM,06:34 AM,05:59 PM,17,29,29,28,28,2,50,0.0,1012,28,10,44,24
2018-01-08 18:00:00,28,19,0.0,8.7,6,6,52,No moonrise,11:42 AM,06:34 AM,05:59 PM,18,25,25,23,25,11,72,0.0,1014,23,10,32,14
2018-01-09 00:00:00,28,22,0.0,5.8,6,1,45,12:08 AM,12:23 PM,06:34 AM,06:00 PM,18,22,24,22,21,46,79,0.0,1013,22,10,7,12
2018-01-09 06:00:00,28,22,0.0,5.8,6,5,45,12:08 AM,12:23 PM,06:34 AM,06:00 PM,20,26,26,25,28,69,74,0.0,1015,24,10,21,22
2018-01-09 12:00:00,28,22,0.0,5.8,6,6,45,12:08 AM,12:23 PM,06:34 AM,06:00 PM,20,28,28,27,30,98,66,0.0,1013,27,10,40,24
2018-01-09 18:00:00,28,22,0.0,5.8,6,5,45,12:08 AM,12:23 PM,06:34 AM,06:00 PM,20,26,26,24,28,70,81,0.0,1015,24,10,17,17
2018-01-10 00:00:00,26,23,0.0,5.8,5,1,38,12:57 AM,01:04 PM,06:34 AM,06:01 PM,21,25,25,23,24,100,87,0.2,1014,23,10,13,15
2018-01-10 06:00:00,26,23,0.0,5.8,5,5,38,12:57 AM,01:04 PM,06:34 AM,06:01 PM,21,27,27,25,23,100,83,0.5,1016,24,10,15,18
2018-01-10 12:00:00,26,23,0.0,5.8,5,6,38,12:57 AM,01:04 PM,06:34 AM,06:01 PM,21,28,28,26,24,100,76,0.2,1014,26,10,16,21
2018-01-10 18:00:00,26,23,0.0,5.8,5,5,38,12:57 AM,01:04 PM,06:34 AM,06:01 PM,21,26,26,24,23,69,87,0.0,1015,23,10,30,13
2018-01-11 00:00:00,30,22,0.0,10.2,6,1,30,01:46 AM,01:45 PM,06:35 AM,06:01 PM,21,25,25,23,20,77,92,0.2,1015,23,10,357,12
2018-01-11 06:00:00,30,22,0.0,10.2,6,5,30,01:46 AM,01:45 PM,06:35 AM,06:01 PM,22,27,27,25,15,85,82,0.0,1016,25,10,3,12
2018-01-11 12:00:00,30,22,0.0,10.2,6,7,30,01:46 AM,01:45 PM,06:35 AM,06:01 PM,20,32,32,30,21,23,57,0.0,1013,30,10,58,18
2018-01-11 18:00:00,30,22,0.0,10.2,6,6,30,01:46 AM,01:45 PM,06:35 AM,06:01 PM,21,26,26,24,21,11,82,0.0,1014,24,10,48,13
2018-01-12 00:00:00,31,22,0.0,11.6,7,1,23,02:34 AM,02:27 PM,06:35 AM,06:02 PM,21,26,26,24,9,13,88,0.0,1014,23,10,19,6
2018-01-12 06:00:00,31,22,0.0,11.6,7,6,23,02:34 AM,02:27 PM,06:35 AM,06:02 PM,21,27,27,25,10,9,77,0.0,1015,25,10,334,9
2018-01-12 12:00:00,31,22,0.0,11.6,7,8,23,02:34 AM,02:27 PM,06:35 AM,06:02 PM,18,32,32,31,18,7,48,0.0,1012,31,10,74,16
2018-01-12 18:00:00,31,22,0.0,11.6,7,6,23,02:34 AM,02:27 PM,06:35 AM,06:02 PM,21,26,26,25,17,3,79,0.0,1014,24,10,77,11
2018-01-13 00:00:00,30,21,0.0,11.6,6,1,16,03:23 AM,03:11 PM,06:35 AM,06:02 PM,24,30,30,26,5,0,88,0.0,1013,22,10,17,4
2018-01-13 06:00:00,30,21,0.0,11.6,6,6,16,03:23 AM,03:11 PM,06:35 AM,06:02 PM,23,30,30,27,8,0,77,0.0,1015,24,10,18,7
2018-01-13 12:00:00,30,21,0.0,11.6,6,8,16,03:23 AM,03:11 PM,06:35 AM,06:02 PM,19,32,32,30,20,0,50,0.0,1012,30,10,83,17
2018-01-13 18:00:00,30,21,0.0,11.6,6,6,16,03:23 AM,03:11 PM,06:35 AM,06:02 PM,22,27,27,25,13,0,84,0.0,1014,23,10,86,9
