date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,16,0.0,10.9,6,1,97,05:26 PM,06:03 AM,07:14 AM,06:01 PM,7,19,19,19,15,2,45,0.0,1012,17,10,45,8
2018-01-01 06:00:00,27,16,0.0,10.9,6,1,97,05:26 PM,06:03 AM,07:14 AM,06:01 PM,7,19,19,19,14,0,46,0.0,1013,17,10,47,10
2018-01-01 12:00:00,27,16,0.0,10.9,6,7,97,05:26 PM,06:03 AM,07:14 AM,06:01 PM,7,28,28,29,6,2,25,0.0,1010,27,10,15,5
2018-01-01 18:00:00,27,16,0.0,10.9,6,6,97,05:26 PM,06:03 AM,07:14 AM,06:01 PM,4,22,23,22,16,0,31,0.0,1012,20,10,21,9
2018-01-02 00:00:00,27,15,0.0,10.9,5,1,100,06:30 PM,07:09 AM,07:14 AM,06:02 PM,4,18,18,18,17,0,40,0.0,1012,16,10,44,10
2018-01-02 06:00:00,27,15,0.0,10.9,5,1,100,06:30 PM,07:09 AM,07:14 AM,06:02 PM,5,17,17,17,29,0,45,0.0,1014,17,10,69,16
2018-01-02 12:00:00,27,15,0.0,10.9,5,7,100,06:30 PM,07:09 AM,07:14 AM,06:02 PM,5,26,26,28,15,0,24,0.0,1011,27,10,75,13
2018-01-02 18:00:00,27,15,0.0,10.9,5,5,100,06:30 PM,07:09 AM,07:14 AM,06:02 PM,1,21,21,21,24,0,28,0.0,1013,19,10,37,12
2018-01-03 00:00:00,27,14,0.0,10.9,5,1,89,07:36 PM,08:10 AM,07:14 AM,06:03 PM,-2,16,16,16,28,0,27,0.0,1013,16,10,69,13
2018-01-03 06:00:00,27,14,0.0,10.9,5,1,89,07:36 PM,08:10 AM,07:14 AM,06:03 PM,-0,16,16,16,29,0,33,0.0,1015,16,10,81,15
2018-01-03 12:00:00,27,14,0.0,10.9,5,7,89,07:36 PM,08:10 AM,07:14 AM,06:03 PM,8,29,29,31,5,0,25,0.0,1012,27,10,135,4
2018-01-03 18:00:00,27,14,0.0,10.9,5,6,89,07:36 PM,08:10 AM,07:14 AM,06:03 PM,6,23,24,23,12,0,34,0.0,1013,20,10,27,6
2018-01-04 00:00:00,28,16,0.0,10.9,6,1,81,08:41 PM,09:07 AM,07:15 AM,06:03 PM,3,20,20,20,13,0,34,0.0,1014,17,10,70,8
2018-01-04 06:00:00,28,16,0.0,10.9,6,1,81,08:41 PM,09:07 AM,07:15 AM,06:03 PM,5,20,20,20,11,0,39,0.0,1015,17,10,81,8
