date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,10,0.0,8.7,4,1,97,05:11 PM,06:10 AM,07:22 AM,05:45 PM,-9,13,13,13,14,0,21,0.0,1014,12,10,150,6
2018-01-01 06:00:00,21,10,0.0,8.7,4,4,97,05:11 PM,06:10 AM,07:22 AM,05:45 PM,-6,14,14,14,9,0,24,0.0,1015,12,10,247,5
2018-01-01 12:00:00,21,10,0.0,8.7,4,6,97,05:11 PM,06:10 AM,07:22 AM,05:45 PM,-9,21,21,21,11,0,13,0.0,1014,21,10,339,9
2018-01-01 18:00:00,21,10,0.0,8.7,4,5,97,05:11 PM,06:10 AM,07:22 AM,05:45 PM,-6,15,15,15,17,0,23,0.0,1014,15,10,11,8
2018-01-02 00:00:00,21,10,0.0,8.7,4,1,100,06:15 PM,07:16 AM,07:23 AM,05:46 PM,-6,11,12,11,16,0,29,0.0,1015,11,10,87,8
2018-01-02 06:00:00,21,10,0.0,8.7,4,4,100,06:15 PM,07:16 AM,07:23 AM,05:46 PM,-5,14,14,14,9,0,27,0.0,1016,12,10,156,5
2018-01-02 12:00:00,21,10,0.0,8.7,4,6,100,06:15 PM,07:16 AM,07:23 AM,05:46 PM,-6,21,21,21,9,0,16,0.0,1015,21,10,23,8
2018-01-02 18:00:00,21,10,0.0,8.7,4,5,100,06:15 PM,07:16 AM,07:23 AM,05:46 PM,-4,15,15,15,16,0,26,0.0,1015,15,10,50,8
2018-01-03 00:00:00,22,11,0.0,8.7,5,1,89,07:22 PM,08:17 AM,07:23 AM,05:47 PM,-2,12,12,12,17,0,36,0.0,1015,12,10,122,8
2018-01-03 06:00:00,22,11,0.0,8.7,5,4,89,07:22 PM,08:17 AM,07:23 AM,05:47 PM,-1,13,13,13,14,0,38,0.0,1017,12,10,174,7
2018-01-03 12:00:00,22,11,0.0,8.7,5,6,89,07:22 PM,08:17 AM,07:23 AM,05:47 PM,-6,24,23,24,5,0,14,0.0,1015,22,10,3,4
2018-01-03 18:00:00,22,11,0.0,8.7,5,5,89,07:22 PM,08:17 AM,07:23 AM,05:47 PM,-4,16,16,16,20,0,24,0.0,1015,16,10,80,10
2018-01-04 00:00:00,23,12,0.0,8.7,5,1,81,08:28 PM,09:12 AM,07:23 AM,05:48 PM,-3,12,12,12,17,0,34,0.0,1015,12,10,112,8
2018-01-04 06:00:00,23,12,0.0,8.7,5,4,81,08:28 PM,09:12 AM,07:23 AM,05:48 PM,-3,13,14,13,21,0,31,0.0,1016,14,10,153,10
2018-01-04 12:00:00,23,12,0.0,8.7,5,6,81,08:28 PM,09:12 AM,07:23 AM,05:48 PM,-5,23,23,23,13,0,14,0.0,1013,23,10,200,12
2018-01-04 18:00:00,23,12,0.0,8.7,5,5,81,08:28 PM,09:12 AM,07:23 AM,05:48 PM,-4,18,18,18,8,0,22,0.0,1014,17,10,17,4
2018-01-05 00:00:00,22,12,0.0,8.7,5,1,74,09:34 PM,10:01 AM,07:23 AM,05:48 PM,1,12,13,12,25,4,43,0.0,1015,13,10,155,12
2018-01-05 06:00:00,22,12,0.0,8.7,5,4,74,09:34 PM,10:01 AM,07:23 AM,05:48 PM,0,12,13,12,17,0,42,0.0,1016,13,10,171,9
2018-01-05 12:00:00,22,12,0.0,8.7,5,6,74,09:34 PM,10:01 AM,07:23 AM,05:48 PM,-4,23,23,24,5,0,15,0.0,1014,22,10,330,5
2018-01-05 18:00:00,22,12,0.0,8.7,5,5,74,09:34 PM,10:01 AM,07:23 AM,05:48 PM,-2,17,17,17,27,0,29,0.0,1014,17,10,46,13
2018-01-06 00:00:00,21,11,0.0,8.7,5,1,67,10:36 PM,10:45 AM,07:24 AM,05:49 PM,1,12,13,12,21,3,44,0.0,1014,13,10,74,10
2018-01-06 06:00:00,21,11,0.0,8.7,5,4,67,10:36 PM,10:45 AM,07:24 AM,05:49 PM,1,14,14,14,12,2,42,0.0,1015,13,10,87,6
2018-01-06 12:00:00,21,11,0.0,8.7,5,6,67,10:36 PM,10:45 AM,07:24 AM,05:49 PM,-3,22,22,22,8,0,19,0.0,1013,21,10,351,7
2018-01-06 18:00:00,21,11,0.0,8.7,5,5,67,10:36 PM,10:45 AM,07:24 AM,05:49 PM,-2,16,16,16,22,0,28,0.0,1014,16,10,358,11
2018-01-07 00:00:00,21,10,0.0,8.7,4,1,59,11:35 PM,11:25 AM,07:24 AM,05:50 PM,-2,11,12,11,17,0,37,0.0,1015,12,10,34,8
2018-01-07 06:00:00,21,10,0.0,8.7,4,4,59,11:35 PM,11:25 AM,07:24 AM,05:50 PM,0,15,14,15,5,0,39,0.0,1017,12,10,1,4
2018-01-07 12:00:00,21,10,0.0,8.7,4,6,59,11:35 PM,11:25 AM,07:24 AM,05:50 PM,-5,21,21,21,15,0,16,0.0,1015,21,10,329,13
2018-01-07 18:00:00,21,10,0.0,8.7,4,5,59,11:35 PM,11:25 AM,07:24 AM,05:50 PM,-5,15,15,15,19,0,24,0.0,1016,15,10,317,9
2018-01-08 00:00:00,21,10,0.0,8.7,4,1,52,No moonrise,12:02 PM,07:24 AM,05:50 PM,-5,11,12,11,15,0,30,0.0,1016,11,10,286,7
2018-01-08 06:00:00,21,10,0.0,8.7,4,4,52,No moonrise,12:02 PM,07:24 AM,05:50 PM,-5,13,13,13,9,0,28,0.0,1018,11,10,314,5
2018-01-08 12:00:00,21,10,0.0,8.7,4,6,52,No moonrise,12:02 PM,07:24 AM,05:50 PM,-8,21,22,21,11,0,13,0.0,1017,21,10,331,10
2018-01-08 18:00:00,21,10,0.0,8.7,4,4,52,No moonrise,12:02 PM,07:24 AM,05:50 PM,-8,16,16,16,12,0,19,0.0,1018,15,10,356,6
2018-01-09 00:00:00,22,9,0.0,8.7,4,1,45,12:32 AM,12:38 PM,07:24 AM,05:51 PM,-6,13,13,13,6,0,26,0.0,1019,11,10,32,3
2018-01-09 06:00:00,22,9,0.0,8.7,4,4,45,12:32 AM,12:38 PM,07:24 AM,05:51 PM,-4,14,14,14,6,0,28,0.0,1021,11,10,43,3
2018-01-09 12:00:00,22,9,0.0,8.7,4,6,45,12:32 AM,12:38 PM,07:24 AM,05:51 PM,-7,22,22,22,13,0,13,0.0,1019,22,10,3,11
2018-01-09 18:00:00,22,9,0.0,8.7,4,4,45,12:32 AM,12:38 PM,07:24 AM,05:51 PM,-5,16,16,16,11,0,23,0.0,1019,15,10,353,5
2018-01-10 00:00:00,24,10,0.0,8.7,5,1,38,01:27 AM,01:14 PM,07:24 AM,05:52 PM,-6,12,13,12,16,0,27,0.0,1020,12,10,339,8
2018-01-10 06:00:00,24,10,0.0,8.7,5,4,38,01:27 AM,01:14 PM,07:24 AM,05:52 PM,-6,13,12,13,8,21,27,0.0,1021,12,10,311,4
2018-01-10 12:00:00,24,10,0.0,8.7,5,6,38,01:27 AM,01:14 PM,07:24 AM,05:52 PM,-10,23,23,24,14,2,9,0.0,1018,24,10,300,12
2018-01-10 18:00:00,24,10,0.0,8.7,5,5,38,01:27 AM,01:14 PM,07:24 AM,05:52 PM,-11,17,17,17,21,0,14,0.0,1019,16,10,306,10
2018-01-11 00:00:00,23,11,0.0,8.7,5,1,30,02:20 AM,01:50 PM,07:24 AM,05:53 PM,-10,13,14,13,26,2,18,0.0,1018,13,10,299,12
2018-01-11 06:00:00,23,11,0.0,8.7,5,4,30,02:20 AM,01:50 PM,07:24 AM,05:53 PM,-8,13,13,13,18,1,23,0.0,1019,13,10,289,9
2018-01-11 12:00:00,23,11,0.0,8.7,5,6,30,02:20 AM,01:50 PM,07:24 AM,05:53 PM,-8,23,23,23,19,3,12,0.0,1017,23,10,308,17
2018-01-11 18:00:00,23,11,0.0,8.7,5,5,30,02:20 AM,01:50 PM,07:24 AM,05:53 PM,-8,17,17,17,17,6,17,0.0,1017,17,10,305,8
2018-01-12 00:00:00,25,13,0.0,8.7,5,1,23,03:14 AM,02:27 PM,07:24 AM,05:54 PM,-8,14,15,14,22,8,20,0.0,1016,15,10,287,10
2018-01-12 06:00:00,25,13,0.0,8.7,5,4,23,03:14 AM,02:27 PM,07:24 AM,05:54 PM,-8,16,16,16,13,3,19,0.0,1017,15,10,271,6
2018-01-12 12:00:00,25,13,0.0,8.7,5,6,23,03:14 AM,02:27 PM,07:24 AM,05:54 PM,-5,24,24,25,16,4,14,0.0,1015,25,10,287,14
2018-01-12 18:00:00,25,13,0.0,8.7,5,5,23,03:14 AM,02:27 PM,07:24 AM,05:54 PM,-3,18,18,18,8,8,24,0.0,1015,17,10,326,4
2018-01-13 00:00:00,24,12,0.0,8.7,5,1,16,04:06 AM,03:08 PM,07:24 AM,05:54 PM,-1,16,16,16,11,0,30,0.0,1016,15,10,204,5
2018-01-13 06:00:00,24,12,0.0,8.7,5,4,16,04:06 AM,03:08 PM,07:24 AM,05:54 PM,-2,16,16,16,3,0,29,0.0,1017,14,10,342,1
2018-01-13 12:00:00,24,12,0.0,8.7,5,6,16,04:06 AM,03:08 PM,07:24 AM,05:54 PM,-7,23,23,25,10,0,12,0.0,1015,24,10,323,9
2018-01-13 18:00:00,24,12,0.0,8.7,5,5,16,04:06 AM,03:08 PM,07:24 AM,05:54 PM,-4,18,18,18,14,0,22,0.0,1016,17,10,5,6
2018-01-14 00:00:00,24,11,0.0,8.7,5,1,9,04:57 AM,03:51 PM,07:24 AM,05:55 PM,-2,14,14,14,16,0,33,0.0,1016,14,10,131,8
2018-01-14 06:00:00,24,11,0.0,8.7,5,4,9,04:57 AM,03:51 PM,07:24 AM,05:55 PM,-1,16,16,16,8,0,31,0.0,1017,14,10,254,4
2018-01-14 12:00:00,24,11,0.0,8.7,5,6,9,04:57 AM,03:51 PM,07:24 AM,05:55 PM,-7,23,23,24,10,0,12,0.0,1015,24,10,312,9
2018-01-14 18:00:00,24,11,0.0,8.7,5,5,9,04:57 AM,03:51 PM,07:24 AM,05:55 PM,-7,18,18,18,23,0,17,0.0,1016,18,10,327,11
2018-01-15 00:00:00,24,11,0.0,8.7,5,1,1,05:48 AM,04:37 PM,07:24 AM,05:56 PM,-6,15,15,15,15,0,24,0.0,1018,14,10,16,7
2018-01-15 06:00:00,24,11,0.0,8.7,5,4,1,05:48 AM,04:37 PM,07:24 AM,05:56 PM,-3,16,16,16,2,0,28,0.0,1019,13,10,255,1
2018-01-15 12:00:00,24,11,0.0,8.7,5,6,1,05:48 AM,04:37 PM,07:24 AM,05:56 PM,-6,23,23,24,16,0,13,0.0,1016,24,10,329,14
