date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,20,0.0,10.2,6,1,97,05:33 PM,05:33 AM,06:41 AM,06:10 PM,15,21,21,21,8,45,70,0.0,1011,21,10,15,5
2018-01-01 06:00:00,28,20,0.0,10.2,6,1,97,05:33 PM,05:33 AM,06:41 AM,06:10 PM,18,25,25,23,6,61,75,0.0,1012,22,10,56,5
2018-01-01 12:00:00,28,20,0.0,10.2,6,7,97,05:33 PM,05:33 AM,06:41 AM,06:10 PM,17,30,30,29,6,49,50,0.0,1008,28,10,109,5
2018-01-01 18:00:00,28,20,0.0,10.2,6,6,97,05:33 PM,05:33 AM,06:41 AM,06:10 PM,16,26,26,25,14,31,61,0.0,1010,24,10,260,8
2018-01-02 00:00:00,29,20,0.0,11.6,6,1,100,06:36 PM,06:37 AM,06:41 AM,06:11 PM,17,21,24,21,15,15,78,0.0,1010,21,10,267,9
2018-01-02 06:00:00,29,20,0.0,11.6,6,1,100,06:36 PM,06:37 AM,06:41 AM,06:11 PM,20,25,25,23,6,32,81,0.1,1011,23,10,129,5
2018-01-02 12:00:00,29,20,0.0,11.6,6,7,100,06:36 PM,06:37 AM,06:41 AM,06:11 PM,17,30,30,30,5,44,45,0.0,1008,29,10,136,4
2018-01-02 18:00:00,29,20,0.0,11.6,6,6,100,06:36 PM,06:37 AM,06:41 AM,06:11 PM,17,26,26,25,6,35,61,0.0,1010,25,10,281,4
2018-01-03 00:00:00,29,21,0.0,11.6,7,1,89,07:41 PM,07:40 AM,06:41 AM,06:11 PM,17,25,25,23,7,52,68,0.0,1011,23,10,3,5
2018-01-03 06:00:00,29,21,0.0,11.6,7,1,89,07:41 PM,07:40 AM,06:41 AM,06:11 PM,20,25,25,23,12,32,82,0.8,1013,23,9,62,10
2018-01-03 12:00:00,29,21,0.0,11.6,7,7,89,07:41 PM,07:40 AM,06:41 AM,06:11 PM,17,31,31,30,10,47,48,0.0,1009,29,10,103,8
2018-01-03 18:00:00,29,21,0.0,11.6,7,7,89,07:41 PM,07:40 AM,06:41 AM,06:11 PM,17,27,27,26,5,46,59,0.0,1012,25,10,253,3
2018-01-04 00:00:00,27,21,0.0,8.7,5,1,81,08:43 PM,08:39 AM,06:42 AM,06:12 PM,17,25,25,23,11,95,73,0.1,1013,22,10,82,8
2018-01-04 06:00:00,27,21,0.0,8.7,5,1,81,08:43 PM,08:39 AM,06:42 AM,06:12 PM,18,22,24,22,11,44,79,0.0,1015,22,10,83,9
2018-01-04 12:00:00,27,21,0.0,8.7,5,6,81,08:43 PM,08:39 AM,06:42 AM,06:12 PM,17,28,28,27,14,90,53,0.1,1011,27,10,79,12
2018-01-04 18:00:00,27,21,0.0,8.7,5,6,81,08:43 PM,08:39 AM,06:42 AM,06:12 PM,16,26,26,24,5,31,61,0.0,1012,24,10,53,3
2018-01-05 00:00:00,27,20,0.0,10.2,5,1,74,09:42 PM,09:34 AM,06:42 AM,06:13 PM,15,20,20,20,10,70,75,0.0,1012,20,10,56,6
2018-01-05 06:00:00,27,20,0.0,10.2,5,1,74,09:42 PM,09:34 AM,06:42 AM,06:13 PM,16,21,24,21,12,57,73,0.0,1014,21,10,92,10
2018-01-05 12:00:00,27,20,0.0,10.2,5,7,74,09:42 PM,09:34 AM,06:42 AM,06:13 PM,16,28,28,27,14,50,48,0.0,1010,27,10,73,12
2018-01-05 18:00:00,27,20,0.0,10.2,5,6,74,09:42 PM,09:34 AM,06:42 AM,06:13 PM,15,25,25,23,4,20,60,0.0,1011,22,10,58,2
2018-01-06 00:00:00,27,17,0.0,10.2,6,1,67,10:37 PM,10:24 AM,06:42 AM,06:13 PM,15,19,19,19,11,5,78,0.0,1011,18,10,52,7
2018-01-06 06:00:00,27,17,0.0,10.2,6,1,67,10:37 PM,10:24 AM,06:42 AM,06:13 PM,16,20,20,20,13,35,76,0.0,1013,20,10,85,11
2018-01-06 12:00:00,27,17,0.0,10.2,6,7,67,10:37 PM,10:24 AM,06:42 AM,06:13 PM,15,28,28,27,10,32,48,0.0,1009,27,10,70,9
2018-01-06 18:00:00,27,17,0.0,10.2,6,6,67,10:37 PM,10:24 AM,06:42 AM,06:13 PM,14,25,25,24,5,30,53,0.0,1011,23,10,117,3
2018-01-07 00:00:00,28,18,0.0,11.6,6,1,59,11:30 PM,11:10 AM,06:43 AM,06:14 PM,13,20,20,20,8,19,66,0.0,1012,19,10,79,5
2018-01-07 06:00:00,28,18,0.0,11.6,6,1,59,11:30 PM,11:10 AM,06:43 AM,06:14 PM,15,21,21,21,9,10,69,0.0,1014,20,10,77,8
2018-01-07 12:00:00,28,18,0.0,11.6,6,7,59,11:30 PM,11:10 AM,06:43 AM,06:14 PM,15,29,29,29,10,25,43,0.0,1010,28,10,79,8
2018-01-07 18:00:00,28,18,0.0,11.6,6,6,59,11:30 PM,11:10 AM,06:43 AM,06:14 PM,14,25,25,24,5,23,56,0.0,1011,23,10,179,3
2018-01-08 00:00:00,29,17,0.0,11.6,6,1,52,No moonrise,11:54 AM,06:43 AM,06:14 PM,14,19,19,19,9,31,72,0.0,1012,19,10,65,6
2018-01-08 06:00:00,29,17,0.0,11.6,6,1,52,No moonrise,11:54 AM,06:43 AM,06:14 PM,14,21,21,21,10,8,67,0.0,1014,20,10,83,9
2018-01-08 12:00:00,29,17,0.0,11.6,6,7,52,No moonrise,11:54 AM,06:43 AM,06:14 PM,12,28,28,29,18,8,36,0.0,1011,29,10,80,15
2018-01-08 18:00:00,29,17,0.0,11.6,6,6,52,No moonrise,11:54 AM,06:43 AM,06:14 PM,12,23,25,23,8,7,51,0.0,1013,22,10,54,4
2018-01-09 00:00:00,29,18,0.0,10.2,6,1,45,12:20 AM,12:36 PM,06:43 AM,06:15 PM,15,19,19,19,6,16,75,0.0,1013,18,10,33,4
2018-01-09 06:00:00,29,18,0.0,10.2,6,1,45,12:20 AM,12:36 PM,06:43 AM,06:15 PM,16,21,21,21,7,12,74,0.0,1015,20,10,65,6
2018-01-09 12:00:00,29,18,0.0,10.2,6,7,45,12:20 AM,12:36 PM,06:43 AM,06:15 PM,13,29,29,29,14,9,38,0.0,1012,29,10,64,12
2018-01-09 18:00:00,29,18,0.0,10.2,6,5,45,12:20 AM,12:36 PM,06:43 AM,06:15 PM,15,26,26,25,12,65,53,0.0,1014,25,10,72,8
2018-01-10 00:00:00,28,22,0.0,5.9,5,1,38,01:09 AM,01:18 PM,06:44 AM,06:15 PM,19,22,25,22,6,81,81,0.2,1014,22,2,47,4
2018-01-10 06:00:00,28,22,0.0,5.9,5,1,38,01:09 AM,01:18 PM,06:44 AM,06:15 PM,19,22,24,22,12,99,82,0.3,1016,22,2,26,9
2018-01-10 12:00:00,28,22,0.0,5.9,5,6,38,01:09 AM,01:18 PM,06:44 AM,06:15 PM,19,29,29,28,18,75,57,0.0,1012,28,10,67,15
2018-01-10 18:00:00,28,22,0.0,5.9,5,5,38,01:09 AM,01:18 PM,06:44 AM,06:15 PM,20,26,26,24,9,98,77,0.4,1015,24,10,73,6
2018-01-11 00:00:00,30,20,0.0,11.6,5,1,30,01:57 AM,01:59 PM,06:44 AM,06:16 PM,20,22,25,22,12,61,87,1.1,1015,22,10,63,9
2018-01-11 06:00:00,30,20,0.0,11.6,5,1,30,01:57 AM,01:59 PM,06:44 AM,06:16 PM,18,25,25,23,10,12,74,0.0,1016,22,10,36,8
2018-01-11 12:00:00,30,20,0.0,11.6,5,8,30,01:57 AM,01:59 PM,06:44 AM,06:16 PM,18,31,31,30,17,16,48,0.0,1012,30,10,74,15
2018-01-11 18:00:00,30,20,0.0,11.6,5,6,30,01:57 AM,01:59 PM,06:44 AM,06:16 PM,19,27,27,25,10,48,67,0.0,1013,25,10,61,6
2018-01-12 00:00:00,30,22,0.0,11.6,6,1,23,02:44 AM,02:42 PM,06:44 AM,06:16 PM,20,25,25,23,8,100,86,0.4,1014,23,10,53,6
2018-01-12 06:00:00,30,22,0.0,11.6,6,1,23,02:44 AM,02:42 PM,06:44 AM,06:16 PM,20,25,25,23,11,57,84,0.1,1015,23,10,70,9
2018-01-12 12:00:00,30,22,0.0,11.6,6,8,23,02:44 AM,02:42 PM,06:44 AM,06:16 PM,18,31,31,30,14,50,47,0.0,1012,30,10,73,12
2018-01-12 18:00:00,30,22,0.0,11.6,6,6,23,02:44 AM,02:42 PM,06:44 AM,06:16 PM,17,27,27,25,6,30,60,0.0,1013,25,10,18,3
2018-01-13 00:00:00,31,21,0.0,11.6,6,1,16,03:33 AM,03:26 PM,06:44 AM,06:17 PM,18,25,25,23,13,27,74,0.0,1013,22,10,358,8
2018-01-13 06:00:00,31,21,0.0,11.6,6,1,16,03:33 AM,03:26 PM,06:44 AM,06:17 PM,17,25,25,24,9,10,68,0.0,1015,23,10,18,8
2018-01-13 12:00:00,31,21,0.0,11.6,6,8,16,03:33 AM,03:26 PM,06:44 AM,06:17 PM,14,31,31,31,17,5,37,0.0,1011,31,10,70,15
2018-01-13 18:00:00,31,21,0.0,11.6,6,6,16,03:33 AM,03:26 PM,06:44 AM,06:17 PM,15,26,26,25,8,8,54,0.0,1013,24,10,70,4
2018-01-14 00:00:00,31,19,0.0,11.6,6,1,9,04:21 AM,04:12 PM,06:45 AM,06:17 PM,17,22,25,22,10,0,74,0.0,1014,20,10,1,8
2018-01-14 06:00:00,31,19,0.0,11.6,6,1,9,04:21 AM,04:12 PM,06:45 AM,06:17 PM,17,24,25,24,8,0,66,0.0,1015,22,10,24,7
