date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,22,0.0,8.7,7,1,97,05:20 PM,05:23 AM,06:31 AM,05:58 PM,20,25,25,23,22,12,83,0.0,1010,23,10,342,13
2018-01-01 06:00:00,29,22,0.0,8.7,7,6,97,05:20 PM,05:23 AM,06:31 AM,05:58 PM,19,26,26,24,17,4,74,0.0,1011,24,10,331,13
2018-01-01 12:00:00,29,22,0.0,8.7,7,7,97,05:20 PM,05:23 AM,06:31 AM,05:58 PM,19,31,31,29,15,5,54,0.0,1008,29,10,55,12
2018-01-01 18:00:00,29,22,0.0,8.7,7,7,97,05:20 PM,05:23 AM,06:31 AM,05:58 PM,22,27,27,25,31,8,81,0.0,1009,25,10,65,19
2018-01-02 00:00:00,29,23,0.0,8.7,7,1,100,06:23 PM,06:26 AM,06:31 AM,05:59 PM,20,26,26,24,18,11,81,0.0,1009,24,10,2,11
2018-01-02 06:00:00,29,23,0.0,8.7,7,6,100,06:23 PM,06:26 AM,06:31 AM,05:59 PM,20,26,26,24,17,18,74,0.0,1011,24,10,332,12
2018-01-02 12:00:00,29,23,0.0,8.7,7,7,100,06:23 PM,06:26 AM,06:31 AM,05:59 PM,20,31,31,29,14,19,58,0.0,1009,29,10,53,12
2018-01-02 18:00:00,29,23,0.0,8.7,7,7,100,06:23 PM,06:26 AM,06:31 AM,05:59 PM,22,28,28,25,32,14,83,0.1,1010,25,10,61,21
2018-01-03 00:00:00,28,23,0.0,8.7,7,1,89,07:28 PM,07:30 AM,06:31 AM,05:59 PM,22,26,26,24,21,36,87,0.1,1010,24,10,19,13
2018-01-03 06:00:00,28,23,0.0,8.7,7,6,89,07:28 PM,07:30 AM,06:31 AM,05:59 PM,22,27,27,25,22,24,84,0.1,1012,25,10,15,17
2018-01-03 12:00:00,28,23,0.0,8.7,7,7,89,07:28 PM,07:30 AM,06:31 AM,05:59 PM,20,30,30,28,24,6,60,0.0,1010,28,10,53,20
2018-01-03 18:00:00,28,23,0.0,8.7,7,6,89,07:28 PM,07:30 AM,06:31 AM,05:59 PM,20,27,27,25,34,9,77,0.0,1012,25,10,66,22
2018-01-04 00:00:00,28,23,0.0,11.6,7,1,81,08:30 PM,08:28 AM,06:32 AM,06:00 PM,20,26,26,24,26,22,81,0.0,1013,24,10,43,16
2018-01-04 06:00:00,28,23,0.0,11.6,7,6,81,08:30 PM,08:28 AM,06:32 AM,06:00 PM,19,26,26,25,22,11,72,0.0,1014,25,10,22,16
2018-01-04 12:00:00,28,23,0.0,11.6,7,7,81,08:30 PM,08:28 AM,06:32 AM,06:00 PM,17,29,29,28,29,0,51,0.0,1011,28,10,47,24
2018-01-04 18:00:00,28,23,0.0,11.6,7,6,81,08:30 PM,08:28 AM,06:32 AM,06:00 PM,17,26,26,25,38,0,65,0.0,1012,25,10,51,22
2018-01-05 00:00:00,27,22,0.0,11.6,6,1,74,09:30 PM,09:23 AM,06:32 AM,06:00 PM,18,25,25,23,24,0,75,0.0,1012,23,10,38,14
2018-01-05 06:00:00,27,22,0.0,11.6,6,6,74,09:30 PM,09:23 AM,06:32 AM,06:00 PM,18,26,26,24,21,0,68,0.0,1014,24,10,34,15
2018-01-05 12:00:00,27,22,0.0,11.6,6,7,74,09:30 PM,09:23 AM,06:32 AM,06:00 PM,17,28,28,27,25,0,55,0.0,1011,27,10,55,21
2018-01-05 18:00:00,27,22,0.0,11.6,6,6,74,09:30 PM,09:23 AM,06:32 AM,06:00 PM,17,25,25,24,33,0,68,0.0,1012,24,10,56,20
2018-01-06 00:00:00,27,22,0.0,11.6,6,1,67,10:25 PM,10:13 AM,06:33 AM,06:01 PM,16,25,25,22,22,0,68,0.0,1011,22,10,39,13
2018-01-06 06:00:00,27,22,0.0,11.6,6,6,67,10:25 PM,10:13 AM,06:33 AM,06:01 PM,16,25,25,23,15,3,62,0.0,1013,23,10,359,10
2018-01-06 12:00:00,27,22,0.0,11.6,6,7,67,10:25 PM,10:13 AM,06:33 AM,06:01 PM,15,28,28,27,21,0,48,0.0,1010,27,10,47,17
2018-01-06 18:00:00,27,22,0.0,11.6,6,6,67,10:25 PM,10:13 AM,06:33 AM,06:01 PM,16,25,25,24,32,0,63,0.0,1012,24,10,66,19
2018-01-07 00:00:00,27,21,0.0,11.6,6,1,59,11:18 PM,10:59 AM,06:33 AM,06:01 PM,16,25,25,22,22,0,67,0.0,1012,22,10,17,13
2018-01-07 06:00:00,27,21,0.0,11.6,6,6,59,11:18 PM,10:59 AM,06:33 AM,06:01 PM,16,25,25,23,20,0,64,0.0,1014,23,10,3,14
2018-01-07 12:00:00,27,21,0.0,11.6,6,7,59,11:18 PM,10:59 AM,06:33 AM,06:01 PM,16,28,28,27,24,0,49,0.0,1011,27,10,42,20
2018-01-07 18:00:00,27,21,0.0,11.6,6,6,59,11:18 PM,10:59 AM,06:33 AM,06:01 PM,17,25,25,24,36,0,66,0.0,1012,23,10,55,22
2018-01-08 00:00:00,27,21,0.0,11.6,6,1,52,No moonrise,11:43 AM,06:33 AM,06:02 PM,17,22,24,22,29,0,76,0.0,1012,22,10,16,17
2018-01-08 06:00:00,27,21,0.0,11.6,6,6,52,No moonrise,11:43 AM,06:33 AM,06:02 PM,17,25,25,23,24,0,70,0.0,1014,23,10,5,18
2018-01-08 12:00:00,27,21,0.0,11.6,6,7,52,No moonrise,11:43 AM,06:33 AM,06:02 PM,18,28,28,27,29,9,56,0.0,1012,27,10,45,24
2018-01-08 18:00:00,27,21,0.0,11.6,6,6,52,No moonrise,11:43 AM,06:33 AM,06:02 PM,19,26,26,24,36,13,74,0.0,1014,24,10,41,23
2018-01-09 00:00:00,26,22,0.0,5.8,6,1,45,12:08 AM,12:24 PM,06:33 AM,06:02 PM,19,25,25,23,31,29,79,0.0,1013,23,10,21,19
2018-01-09 06:00:00,26,22,0.0,5.8,6,5,45,12:08 AM,12:24 PM,06:33 AM,06:02 PM,20,26,26,24,33,73,78,0.1,1015,24,10,12,24
2018-01-09 12:00:00,26,22,0.0,5.8,6,6,45,12:08 AM,12:24 PM,06:33 AM,06:02 PM,21,28,28,26,35,85,76,0.4,1013,26,10,28,25
2018-01-09 18:00:00,26,22,0.0,5.8,6,5,45,12:08 AM,12:24 PM,06:33 AM,06:02 PM,21,26,26,24,36,62,83,0.7,1014,24,10,22,23
2018-01-10 00:00:00,27,24,0.0,10.2,5,1,38,12:58 AM,01:06 PM,06:34 AM,06:03 PM,22,26,26,24,30,88,87,0.9,1014,24,10,27,20
2018-01-10 06:00:00,27,24,0.0,10.2,5,6,38,12:58 AM,01:06 PM,06:34 AM,06:03 PM,22,27,27,25,27,60,84,0.2,1015,25,10,32,20
2018-01-10 12:00:00,27,24,0.0,10.2,5,7,38,12:58 AM,01:06 PM,06:34 AM,06:03 PM,22,30,30,27,32,59,77,0.0,1014,27,10,33,26
2018-01-10 18:00:00,27,24,0.0,10.2,5,6,38,12:58 AM,01:06 PM,06:34 AM,06:03 PM,22,27,27,24,29,56,87,0.1,1015,24,10,28,18
2018-01-11 00:00:00,28,23,0.0,10.2,6,1,30,01:46 AM,01:47 PM,06:34 AM,06:04 PM,22,26,26,24,24,83,88,1.2,1015,24,10,16,16
2018-01-11 06:00:00,28,23,0.0,10.2,6,5,30,01:46 AM,01:47 PM,06:34 AM,06:04 PM,22,27,27,25,21,73,86,0.6,1016,25,10,9,15
2018-01-11 12:00:00,28,23,0.0,10.2,6,6,30,01:46 AM,01:47 PM,06:34 AM,06:04 PM,23,31,31,28,24,26,72,0.3,1013,28,9,52,21
2018-01-11 18:00:00,28,23,0.0,10.2,6,6,30,01:46 AM,01:47 PM,06:34 AM,06:04 PM,22,27,27,25,29,11,86,0.0,1014,25,10,51,19
2018-01-12 00:00:00,29,23,0.0,11.6,7,1,23,02:34 AM,02:29 PM,06:34 AM,06:04 PM,22,26,26,24,20,37,88,0.0,1014,24,10,35,13
2018-01-12 06:00:00,29,23,0.0,11.6,7,6,23,02:34 AM,02:29 PM,06:34 AM,06:04 PM,21,27,27,25,17,17,81,0.0,1015,25,10,1,13
2018-01-12 12:00:00,29,23,0.0,11.6,7,7,23,02:34 AM,02:29 PM,06:34 AM,06:04 PM,21,31,31,29,21,12,62,0.0,1012,29,10,63,18
2018-01-12 18:00:00,29,23,0.0,11.6,7,6,23,02:34 AM,02:29 PM,06:34 AM,06:04 PM,21,27,27,25,24,7,81,0.0,1014,25,10,70,15
2018-01-13 00:00:00,28,23,0.0,11.6,6,1,16,03:22 AM,03:14 PM,06:34 AM,06:05 PM,21,26,26,24,14,3,86,0.0,1013,24,10,36,9
2018-01-13 06:00:00,28,23,0.0,11.6,6,6,16,03:22 AM,03:14 PM,06:34 AM,06:05 PM,21,27,27,25,15,2,81,0.0,1015,25,10,27,11
2018-01-13 12:00:00,28,23,0.0,11.6,6,7,16,03:22 AM,03:14 PM,06:34 AM,06:05 PM,21,30,30,28,21,0,63,0.0,1012,28,10,72,18
2018-01-13 18:00:00,28,23,0.0,11.6,6,6,16,03:22 AM,03:14 PM,06:34 AM,06:05 PM,21,26,26,24,22,0,86,0.0,1013,24,10,76,13
2018-01-14 00:00:00,28,22,0.0,11.6,6,1,9,04:11 AM,03:59 PM,06:35 AM,06:05 PM,21,25,25,23,17,9,87,0.0,1013,23,10,27,10
2018-01-14 06:00:00,28,22,0.0,11.6,6,6,9,04:11 AM,03:59 PM,06:35 AM,06:05 PM,21,26,26,24,17,17,83,0.0,1015,24,10,339,12
2018-01-14 12:00:00,28,22,0.0,11.6,6,7,9,04:11 AM,03:59 PM,06:35 AM,06:05 PM,20,30,30,28,19,0,61,0.0,1012,28,10,65,17
2018-01-14 18:00:00,28,22,0.0,11.6,6,6,9,04:11 AM,03:59 PM,06:35 AM,06:05 PM,21,26,26,24,30,0,84,0.0,1014,24,10,57,18
2018-01-15 00:00:00,28,23,0.0,11.6,6,1,1,04:59 AM,04:46 PM,06:35 AM,06:06 PM,21,25,25,23,23,44,88,0.0,1014,23,10,21,14
2018-01-15 06:00:00,28,23,0.0,11.6,6,6,1,04:59 AM,04:46 PM,06:35 AM,06:06 PM,21,26,26,24,20,44,81,0.0,1016,24,10,11,14
2018-01-15 12:00:00,28,23,0.0,11.6,6,7,1,04:59 AM,04:46 PM,06:35 AM,06:06 PM,20,30,30,28,18,3,59,0.0,1012,28,10,67,15
2018-01-15 18:00:00,28,23,0.0,11.6,6,6,1,04:59 AM,04:46 PM,06:35 AM,06:06 PM,21,26,26,24,24,5,80,0.0,1014,24,10,77,15
2018-01-16 00:00:00,28,23,0.0,11.6,7,1,0,05:48 AM,05:35 PM,06:35 AM,06:06 PM,21,26,26,24,13,30,85,0.0,1013,23,10,39,8
2018-01-16 06:00:00,28,23,0.0,11.6,7,6,0,05:48 AM,05:35 PM,06:35 AM,06:06 PM,21,26,26,25,14,35,80,0.0,1014,24,10,3,10
2018-01-16 12:00:00,28,23,0.0,11.6,7,7,0,05:48 AM,05:35 PM,06:35 AM,06:06 PM,20,30,30,28,20,5,62,0.0,1011,28,10,69,18
2018-01-16 18:00:00,28,23,0.0,11.6,7,6,0,05:48 AM,05:35 PM,06:35 AM,06:06 PM,21,26,26,24,28,6,80,0.0,1013,24,10,73,18
2018-01-17 00:00:00,28,23,0.0,11.6,6,1,0,06:34 AM,06:23 PM,06:35 AM,06:07 PM,20,25,25,23,15,21,84,0.0,1012,23,10,28,9
2018-01-17 06:00:00,28,23,0.0,11.6,6,6,0,06:34 AM,06:23 PM,06:35 AM,06:07 PM,20,26,26,24,13,15,78,0.0,1014,24,10,354,9
2018-01-17 12:00:00,28,23,0.0,11.6,6,7,0,06:34 AM,06:23 PM,06:35 AM,06:07 PM,17,29,29,28,23,0,54,0.0,1011,28,10,62,19
2018-01-17 18:00:00,28,23,0.0,11.6,6,6,0,06:34 AM,06:23 PM,06:35 AM,06:07 PM,17,25,25,24,30,0,64,0.0,1013,24,10,65,17
2018-01-18 00:00:00,27,22,0.0,11.6,6,1,6,07:21 AM,07:13 PM,06:35 AM,06:07 PM,16,25,25,22,18,0,69,0.0,1013,22,10,36,10
2018-01-18 06:00:00,27,22,0.0,11.6,6,6,6,07:21 AM,07:13 PM,06:35 AM,06:07 PM,17,25,25,23,20,0,67,0.0,1014,23,10,7,14
2018-01-18 12:00:00,27,22,0.0,11.6,6,7,6,07:21 AM,07:13 PM,06:35 AM,06:07 PM,17,28,28,27,26,0,54,0.0,1012,27,10,54,22
