date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,19,0.0,8.7,6,1,97,04:40 PM,05:11 AM,06:22 AM,05:18 PM,7,20,20,20,9,32,42,0.0,1012,19,10,357,5
2018-01-01 06:00:00,27,19,0.0,8.7,6,6,97,04:40 PM,05:11 AM,06:22 AM,05:18 PM,9,24,24,23,10,8,41,0.0,1013,22,10,11,8
2018-01-01 12:00:00,27,19,0.0,8.7,6,7,97,04:40 PM,05:11 AM,06:22 AM,05:18 PM,10,26,26,27,18,14,33,0.0,1010,27,10,63,16
2018-01-01 18:00:00,27,19,0.0,8.7,6,6,97,04:40 PM,05:11 AM,06:22 AM,05:18 PM,12,21,24,21,12,46,55,0.0,1012,21,10,75,8
2018-01-02 00:00:00,27,16,0.0,8.7,6,1,100,05:44 PM,06:16 AM,06:23 AM,05:18 PM,11,19,19,19,14,7,58,0.0,1011,17,10,353,8
2018-01-02 06:00:00,27,16,0.0,8.7,6,6,100,05:44 PM,06:16 AM,06:23 AM,05:18 PM,11,21,24,21,12,5,51,0.0,1013,20,10,5,10
2018-01-02 12:00:00,27,16,0.0,8.7,6,7,100,05:44 PM,06:16 AM,06:23 AM,05:18 PM,8,28,28,29,13,2,27,0.0,1010,27,10,40,12
2018-01-02 18:00:00,27,16,0.0,8.7,6,5,100,05:44 PM,06:16 AM,06:23 AM,05:18 PM,10,22,24,22,13,0,47,0.0,1012,19,10,92,8
2018-01-03 00:00:00,27,16,0.0,8.7,6,1,89,06:49 PM,07:18 AM,06:23 AM,05:19 PM,12,22,24,22,6,0,54,0.0,1012,17,10,352,5
2018-01-03 06:00:00,27,16,0.0,8.7,6,6,89,06:49 PM,07:18 AM,06:23 AM,05:19 PM,11,24,25,24,9,2,45,0.0,1014,20,10,360,8
2018-01-03 12:00:00,27,16,0.0,8.7,6,7,89,06:49 PM,07:18 AM,06:23 AM,05:19 PM,8,27,27,28,9,5,27,0.0,1011,27,10,333,8
2018-01-03 18:00:00,27,16,0.0,8.7,6,5,89,06:49 PM,07:18 AM,06:23 AM,05:19 PM,11,23,25,23,4,0,46,0.0,1014,19,10,21,3
2018-01-04 00:00:00,25,15,0.0,8.7,5,1,81,07:54 PM,08:15 AM,06:23 AM,05:20 PM,12,21,24,21,6,0,55,0.0,1014,16,10,1,5
2018-01-04 06:00:00,25,15,0.0,8.7,5,5,81,07:54 PM,08:15 AM,06:23 AM,05:20 PM,12,23,25,23,10,0,52,0.0,1017,20,10,37,9
2018-01-04 12:00:00,25,15,0.0,8.7,5,6,81,07:54 PM,08:15 AM,06:23 AM,05:20 PM,8,26,26,27,11,0,30,0.0,1013,25,10,58,10
