date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,18,0.0,8.7,6,1,97,04:44 PM,05:26 AM,06:39 AM,05:22 PM,13,22,25,22,5,5,57,0.0,1012,20,10,317,3
2018-01-01 06:00:00,27,18,0.0,8.7,6,5,97,04:44 PM,05:26 AM,06:39 AM,05:22 PM,16,24,25,24,5,0,61,0.0,1012,18,10,1,4
2018-01-01 12:00:00,27,18,0.0,8.7,6,7,97,04:44 PM,05:26 AM,06:39 AM,05:22 PM,11,28,28,29,3,7,34,0.0,1012,27,10,304,3
2018-01-01 18:00:00,27,18,0.0,8.7,6,6,97,04:44 PM,05:26 AM,06:39 AM,05:22 PM,10,25,25,24,5,32,40,0.0,1009,23,10,267,3
2018-01-02 00:00:00,26,18,0.0,8.7,6,1,100,05:48 PM,06:30 AM,06:39 AM,05:23 PM,10,23,25,23,9,7,44,0.0,1010,22,10,340,5
2018-01-02 06:00:00,26,18,0.0,8.7,6,5,100,05:48 PM,06:30 AM,06:39 AM,05:23 PM,15,21,21,21,7,4,67,0.0,1010,18,10,341,6
2018-01-02 12:00:00,26,18,0.0,8.7,6,6,100,05:48 PM,06:30 AM,06:39 AM,05:23 PM,14,27,27,26,8,12,49,0.0,1011,25,10,277,7
2018-01-02 18:00:00,26,18,0.0,8.7,6,6,100,05:48 PM,06:30 AM,06:39 AM,05:23 PM,13,25,25,23,9,17,52,0.0,1009,22,10,274,5
2018-01-03 00:00:00,25,16,0.0,8.7,6,1,89,06:54 PM,07:33 AM,06:39 AM,05:23 PM,13,23,25,23,12,1,56,0.0,1012,20,10,298,9
2018-01-03 06:00:00,25,16,0.0,8.7,6,5,89,06:54 PM,07:33 AM,06:39 AM,05:23 PM,10,18,18,18,16,4,57,0.0,1011,16,10,309,11
2018-01-03 12:00:00,25,16,0.0,8.7,6,7,89,06:54 PM,07:33 AM,06:39 AM,05:23 PM,6,26,26,27,19,0,27,0.0,1012,25,10,320,17
2018-01-03 18:00:00,25,16,0.0,8.7,6,5,89,06:54 PM,07:33 AM,06:39 AM,05:23 PM,9,24,25,24,9,0,39,0.0,1010,20,10,308,8
2018-01-04 00:00:00,24,14,0.0,8.7,5,1,81,07:59 PM,08:29 AM,06:40 AM,05:24 PM,9,21,24,21,5,0,45,0.0,1014,17,10,358,4
2018-01-04 06:00:00,24,14,0.0,8.7,5,4,81,07:59 PM,08:29 AM,06:40 AM,05:24 PM,9,19,19,19,7,0,50,0.0,1014,14,10,349,6
2018-01-04 12:00:00,24,14,0.0,8.7,5,6,81,07:59 PM,08:29 AM,06:40 AM,05:24 PM,8,26,26,27,12,0,31,0.0,1015,23,10,351,10
2018-01-04 18:00:00,24,14,0.0,8.7,5,5,81,07:59 PM,08:29 AM,06:40 AM,05:24 PM,8,21,24,21,12,0,42,0.0,1012,18,10,308,10
2018-01-05 00:00:00,24,13,0.0,8.7,5,1,74,09:03 PM,09:20 AM,06:40 AM,05:25 PM,8,19,19,19,9,0,47,0.0,1014,16,10,327,7
2018-01-05 06:00:00,24,13,0.0,8.7,5,4,74,09:03 PM,09:20 AM,06:40 AM,05:25 PM,12,19,19,19,7,0,65,0.0,1013,13,10,339,6
2018-01-05 12:00:00,24,13,0.0,8.7,5,6,74,09:03 PM,09:20 AM,06:40 AM,05:25 PM,12,27,27,27,9,0,39,0.0,1013,23,10,302,8
2018-01-05 18:00:00,24,13,0.0,8.7,5,5,74,09:03 PM,09:20 AM,06:40 AM,05:25 PM,12,23,25,23,7,0,50,0.0,1010,19,10,302,6
2018-01-06 00:00:00,24,14,0.0,8.7,5,1,67,10:03 PM,10:06 AM,06:40 AM,05:26 PM,12,20,20,20,7,0,61,0.0,1012,16,10,292,6
2018-01-06 06:00:00,24,14,0.0,8.7,5,4,67,10:03 PM,10:06 AM,06:40 AM,05:26 PM,14,20,20,20,5,0,70,0.0,1011,14,10,338,5
2018-01-06 12:00:00,24,14,0.0,8.7,5,6,67,10:03 PM,10:06 AM,06:40 AM,05:26 PM,13,26,26,26,10,0,43,0.0,1013,22,10,313,9
2018-01-06 18:00:00,24,14,0.0,8.7,5,5,67,10:03 PM,10:06 AM,06:40 AM,05:26 PM,10,22,24,22,10,0,45,0.0,1010,19,10,300,9
2018-01-07 00:00:00,23,12,0.0,8.7,5,1,59,11:00 PM,10:48 AM,06:40 AM,05:26 PM,8,19,19,19,11,0,50,0.0,1013,15,10,330,9
2018-01-07 06:00:00,23,12,0.0,8.7,5,4,59,11:00 PM,10:48 AM,06:40 AM,05:26 PM,10,18,18,18,6,0,62,0.0,1013,12,10,338,5
2018-01-07 12:00:00,23,12,0.0,8.7,5,6,59,11:00 PM,10:48 AM,06:40 AM,05:26 PM,7,24,24,24,14,0,33,0.0,1015,21,10,329,12
2018-01-07 18:00:00,23,12,0.0,8.7,5,5,59,11:00 PM,10:48 AM,06:40 AM,05:26 PM,7,21,21,21,13,0,40,0.0,1012,18,10,335,10
