date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,9,0.0,8.7,4,1,97,05:08 PM,06:02 AM,07:14 AM,05:43 PM,3,12,13,12,17,4,51,0.0,1015,11,10,78,8
2018-01-01 06:00:00,22,9,0.0,8.7,4,4,97,05:08 PM,06:02 AM,07:14 AM,05:43 PM,8,16,16,16,3,2,56,0.0,1016,13,10,137,3
2018-01-01 12:00:00,22,9,0.0,8.7,4,6,97,05:08 PM,06:02 AM,07:14 AM,05:43 PM,2,23,23,23,11,2,25,0.0,1013,22,10,270,10
2018-01-01 18:00:00,22,9,0.0,8.7,4,4,97,05:08 PM,06:02 AM,07:14 AM,05:43 PM,-6,14,15,14,23,0,24,0.0,1014,14,10,4,11
2018-01-02 00:00:00,21,8,0.0,8.7,4,1,100,06:12 PM,07:07 AM,07:14 AM,05:44 PM,0,11,12,11,19,0,43,0.0,1015,10,10,42,9
2018-01-02 06:00:00,21,8,0.0,8.7,4,4,100,06:12 PM,07:07 AM,07:14 AM,05:44 PM,3,16,16,16,5,0,42,0.0,1016,12,10,50,4
2018-01-02 12:00:00,21,8,0.0,8.7,4,6,100,06:12 PM,07:07 AM,07:14 AM,05:44 PM,-3,23,23,23,10,0,17,0.0,1014,21,10,346,8
2018-01-02 18:00:00,21,8,0.0,8.7,4,4,100,06:12 PM,07:07 AM,07:14 AM,05:44 PM,-1,16,16,16,11,0,31,0.0,1016,13,10,49,5
2018-01-03 00:00:00,22,7,0.0,8.7,4,1,89,07:19 PM,08:08 AM,07:14 AM,05:44 PM,1,12,12,12,14,0,46,0.0,1016,9,10,82,6
2018-01-03 06:00:00,22,7,0.0,8.7,4,4,89,07:19 PM,08:08 AM,07:14 AM,05:44 PM,5,15,15,15,3,0,49,0.0,1017,11,10,176,3
2018-01-03 12:00:00,22,7,0.0,8.7,4,6,89,07:19 PM,08:08 AM,07:14 AM,05:44 PM,0,25,24,25,2,0,19,0.0,1015,22,10,304,2
2018-01-03 18:00:00,22,7,0.0,8.7,4,4,89,07:19 PM,08:08 AM,07:14 AM,05:44 PM,0,15,15,15,5,0,38,0.0,1016,12,10,142,2
2018-01-04 00:00:00,22,8,0.0,8.7,4,1,81,08:25 PM,09:04 AM,07:15 AM,05:45 PM,2,13,13,13,11,0,46,0.0,1016,9,10,92,5
2018-01-04 06:00:00,22,8,0.0,8.7,4,4,81,08:25 PM,09:04 AM,07:15 AM,05:45 PM,4,15,15,15,8,0,47,0.0,1017,12,10,125,6
2018-01-04 12:00:00,22,8,0.0,8.7,4,6,81,08:25 PM,09:04 AM,07:15 AM,05:45 PM,0,22,23,22,14,0,23,0.0,1014,22,10,189,12
2018-01-04 18:00:00,22,8,0.0,8.7,4,4,81,08:25 PM,09:04 AM,07:15 AM,05:45 PM,2,15,15,15,19,0,40,0.0,1015,14,10,132,9
2018-01-05 00:00:00,22,8,0.0,8.7,4,1,74,09:30 PM,09:54 AM,07:15 AM,05:46 PM,1,13,13,13,14,0,43,0.0,1015,10,10,81,7
2018-01-05 06:00:00,22,8,0.0,8.7,4,4,74,09:30 PM,09:54 AM,07:15 AM,05:46 PM,3,15,15,15,6,0,46,0.0,1017,12,10,115,5
2018-01-05 12:00:00,22,8,0.0,8.7,4,6,74,09:30 PM,09:54 AM,07:15 AM,05:46 PM,1,24,24,25,5,0,20,0.0,1014,22,10,206,4
2018-01-05 18:00:00,22,8,0.0,8.7,4,4,74,09:30 PM,09:54 AM,07:15 AM,05:46 PM,1,16,16,16,11,0,38,0.0,1015,13,10,175,5
2018-01-06 00:00:00,22,8,0.0,8.7,4,1,67,10:31 PM,10:38 AM,07:15 AM,05:46 PM,1,12,13,12,12,2,46,0.0,1015,10,10,71,6
2018-01-06 06:00:00,22,8,0.0,8.7,4,4,67,10:31 PM,10:38 AM,07:15 AM,05:46 PM,4,16,15,16,5,4,48,0.0,1015,13,10,114,3
2018-01-06 12:00:00,22,8,0.0,8.7,4,6,67,10:31 PM,10:38 AM,07:15 AM,05:46 PM,3,23,23,23,9,3,25,0.0,1012,22,10,255,8
2018-01-06 18:00:00,22,8,0.0,8.7,4,4,67,10:31 PM,10:38 AM,07:15 AM,05:46 PM,2,16,16,16,11,3,39,0.0,1015,15,10,7,5
2018-01-07 00:00:00,22,10,0.0,8.7,4,1,59,11:30 PM,11:19 AM,07:15 AM,05:47 PM,0,11,12,11,23,4,45,0.0,1016,11,10,26,11
2018-01-07 06:00:00,22,10,0.0,8.7,4,4,59,11:30 PM,11:19 AM,07:15 AM,05:47 PM,3,15,15,15,11,0,45,0.0,1017,12,10,20,8
2018-01-07 12:00:00,22,10,0.0,8.7,4,6,59,11:30 PM,11:19 AM,07:15 AM,05:47 PM,-0,23,23,23,12,0,21,0.0,1015,22,10,299,10
2018-01-07 18:00:00,22,10,0.0,8.7,4,4,59,11:30 PM,11:19 AM,07:15 AM,05:47 PM,-3,15,15,15,19,0,30,0.0,1017,14,10,344,9
2018-01-08 00:00:00,21,8,0.0,8.7,4,1,52,No moonrise,11:57 AM,07:15 AM,05:48 PM,-2,12,12,12,14,0,37,0.0,1017,9,10,39,7
2018-01-08 06:00:00,21,8,0.0,8.7,4,4,52,No moonrise,11:57 AM,07:15 AM,05:48 PM,1,15,15,15,5,0,38,0.0,1019,12,10,31,4
2018-01-08 12:00:00,21,8,0.0,8.7,4,6,52,No moonrise,11:57 AM,07:15 AM,05:48 PM,-2,24,23,24,5,0,18,0.0,1017,21,10,272,5
2018-01-08 18:00:00,21,8,0.0,8.7,4,4,52,No moonrise,11:57 AM,07:15 AM,05:48 PM,-2,14,14,14,5,0,33,0.0,1019,11,10,330,2
2018-01-09 00:00:00,23,8,0.0,8.7,4,1,45,12:25 AM,12:33 PM,07:15 AM,05:49 PM,-3,11,12,11,17,0,35,0.0,1020,9,10,51,8
2018-01-09 06:00:00,23,8,0.0,8.7,4,4,45,12:25 AM,12:33 PM,07:15 AM,05:49 PM,-0,14,14,14,10,0,38,0.0,1021,11,10,56,6
2018-01-09 12:00:00,23,8,0.0,8.7,4,6,45,12:25 AM,12:33 PM,07:15 AM,05:49 PM,-2,25,25,26,4,0,16,0.0,1019,23,10,1,4
2018-01-09 18:00:00,23,8,0.0,8.7,4,4,45,12:25 AM,12:33 PM,07:15 AM,05:49 PM,-2,16,16,16,7,0,29,0.0,1019,13,10,329,3
2018-01-10 00:00:00,24,8,0.0,8.7,4,1,38,01:20 AM,01:09 PM,07:15 AM,05:49 PM,-2,13,13,13,14,0,36,0.0,1020,10,10,23,6
2018-01-10 06:00:00,24,8,0.0,8.7,4,4,38,01:20 AM,01:09 PM,07:15 AM,05:49 PM,3,16,16,16,4,0,40,0.0,1021,12,10,26,3
2018-01-10 12:00:00,24,8,0.0,8.7,4,6,38,01:20 AM,01:09 PM,07:15 AM,05:49 PM,-4,24,24,26,10,0,14,0.0,1018,24,10,258,8
2018-01-10 18:00:00,24,8,0.0,8.7,4,4,38,01:20 AM,01:09 PM,07:15 AM,05:49 PM,-7,16,16,16,16,0,20,0.0,1020,14,10,338,8
2018-01-11 00:00:00,24,9,0.0,8.7,5,1,30,02:13 AM,01:46 PM,07:15 AM,05:50 PM,-11,13,13,13,18,0,17,0.0,1019,11,10,343,9
2018-01-11 06:00:00,24,9,0.0,8.7,5,4,30,02:13 AM,01:46 PM,07:15 AM,05:50 PM,-4,16,16,16,10,0,25,0.0,1020,13,10,320,6
2018-01-11 12:00:00,24,9,0.0,8.7,5,6,30,02:13 AM,01:46 PM,07:15 AM,05:50 PM,-7,23,23,24,19,4,12,0.0,1017,24,10,307,17
2018-01-11 18:00:00,24,9,0.0,8.7,5,5,30,02:13 AM,01:46 PM,07:15 AM,05:50 PM,-7,16,16,16,20,4,20,0.0,1017,15,10,322,10
2018-01-12 00:00:00,25,10,0.0,8.7,5,1,23,03:06 AM,02:24 PM,07:15 AM,05:51 PM,-8,12,13,12,20,8,22,0.0,1016,12,10,335,9
2018-01-12 06:00:00,25,10,0.0,8.7,5,4,23,03:06 AM,02:24 PM,07:15 AM,05:51 PM,-2,16,16,16,8,10,30,0.0,1017,14,10,340,4
2018-01-12 12:00:00,25,10,0.0,8.7,5,7,23,03:06 AM,02:24 PM,07:15 AM,05:51 PM,-1,24,24,25,16,10,18,0.0,1015,25,10,302,14
2018-01-12 18:00:00,25,10,0.0,8.7,5,5,23,03:06 AM,02:24 PM,07:15 AM,05:51 PM,2,17,17,17,15,5,35,0.0,1017,16,10,317,7
2018-01-13 00:00:00,26,11,0.0,8.7,5,1,16,03:58 AM,03:05 PM,07:15 AM,05:52 PM,2,14,14,14,2,7,45,0.0,1016,12,10,192,1
2018-01-13 06:00:00,26,11,0.0,8.7,5,5,16,03:58 AM,03:05 PM,07:15 AM,05:52 PM,6,18,18,18,5,7,45,0.0,1017,16,10,321,3
2018-01-13 12:00:00,26,11,0.0,8.7,5,7,16,03:58 AM,03:05 PM,07:15 AM,05:52 PM,5,25,25,26,18,4,25,0.0,1015,26,10,289,15
2018-01-13 18:00:00,26,11,0.0,8.7,5,5,16,03:58 AM,03:05 PM,07:15 AM,05:52 PM,3,17,17,17,14,3,38,0.0,1017,16,10,341,7
2018-01-14 00:00:00,26,10,0.0,8.7,5,1,9,04:49 AM,03:48 PM,07:15 AM,05:52 PM,0,13,14,13,16,8,40,0.0,1017,13,10,83,8
2018-01-14 06:00:00,26,10,0.0,8.7,5,4,9,04:49 AM,03:48 PM,07:15 AM,05:52 PM,7,18,18,18,2,0,47,0.0,1017,15,10,295,2
2018-01-14 12:00:00,26,10,0.0,8.7,5,7,9,04:49 AM,03:48 PM,07:15 AM,05:52 PM,1,25,25,26,17,0,19,0.0,1015,26,10,290,15
2018-01-14 18:00:00,26,10,0.0,8.7,5,5,9,04:49 AM,03:48 PM,07:15 AM,05:52 PM,-3,18,18,18,18,0,24,0.0,1017,16,10,348,9
2018-01-15 00:00:00,26,10,0.0,8.7,5,1,1,05:39 AM,04:34 PM,07:15 AM,05:53 PM,-5,15,15,15,19,0,25,0.0,1018,13,10,38,9
2018-01-15 06:00:00,26,10,0.0,8.7,5,4,1,05:39 AM,04:34 PM,07:15 AM,05:53 PM,1,18,18,18,3,0,32,0.0,1019,14,10,9,3
2018-01-15 12:00:00,26,10,0.0,8.7,5,7,1,05:39 AM,04:34 PM,07:15 AM,05:53 PM,-4,24,24,26,15,0,13,0.0,1016,26,10,299,13
2018-01-15 18:00:00,26,10,0.0,8.7,5,4,1,05:39 AM,04:34 PM,07:15 AM,05:53 PM,-4,16,16,16,17,0,25,0.0,1016,15,10,344,8
2018-01-16 00:00:00,26,9,0.0,8.7,5,1,0,06:27 AM,05:23 PM,07:15 AM,05:54 PM,2,13,13,13,12,0,46,0.0,1015,10,10,340,6
2018-01-16 06:00:00,26,9,0.0,8.7,5,4,0,06:27 AM,05:23 PM,07:15 AM,05:54 PM,2,17,17,17,5,0,36,0.0,1016,13,10,304,3
2018-01-16 12:00:00,26,9,0.0,8.7,5,7,0,06:27 AM,05:23 PM,07:15 AM,05:54 PM,-3,25,25,27,11,0,14,0.0,1013,26,10,247,10
2018-01-16 18:00:00,26,9,0.0,8.7,5,4,0,06:27 AM,05:23 PM,07:15 AM,05:54 PM,-3,17,17,17,14,0,26,0.0,1013,15,10,173,7
2018-01-17 00:00:00,26,11,0.0,8.7,5,1,0,07:14 AM,06:13 PM,07:15 AM,05:55 PM,2,15,15,15,12,0,40,0.0,1013,12,10,119,6
2018-01-17 06:00:00,26,11,0.0,8.7,5,4,0,07:14 AM,06:13 PM,07:15 AM,05:55 PM,1,15,15,15,15,4,36,0.0,1015,14,10,113,8
2018-01-17 12:00:00,26,11,0.0,8.7,5,7,0,07:14 AM,06:13 PM,07:15 AM,05:55 PM,7,26,26,26,8,8,29,0.0,1013,26,10,215,7
2018-01-17 18:00:00,26,11,0.0,8.7,5,5,0,07:14 AM,06:13 PM,07:15 AM,05:55 PM,6,18,18,18,18,5,47,0.0,1015,17,10,127,9
2018-01-18 00:00:00,26,11,0.0,8.7,5,1,6,07:57 AM,07:06 PM,07:15 AM,05:56 PM,4,14,14,14,11,6,53,0.0,1016,12,10,74,5
2018-01-18 06:00:00,26,11,0.0,8.7,5,5,6,07:57 AM,07:06 PM,07:15 AM,05:56 PM,7,18,18,18,6,3,47,0.0,1017,16,10,75,4
2018-01-18 12:00:00,26,11,0.0,8.7,5,7,6,07:57 AM,07:06 PM,07:15 AM,05:56 PM,8,27,27,29,7,0,26,0.0,1014,26,10,229,6
2018-01-18 18:00:00,26,11,0.0,8.7,5,5,6,07:57 AM,07:06 PM,07:15 AM,05:56 PM,8,19,19,19,8,0,48,0.0,1015,16,10,258,4
2018-01-19 00:00:00,26,11,0.0,8.7,5,1,13,08:38 AM,07:58 PM,07:15 AM,05:56 PM,8,16,16,16,18,0,59,0.0,1016,14,10,44,9
2018-01-19 06:00:00,26,11,0.0,8.7,5,5,13,08:38 AM,07:58 PM,07:15 AM,05:56 PM,13,20,20,20,3,0,64,0.0,1018,16,10,53,3
2018-01-19 12:00:00,26,11,0.0,8.7,5,7,13,08:38 AM,07:58 PM,07:15 AM,05:56 PM,3,25,25,27,13,0,21,0.0,1015,26,10,276,12
2018-01-19 18:00:00,26,11,0.0,8.7,5,5,13,08:38 AM,07:58 PM,07:15 AM,05:56 PM,2,18,18,18,23,0,35,0.0,1018,17,10,351,11
2018-01-20 00:00:00,25,10,0.0,8.7,5,1,20,09:17 AM,08:52 PM,07:15 AM,05:57 PM,5,14,15,14,18,0,53,0.0,1017,12,10,6,9
2018-01-20 06:00:00,25,10,0.0,8.7,5,4,20,09:17 AM,08:52 PM,07:15 AM,05:57 PM,3,16,16,16,9,0,41,0.0,1018,14,10,358,7
2018-01-20 12:00:00,25,10,0.0,8.7,5,6,20,09:17 AM,08:52 PM,07:15 AM,05:57 PM,-5,24,24,26,13,0,13,0.0,1014,25,10,283,12
2018-01-20 18:00:00,25,10,0.0,8.7,5,4,20,09:17 AM,08:52 PM,07:15 AM,05:57 PM,-7,16,16,16,18,0,21,0.0,1015,14,10,332,9
2018-01-21 00:00:00,25,7,0.0,8.7,5,1,28,09:54 AM,09:46 PM,07:14 AM,05:58 PM,-8,12,13,12,17,0,23,0.0,1015,10,10,17,8
2018-01-21 06:00:00,25,7,0.0,8.7,5,4,28,09:54 AM,09:46 PM,07:14 AM,05:58 PM,-0,17,17,17,3,0,32,0.0,1016,13,10,87,3
2018-01-21 12:00:00,25,7,0.0,8.7,5,6,28,09:54 AM,09:46 PM,07:14 AM,05:58 PM,-1,26,26,28,6,0,16,0.0,1014,25,10,180,5
2018-01-21 18:00:00,25,7,0.0,8.7,5,4,28,09:54 AM,09:46 PM,07:14 AM,05:58 PM,3,17,17,17,11,0,38,0.0,1014,14,10,171,5
2018-01-22 00:00:00,25,10,0.0,8.7,5,1,35,10:29 AM,10:40 PM,07:14 AM,05:59 PM,3,14,14,14,17,0,47,0.0,1014,12,10,87,8
2018-01-22 06:00:00,25,10,0.0,8.7,5,4,35,10:29 AM,10:40 PM,07:14 AM,05:59 PM,4,17,17,17,9,2,43,0.0,1014,14,10,104,7
2018-01-22 12:00:00,25,10,0.0,8.7,5,7,35,10:29 AM,10:40 PM,07:14 AM,05:59 PM,5,25,25,26,13,3,27,0.0,1011,25,10,174,12
2018-01-22 18:00:00,25,10,0.0,8.7,5,5,35,10:29 AM,10:40 PM,07:14 AM,05:59 PM,7,18,18,18,22,5,49,0.0,1011,18,10,122,10
2018-01-23 00:00:00,24,13,0.0,7.1,5,1,42,11:06 AM,11:36 PM,07:14 AM,05:59 PM,5,17,17,17,27,46,47,0.0,1010,17,10,111,14
