date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,16,6,0.0,8.7,3,1,97,04:54 PM,06:01 AM,07:15 AM,05:29 PM,-10,8,9,8,15,0,25,0.0,1018,7,10,38,7
2018-01-01 06:00:00,16,6,0.0,8.7,3,3,97,04:54 PM,06:01 AM,07:15 AM,05:29 PM,-9,9,10,9,12,0,25,0.0,1018,8,10,45,7
2018-01-01 12:00:00,16,6,0.0,8.7,3,5,97,04:54 PM,06:01 AM,07:15 AM,05:29 PM,-4,17,17,17,10,0,25,0.0,1015,16,10,228,8
2018-01-01 18:00:00,16,6,0.0,8.7,3,3,97,04:54 PM,06:01 AM,07:15 AM,05:29 PM,-3,8,9,8,16,0,41,0.0,1018,8,10,40,8
2018-01-02 00:00:00,16,6,0.0,8.7,3,1,100,05:58 PM,07:07 AM,07:15 AM,05:29 PM,-12,5,7,5,17,5,25,0.0,1019,6,10,39,8
2018-01-02 06:00:00,16,6,0.0,8.7,3,3,100,05:58 PM,07:07 AM,07:15 AM,05:29 PM,-12,8,9,8,14,2,21,0.0,1019,8,10,35,8
2018-01-02 12:00:00,16,6,0.0,8.7,3,5,100,05:58 PM,07:07 AM,07:15 AM,05:29 PM,-6,17,17,17,10,0,20,0.0,1016,16,10,245,9
2018-01-02 18:00:00,16,6,0.0,8.7,3,3,100,05:58 PM,07:07 AM,07:15 AM,05:29 PM,-4,7,8,7,17,4,42,0.0,1020,8,10,44,8
2018-01-03 00:00:00,16,6,0.0,8.7,3,1,89,07:05 PM,08:08 AM,07:15 AM,05:30 PM,-10,5,7,5,17,5,29,0.0,1019,6,10,37,8
2018-01-03 06:00:00,16,6,0.0,8.7,3,3,89,07:05 PM,08:08 AM,07:15 AM,05:30 PM,-8,10,10,10,11,0,27,0.0,1018,8,10,40,6
2018-01-03 12:00:00,16,6,0.0,8.7,3,5,89,07:05 PM,08:08 AM,07:15 AM,05:30 PM,-3,17,17,17,9,0,26,0.0,1015,16,10,243,8
2018-01-03 18:00:00,16,6,0.0,8.7,3,3,89,07:05 PM,08:08 AM,07:15 AM,05:30 PM,-2,8,9,8,14,0,45,0.0,1018,8,10,39,7
2018-01-04 00:00:00,16,6,0.0,8.7,3,1,81,08:12 PM,09:03 AM,07:15 AM,05:31 PM,-7,7,9,7,15,0,32,0.0,1019,7,10,33,7
2018-01-04 06:00:00,16,6,0.0,8.7,3,3,81,08:12 PM,09:03 AM,07:15 AM,05:31 PM,-7,10,10,10,11,0,29,0.0,1018,8,10,37,6
2018-01-04 12:00:00,16,6,0.0,8.7,3,5,81,08:12 PM,09:03 AM,07:15 AM,05:31 PM,-4,17,17,17,10,0,23,0.0,1015,16,10,232,8
2018-01-04 18:00:00,16,6,0.0,8.7,3,3,81,08:12 PM,09:03 AM,07:15 AM,05:31 PM,-4,7,8,7,12,17,42,0.0,1019,7,10,42,6
2018-01-05 00:00:00,15,6,0.0,8.7,3,1,74,09:19 PM,09:51 AM,07:15 AM,05:32 PM,-10,6,7,6,14,30,29,0.0,1019,7,10,48,7
