date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,14,0.0,8.7,5,1,97,05:17 PM,05:56 AM,07:07 AM,05:52 PM,6,16,16,16,13,5,49,0.0,1013,15,10,67,6
2018-01-01 06:00:00,26,14,0.0,8.7,5,5,97,05:17 PM,05:56 AM,07:07 AM,05:52 PM,7,17,17,17,16,5,53,0.0,1013,16,10,96,9
2018-01-01 12:00:00,26,14,0.0,8.7,5,7,97,05:17 PM,05:56 AM,07:07 AM,05:52 PM,7,26,26,27,4,5,29,0.0,1010,26,10,249,3
2018-01-01 18:00:00,26,14,0.0,8.7,5,5,97,05:17 PM,05:56 AM,07:07 AM,05:52 PM,5,19,19,19,18,4,39,0.0,1012,18,10,31,9
2018-01-02 00:00:00,24,13,0.0,8.7,5,1,100,06:20 PM,07:01 AM,07:07 AM,05:53 PM,4,14,14,14,23,6,49,0.0,1012,14,10,40,11
2018-01-02 06:00:00,24,13,0.0,8.7,5,4,100,06:20 PM,07:01 AM,07:07 AM,05:53 PM,4,14,15,14,21,0,51,0.0,1015,15,10,55,12
2018-01-02 12:00:00,24,13,0.0,8.7,5,6,100,06:20 PM,07:01 AM,07:07 AM,05:53 PM,4,24,24,24,9,3,26,0.0,1012,24,10,356,8
2018-01-02 18:00:00,24,13,0.0,8.7,5,5,100,06:20 PM,07:01 AM,07:07 AM,05:53 PM,-2,16,16,16,23,0,28,0.0,1014,16,10,27,11
2018-01-03 00:00:00,24,11,0.0,8.7,5,1,89,07:26 PM,08:03 AM,07:07 AM,05:53 PM,-3,11,12,11,23,0,35,0.0,1014,12,10,49,11
2018-01-03 06:00:00,24,11,0.0,8.7,5,4,89,07:26 PM,08:03 AM,07:07 AM,05:53 PM,-1,12,13,12,24,0,39,0.0,1016,13,10,65,12
2018-01-03 12:00:00,24,11,0.0,8.7,5,6,89,07:26 PM,08:03 AM,07:07 AM,05:53 PM,3,25,25,27,4,0,22,0.0,1013,24,10,313,4
2018-01-03 18:00:00,24,11,0.0,8.7,5,5,89,07:26 PM,08:03 AM,07:07 AM,05:53 PM,-0,18,18,18,11,2,29,0.0,1014,16,10,86,5
2018-01-04 00:00:00,25,12,0.0,8.7,5,1,81,08:31 PM,08:59 AM,07:08 AM,05:54 PM,-3,15,15,15,14,0,27,0.0,1015,13,10,77,7
2018-01-04 06:00:00,25,12,0.0,8.7,5,4,81,08:31 PM,08:59 AM,07:08 AM,05:54 PM,-0,17,17,17,9,0,31,0.0,1016,15,10,117,6
2018-01-04 12:00:00,25,12,0.0,8.7,5,7,81,08:31 PM,08:59 AM,07:08 AM,05:54 PM,4,25,25,26,10,3,24,0.0,1013,25,10,251,9
2018-01-04 18:00:00,25,12,0.0,8.7,5,5,81,08:31 PM,08:59 AM,07:08 AM,05:54 PM,5,19,19,19,14,3,41,0.0,1014,18,10,238,6
2018-01-05 00:00:00,25,13,0.0,8.7,5,1,74,09:35 PM,09:50 AM,07:08 AM,05:55 PM,4,18,18,18,9,1,42,0.0,1013,15,10,349,5
2018-01-05 06:00:00,25,13,0.0,8.7,5,5,74,09:35 PM,09:50 AM,07:08 AM,05:55 PM,5,20,20,20,3,0,39,0.0,1015,17,10,272,3
2018-01-05 12:00:00,25,13,0.0,8.7,5,7,74,09:35 PM,09:50 AM,07:08 AM,05:55 PM,-0,24,24,26,12,0,18,0.0,1012,25,10,279,10
2018-01-05 18:00:00,25,13,0.0,8.7,5,5,74,09:35 PM,09:50 AM,07:08 AM,05:55 PM,1,19,19,19,11,0,29,0.0,1013,17,10,335,5
2018-01-06 00:00:00,25,12,0.0,8.7,5,1,67,10:34 PM,10:36 AM,07:08 AM,05:55 PM,2,17,17,17,8,0,37,0.0,1013,14,10,6,5
2018-01-06 06:00:00,25,12,0.0,8.7,5,5,67,10:34 PM,10:36 AM,07:08 AM,05:55 PM,4,18,18,18,3,0,39,0.0,1014,15,10,45,3
2018-01-06 12:00:00,25,12,0.0,8.7,5,6,67,10:34 PM,10:36 AM,07:08 AM,05:55 PM,-1,24,24,25,17,0,19,0.0,1011,25,10,269,15
2018-01-06 18:00:00,25,12,0.0,8.7,5,5,67,10:34 PM,10:36 AM,07:08 AM,05:55 PM,-1,18,18,18,14,0,28,0.0,1013,17,10,294,6
2018-01-07 00:00:00,24,12,0.0,8.7,5,1,59,11:32 PM,11:19 AM,07:08 AM,05:56 PM,2,14,14,14,17,0,42,0.0,1013,13,10,9,8
2018-01-07 06:00:00,24,12,0.0,8.7,5,4,59,11:32 PM,11:19 AM,07:08 AM,05:56 PM,3,14,14,14,16,0,48,0.0,1016,14,10,35,9
2018-01-07 12:00:00,24,12,0.0,8.7,5,6,59,11:32 PM,11:19 AM,07:08 AM,05:56 PM,2,24,24,26,7,0,21,0.0,1013,24,10,346,6
2018-01-07 18:00:00,24,12,0.0,8.7,5,5,59,11:32 PM,11:19 AM,07:08 AM,05:56 PM,1,17,17,17,17,0,33,0.0,1014,16,10,26,8
2018-01-08 00:00:00,25,11,0.0,8.7,5,1,52,No moonrise,11:58 AM,07:08 AM,05:57 PM,1,11,13,11,25,0,45,0.0,1015,13,10,44,12
2018-01-08 06:00:00,25,11,0.0,8.7,5,4,52,No moonrise,11:58 AM,07:08 AM,05:57 PM,4,13,14,13,22,0,50,0.0,1017,14,10,67,12
2018-01-08 12:00:00,25,11,0.0,8.7,5,6,52,No moonrise,11:58 AM,07:08 AM,05:57 PM,6,25,25,26,4,3,27,0.0,1015,25,10,118,4
2018-01-08 18:00:00,25,11,0.0,8.7,5,5,52,No moonrise,11:58 AM,07:08 AM,05:57 PM,3,17,17,17,16,3,37,0.0,1016,17,10,69,8
2018-01-09 00:00:00,25,12,0.0,8.7,5,1,45,12:26 AM,12:35 PM,07:09 AM,05:57 PM,2,14,14,14,20,0,42,0.0,1017,14,10,70,9
2018-01-09 06:00:00,25,12,0.0,8.7,5,4,45,12:26 AM,12:35 PM,07:09 AM,05:57 PM,2,14,14,14,22,0,43,0.0,1019,14,10,68,12
2018-01-09 12:00:00,25,12,0.0,8.7,5,6,45,12:26 AM,12:35 PM,07:09 AM,05:57 PM,6,25,25,26,9,5,28,0.0,1017,25,10,48,8
2018-01-09 18:00:00,25,12,0.0,8.7,5,5,45,12:26 AM,12:35 PM,07:09 AM,05:57 PM,3,18,18,18,18,0,38,0.0,1018,17,10,68,9
2018-01-10 00:00:00,25,12,0.0,8.7,5,1,38,01:19 AM,01:13 PM,07:09 AM,05:58 PM,3,16,16,16,12,0,41,0.0,1019,14,10,49,6
