date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,19,0.0,11.6,6,1,97,05:24 PM,05:35 AM,06:44 AM,06:01 PM,15,22,24,22,10,18,65,0.0,1011,21,10,110,6
2018-01-01 06:00:00,29,19,0.0,11.6,6,1,97,05:24 PM,05:35 AM,06:44 AM,06:01 PM,16,25,25,23,2,11,64,0.0,1013,22,10,94,2
2018-01-01 12:00:00,29,19,0.0,11.6,6,7,97,05:24 PM,05:35 AM,06:44 AM,06:01 PM,11,29,29,30,6,8,31,0.0,1008,29,10,27,5
2018-01-01 18:00:00,29,19,0.0,11.6,6,7,97,05:24 PM,05:35 AM,06:44 AM,06:01 PM,10,26,26,26,19,5,36,0.0,1009,26,10,57,10
2018-01-02 00:00:00,30,20,0.0,11.6,6,1,100,06:28 PM,06:39 AM,06:44 AM,06:02 PM,13,23,25,23,13,6,53,0.0,1010,22,10,124,8
2018-01-02 06:00:00,30,20,0.0,11.6,6,1,100,06:28 PM,06:39 AM,06:44 AM,06:02 PM,15,25,25,24,5,9,58,0.0,1012,23,10,123,5
2018-01-02 12:00:00,30,20,0.0,11.6,6,7,100,06:28 PM,06:39 AM,06:44 AM,06:02 PM,10,29,29,31,10,6,28,0.0,1009,30,10,43,9
2018-01-02 18:00:00,30,20,0.0,11.6,6,7,100,06:28 PM,06:39 AM,06:44 AM,06:02 PM,10,26,26,26,17,5,36,0.0,1010,26,10,56,10
2018-01-03 00:00:00,30,20,0.0,11.6,7,1,89,07:33 PM,07:42 AM,06:44 AM,06:03 PM,15,22,25,22,12,5,64,0.0,1011,21,10,112,8
2018-01-03 06:00:00,30,20,0.0,11.6,7,1,89,07:33 PM,07:42 AM,06:44 AM,06:03 PM,16,25,25,24,13,6,64,0.0,1013,23,10,120,11
2018-01-03 12:00:00,30,20,0.0,11.6,7,7,89,07:33 PM,07:42 AM,06:44 AM,06:03 PM,11,29,29,30,13,8,30,0.0,1010,30,10,54,11
2018-01-03 18:00:00,30,20,0.0,11.6,7,7,89,07:33 PM,07:42 AM,06:44 AM,06:03 PM,10,26,26,26,18,6,35,0.0,1012,26,10,40,10
2018-01-04 00:00:00,29,20,0.0,11.6,6,1,81,08:35 PM,08:40 AM,06:45 AM,06:03 PM,15,22,25,22,18,10,65,0.0,1013,21,10,108,11
2018-01-04 06:00:00,29,20,0.0,11.6,6,1,81,08:35 PM,08:40 AM,06:45 AM,06:03 PM,15,25,25,23,15,11,61,0.0,1015,22,10,134,13
2018-01-04 12:00:00,29,20,0.0,11.6,6,7,81,08:35 PM,08:40 AM,06:45 AM,06:03 PM,11,28,28,29,15,13,33,0.0,1011,29,10,52,13
2018-01-04 18:00:00,29,20,0.0,11.6,6,6,81,08:35 PM,08:40 AM,06:45 AM,06:03 PM,11,26,26,25,14,10,42,0.0,1013,25,10,69,8
2018-01-05 00:00:00,29,19,0.0,11.6,6,1,74,09:36 PM,09:34 AM,06:45 AM,06:04 PM,14,21,24,21,14,6,64,0.0,1013,20,10,96,9
2018-01-05 06:00:00,29,19,0.0,11.6,6,1,74,09:36 PM,09:34 AM,06:45 AM,06:04 PM,14,22,25,22,12,3,60,0.0,1014,22,10,127,10
