date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,16,0.0,11.5,6,1,97,05:34 PM,05:48 AM,06:57 AM,06:10 PM,10,18,18,18,11,6,57,0.0,1011,17,10,66,5
2018-01-01 06:00:00,31,16,0.0,11.5,6,1,97,05:34 PM,05:48 AM,06:57 AM,06:10 PM,13,23,25,23,5,0,52,0.0,1012,20,10,79,5
2018-01-01 12:00:00,31,16,0.0,11.5,6,8,97,05:34 PM,05:48 AM,06:57 AM,06:10 PM,11,32,32,33,2,4,26,0.0,1008,31,10,310,2
2018-01-01 18:00:00,31,16,0.0,11.5,6,5,97,05:34 PM,05:48 AM,06:57 AM,06:10 PM,14,21,21,21,9,3,66,0.0,1010,19,10,295,5
2018-01-02 00:00:00,31,16,0.0,11.5,6,1,100,06:37 PM,06:52 AM,06:57 AM,06:11 PM,15,19,19,19,7,3,75,0.0,1010,17,10,10,4
2018-01-02 06:00:00,31,16,0.0,11.5,6,1,100,06:37 PM,06:52 AM,06:57 AM,06:11 PM,14,22,25,22,5,3,59,0.0,1011,20,10,37,4
2018-01-02 12:00:00,31,16,0.0,11.5,6,8,100,06:37 PM,06:52 AM,06:57 AM,06:11 PM,10,31,31,32,5,4,26,0.0,1009,31,10,147,4
2018-01-02 18:00:00,31,16,0.0,11.5,6,5,100,06:37 PM,06:52 AM,06:57 AM,06:11 PM,14,21,24,21,6,2,64,0.0,1010,19,10,307,3
2018-01-03 00:00:00,31,16,0.0,11.5,6,1,89,07:42 PM,07:55 AM,06:57 AM,06:11 PM,13,20,20,20,9,3,68,0.0,1010,17,10,8,5
2018-01-03 06:00:00,31,16,0.0,11.5,6,1,89,07:42 PM,07:55 AM,06:57 AM,06:11 PM,12,22,24,22,7,6,53,0.0,1013,20,10,76,5
2018-01-03 12:00:00,31,16,0.0,11.5,6,8,89,07:42 PM,07:55 AM,06:57 AM,06:11 PM,12,31,31,32,6,6,29,0.0,1010,31,10,159,5
2018-01-03 18:00:00,31,16,0.0,11.5,6,5,89,07:42 PM,07:55 AM,06:57 AM,06:11 PM,16,21,21,21,12,4,76,0.0,1012,20,10,273,6
2018-01-04 00:00:00,30,17,0.0,11.5,6,1,81,08:45 PM,08:53 AM,06:58 AM,06:12 PM,15,19,19,19,7,6,78,0.0,1012,17,10,333,4
2018-01-04 06:00:00,30,17,0.0,11.5,6,1,81,08:45 PM,08:53 AM,06:58 AM,06:12 PM,15,22,25,22,3,8,63,0.0,1014,21,10,44,3
2018-01-04 12:00:00,30,17,0.0,11.5,6,7,81,08:45 PM,08:53 AM,06:58 AM,06:12 PM,13,30,30,31,4,11,34,0.0,1011,30,10,170,4
2018-01-04 18:00:00,30,17,0.0,11.5,6,6,81,08:45 PM,08:53 AM,06:58 AM,06:12 PM,16,22,24,22,6,6,72,0.0,1012,20,10,332,3
2018-01-05 00:00:00,30,17,0.0,11.6,6,1,74,09:46 PM,09:47 AM,06:58 AM,06:13 PM,13,20,20,20,10,8,66,0.0,1011,18,10,44,5
2018-01-05 06:00:00,30,17,0.0,11.6,6,1,74,09:46 PM,09:47 AM,06:58 AM,06:13 PM,13,21,24,21,10,8,59,0.0,1013,21,10,90,7
2018-01-05 12:00:00,30,17,0.0,11.6,6,7,74,09:46 PM,09:47 AM,06:58 AM,06:13 PM,11,29,29,30,10,7,31,0.0,1010,30,10,95,8
2018-01-05 18:00:00,30,17,0.0,11.6,6,6,74,09:46 PM,09:47 AM,06:58 AM,06:13 PM,12,21,24,21,4,7,57,0.0,1011,20,10,33,2
2018-01-06 00:00:00,30,16,0.0,11.6,6,1,67,10:43 PM,10:35 AM,06:58 AM,06:13 PM,10,19,19,19,11,5,54,0.0,1010,18,10,66,5
