date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,23,11,0.0,8.7,5,1,97,05:02 PM,05:55 AM,07:07 AM,05:37 PM,7,15,15,15,0,4,59,0.0,1015,12,10,345,0
2018-01-01 06:00:00,23,11,0.0,8.7,5,4,97,05:02 PM,05:55 AM,07:07 AM,05:37 PM,9,16,16,16,1,4,63,0.0,1016,14,10,130,1
2018-01-01 12:00:00,23,11,0.0,8.7,5,6,97,05:02 PM,05:55 AM,07:07 AM,05:37 PM,7,24,24,24,3,5,32,0.0,1013,23,10,95,3
2018-01-01 18:00:00,23,11,0.0,8.7,5,5,97,05:02 PM,05:55 AM,07:07 AM,05:37 PM,6,16,16,16,15,6,51,0.0,1014,15,10,99,7
2018-01-02 00:00:00,19,10,0.0,8.7,4,1,100,06:06 PM,07:00 AM,07:07 AM,05:38 PM,6,14,13,14,9,8,61,0.0,1015,12,10,22,5
2018-01-02 06:00:00,19,10,0.0,8.7,4,4,100,06:06 PM,07:00 AM,07:07 AM,05:38 PM,6,15,15,15,7,0,54,0.0,1016,12,10,328,6
2018-01-02 12:00:00,19,10,0.0,8.7,4,5,100,06:06 PM,07:00 AM,07:07 AM,05:38 PM,3,22,23,22,10,0,29,0.0,1014,19,10,329,9
2018-01-02 18:00:00,19,10,0.0,8.7,4,4,100,06:06 PM,07:00 AM,07:07 AM,05:38 PM,1,15,15,15,16,0,39,0.0,1016,13,10,354,8
2018-01-03 00:00:00,20,8,0.0,8.7,4,1,89,07:12 PM,08:02 AM,07:08 AM,05:38 PM,1,15,14,15,6,0,42,0.0,1016,10,10,333,4
2018-01-03 06:00:00,20,8,0.0,8.7,4,4,89,07:12 PM,08:02 AM,07:08 AM,05:38 PM,4,15,15,15,6,0,50,0.0,1017,11,10,255,5
2018-01-03 12:00:00,20,8,0.0,8.7,4,6,89,07:12 PM,08:02 AM,07:08 AM,05:38 PM,4,23,24,23,8,0,29,0.0,1015,20,10,345,7
