date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,16,0.0,8.7,6,1,97,04:13 PM,05:03 AM,06:17 AM,04:50 PM,11,19,19,19,11,0,60,0.0,1013,17,10,48,8
2018-01-01 06:00:00,26,16,0.0,8.7,6,5,97,04:13 PM,05:03 AM,06:17 AM,04:50 PM,10,19,19,19,20,3,55,0.0,1015,19,10,60,15
2018-01-01 12:00:00,26,16,0.0,8.7,6,7,97,04:13 PM,05:03 AM,06:17 AM,04:50 PM,15,29,29,29,5,0,43,0.0,1011,26,10,71,4
2018-01-01 18:00:00,26,16,0.0,8.7,6,1,97,04:13 PM,05:03 AM,06:17 AM,04:50 PM,14,22,25,22,11,2,59,0.0,1014,20,10,105,7
2018-01-02 00:00:00,26,16,0.0,8.7,6,1,100,05:17 PM,06:09 AM,06:17 AM,04:51 PM,12,19,19,19,12,0,62,0.0,1013,17,10,59,8
2018-01-02 06:00:00,26,16,0.0,8.7,6,5,100,05:17 PM,06:09 AM,06:17 AM,04:51 PM,9,20,20,20,16,9,50,0.0,1014,19,10,58,12
2018-01-02 12:00:00,26,16,0.0,8.7,6,7,100,05:17 PM,06:09 AM,06:17 AM,04:51 PM,12,27,27,27,9,4,40,0.0,1010,26,10,64,8
2018-01-02 18:00:00,26,16,0.0,8.7,6,1,100,05:17 PM,06:09 AM,06:17 AM,04:51 PM,14,21,21,21,11,7,63,0.0,1013,20,10,103,6
2018-01-03 00:00:00,24,15,0.0,8.7,5,1,89,06:23 PM,07:10 AM,06:18 AM,04:51 PM,9,18,18,18,9,4,55,0.0,1013,17,10,277,6
2018-01-03 06:00:00,24,15,0.0,8.7,5,5,89,06:23 PM,07:10 AM,06:18 AM,04:51 PM,8,18,18,18,7,13,51,0.0,1013,18,10,267,6
2018-01-03 12:00:00,24,15,0.0,8.7,5,6,89,06:23 PM,07:10 AM,06:18 AM,04:51 PM,8,25,25,24,19,6,35,0.0,1010,24,10,258,16
2018-01-03 18:00:00,24,15,0.0,8.7,5,1,89,06:23 PM,07:10 AM,06:18 AM,04:51 PM,4,19,19,19,19,3,39,0.0,1013,18,10,255,10
2018-01-04 00:00:00,23,13,0.0,8.7,5,1,81,07:29 PM,08:06 AM,06:18 AM,04:52 PM,6,18,18,18,5,0,46,0.0,1015,15,10,245,5
2018-01-04 06:00:00,23,13,0.0,8.7,5,5,81,07:29 PM,08:06 AM,06:18 AM,04:52 PM,7,18,18,18,10,2,51,0.0,1017,16,10,58,8
2018-01-04 12:00:00,23,13,0.0,8.7,5,6,81,07:29 PM,08:06 AM,06:18 AM,04:52 PM,12,26,26,26,4,0,41,0.0,1013,23,10,48,3
2018-01-04 18:00:00,23,13,0.0,8.7,5,1,81,07:29 PM,08:06 AM,06:18 AM,04:52 PM,13,19,19,19,5,2,66,0.0,1015,17,10,125,3
