date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,30,20,0.0,10.2,7,1,97,05:30 PM,05:28 AM,06:35 AM,06:08 PM,18,22,25,22,6,12,79,0.0,1010,21,10,166,4
2018-01-01 06:00:00,30,20,0.0,10.2,7,1,97,05:30 PM,05:28 AM,06:35 AM,06:08 PM,19,27,27,25,3,17,70,0.0,1011,24,10,298,3
2018-01-01 12:00:00,30,20,0.0,10.2,7,6,97,05:30 PM,05:28 AM,06:35 AM,06:08 PM,18,31,31,30,6,74,47,0.0,1008,30,10,350,5
2018-01-01 18:00:00,30,20,0.0,10.2,7,7,97,05:30 PM,05:28 AM,06:35 AM,06:08 PM,18,27,27,26,6,33,63,0.0,1009,25,10,247,3
2018-01-02 00:00:00,30,21,0.0,10.2,7,1,100,06:33 PM,06:32 AM,06:36 AM,06:08 PM,20,25,25,23,7,33,84,0.0,1010,22,10,126,4
2018-01-02 06:00:00,30,21,0.0,10.2,7,1,100,06:33 PM,06:32 AM,06:36 AM,06:08 PM,20,26,26,25,6,38,76,0.1,1011,24,10,92,5
2018-01-02 12:00:00,30,21,0.0,10.2,7,7,100,06:33 PM,06:32 AM,06:36 AM,06:08 PM,18,32,32,30,9,79,47,0.0,1008,30,10,1,8
2018-01-02 18:00:00,30,21,0.0,10.2,7,7,100,06:33 PM,06:32 AM,06:36 AM,06:08 PM,18,28,28,27,8,36,59,0.0,1010,26,10,140,5
2018-01-03 00:00:00,30,21,0.0,11.6,7,1,89,07:38 PM,07:35 AM,06:36 AM,06:09 PM,21,25,25,23,10,14,87,0.1,1010,22,10,135,6
2018-01-03 06:00:00,30,21,0.0,11.6,7,1,89,07:38 PM,07:35 AM,06:36 AM,06:09 PM,20,27,27,25,8,18,75,0.0,1012,24,10,58,7
2018-01-03 12:00:00,30,21,0.0,11.6,7,8,89,07:38 PM,07:35 AM,06:36 AM,06:09 PM,17,31,31,31,10,36,44,0.0,1009,30,10,40,9
2018-01-03 18:00:00,30,21,0.0,11.6,7,7,89,07:38 PM,07:35 AM,06:36 AM,06:09 PM,17,27,27,26,11,22,60,0.0,1011,25,10,87,6
2018-01-04 00:00:00,29,20,0.0,11.6,6,1,81,08:39 PM,08:34 AM,06:37 AM,06:09 PM,19,22,24,22,7,42,86,0.0,1012,21,10,95,5
2018-01-04 06:00:00,29,20,0.0,11.6,6,1,81,08:39 PM,08:34 AM,06:37 AM,06:09 PM,19,26,26,24,9,8,76,0.0,1014,23,10,40,8
2018-01-04 12:00:00,29,20,0.0,11.6,6,7,81,08:39 PM,08:34 AM,06:37 AM,06:09 PM,16,30,30,30,14,31,44,0.0,1011,29,10,33,12
2018-01-04 18:00:00,29,20,0.0,11.6,6,6,81,08:39 PM,08:34 AM,06:37 AM,06:09 PM,17,26,26,24,13,14,65,0.0,1011,24,10,82,7
2018-01-05 00:00:00,28,19,0.0,10.2,6,1,74,09:39 PM,09:29 AM,06:37 AM,06:10 PM,17,22,24,22,5,5,74,0.0,1012,20,10,100,4
2018-01-05 06:00:00,28,19,0.0,10.2,6,1,74,09:39 PM,09:29 AM,06:37 AM,06:10 PM,17,25,25,23,9,11,71,0.0,1014,22,10,66,8
2018-01-05 12:00:00,28,19,0.0,10.2,6,7,74,09:39 PM,09:29 AM,06:37 AM,06:10 PM,15,28,28,28,15,16,44,0.0,1010,28,10,36,13
2018-01-05 18:00:00,28,19,0.0,10.2,6,6,74,09:39 PM,09:29 AM,06:37 AM,06:10 PM,15,25,25,24,13,3,60,0.0,1011,22,10,76,8
2018-01-06 00:00:00,28,18,0.0,11.6,6,1,67,10:33 PM,10:19 AM,06:37 AM,06:10 PM,20,23,25,23,5,1,82,0.0,1011,19,10,111,4
2018-01-06 06:00:00,28,18,0.0,11.6,6,1,67,10:33 PM,10:19 AM,06:37 AM,06:10 PM,18,24,25,24,5,3,71,0.0,1013,21,10,86,4
2018-01-06 12:00:00,28,18,0.0,11.6,6,7,67,10:33 PM,10:19 AM,06:37 AM,06:10 PM,14,29,29,29,11,14,41,0.0,1009,28,10,25,10
2018-01-06 18:00:00,28,18,0.0,11.6,6,6,67,10:33 PM,10:19 AM,06:37 AM,06:10 PM,14,25,25,24,5,9,54,0.0,1011,23,10,53,3
2018-01-07 00:00:00,29,18,0.0,11.6,6,1,59,11:26 PM,11:06 AM,06:38 AM,06:11 PM,15,20,20,20,6,12,74,0.0,1011,19,10,102,4
2018-01-07 06:00:00,29,18,0.0,11.6,6,1,59,11:26 PM,11:06 AM,06:38 AM,06:11 PM,16,24,25,24,6,3,64,0.0,1013,22,10,56,5
2018-01-07 12:00:00,29,18,0.0,11.6,6,7,59,11:26 PM,11:06 AM,06:38 AM,06:11 PM,15,29,29,29,12,15,41,0.0,1010,29,10,11,11
2018-01-07 18:00:00,29,18,0.0,11.6,6,6,59,11:26 PM,11:06 AM,06:38 AM,06:11 PM,14,25,25,23,16,16,57,0.0,1011,23,10,77,9
2018-01-08 00:00:00,29,18,0.0,11.6,6,1,52,No moonrise,11:50 AM,06:38 AM,06:11 PM,16,20,20,20,4,7,76,0.0,1012,18,10,92,3
2018-01-08 06:00:00,29,18,0.0,11.6,6,1,52,No moonrise,11:50 AM,06:38 AM,06:11 PM,14,23,25,23,6,8,59,0.0,1014,22,10,29,5
2018-01-08 12:00:00,29,18,0.0,11.6,6,7,52,No moonrise,11:50 AM,06:38 AM,06:11 PM,10,28,28,29,15,7,32,0.0,1011,29,10,35,13
2018-01-08 18:00:00,29,18,0.0,11.6,6,6,52,No moonrise,11:50 AM,06:38 AM,06:11 PM,14,25,25,23,22,7,58,0.0,1013,22,10,81,11
2018-01-09 00:00:00,30,18,0.0,8.7,6,1,45,12:16 AM,12:32 PM,06:38 AM,06:12 PM,18,21,21,21,5,10,85,0.0,1013,19,10,73,3
2018-01-09 06:00:00,30,18,0.0,8.7,6,1,45,12:16 AM,12:32 PM,06:38 AM,06:12 PM,18,25,25,23,7,6,71,0.0,1015,22,10,19,6
2018-01-09 12:00:00,30,18,0.0,8.7,6,7,45,12:16 AM,12:32 PM,06:38 AM,06:12 PM,15,30,30,30,14,23,42,0.0,1012,30,10,36,12
2018-01-09 18:00:00,30,18,0.0,8.7,6,5,45,12:16 AM,12:32 PM,06:38 AM,06:12 PM,19,25,25,23,12,100,78,0.2,1014,23,2,76,9
2018-01-10 00:00:00,29,22,0.0,8.7,5,1,38,01:04 AM,01:14 PM,06:39 AM,06:12 PM,20,22,25,22,6,72,87,0.0,1014,22,10,47,4
2018-01-10 06:00:00,29,22,0.0,8.7,5,1,38,01:04 AM,01:14 PM,06:39 AM,06:12 PM,20,26,26,24,11,67,80,0.1,1015,24,10,35,9
2018-01-10 12:00:00,29,22,0.0,8.7,5,6,38,01:04 AM,01:14 PM,06:39 AM,06:12 PM,20,31,31,29,17,78,57,0.1,1012,29,10,54,15
2018-01-10 18:00:00,29,22,0.0,8.7,5,5,38,01:04 AM,01:14 PM,06:39 AM,06:12 PM,21,26,26,24,16,42,86,0.6,1014,23,9,69,10
2018-01-11 00:00:00,30,20,0.0,10.2,6,1,30,01:52 AM,01:56 PM,06:39 AM,06:13 PM,21,22,25,22,6,35,93,0.0,1015,21,10,59,4
2018-01-11 06:00:00,30,20,0.0,10.2,6,1,30,01:52 AM,01:56 PM,06:39 AM,06:13 PM,20,26,26,24,7,53,79,0.0,1016,24,10,5,6
2018-01-11 12:00:00,30,20,0.0,10.2,6,6,30,01:52 AM,01:56 PM,06:39 AM,06:13 PM,19,32,32,30,14,63,52,0.0,1012,30,10,48,12
2018-01-11 18:00:00,30,20,0.0,10.2,6,6,30,01:52 AM,01:56 PM,06:39 AM,06:13 PM,21,27,27,25,17,32,81,0.0,1013,25,10,76,10
2018-01-12 00:00:00,31,21,0.0,10.2,6,1,23,02:40 AM,02:38 PM,06:39 AM,06:13 PM,22,23,25,23,10,32,94,0.0,1013,22,2,86,6
2018-01-12 06:00:00,31,21,0.0,10.2,6,1,23,02:40 AM,02:38 PM,06:39 AM,06:13 PM,20,26,26,25,7,31,77,0.0,1015,24,10,53,6
2018-01-12 12:00:00,31,21,0.0,10.2,6,7,23,02:40 AM,02:38 PM,06:39 AM,06:13 PM,18,32,32,31,14,73,46,0.0,1012,31,10,54,12
2018-01-12 18:00:00,31,21,0.0,10.2,6,7,23,02:40 AM,02:38 PM,06:39 AM,06:13 PM,19,27,27,26,17,20,67,0.0,1013,25,10,85,10
2018-01-13 00:00:00,31,21,0.0,11.6,7,1,16,03:28 AM,03:23 PM,06:39 AM,06:14 PM,19,25,25,23,7,12,79,0.0,1013,22,10,106,4
2018-01-13 06:00:00,31,21,0.0,11.6,7,1,16,03:28 AM,03:23 PM,06:39 AM,06:14 PM,19,27,27,25,7,9,71,0.0,1014,24,10,60,6
2018-01-13 12:00:00,31,21,0.0,11.6,7,8,16,03:28 AM,03:23 PM,06:39 AM,06:14 PM,16,32,32,31,18,2,40,0.0,1011,31,10,66,16
2018-01-13 18:00:00,31,21,0.0,11.6,7,6,16,03:28 AM,03:23 PM,06:39 AM,06:14 PM,18,27,27,25,16,0,65,0.0,1013,24,10,81,10
2018-01-14 00:00:00,31,19,0.0,11.6,6,1,9,04:16 AM,04:09 PM,06:40 AM,06:14 PM,22,24,26,24,5,0,90,0.0,1013,20,10,104,4
2018-01-14 06:00:00,31,19,0.0,11.6,6,1,9,04:16 AM,04:09 PM,06:40 AM,06:14 PM,20,27,27,26,7,0,72,0.0,1015,22,10,4,6
2018-01-14 12:00:00,31,19,0.0,11.6,6,8,9,04:16 AM,04:09 PM,06:40 AM,06:14 PM,13,31,31,31,15,3,33,0.0,1011,31,10,52,13
2018-01-14 18:00:00,31,19,0.0,11.6,6,6,9,04:16 AM,04:09 PM,06:40 AM,06:14 PM,17,27,27,26,14,0,58,0.0,1013,24,10,91,9
2018-01-15 00:00:00,31,19,0.0,11.6,6,1,1,05:05 AM,04:56 PM,06:40 AM,06:15 PM,22,24,26,24,6,0,88,0.0,1014,20,10,86,5
2018-01-15 06:00:00,31,19,0.0,11.6,6,1,1,05:05 AM,04:56 PM,06:40 AM,06:15 PM,19,25,25,23,10,10,77,0.0,1016,23,10,40,8
2018-01-15 12:00:00,31,19,0.0,11.6,6,8,1,05:05 AM,04:56 PM,06:40 AM,06:15 PM,14,31,31,31,15,3,36,0.0,1011,31,10,56,13
2018-01-15 18:00:00,31,19,0.0,11.6,6,6,1,05:05 AM,04:56 PM,06:40 AM,06:15 PM,17,26,26,25,21,4,60,0.0,1013,25,10,95,11
2018-01-16 00:00:00,31,20,0.0,11.6,7,1,0,05:53 AM,05:44 PM,06:40 AM,06:15 PM,19,22,25,22,8,6,84,0.0,1012,21,10,86,5
2018-01-16 06:00:00,31,20,0.0,11.6,7,1,0,05:53 AM,05:44 PM,06:40 AM,06:15 PM,19,26,26,24,6,9,74,0.0,1014,23,10,42,5
2018-01-16 12:00:00,31,20,0.0,11.6,7,8,0,05:53 AM,05:44 PM,06:40 AM,06:15 PM,16,32,32,31,15,28,39,0.0,1010,31,10,43,13
2018-01-16 18:00:00,31,20,0.0,11.6,7,7,0,05:53 AM,05:44 PM,06:40 AM,06:15 PM,17,27,27,26,22,23,61,0.0,1012,26,10,86,13
2018-01-17 00:00:00,30,20,0.0,11.6,6,1,0,06:40 AM,06:33 PM,06:40 AM,06:16 PM,20,22,25,22,5,18,85,0.0,1012,21,10,143,3
2018-01-17 06:00:00,30,20,0.0,11.6,6,1,0,06:40 AM,06:33 PM,06:40 AM,06:16 PM,19,26,26,24,6,28,74,0.0,1014,23,10,63,5
2018-01-17 12:00:00,30,20,0.0,11.6,6,8,0,06:40 AM,06:33 PM,06:40 AM,06:16 PM,15,31,31,31,18,31,40,0.0,1010,30,10,23,16
2018-01-17 18:00:00,30,20,0.0,11.6,6,6,0,06:40 AM,06:33 PM,06:40 AM,06:16 PM,16,26,26,24,25,15,59,0.0,1012,24,10,82,14
2018-01-18 00:00:00,30,19,0.0,11.6,6,1,6,07:26 AM,07:22 PM,06:40 AM,06:16 PM,16,21,24,21,6,7,72,0.0,1013,20,10,89,4
2018-01-18 06:00:00,30,19,0.0,11.6,6,1,6,07:26 AM,07:22 PM,06:40 AM,06:16 PM,15,25,25,24,7,3,59,0.0,1014,22,10,43,6
2018-01-18 12:00:00,30,19,0.0,11.6,6,7,6,07:26 AM,07:22 PM,06:40 AM,06:16 PM,12,29,29,30,17,7,33,0.0,1010,30,10,37,15
2018-01-18 18:00:00,30,19,0.0,11.6,6,6,6,07:26 AM,07:22 PM,06:40 AM,06:16 PM,14,25,25,23,25,4,57,0.0,1012,23,10,81,14
2018-01-19 00:00:00,30,17,0.0,11.6,6,1,13,08:10 AM,08:10 PM,06:41 AM,06:17 PM,20,23,25,23,5,0,84,0.0,1013,19,10,86,4
2018-01-19 06:00:00,30,17,0.0,11.6,6,1,13,08:10 AM,08:10 PM,06:41 AM,06:17 PM,18,23,25,23,10,0,70,0.0,1015,21,10,49,9
