date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,15,0.0,10.8,5,1,97,05:25 PM,06:07 AM,07:18 AM,06:00 PM,3,16,16,16,26,0,42,0.0,1013,16,10,26,12
2018-01-01 06:00:00,26,15,0.0,10.8,5,1,97,05:25 PM,06:07 AM,07:18 AM,06:00 PM,4,16,16,16,24,0,43,0.0,1014,16,10,30,13
2018-01-01 12:00:00,26,15,0.0,10.8,5,7,97,05:25 PM,06:07 AM,07:18 AM,06:00 PM,4,26,26,27,10,0,23,0.0,1011,26,10,55,8
2018-01-01 18:00:00,26,15,0.0,10.8,5,5,97,05:25 PM,06:07 AM,07:18 AM,06:00 PM,3,21,21,21,20,0,31,0.0,1012,20,10,40,10
2018-01-02 00:00:00,26,14,0.0,10.8,5,1,100,06:28 PM,07:13 AM,07:18 AM,06:00 PM,1,16,16,16,28,0,38,0.0,1013,15,10,26,13
2018-01-02 06:00:00,26,14,0.0,10.8,5,1,100,06:28 PM,07:13 AM,07:18 AM,06:00 PM,1,15,15,15,28,0,37,0.0,1014,15,10,43,15
2018-01-02 12:00:00,26,14,0.0,10.8,5,7,100,06:28 PM,07:13 AM,07:18 AM,06:00 PM,-5,24,24,26,16,0,13,0.0,1012,26,10,71,14
2018-01-02 18:00:00,26,14,0.0,10.8,5,5,100,06:28 PM,07:13 AM,07:18 AM,06:00 PM,-4,19,19,19,23,0,21,0.0,1014,18,10,38,11
2018-01-03 00:00:00,25,12,0.0,10.8,5,1,89,07:35 PM,08:14 AM,07:19 AM,06:01 PM,-3,13,14,13,26,0,31,0.0,1014,14,10,42,12
2018-01-03 06:00:00,25,12,0.0,10.8,5,1,89,07:35 PM,08:14 AM,07:19 AM,06:01 PM,-1,13,14,13,27,0,37,0.0,1016,14,10,51,15
2018-01-03 12:00:00,25,12,0.0,10.8,5,6,89,07:35 PM,08:14 AM,07:19 AM,06:01 PM,0,25,25,27,9,0,18,0.0,1013,25,10,109,8
2018-01-03 18:00:00,25,12,0.0,10.8,5,5,89,07:35 PM,08:14 AM,07:19 AM,06:01 PM,-1,20,20,20,16,0,23,0.0,1014,19,10,23,8
2018-01-04 00:00:00,26,14,0.0,10.8,5,1,81,08:40 PM,09:10 AM,07:19 AM,06:02 PM,-5,17,17,17,18,0,23,0.0,1014,15,10,34,9
2018-01-04 06:00:00,26,14,0.0,10.8,5,1,81,08:40 PM,09:10 AM,07:19 AM,06:02 PM,-3,17,17,17,16,0,26,0.0,1016,15,10,43,9
2018-01-04 12:00:00,26,14,0.0,10.8,5,7,81,08:40 PM,09:10 AM,07:19 AM,06:02 PM,1,26,26,28,8,0,17,0.0,1013,26,10,238,7
2018-01-04 18:00:00,26,14,0.0,10.8,5,5,81,08:40 PM,09:10 AM,07:19 AM,06:02 PM,2,20,20,20,17,0,30,0.0,1014,19,10,319,9
2018-01-05 00:00:00,26,14,0.0,10.8,5,1,74,09:44 PM,10:01 AM,07:19 AM,06:02 PM,1,18,18,18,15,0,33,0.0,1014,16,10,3,8
2018-01-05 06:00:00,26,14,0.0,10.8,5,1,74,09:44 PM,10:01 AM,07:19 AM,06:02 PM,-1,17,17,17,14,0,30,0.0,1015,15,10,34,9
2018-01-05 12:00:00,26,14,0.0,10.8,5,7,74,09:44 PM,10:01 AM,07:19 AM,06:02 PM,0,26,26,28,6,0,16,0.0,1013,26,10,57,5
2018-01-05 18:00:00,26,14,0.0,10.8,5,5,74,09:44 PM,10:01 AM,07:19 AM,06:02 PM,1,22,23,22,2,0,25,0.0,1013,19,10,57,1
2018-01-06 00:00:00,25,14,0.0,10.8,5,1,67,10:44 PM,10:47 AM,07:19 AM,06:03 PM,2,18,18,18,12,0,35,0.0,1013,16,10,17,7
2018-01-06 06:00:00,25,14,0.0,10.8,5,1,67,10:44 PM,10:47 AM,07:19 AM,06:03 PM,1,15,15,15,20,0,37,0.0,1014,15,10,34,11
2018-01-06 12:00:00,25,14,0.0,10.8,5,6,67,10:44 PM,10:47 AM,07:19 AM,06:03 PM,2,26,26,27,6,0,19,0.0,1012,25,10,80,5
2018-01-06 18:00:00,25,14,0.0,10.8,5,5,67,10:44 PM,10:47 AM,07:19 AM,06:03 PM,2,22,23,22,7,0,28,0.0,1013,19,10,53,4
2018-01-07 00:00:00,25,14,0.0,10.9,5,1,59,11:41 PM,11:29 AM,07:19 AM,06:04 PM,2,16,16,16,20,0,38,0.0,1014,15,10,15,10
2018-01-07 06:00:00,25,14,0.0,10.9,5,1,59,11:41 PM,11:29 AM,07:19 AM,06:04 PM,-0,16,16,16,19,0,34,0.0,1016,15,10,33,11
2018-01-07 12:00:00,25,14,0.0,10.9,5,6,59,11:41 PM,11:29 AM,07:19 AM,06:04 PM,2,25,25,27,7,0,20,0.0,1014,25,10,38,6
2018-01-07 18:00:00,25,14,0.0,10.9,5,5,59,11:41 PM,11:29 AM,07:19 AM,06:04 PM,2,21,23,21,5,0,29,0.0,1015,18,10,29,3
2018-01-08 00:00:00,25,13,0.0,10.8,5,1,52,No moonrise,12:07 PM,07:20 AM,06:04 PM,0,15,15,15,24,0,35,0.0,1015,15,10,27,12
2018-01-08 06:00:00,25,13,0.0,10.8,5,1,52,No moonrise,12:07 PM,07:20 AM,06:04 PM,1,13,14,13,26,0,39,0.0,1017,14,10,43,14
2018-01-08 12:00:00,25,13,0.0,10.8,5,6,52,No moonrise,12:07 PM,07:20 AM,06:04 PM,3,25,25,26,10,0,23,0.0,1015,25,10,101,9
2018-01-08 18:00:00,25,13,0.0,10.8,5,5,52,No moonrise,12:07 PM,07:20 AM,06:04 PM,3,20,20,20,20,2,32,0.0,1016,19,10,33,10
2018-01-09 00:00:00,27,14,0.0,10.9,5,1,45,12:36 AM,12:45 PM,07:20 AM,06:05 PM,1,16,16,16,26,0,38,0.0,1017,16,10,43,13
2018-01-09 06:00:00,27,14,0.0,10.9,5,1,45,12:36 AM,12:45 PM,07:20 AM,06:05 PM,2,16,16,16,29,0,40,0.0,1019,16,10,46,16
2018-01-09 12:00:00,27,14,0.0,10.9,5,7,45,12:36 AM,12:45 PM,07:20 AM,06:05 PM,4,25,25,27,15,3,23,0.0,1016,27,10,80,13
2018-01-09 18:00:00,27,14,0.0,10.9,5,6,45,12:36 AM,12:45 PM,07:20 AM,06:05 PM,5,21,21,21,21,4,34,0.0,1017,20,10,46,10
2018-01-10 00:00:00,27,15,0.0,10.9,6,1,38,01:29 AM,01:22 PM,07:20 AM,06:06 PM,1,17,17,17,21,0,34,0.0,1018,16,10,43,11
2018-01-10 06:00:00,27,15,0.0,10.9,6,1,38,01:29 AM,01:22 PM,07:20 AM,06:06 PM,1,16,16,16,26,0,37,0.0,1019,16,10,51,14
2018-01-10 12:00:00,27,15,0.0,10.9,6,7,38,01:29 AM,01:22 PM,07:20 AM,06:06 PM,3,25,25,27,14,0,20,0.0,1017,27,10,70,12
2018-01-10 18:00:00,27,15,0.0,10.9,6,6,38,01:29 AM,01:22 PM,07:20 AM,06:06 PM,3,21,23,21,19,2,29,0.0,1018,21,10,52,9
2018-01-11 00:00:00,28,16,0.0,10.9,6,1,30,02:21 AM,02:00 PM,07:20 AM,06:06 PM,3,18,18,18,20,0,37,0.0,1018,17,10,38,10
2018-01-11 06:00:00,28,16,0.0,10.9,6,1,30,02:21 AM,02:00 PM,07:20 AM,06:06 PM,2,17,17,17,21,0,35,0.0,1019,17,10,43,12
2018-01-11 12:00:00,28,16,0.0,10.9,6,7,30,02:21 AM,02:00 PM,07:20 AM,06:06 PM,3,26,26,28,12,1,19,0.0,1016,28,10,58,10
2018-01-11 18:00:00,28,16,0.0,10.9,6,6,30,02:21 AM,02:00 PM,07:20 AM,06:06 PM,3,23,23,23,11,3,26,0.0,1016,22,10,62,5
2018-01-12 00:00:00,29,17,0.0,10.9,6,1,23,03:13 AM,02:39 PM,07:20 AM,06:07 PM,4,20,20,20,17,3,36,0.0,1016,18,10,38,9
2018-01-12 06:00:00,29,17,0.0,10.9,6,1,23,03:13 AM,02:39 PM,07:20 AM,06:07 PM,2,18,18,18,22,3,34,0.0,1017,18,10,43,12
2018-01-12 12:00:00,29,17,0.0,10.9,6,7,23,03:13 AM,02:39 PM,07:20 AM,06:07 PM,1,27,27,29,11,13,17,0.0,1014,29,10,57,10
2018-01-12 18:00:00,29,17,0.0,10.9,6,6,23,03:13 AM,02:39 PM,07:20 AM,06:07 PM,2,24,24,24,11,43,23,0.0,1015,24,10,59,6
2018-01-13 00:00:00,26,20,0.0,10.9,6,1,16,04:04 AM,03:21 PM,07:20 AM,06:08 PM,2,20,20,20,22,17,30,0.0,1015,20,10,41,11
2018-01-13 06:00:00,26,20,0.0,10.9,6,1,16,04:04 AM,03:21 PM,07:20 AM,06:08 PM,2,21,23,21,16,77,29,0.0,1017,21,10,54,10
2018-01-13 12:00:00,26,20,0.0,10.9,6,7,16,04:04 AM,03:21 PM,07:20 AM,06:08 PM,3,25,25,26,13,17,22,0.0,1015,26,10,112,11
2018-01-13 18:00:00,26,20,0.0,10.9,6,6,16,04:04 AM,03:21 PM,07:20 AM,06:08 PM,5,24,24,24,10,18,29,0.0,1015,23,10,51,5
2018-01-14 00:00:00,31,19,0.0,10.9,6,1,9,04:55 AM,04:04 PM,07:20 AM,06:08 PM,5,21,21,21,19,14,35,0.0,1014,20,10,43,9
2018-01-14 06:00:00,31,19,0.0,10.9,6,1,9,04:55 AM,04:04 PM,07:20 AM,06:08 PM,5,21,21,21,19,17,35,0.0,1016,20,10,36,10
2018-01-14 12:00:00,31,19,0.0,10.9,6,8,9,04:55 AM,04:04 PM,07:20 AM,06:08 PM,10,30,30,32,2,8,27,0.0,1013,31,10,314,2
2018-01-14 18:00:00,31,19,0.0,10.9,6,6,9,04:55 AM,04:04 PM,07:20 AM,06:08 PM,10,25,25,25,8,7,40,0.0,1015,24,10,22,4
2018-01-15 00:00:00,30,19,0.0,10.9,6,1,1,05:45 AM,04:51 PM,07:20 AM,06:09 PM,6,21,21,21,24,2,39,0.0,1016,20,10,19,12
2018-01-15 06:00:00,30,19,0.0,10.9,6,1,1,05:45 AM,04:51 PM,07:20 AM,06:09 PM,8,20,20,20,23,0,46,0.0,1018,20,10,32,13
