date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,15,5,0.0,8.7,3,1,97,04:59 PM,06:51 AM,08:04 AM,05:29 PM,-14,7,8,7,16,0,19,0.0,1021,6,10,139,8
2018-01-01 06:00:00,15,5,0.0,8.7,3,2,97,04:59 PM,06:51 AM,08:04 AM,05:29 PM,-15,4,6,4,14,6,21,0.0,1021,5,10,113,6
2018-01-01 12:00:00,15,5,0.0,8.7,3,5,97,04:59 PM,06:51 AM,08:04 AM,05:29 PM,-15,16,16,16,9,7,10,0.0,1019,15,10,116,8
2018-01-01 18:00:00,15,5,0.0,8.7,3,4,97,04:59 PM,06:51 AM,08:04 AM,05:29 PM,-14,9,11,9,24,45,16,0.0,1018,11,10,86,12
2018-01-02 00:00:00,17,7,0.0,7.0,4,1,100,06:03 PM,07:57 AM,08:04 AM,05:29 PM,-14,7,9,7,27,8,18,0.0,1016,9,10,100,13
2018-01-02 06:00:00,17,7,0.0,7.0,4,3,100,06:03 PM,07:57 AM,08:04 AM,05:29 PM,-13,5,7,5,27,17,23,0.0,1013,7,10,84,13
2018-01-02 12:00:00,17,7,0.0,7.0,4,5,100,06:03 PM,07:57 AM,08:04 AM,05:29 PM,-13,17,17,17,15,11,12,0.0,1010,17,10,98,13
2018-01-02 18:00:00,17,7,0.0,7.0,4,3,100,06:03 PM,07:57 AM,08:04 AM,05:29 PM,-10,11,12,11,29,99,20,0.0,1007,12,10,94,14
2018-01-03 00:00:00,13,8,0.0,3.5,3,1,89,07:12 PM,08:56 AM,08:05 AM,05:30 PM,-11,9,10,9,23,73,21,0.0,1006,10,10,115,11
2018-01-03 06:00:00,13,8,0.0,3.5,3,2,89,07:12 PM,08:56 AM,08:05 AM,05:30 PM,-12,7,9,7,29,74,21,0.0,1007,9,10,156,14
2018-01-03 12:00:00,13,8,0.0,3.5,3,3,89,07:12 PM,08:56 AM,08:05 AM,05:30 PM,-10,11,13,11,24,100,19,0.0,1010,13,10,281,21
2018-01-03 18:00:00,13,8,0.0,3.5,3,3,89,07:12 PM,08:56 AM,08:05 AM,05:30 PM,1,6,9,6,29,48,56,0.0,1013,9,10,288,19
2018-01-04 00:00:00,9,6,0.0,3.5,2,1,81,08:23 PM,09:48 AM,08:05 AM,05:31 PM,4,6,8,6,12,63,76,0.5,1016,7,5,249,8
2018-01-04 06:00:00,9,6,0.0,3.5,2,2,81,08:23 PM,09:48 AM,08:05 AM,05:31 PM,2,3,6,3,21,69,76,0.0,1019,6,10,239,12
2018-01-04 12:00:00,9,6,0.0,3.5,2,2,81,08:23 PM,09:48 AM,08:05 AM,05:31 PM,-0,7,10,7,20,89,51,0.0,1019,9,10,255,17
2018-01-04 18:00:00,9,6,0.0,3.5,2,2,81,08:23 PM,09:48 AM,08:05 AM,05:31 PM,3,7,8,7,7,100,70,0.0,1021,8,10,264,5
2018-01-05 00:00:00,11,5,0.0,8.7,2,1,74,09:34 PM,10:32 AM,08:05 AM,05:32 PM,3,6,7,6,7,100,77,0.0,1021,6,10,1,5
2018-01-05 06:00:00,11,5,0.0,8.7,2,2,74,09:34 PM,10:32 AM,08:05 AM,05:32 PM,2,3,5,3,16,23,80,0.0,1020,5,10,65,9
2018-01-05 12:00:00,11,5,0.0,8.7,2,4,74,09:34 PM,10:32 AM,08:05 AM,05:32 PM,2,11,11,11,10,6,53,0.0,1018,11,10,134,8
2018-01-05 18:00:00,11,5,0.0,8.7,2,3,74,09:34 PM,10:32 AM,08:05 AM,05:32 PM,2,8,10,8,18,4,59,0.0,1017,9,10,88,10
2018-01-06 00:00:00,14,6,0.0,8.7,3,1,67,10:42 PM,11:10 AM,08:05 AM,05:33 PM,0,5,7,5,29,8,61,0.0,1017,7,10,94,14
2018-01-06 06:00:00,14,6,0.0,8.7,3,3,67,10:42 PM,11:10 AM,08:05 AM,05:33 PM,-1,4,7,4,24,8,57,0.0,1017,6,10,90,12
2018-01-06 12:00:00,14,6,0.0,8.7,3,4,67,10:42 PM,11:10 AM,08:05 AM,05:33 PM,-4,13,14,13,13,19,28,0.0,1016,14,10,89,11
2018-01-06 18:00:00,14,6,0.0,8.7,3,4,67,10:42 PM,11:10 AM,08:05 AM,05:33 PM,-4,9,10,9,20,14,37,0.0,1017,10,10,52,10
2018-01-07 00:00:00,10,5,0.0,3.5,3,1,59,11:47 PM,11:44 AM,08:04 AM,05:34 PM,-3,9,9,9,7,6,43,0.0,1019,7,10,95,3
2018-01-07 06:00:00,10,5,0.0,3.5,3,2,59,11:47 PM,11:44 AM,08:04 AM,05:34 PM,-3,4,6,4,14,12,54,0.0,1022,5,10,294,6
2018-01-07 12:00:00,10,5,0.0,3.5,3,3,59,11:47 PM,11:44 AM,08:04 AM,05:34 PM,-1,8,10,8,15,99,44,0.0,1024,10,10,283,12
2018-01-07 18:00:00,10,5,0.0,3.5,3,2,59,11:47 PM,11:44 AM,08:04 AM,05:34 PM,0,5,8,5,20,92,60,0.0,1027,8,10,290,13
2018-01-08 00:00:00,7,3,0.0,5.2,1,1,52,No moonrise,12:15 PM,08:04 AM,05:35 PM,0,4,6,4,13,56,69,0.3,1029,6,5,276,10
2018-01-08 06:00:00,7,3,0.0,5.2,1,2,52,No moonrise,12:15 PM,08:04 AM,05:35 PM,-0,1,3,1,13,24,81,0.0,1030,3,10,272,8
2018-01-08 12:00:00,7,3,0.0,5.2,1,2,52,No moonrise,12:15 PM,08:04 AM,05:35 PM,-0,4,7,4,14,88,62,0.0,1030,7,10,239,12
2018-01-08 18:00:00,7,3,0.0,5.2,1,2,52,No moonrise,12:15 PM,08:04 AM,05:35 PM,-0,5,6,5,10,71,65,0.0,1032,6,10,255,7
2018-01-09 00:00:00,6,1,0.0,8.7,2,1,45,12:49 AM,12:46 PM,08:04 AM,05:36 PM,-0,3,5,3,10,51,71,0.0,1032,4,10,251,7
2018-01-09 06:00:00,6,1,0.0,8.7,2,2,45,12:49 AM,12:46 PM,08:04 AM,05:36 PM,1,3,3,3,4,4,86,0.0,1032,1,10,206,3
2018-01-09 12:00:00,6,1,0.0,8.7,2,3,45,12:49 AM,12:46 PM,08:04 AM,05:36 PM,-3,4,7,4,12,10,51,0.0,1030,6,10,211,10
2018-01-09 18:00:00,6,1,0.0,8.7,2,2,45,12:49 AM,12:46 PM,08:04 AM,05:36 PM,-2,4,6,4,12,0,55,0.0,1028,5,10,165,9
2018-01-10 00:00:00,12,2,0.0,7.0,3,1,38,01:50 AM,01:16 PM,08:04 AM,05:37 PM,-4,-0,3,-0,25,2,60,0.0,1026,3,10,151,13
2018-01-10 06:00:00,12,2,0.0,7.0,3,2,38,01:50 AM,01:16 PM,08:04 AM,05:37 PM,-3,-2,3,-2,38,3,68,0.0,1023,2,10,153,19
2018-01-10 12:00:00,12,2,0.0,7.0,3,4,38,01:50 AM,01:16 PM,08:04 AM,05:37 PM,-5,9,12,9,48,11,31,0.0,1021,12,10,214,40
2018-01-10 18:00:00,12,2,0.0,7.0,3,2,38,01:50 AM,01:16 PM,08:04 AM,05:37 PM,-3,0,5,0,37,61,55,0.0,1029,5,10,283,25
2018-01-11 00:00:00,4,0,0.0,8.7,2,1,30,02:48 AM,01:48 PM,08:04 AM,05:38 PM,-10,-3,1,-3,19,44,45,0.0,1034,1,10,309,14
2018-01-11 06:00:00,4,0,0.0,8.7,2,1,30,02:48 AM,01:48 PM,08:04 AM,05:38 PM,-10,-2,1,-2,10,74,47,0.0,1036,0,10,290,7
2018-01-11 12:00:00,4,0,0.0,8.7,2,2,30,02:48 AM,01:48 PM,08:04 AM,05:38 PM,-11,4,4,4,3,33,34,0.0,1033,3,10,227,3
2018-01-11 18:00:00,4,0,0.0,8.7,2,2,30,02:48 AM,01:48 PM,08:04 AM,05:38 PM,-11,-1,3,-1,19,16,35,0.0,1032,2,10,27,13
2018-01-12 00:00:00,9,-0,0.0,7.0,2,1,23,03:46 AM,02:21 PM,08:04 AM,05:39 PM,-11,-4,0,-4,24,4,42,0.0,1031,0,10,35,14
2018-01-12 06:00:00,9,-0,0.0,7.0,2,2,23,03:46 AM,02:21 PM,08:04 AM,05:39 PM,-9,-5,-0,-5,30,8,49,0.0,1030,-0,10,46,15
2018-01-12 12:00:00,9,-0,0.0,7.0,2,3,23,03:46 AM,02:21 PM,08:04 AM,05:39 PM,-6,7,9,7,14,16,34,0.0,1024,9,10,88,12
2018-01-12 18:00:00,9,-0,0.0,7.0,2,2,23,03:46 AM,02:21 PM,08:04 AM,05:39 PM,-5,6,8,6,21,85,40,0.0,1021,8,10,56,12
