date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,20,0.0,11.6,7,1,97,05:29 PM,05:30 AM,06:38 AM,06:07 PM,17,22,25,22,1,12,73,0.0,1011,21,10,133,1
2018-01-01 06:00:00,31,20,0.0,11.6,7,1,97,05:29 PM,05:30 AM,06:38 AM,06:07 PM,19,26,26,24,5,21,72,0.0,1012,23,10,315,4
2018-01-01 12:00:00,31,20,0.0,11.6,7,8,97,05:29 PM,05:30 AM,06:38 AM,06:07 PM,17,32,32,32,2,22,41,0.0,1008,31,10,244,2
2018-01-01 18:00:00,31,20,0.0,11.6,7,7,97,05:29 PM,05:30 AM,06:38 AM,06:07 PM,17,27,27,26,4,17,55,0.0,1010,26,10,184,2
2018-01-02 00:00:00,31,21,0.0,11.6,7,1,100,06:33 PM,06:34 AM,06:38 AM,06:07 PM,18,25,25,23,9,52,74,0.0,1010,22,10,126,5
2018-01-02 06:00:00,31,21,0.0,11.6,7,1,100,06:33 PM,06:34 AM,06:38 AM,06:07 PM,19,26,26,24,5,37,74,0.1,1012,24,10,84,4
2018-01-02 12:00:00,31,21,0.0,11.6,7,8,100,06:33 PM,06:34 AM,06:38 AM,06:07 PM,17,33,33,32,3,31,43,0.0,1008,31,10,273,3
2018-01-02 18:00:00,31,21,0.0,11.6,7,7,100,06:33 PM,06:34 AM,06:38 AM,06:07 PM,18,28,28,27,9,22,57,0.0,1010,26,10,77,5
2018-01-03 00:00:00,31,21,0.0,11.6,7,1,89,07:37 PM,07:37 AM,06:39 AM,06:08 PM,19,25,25,23,11,57,75,0.1,1011,23,10,115,7
2018-01-03 06:00:00,31,21,0.0,11.6,7,1,89,07:37 PM,07:37 AM,06:39 AM,06:08 PM,20,27,27,25,5,9,74,0.1,1013,24,10,48,4
2018-01-03 12:00:00,31,21,0.0,11.6,7,8,89,07:37 PM,07:37 AM,06:39 AM,06:08 PM,17,33,33,32,4,32,40,0.0,1010,31,10,112,4
2018-01-03 18:00:00,31,21,0.0,11.6,7,7,89,07:37 PM,07:37 AM,06:39 AM,06:08 PM,16,28,28,27,9,22,53,0.0,1012,26,10,111,6
2018-01-04 00:00:00,30,21,0.0,11.6,6,1,81,08:39 PM,08:36 AM,06:39 AM,06:08 PM,19,23,25,23,9,26,78,0.0,1013,22,10,112,6
2018-01-04 06:00:00,30,21,0.0,11.6,6,1,81,08:39 PM,08:36 AM,06:39 AM,06:08 PM,18,26,26,24,6,21,71,0.0,1015,23,10,32,5
2018-01-04 12:00:00,30,21,0.0,11.6,6,8,81,08:39 PM,08:36 AM,06:39 AM,06:08 PM,15,31,31,30,10,35,39,0.0,1011,30,10,61,9
2018-01-04 18:00:00,30,21,0.0,11.6,6,6,81,08:39 PM,08:36 AM,06:39 AM,06:08 PM,16,26,26,25,14,23,56,0.0,1012,25,10,104,8
2018-01-05 00:00:00,29,19,0.0,11.6,6,1,74,09:39 PM,09:31 AM,06:40 AM,06:09 PM,16,21,24,21,5,17,72,0.0,1013,20,10,98,3
2018-01-05 06:00:00,29,19,0.0,11.6,6,1,74,09:39 PM,09:31 AM,06:40 AM,06:09 PM,17,25,25,23,5,21,67,0.0,1014,22,10,57,4
2018-01-05 12:00:00,29,19,0.0,11.6,6,7,74,09:39 PM,09:31 AM,06:40 AM,06:09 PM,13,29,29,30,11,19,36,0.0,1010,29,10,60,10
2018-01-05 18:00:00,29,19,0.0,11.6,6,6,74,09:39 PM,09:31 AM,06:40 AM,06:09 PM,13,25,25,24,14,8,49,0.0,1011,23,10,80,7
2018-01-06 00:00:00,29,18,0.0,11.6,6,1,67,10:34 PM,10:21 AM,06:40 AM,06:09 PM,16,21,21,21,6,5,74,0.0,1012,19,10,95,4
2018-01-06 06:00:00,29,18,0.0,11.6,6,1,67,10:34 PM,10:21 AM,06:40 AM,06:09 PM,16,23,25,23,3,5,65,0.0,1014,21,10,53,3
