date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,12,0.0,8.7,5,1,97,04:57 PM,05:51 AM,07:03 AM,05:32 PM,9,17,17,17,4,0,59,0.0,1013,13,10,287,3
2018-01-01 06:00:00,22,12,0.0,8.7,5,4,97,04:57 PM,05:51 AM,07:03 AM,05:32 PM,11,17,17,17,4,2,66,0.0,1015,14,10,345,4
2018-01-01 12:00:00,22,12,0.0,8.7,5,6,97,04:57 PM,05:51 AM,07:03 AM,05:32 PM,6,24,24,24,7,0,32,0.0,1013,22,10,13,6
2018-01-01 18:00:00,22,12,0.0,8.7,5,5,97,04:57 PM,05:51 AM,07:03 AM,05:32 PM,5,16,16,16,16,4,48,0.0,1013,16,10,94,8
2018-01-02 00:00:00,20,11,0.0,8.7,5,1,100,06:01 PM,06:56 AM,07:03 AM,05:33 PM,6,14,14,14,1,7,61,0.0,1014,12,10,248,0
2018-01-02 06:00:00,20,11,0.0,8.7,5,4,100,06:01 PM,06:56 AM,07:03 AM,05:33 PM,6,14,14,14,1,13,57,0.0,1015,13,10,125,0
2018-01-02 12:00:00,20,11,0.0,8.7,5,6,100,06:01 PM,06:56 AM,07:03 AM,05:33 PM,6,21,24,21,4,15,38,0.0,1014,20,10,284,3
2018-01-02 18:00:00,20,11,0.0,8.7,5,4,100,06:01 PM,06:56 AM,07:03 AM,05:33 PM,4,15,15,15,21,0,47,0.0,1015,15,10,346,10
2018-01-03 00:00:00,21,10,0.0,8.7,4,1,89,07:07 PM,07:57 AM,07:03 AM,05:34 PM,2,14,14,14,10,0,43,0.0,1015,12,10,330,6
2018-01-03 06:00:00,21,10,0.0,8.7,4,4,89,07:07 PM,07:57 AM,07:03 AM,05:34 PM,2,12,13,12,11,0,48,0.0,1017,11,10,266,8
2018-01-03 12:00:00,21,10,0.0,8.7,4,6,89,07:07 PM,07:57 AM,07:03 AM,05:34 PM,3,22,23,22,8,0,28,0.0,1014,21,10,313,7
2018-01-03 18:00:00,21,10,0.0,8.7,4,4,89,07:07 PM,07:57 AM,07:03 AM,05:34 PM,3,15,15,15,16,0,45,0.0,1015,14,10,286,8
2018-01-04 00:00:00,21,10,0.0,8.7,4,1,81,08:14 PM,08:53 AM,07:03 AM,05:35 PM,4,13,13,13,13,0,56,0.0,1015,11,10,305,7
2018-01-04 06:00:00,21,10,0.0,8.7,4,4,81,08:14 PM,08:53 AM,07:03 AM,05:35 PM,5,14,14,14,8,0,55,0.0,1017,12,10,247,6
2018-01-04 12:00:00,21,10,0.0,8.7,4,6,81,08:14 PM,08:53 AM,07:03 AM,05:35 PM,3,23,23,23,7,0,26,0.0,1014,21,10,254,6
2018-01-04 18:00:00,21,10,0.0,8.7,4,4,81,08:14 PM,08:53 AM,07:03 AM,05:35 PM,3,17,17,17,6,0,40,0.0,1015,14,10,94,3
2018-01-05 00:00:00,21,9,0.0,8.7,4,1,74,09:18 PM,09:43 AM,07:04 AM,05:35 PM,4,15,14,15,7,0,50,0.0,1015,11,10,28,4
2018-01-05 06:00:00,21,9,0.0,8.7,4,4,74,09:18 PM,09:43 AM,07:04 AM,05:35 PM,4,13,13,13,5,0,53,0.0,1017,11,10,155,5
2018-01-05 12:00:00,21,9,0.0,8.7,4,6,74,09:18 PM,09:43 AM,07:04 AM,05:35 PM,3,23,23,23,7,0,28,0.0,1014,21,10,320,6
2018-01-05 18:00:00,21,9,0.0,8.7,4,4,74,09:18 PM,09:43 AM,07:04 AM,05:35 PM,4,16,16,16,7,0,43,0.0,1014,14,10,36,4
2018-01-06 00:00:00,21,10,0.0,8.7,4,1,67,10:20 PM,10:27 AM,07:04 AM,05:36 PM,5,15,15,15,4,0,51,0.0,1014,11,10,357,3
2018-01-06 06:00:00,21,10,0.0,8.7,4,4,67,10:20 PM,10:27 AM,07:04 AM,05:36 PM,4,13,14,13,8,0,52,0.0,1015,12,10,285,6
2018-01-06 12:00:00,21,10,0.0,8.7,4,6,67,10:20 PM,10:27 AM,07:04 AM,05:36 PM,4,23,23,23,9,0,30,0.0,1012,21,10,292,8
2018-01-06 18:00:00,21,10,0.0,8.7,4,4,67,10:20 PM,10:27 AM,07:04 AM,05:36 PM,5,17,17,17,9,0,47,0.0,1014,14,10,11,4
2018-01-07 00:00:00,22,10,0.0,8.7,4,1,59,11:19 PM,11:08 AM,07:04 AM,05:37 PM,4,14,14,14,12,2,52,0.0,1014,12,10,337,6
2018-01-07 06:00:00,22,10,0.0,8.7,4,4,59,11:19 PM,11:08 AM,07:04 AM,05:37 PM,5,12,13,12,15,0,59,0.0,1016,12,10,312,9
2018-01-07 12:00:00,22,10,0.0,8.7,4,6,59,11:19 PM,11:08 AM,07:04 AM,05:37 PM,4,22,23,22,14,0,31,0.0,1014,22,10,296,12
